// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
62032,9.333146,-2.371194,2.264278,0.035139,-0.071510,0.001689
62033,9.351855,-2.392277,2.396261,0.037539,-0.065856,0.010655
62034,9.391364,-2.384777,2.470085,0.032883,-0.057775,0.023228
62035,9.503686,-2.401272,2.518933,0.016193,-0.041227,0.029652
62036,9.578795,-2.379657,2.454666,0.022285,-0.013834,0.043516
62037,9.669154,-2.327852,2.435560,0.027786,0.027920,0.051034
62038,9.550824,-2.342369,2.536015,-0.011796,0.071084,0.052054
62039,9.437606,-2.259228,2.406209,-0.039886,0.096527,0.046511
62040,9.464410,-2.044262,2.211300,-0.038413,0.109036,0.029939
62041,9.509275,-1.670336,1.880034,-0.084561,0.134687,0.006013
62042,9.466591,-1.381475,1.676739,-0.196296,0.135925,-0.027440
62043,9.448845,-1.413814,1.642715,-0.372439,0.115734,-0.043569
62044,9.325816,-1.823009,1.494945,-0.516879,0.106001,-0.055788
62045,9.139623,-2.309775,1.296163,-0.466208,0.089985,-0.076450
62046,9.029154,-2.558187,1.263454,-0.258903,0.041031,-0.104276
62047,9.066067,-2.535940,1.671188,-0.077883,-0.021811,-0.102882
62048,9.218272,-2.616778,2.332379,-0.017924,-0.061667,-0.077261
62049,9.407200,-2.809227,3.031197,0.045518,-0.043216,-0.045484
62050,9.534023,-2.662051,3.502882,0.152384,0.024215,-0.026044
62051,9.486317,-2.214171,3.789011,0.138430,0.091650,-0.016441
62052,9.447818,-2.010553,3.850970,-0.080593,0.113184,-0.025480
62053,9.533761,-2.180404,3.537123,-0.289006,0.127841,-0.034603
62054,9.616169,-2.408202,3.026563,-0.303659,0.167528,-0.041751
62055,9.574919,-2.438875,2.554717,-0.209320,0.193330,-0.059311
62056,9.557774,-2.403899,1.980751,-0.075248,0.171628,-0.089682
62057,9.663119,-2.322495,1.559780,0.042148,0.181227,-0.096607
62058,9.598607,-2.075439,1.186391,0.125312,0.199150,-0.114506
62059,9.463469,-1.811865,0.896104,0.095800,0.160305,-0.134243
62060,9.547799,-1.824224,0.845052,0.062076,0.118627,-0.160629
62061,9.598867,-1.818948,1.016015,0.020302,0.142732,-0.175864
62062,9.326655,-1.801545,1.318083,-0.057612,0.137499,-0.175464
62063,9.148891,-2.085670,2.111766,-0.203215,0.083658,-0.146738
62064,9.221375,-2.638771,3.104513,-0.374514,0.102006,-0.066274
62065,9.213495,-3.008231,3.718345,-0.435666,0.180950,-0.004920
62066,9.083858,-3.007079,4.002162,-0.389685,0.257556,0.028640
62067,8.951075,-2.717205,3.994753,-0.392469,0.282028,0.038588
62068,9.110390,-2.601204,3.900725,-0.440375,0.256284,0.026545
62069,9.301457,-2.758427,3.640957,-0.436719,0.275952,0.025576
62070,9.267357,-2.889293,3.007803,-0.318275,0.282984,0.023612
62071,9.388959,-2.856916,2.297015,-0.088518,0.266567,-0.001020
62072,9.548149,-2.558650,1.778125,0.122941,0.268321,-0.037597
62073,9.480600,-2.231894,1.115913,0.236951,0.240147,-0.076019
62074,9.601827,-1.831666,0.779218,0.425440,0.141383,-0.153383
62075,9.894333,-1.433583,0.946768,0.596733,0.096720,-0.229164
62076,9.867940,-1.059277,1.298882,0.552687,0.136117,-0.260654
62077,9.546629,-0.986359,1.712727,0.277559,0.127281,-0.248927
62078,9.436920,-1.409720,2.395768,-0.021465,0.094900,-0.209606
62079,9.453311,-1.949995,3.385096,-0.174539,0.141484,-0.140517
62080,9.399127,-2.301614,4.189734,-0.235658,0.228877,-0.083477
62081,9.173904,-2.254087,4.616251,-0.326949,0.328233,-0.044841
62082,8.922253,-2.192670,4.626469,-0.526366,0.376840,-0.024741
62083,8.873876,-2.421278,4.277626,-0.716980,0.374140,-0.022790
62084,8.995342,-2.833334,3.647916,-0.753773,0.360960,-0.012759
62085,9.223113,-3.224746,2.805250,-0.646951,0.344913,0.003535
62086,9.436189,-3.434521,1.796984,-0.354219,0.313877,0.001061
62087,9.481223,-3.180725,1.063115,0.120904,0.260250,-0.055686
62088,9.480674,-2.583162,1.131047,0.473967,0.198215,-0.124595
62089,9.460778,-2.112772,1.275499,0.633582,0.142718,-0.190627
62090,9.544998,-1.641571,1.606894,0.822649,0.115915,-0.253251
62091,9.429684,-1.041004,2.173678,0.877623,0.151824,-0.284827
62092,9.159497,-0.457695,2.545519,0.652840,0.208419,-0.276749
62093,9.013859,-0.284562,3.101162,0.102904,0.239400,-0.222246
62094,9.020422,-0.830655,3.339160,-0.558969,0.264861,-0.165304
62095,9.122825,-1.677511,3.601217,-0.855522,0.323679,-0.095090
62096,9.173260,-2.501967,4.027789,-0.863514,0.390095,-0.055265
62097,9.064712,-2.917133,4.067387,-0.711788,0.447104,-0.032919
62098,8.990449,-2.924931,4.159050,-0.504669,0.430897,-0.034777
62099,9.044454,-2.934877,4.309747,-0.400690,0.415496,-0.045795
62100,9.055691,-3.190823,4.037575,-0.386444,0.439062,-0.026865
62101,9.021452,-3.372821,3.299829,-0.323266,0.450803,0.014404
62102,8.922440,-3.243325,2.325064,-0.038984,0.375277,0.015755
62103,8.977817,-2.720742,1.880450,0.279414,0.291329,-0.023699
62104,8.915938,-2.186161,1.779396,0.362915,0.241569,-0.067464
62105,8.984823,-1.933547,1.706237,0.298942,0.176133,-0.096285
62106,9.032760,-1.725958,1.607195,0.275412,0.132923,-0.118247
62107,9.035286,-1.536299,1.671459,0.289994,0.155839,-0.143010
62108,8.875526,-1.217941,1.894875,0.169864,0.207165,-0.129131
62109,8.570984,-1.160770,2.148590,-0.185371,0.223464,-0.085265
62110,8.491854,-1.757751,2.724027,-0.514950,0.202160,-0.022113
62111,8.639791,-2.709040,3.682990,-0.576349,0.227031,0.061902
62112,8.557323,-3.328462,4.278698,-0.452980,0.297954,0.138703
62113,8.331039,-3.162939,4.610684,-0.285239,0.334068,0.188154
62114,8.112995,-2.879932,4.987551,-0.287625,0.319959,0.241579
62115,8.249636,-3.038155,5.006759,-0.463389,0.277283,0.283440
62116,8.552829,-3.474170,4.418927,-0.506175,0.237023,0.318879
62117,8.783098,-3.620357,3.709598,-0.367174,0.227405,0.351869
62118,8.891071,-3.451727,2.985647,-0.173654,0.183561,0.361507
62119,9.004602,-3.159359,2.437553,-0.039306,0.105584,0.350509
62120,9.091038,-3.073673,1.976980,0.051611,0.035635,0.323284
62121,9.180211,-2.882199,1.583906,0.226409,-0.020043,0.265422
62122,9.134616,-2.413197,1.530058,0.443330,-0.042929,0.193354
62123,8.983358,-1.789113,1.559715,0.477035,-0.027946,0.161151
62124,8.676264,-1.323473,1.732637,0.275355,-0.007886,0.175642
62125,8.539190,-1.513864,2.390257,-0.037133,-0.012999,0.220975
62126,8.645975,-2.163786,3.231207,-0.224175,0.011891,0.291543
62127,8.708211,-2.727262,4.186274,-0.252672,0.085520,0.360072
62128,8.589556,-3.028254,5.089969,-0.283127,0.152883,0.411067
62129,8.495302,-3.178663,5.496451,-0.377679,0.180638,0.450411
62130,8.510200,-3.502829,5.833835,-0.461981,0.187077,0.482448
62131,8.622732,-4.062201,5.934367,-0.467845,0.186824,0.517606
62132,8.734623,-4.413487,5.264796,-0.381863,0.177926,0.552193
62133,8.803397,-4.526460,4.400562,-0.190064,0.140337,0.577855
62134,8.920615,-4.399412,3.467723,0.034157,0.064556,0.578333
62135,8.934052,-4.095877,2.513271,0.186289,-0.002680,0.549708
62136,8.862076,-3.815817,1.856534,0.343010,-0.086939,0.491010
62137,8.830520,-3.296796,1.160032,0.586164,-0.222114,0.371698
62138,8.787350,-2.517202,0.515016,0.793317,-0.352742,0.242627
62139,8.720256,-1.737381,0.205919,0.908532,-0.427182,0.154037
62140,8.779913,-1.313368,0.673869,0.869621,-0.451634,0.109288
62141,8.921411,-1.318634,1.891324,0.729561,-0.390863,0.119669
62142,9.037236,-1.648884,3.551833,0.541338,-0.223433,0.203022
62143,8.777604,-2.076861,5.060672,0.274976,-0.016961,0.302634
62144,8.355301,-2.255391,5.675391,-0.145279,0.101744,0.366150
62145,8.056416,-2.350393,5.232724,-0.586869,0.141275,0.401435
62146,8.004170,-2.606890,4.526431,-0.897609,0.140916,0.426904
62147,8.315952,-3.150566,4.063519,-1.017848,0.100862,0.435260
62148,8.624870,-3.974631,3.918966,-0.978600,0.101373,0.461054
62149,8.671913,-4.734497,3.620774,-0.844613,0.116861,0.499430
62150,8.492690,-5.269418,3.085351,-0.565947,0.077704,0.538872
62151,8.275188,-5.458137,2.816814,-0.143213,-0.014886,0.552294
62152,8.228064,-5.012102,2.553045,0.273618,-0.113257,0.516820
62153,8.105170,-4.052476,2.065948,0.521043,-0.216790,0.434142
62154,8.154407,-3.013888,1.438237,0.665829,-0.327290,0.325394
62155,8.472123,-2.315928,1.237672,0.635288,-0.390037,0.302192
62156,8.900400,-2.166571,1.753677,0.328282,-0.348513,0.389343
62157,9.019043,-2.818162,2.748475,-0.092936,-0.201071,0.482588
62158,8.862144,-3.749576,3.747212,-0.370269,-0.006618,0.604483
62159,8.303458,-4.428711,4.388731,-0.521256,0.134170,0.680291
62160,7.723977,-4.664532,4.415172,-0.664450,0.161567,0.716406
62161,7.420946,-4.726533,4.118823,-0.775004,0.115334,0.740561
62162,7.445419,-4.992954,3.767006,-0.873724,0.064683,0.780635
62163,7.555894,-5.502967,3.504529,-0.895343,0.029270,0.836709
62164,7.555095,-6.172964,3.137692,-0.847696,0.008080,0.941184
62165,7.200031,-6.599218,2.421407,-0.600760,-0.044798,1.007003
62166,6.945102,-6.536834,1.846793,-0.230993,-0.151741,1.024069
62167,6.988015,-6.108903,1.427727,0.014458,-0.299134,1.065219
62168,7.267353,-5.642807,1.007138,0.116212,-0.426113,1.104972
62169,7.811149,-5.365089,1.011109,0.215906,-0.474638,1.153261
62170,8.258915,-5.173961,1.670454,0.259805,-0.452069,1.208544
62171,8.496630,-5.066363,2.295552,0.159419,-0.391914,1.248937
62172,8.472499,-4.993146,2.972484,-0.024404,-0.277567,1.285071
62173,8.265737,-5.084872,3.432544,-0.252460,-0.174259,1.314615
62174,8.142424,-5.259901,3.700471,-0.496859,-0.115748,1.331769
62175,8.095663,-5.559357,3.539497,-0.664827,-0.077413,1.345619
62176,8.023958,-5.841562,3.394179,-0.753748,-0.033401,1.358376
62177,7.936799,-6.090870,3.209230,-0.784408,-0.016198,1.357702
62178,7.848694,-6.409422,2.987388,-0.762786,0.003059,1.363415
62179,7.767837,-6.631714,2.849922,-0.690575,0.022094,1.368061
62180,7.639334,-6.684619,2.747097,-0.607870,0.037864,1.358497
62181,7.541561,-6.714453,2.730714,-0.561574,0.057417,1.354411
62182,7.479058,-7.025206,2.811609,-0.600472,0.062246,1.397394
62183,7.358897,-7.465218,2.663511,-0.620539,0.030476,1.450597
62184,7.054871,-7.510379,2.164717,-0.427197,-0.014070,1.381007
62185,6.920764,-6.796980,1.995011,-0.188004,-0.072594,1.258175
62186,7.018491,-6.223012,1.755991,-0.168629,-0.196216,1.172533
62187,7.306809,-6.368100,1.803854,-0.178715,-0.277366,1.166335
62188,7.562558,-7.011451,2.402137,-0.105365,-0.260456,1.199288
62189,7.552517,-7.520875,3.322594,-0.006741,-0.166102,1.265580
62190,7.147758,-7.799644,3.997489,0.001614,-0.057282,1.319321
62191,6.590859,-7.764928,4.122632,-0.062539,-0.008034,1.348324
62192,6.331958,-7.646656,3.668611,-0.144798,-0.036650,1.364436
62193,6.445785,-7.444041,3.031827,-0.190841,-0.068734,1.356817
62194,6.689833,-7.334017,2.506706,-0.216129,-0.078664,1.323698
62195,6.875916,-7.274461,2.146140,-0.226588,-0.038492,1.278990
62196,6.718889,-7.253469,1.998881,-0.195857,0.037122,1.230629
62197,6.373997,-7.466291,2.024680,-0.239115,0.082771,1.215753
62198,6.007737,-7.746247,1.714512,-0.275692,0.056014,1.224282
62199,5.674218,-7.733865,1.278323,-0.134365,-0.002400,1.163242
62200,5.618797,-7.257036,0.922485,0.007304,-0.071295,1.071784
62201,5.692496,-6.912073,0.716069,0.076197,-0.186847,0.999358
62202,6.026475,-7.191159,0.965935,0.087398,-0.281720,0.984375
62203,6.320276,-7.811632,1.568779,0.112244,-0.263748,1.003894
62204,6.195150,-8.251517,2.305521,0.155813,-0.154693,1.051472
62205,5.677840,-8.327673,2.825308,0.127148,-0.041740,1.077982
62206,5.107067,-8.225396,3.090393,0.019308,0.004591,1.085343
62207,4.837015,-8.231160,3.082017,-0.093397,-0.016072,1.087552
62208,4.885682,-8.210425,2.739877,-0.164721,-0.052320,1.082793
62209,5.169928,-8.041317,2.336104,-0.195114,-0.072222,1.057149
62210,5.427561,-7.774772,2.142876,-0.193593,-0.052531,1.000813
62211,5.508416,-7.641357,2.103715,-0.206882,-0.017133,0.937633
62212,5.386989,-7.829219,1.933422,-0.236028,-0.007336,0.907296
62213,5.174620,-8.063672,1.690070,-0.250962,-0.006335,0.896666
62214,4.892965,-8.234994,1.422248,-0.244983,-0.019719,0.885261
62215,4.605722,-8.197909,1.009144,-0.193074,-0.049895,0.861338
62216,4.341054,-7.843981,0.355143,-0.135658,-0.122042,0.809688
62217,4.305455,-7.349185,0.008300,-0.063406,-0.209723,0.728039
62218,4.403570,-7.347127,0.210274,-0.026466,-0.269844,0.660330
62219,4.562575,-7.781228,0.936148,-0.024084,-0.287999,0.632340
62220,4.784448,-8.441530,1.907967,-0.085364,-0.229582,0.675268
62221,4.627357,-9.037261,2.791620,-0.166495,-0.137534,0.752142
62222,4.099146,-9.429419,3.219927,-0.276575,-0.088405,0.797067
62223,3.636173,-9.687713,3.140091,-0.376969,-0.112511,0.791376
62224,3.469181,-9.832567,2.918827,-0.421784,-0.174240,0.786762
62225,3.489396,-9.917625,2.475353,-0.404094,-0.219922,0.794530
62226,3.621274,-9.889295,2.041030,-0.316842,-0.254403,0.791390
62227,3.746866,-9.747307,1.701315,-0.185535,-0.263017,0.778459
62228,3.833250,-9.595396,1.407614,-0.083343,-0.256263,0.771086
62229,3.851696,-9.304267,1.107407,0.016191,-0.236168,0.745906
62230,3.840201,-8.787601,1.053795,0.092740,-0.189967,0.700161
62231,3.650436,-8.515210,1.192835,0.057214,-0.151728,0.677214
62232,3.531740,-8.581971,1.009719,-0.062718,-0.155594,0.707610
62233,3.372494,-8.379662,0.544918,-0.121571,-0.151875,0.702773
62234,3.197612,-7.624719,0.045744,-0.029686,-0.139747,0.589491
62235,3.137446,-6.804433,-0.051044,0.042155,-0.199677,0.458242
62236,3.227081,-6.998153,0.413837,-0.112325,-0.335996,0.431034
62237,3.520278,-8.431763,1.136642,-0.307536,-0.382352,0.484141
62238,3.436540,-9.843237,2.014401,-0.353103,-0.239445,0.590960
62239,2.826950,-10.436158,2.690296,-0.331509,-0.093662,0.671741
62240,2.228993,-10.510752,2.896510,-0.412567,-0.082337,0.711914
62241,2.134694,-10.478025,2.605191,-0.506504,-0.165232,0.752987
62242,2.417088,-10.526375,2.280668,-0.554304,-0.248643,0.805621
62243,2.766224,-10.619449,1.892942,-0.561934,-0.262288,0.833492
62244,2.830813,-10.551811,1.468767,-0.438304,-0.227873,0.820152
62245,2.731604,-10.325326,1.210550,-0.238613,-0.199240,0.762052
62246,2.452560,-10.010724,0.797101,-0.089374,-0.212639,0.714259
62247,2.240696,-9.699905,0.335246,0.040109,-0.275302,0.693995
62248,2.080922,-9.794688,0.091488,0.110411,-0.339177,0.717592
62249,1.935634,-10.055097,-0.210021,0.179275,-0.419589,0.768045
62250,2.005170,-9.850296,-0.183998,0.439338,-0.471126,0.742076
62251,2.172546,-8.870371,0.073405,0.657859,-0.461096,0.633001
62252,2.069090,-7.848108,-0.089535,0.731045,-0.521252,0.516154
62253,2.038963,-7.616062,-0.010296,0.633253,-0.689138,0.436274
62254,2.588697,-8.517625,0.607713,0.459979,-0.761752,0.428148
62255,2.956141,-9.419676,1.692213,0.439215,-0.626965,0.490672
62256,2.670643,-9.662304,2.683106,0.457626,-0.430135,0.537642
62257,1.988572,-9.474991,3.115904,0.373256,-0.318020,0.572554
62258,1.582434,-9.640993,3.186481,0.217968,-0.379255,0.589069
62259,1.720191,-10.105003,2.704115,0.017373,-0.471607,0.601418
62260,1.968352,-10.639494,1.690615,-0.094469,-0.506991,0.624328
62261,1.909637,-10.662509,0.277007,0.020825,-0.547678,0.592807
62262,1.842340,-10.341326,-0.887796,0.298406,-0.622106,0.504742
62263,1.664258,-9.741825,-1.087114,0.662709,-0.692008,0.388773
62264,1.711408,-9.204479,-0.258746,0.945436,-0.716890,0.289569
62265,1.904194,-8.785158,0.501326,1.018788,-0.675389,0.266628
62266,1.847802,-8.242137,0.813032,0.989417,-0.628253,0.300906
62267,1.895489,-7.496848,1.188352,1.027416,-0.633827,0.277099
62268,2.227443,-6.644872,1.262633,0.982156,-0.637093,0.167921
62269,2.282770,-6.175214,0.588697,0.704431,-0.690187,0.054433
62270,2.470624,-6.451823,0.174969,0.392816,-0.752339,-0.028497
62271,2.777863,-7.350779,1.163945,0.158573,-0.695199,-0.058878
62272,2.680166,-8.477970,2.374646,0.063174,-0.504870,-0.002711
62273,1.894715,-9.270115,3.156411,-0.006737,-0.352339,0.089762
62274,1.154089,-9.673430,2.618375,-0.178489,-0.306579,0.202106
62275,0.895672,-9.656729,1.333586,-0.337966,-0.390946,0.279447
62276,1.415452,-9.742766,0.615797,-0.383166,-0.609118,0.227759
62277,2.492468,-9.940661,0.417684,-0.304147,-0.791504,0.059171
62278,2.966395,-10.284051,0.268914,0.025987,-0.872303,-0.148377
62279,2.894336,-10.302722,0.581525,0.645153,-0.913150,-0.362926
62280,2.614230,-9.928066,1.430549,1.360615,-0.922379,-0.507898
62281,2.330536,-8.900232,2.910708,1.945363,-0.903368,-0.526902
62282,2.224666,-7.467212,4.164692,2.232379,-0.857223,-0.488307
62283,2.240301,-5.912758,4.411030,2.065402,-0.807036,-0.444999
62284,2.365695,-4.954042,3.575588,1.493778,-0.768711,-0.411304
62285,2.702888,-4.936044,2.191928,0.781600,-0.774867,-0.414008
62286,3.669402,-5.407626,1.330267,0.303598,-0.720221,-0.487552
62287,4.586182,-5.614964,1.669979,0.095462,-0.538827,-0.590541
62288,4.761118,-5.772122,2.902218,-0.172855,-0.317218,-0.695828
62289,4.057567,-6.540573,3.792643,-0.637414,-0.141448,-0.753316
62290,3.284735,-7.916310,3.959248,-0.996821,-0.073023,-0.759607
62291,2.670580,-9.458731,3.708609,-1.085830,-0.067297,-0.695180
