// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
17768,9.403655,-0.862042,2.948291,0.011531,-0.014993,-0.031839
17769,9.432123,-0.893462,2.915238,0.006931,-0.015163,-0.032248
17770,9.500038,-0.888628,2.951740,0.012715,-0.021391,-0.029540
17771,9.495653,-0.919099,2.945202,0.016619,-0.010689,-0.030473
17772,9.501357,-0.882392,2.949364,0.008779,-0.012348,-0.023777
17773,9.497207,-0.850045,2.986546,0.006342,-0.007833,-0.016322
17774,9.517872,-0.901728,2.968214,0.002224,-0.003848,-0.015787
17775,9.522622,-0.930648,2.930153,0.001571,0.003718,-0.010344
17776,9.473931,-0.905575,2.937068,0.006654,0.008041,-0.008988
17777,9.492234,-0.879026,2.982387,0.005199,0.009603,-0.003894
17778,9.455353,-0.866239,2.937872,0.000926,0.014046,-0.001222
17779,9.398839,-0.860858,2.959625,0.001254,0.018657,0.001862
17780,9.397862,-0.924920,2.918138,0.004544,0.017167,0.001550
17781,9.395028,-0.909899,2.938756,0.010813,0.015103,0.005203
17782,9.473716,-0.919583,2.926590,0.020644,0.016370,0.001157
17783,9.429301,-0.925002,2.896581,0.028015,0.016626,-0.002796
17784,9.474296,-0.872639,2.862936,0.032818,0.013360,0.002275
17785,9.486375,-0.819685,2.855758,0.021639,0.016169,0.002482
17786,9.504290,-0.793748,2.901969,0.012445,0.018599,0.005332
17787,9.506030,-0.809100,2.884894,0.001421,0.020953,0.003397
17788,9.500333,-0.843516,2.881612,-0.008731,0.017843,0.008035
17789,9.468332,-0.798575,2.842690,-0.013324,0.020438,0.011299
17790,9.460200,-0.818519,2.858493,-0.012848,0.021824,0.008565
17791,9.446232,-0.811803,2.820968,-0.015628,0.018969,0.009253
17792,9.456605,-0.805750,2.880915,-0.013174,0.017211,0.005484
17793,9.453820,-0.791167,2.901161,-0.011047,0.010847,-0.001369
17794,9.465659,-0.802813,2.850388,-0.014530,0.015762,-0.005713
17795,9.452724,-0.855210,2.860389,-0.010726,0.012691,-0.001964
17796,9.480692,-0.825552,2.872888,0.003064,0.007669,-0.008070
17797,9.478180,-0.809570,2.892608,-0.000388,0.006854,-0.009305
17798,9.506279,-0.779345,2.904801,0.000761,0.006205,-0.010120
17799,9.513614,-0.759785,2.891582,-0.010260,0.008556,-0.012061
17800,9.482845,-0.773094,2.899858,-0.017672,0.011263,-0.014904
17801,9.472530,-0.839885,2.890314,-0.024061,0.008048,-0.013317
17802,9.464891,-0.857915,2.904953,-0.025560,0.012575,-0.015011
17803,9.472108,-0.838674,2.892049,-0.023577,0.012189,-0.012364
17804,9.443637,-0.867569,2.881498,-0.031146,0.015346,-0.013066
17805,9.466437,-0.871725,2.889092,-0.028014,0.014312,-0.011234
17806,9.489322,-0.875684,2.896468,-0.024726,0.010067,-0.015225
17807,9.460960,-0.904242,2.885691,-0.020956,0.012728,-0.014580
17808,9.426997,-0.842027,2.865120,-0.018656,0.011433,-0.016211
17809,9.444980,-0.879281,2.866993,-0.026193,0.006098,-0.017496
17810,9.426791,-0.840274,2.866312,-0.032452,0.010901,-0.017465
17811,9.424129,-0.888366,2.842476,-0.033248,0.004902,-0.017824
17812,9.436492,-0.898923,2.790645,-0.030948,0.003607,-0.019454
17813,9.498561,-0.929778,2.823718,-0.021078,-0.000834,-0.020385
17814,9.440178,-0.972034,2.818779,-0.014144,-0.007675,-0.018503
17815,9.422524,-0.932309,2.816517,0.000006,-0.013778,-0.018427
17816,9.395106,-0.959821,2.803075,0.008922,-0.023753,-0.017588
17817,9.385176,-0.900817,2.786124,0.014317,-0.020338,-0.020489
17818,9.378675,-0.917435,2.797543,0.012095,-0.033271,-0.016346
17819,9.382223,-0.930822,2.775276,0.006704,-0.036696,-0.013438
17820,9.417413,-0.926835,2.836615,0.006388,-0.038550,-0.012842
17821,9.449147,-0.911138,2.825658,0.004248,-0.037724,-0.013342
17822,9.417529,-0.908895,2.848210,0.004450,-0.046680,-0.016060
17823,9.463000,-0.900693,2.875445,0.005443,-0.052402,-0.022098
17824,9.511072,-0.906996,2.883166,0.004453,-0.054991,-0.027093
17825,9.477733,-0.888550,2.923170,-0.000096,-0.063688,-0.028075
17826,9.453031,-0.975698,2.953090,0.003562,-0.071839,-0.029554
17827,9.506982,-1.053448,3.078607,0.022691,-0.084437,-0.030253
17828,9.498168,-1.143932,3.237658,0.047679,-0.089463,-0.032922
17829,9.461699,-1.262684,3.385394,0.087470,-0.091371,-0.029382
17830,9.632631,-1.422807,3.499052,0.141453,-0.093886,-0.018436
17831,9.730387,-1.663140,3.638429,0.215508,-0.083919,0.005287
17832,9.807550,-1.804626,3.731876,0.317333,-0.067689,0.049296
17833,9.624622,-1.909094,3.956912,0.439518,-0.062084,0.108267
17834,9.427307,-2.087114,4.373237,0.590881,-0.063284,0.147184
17835,9.356678,-2.246710,4.995123,0.798307,-0.062903,0.165883
17836,9.362858,-2.001854,5.695842,1.025705,-0.039619,0.164824
17837,9.255333,-1.220953,6.400862,1.189616,0.016373,0.123716
17838,9.319394,-0.581064,7.100905,1.216387,0.104101,0.074314
17839,9.313551,0.107269,7.761540,1.112078,0.225734,0.017898
17840,9.248150,0.400783,8.249457,0.872294,0.356443,-0.023495
17841,9.485013,0.232423,8.539842,0.607460,0.486977,-0.080667
17842,9.622588,-0.306351,8.670378,0.440110,0.612806,-0.117139
17843,9.693789,-0.885456,8.982272,0.422716,0.726191,-0.144118
17844,9.915493,-1.251308,9.312873,0.526411,0.849328,-0.184140
17845,10.218835,-1.222112,9.555656,0.651658,0.991391,-0.224938
17846,10.535855,-0.803899,9.595398,0.697034,1.144374,-0.255099
17847,10.824426,-0.427385,9.522174,0.620179,1.298502,-0.281112
17848,11.088598,-0.356508,9.523590,0.463815,1.450514,-0.294849
17849,11.290061,-0.776180,9.499929,0.340584,1.602305,-0.296335
17850,11.541431,-1.158573,9.508259,0.294629,1.741713,-0.289366
17851,11.766999,-1.109409,9.664520,0.311762,1.893733,-0.271914
17852,11.964967,-0.831506,9.822597,0.301914,2.047492,-0.254639
17853,12.228444,-0.478674,9.913337,0.211486,2.197687,-0.230770
17854,12.375409,-0.225320,9.833262,0.051623,2.357176,-0.200166
17855,12.383926,-0.457355,9.603958,-0.131460,2.501316,-0.157313
17856,12.308693,-1.183521,9.392794,-0.219933,2.620921,-0.110112
17857,12.248237,-1.736301,9.416637,-0.169375,2.713182,-0.059880
17858,12.388002,-1.806883,9.517852,-0.040857,2.814072,-0.006758
17859,12.469078,-1.373163,9.523028,0.057014,2.918368,0.032272
17860,12.420749,-0.846836,9.374253,0.056798,3.029595,0.074386
17861,12.354701,-0.577235,9.072609,-0.032698,3.125861,0.109850
17862,12.204900,-0.770644,8.638857,-0.152623,3.205498,0.150683
17863,12.018164,-1.129846,8.522324,-0.205232,3.262782,0.205584
17864,11.729087,-1.350746,8.485059,-0.188335,3.303859,0.257506
17865,11.432279,-1.315323,8.541232,-0.097230,3.329943,0.285872
17866,11.129780,-0.925030,8.799223,-0.021599,3.359830,0.302728
17867,10.915236,-0.501693,8.813571,-0.006050,3.384893,0.303734
17868,10.637169,-0.142873,8.844729,-0.057335,3.405965,0.294892
17869,10.312033,-0.342171,8.725558,-0.130302,3.413306,0.268384
17870,10.211456,-0.766578,8.383272,-0.158173,3.397460,0.233566
17871,10.351408,-1.172441,7.882084,-0.127850,3.371757,0.212413
17872,10.059960,-1.205854,7.659073,-0.040370,3.341505,0.202958
17873,9.617147,-1.225286,7.524700,0.048652,3.298223,0.197845
17874,9.283781,-0.961855,7.479066,0.118942,3.261515,0.198484
17875,9.067673,-0.621638,7.299507,0.113594,3.220907,0.209424
17876,8.726877,-0.415748,6.993053,0.040796,3.181414,0.232754
17877,8.214068,-0.535377,6.699662,-0.054669,3.136502,0.274786
17878,7.784911,-0.895119,6.399438,-0.092193,3.080093,0.320652
17879,7.354969,-1.114729,6.080468,-0.070569,3.025036,0.366573
17880,6.928218,-1.212854,5.635697,-0.042151,2.969237,0.420637
17881,6.624246,-1.263737,5.152691,-0.017666,2.908732,0.491591
17882,6.117858,-1.285368,4.839490,0.007280,2.841657,0.561562
17883,5.368882,-1.483163,4.447377,0.051458,2.759639,0.622450
17884,4.872737,-1.781780,4.135156,0.152310,2.658382,0.689934
17885,4.367590,-2.112086,3.971381,0.351304,2.544257,0.747475
17886,3.889236,-1.917438,3.987390,0.589612,2.424573,0.778673
17887,3.575831,-1.173275,4.168587,0.776452,2.329497,0.794228
17888,3.234329,-0.324414,4.167667,0.808196,2.255572,0.805292
17889,2.614913,0.128982,3.950755,0.702357,2.171777,0.813111
17890,1.801186,-0.202753,3.607176,0.559632,2.039930,0.828921
17891,1.271660,-0.905544,3.459743,0.557809,1.862016,0.818406
17892,1.004574,-1.320469,3.779726,0.745167,1.682515,0.788176
17893,0.774666,-1.235160,4.273554,1.007626,1.523890,0.744161
17894,0.544472,-0.413664,4.630608,1.224620,1.396669,0.682691
17895,0.186258,0.604376,4.747322,1.265915,1.279266,0.608791
17896,-0.213843,1.374134,4.810570,1.121628,1.159611,0.537667
17897,-0.638229,1.512312,4.887456,0.884242,1.017602,0.458143
17898,-0.886176,1.322055,5.181339,0.683544,0.873575,0.388302
17899,-0.846162,1.383331,6.010509,0.586621,0.741300,0.286405
17900,-0.766247,1.516054,5.719570,0.412743,0.655558,0.219633
17901,-1.168755,1.508770,6.130959,0.293025,0.542796,0.204487
17902,-1.213473,0.935955,6.422057,0.227833,0.427860,0.146479
17903,-1.058932,0.340009,6.520606,0.300776,0.324840,0.103305
17904,-1.105072,0.326987,6.684192,0.425643,0.229317,0.094808
17905,-1.241041,0.541411,7.061129,0.533454,0.144270,0.088022
17906,-1.181777,0.630086,7.410992,0.649382,0.081846,0.057521
17907,-1.080542,0.949133,7.889343,0.771059,0.042569,0.018766
17908,-1.000107,1.550500,8.235657,0.800855,0.010851,-0.004590
17909,-1.027976,2.105803,8.534348,0.750807,-0.001872,-0.025904
17910,-0.966065,2.415173,8.770000,0.635391,-0.018523,-0.052398
17911,-0.963748,2.429472,8.954522,0.507937,-0.036397,-0.063086
17912,-0.888260,2.527897,9.248045,0.391464,-0.049770,-0.073267
17913,-0.799458,2.649993,9.495409,0.266126,-0.056957,-0.082566
17914,-0.762539,2.680340,9.642917,0.108678,-0.056259,-0.090928
17915,-0.788543,2.879709,9.706268,-0.068634,-0.047148,-0.097283
17916,-0.870367,3.085866,9.816973,-0.303228,-0.037565,-0.116371
17917,-1.079105,3.426379,10.014628,-0.597210,-0.030035,-0.137487
17918,-1.083421,4.006984,10.350446,-1.036832,-0.021374,-0.158759
17919,-0.998577,5.172988,10.584293,-1.743302,-0.014702,-0.168207
17920,-0.967434,7.336683,10.977804,-2.975326,-0.018905,-0.126878
17921,-0.842743,9.926079,11.131565,-4.839065,0.024671,-0.068244
17922,-0.642175,12.104469,10.774239,-7.319034,0.129306,-0.066286
17923,-0.580688,13.725798,9.237740,-10.281252,0.260269,-0.083947
17924,-0.203203,14.531403,6.860324,-13.588817,0.453587,-0.135455
17925,0.463837,13.692982,3.366637,-16.866332,0.802981,-0.187121
17926,1.324810,10.771123,-1.202214,-19.794981,1.264022,-0.177846
17927,2.035981,6.376600,-6.579635,-21.948490,1.822457,-0.071615
17928,1.482085,1.127257,-12.616051,-23.007568,2.311989,0.134134
17929,-0.043676,-4.522973,-17.861780,-22.795985,2.486812,0.327117
17930,-1.783448,-11.448165,-20.407339,-21.248530,2.424060,0.409061
17931,-3.280021,-18.286750,-20.079719,-18.253063,2.059686,0.375108
17932,-4.202097,-23.327271,-18.068943,-14.302587,1.623558,0.317976
17933,-3.871356,-24.932831,-14.894408,-10.014319,1.179601,0.238747
17934,-3.369774,-23.667908,-11.771824,-5.952382,0.843524,0.140165
17935,-2.614621,-19.513320,-8.490534,-2.625131,0.625409,0.076476
17936,-1.799732,-12.547612,-5.756778,-0.675542,0.501505,0.083123
17937,-1.599282,-7.040885,-4.928952,-0.215619,0.412421,0.159246
17938,-1.859621,-5.867720,-5.148836,-0.541342,0.236491,0.199447
17939,-2.120280,-7.462413,-5.829404,-0.793825,0.074851,0.217898
17940,-2.106749,-9.426200,-6.361797,-0.647492,-0.046921,0.245051
17941,-2.068864,-10.477101,-6.679215,-0.184751,-0.116234,0.256629
17942,-1.763867,-10.078364,-6.352807,0.393467,-0.155834,0.236250
17943,-1.514683,-8.853875,-5.858941,0.776028,-0.140041,0.216470
17944,-1.356446,-7.907546,-5.217786,0.912606,-0.109774,0.192657
17945,-1.307180,-6.851111,-4.904525,0.835654,-0.046180,0.166451
17946,-1.412825,-6.554211,-4.771337,0.589080,0.006880,0.140948
17947,-1.627970,-7.138897,-4.993591,0.405479,0.043480,0.090490
17948,-1.907764,-7.859385,-5.128885,0.363758,0.059821,0.047595
17949,-1.938928,-8.473488,-5.279852,0.442314,0.049957,0.004799
17950,-1.970805,-8.914502,-5.413676,0.640368,0.035276,-0.029778
17951,-2.001221,-9.153070,-5.354192,0.892609,0.007880,-0.047823
17952,-1.969037,-9.178168,-5.405013,1.152143,-0.019159,-0.052799
17953,-2.036381,-9.533609,-5.734598,1.461612,-0.064730,-0.067272
17954,-2.073755,-10.304326,-6.309184,1.961405,-0.125823,-0.082032
17955,-2.537952,-11.940701,-7.473050,2.861345,-0.237953,-0.145596
17956,-3.044659,-14.664016,-8.607771,4.387576,-0.452024,-0.258614
17957,-3.744653,-17.746195,-11.242730,6.873105,-0.678935,-0.416384
17958,-4.901336,-22.073240,-13.675041,10.378750,-1.089409,-0.634425
17959,-4.250058,-25.178936,-16.627005,15.142118,-1.435827,-0.796866
17960,-2.689891,-23.267664,-20.819519,20.495214,-1.696074,-0.932964
17961,-1.131452,-15.430513,-25.596061,25.299725,-1.845111,-0.981288
17962,-0.321755,-5.345678,-28.701190,28.362655,-1.992413,-0.888996
17963,0.646018,3.356437,-26.607869,29.744628,-2.031717,-0.642792
17964,2.813250,11.788692,-22.631745,30.105823,-1.788603,-0.454252
17965,3.992445,20.084665,-16.208692,28.872591,-1.199284,-0.395849
17966,2.117319,30.258954,-5.970494,25.577980,-0.418549,-0.471233
17967,-1.475700,36.164269,4.826140,19.495675,0.116246,-0.496662
17968,-1.852186,32.146924,11.558601,12.450525,0.420457,-0.286598
17969,-0.142691,24.273624,14.524012,6.670967,0.530470,0.048083
17970,-1.031456,18.874443,13.213935,2.584805,0.609907,0.184139
17971,-1.914571,14.815418,11.585511,0.042530,0.557745,-0.013925
17972,-1.225389,9.760128,10.191542,-1.411075,0.479122,-0.155117
17973,-0.264257,3.778036,8.467570,-1.620003,0.426599,-0.179825
17974,-0.271866,0.846590,7.212158,-0.755419,0.323216,-0.174227
17975,-1.116537,2.282860,6.530485,0.257432,0.194399,-0.126252
17976,-1.482212,6.298388,6.833618,0.546850,0.075991,-0.120572
17977,-1.676324,8.371113,7.146705,0.004446,0.041487,-0.149114
17978,-1.517609,7.414650,7.145717,-0.684869,0.039733,-0.187401
17979,-1.304712,5.361583,6.936633,-1.114009,0.025163,-0.181146
17980,-0.921688,3.632022,7.012870,-1.040152,0.020639,-0.135248
17981,-0.609032,2.837919,6.895839,-0.648747,0.015264,-0.069095
17982,-0.670353,2.855363,6.728963,-0.114979,0.016736,-0.012064
17983,-0.781049,3.907947,6.896157,0.339628,0.010596,0.041628
17984,-1.009853,5.579452,7.160956,0.476187,0.012066,0.074758
17985,-1.156796,6.810079,7.460206,0.284293,0.013100,0.093346
17986,-1.373330,6.933618,7.751655,-0.087315,0.012673,0.085852
17987,-1.258655,6.271361,7.709959,-0.384171,0.008063,0.067954
17988,-1.240294,5.443625,7.607180,-0.481312,-0.012836,0.039126
17989,-1.150605,5.095226,7.514901,-0.427650,-0.047467,0.014762
17990,-1.120253,5.015904,7.482754,-0.315569,-0.077240,0.003536
17991,-1.044697,5.037409,7.512117,-0.218295,-0.117363,0.008967
17992,-0.969978,5.247789,7.687922,-0.161390,-0.145069,0.027961
17993,-0.892657,5.540777,7.760324,-0.177735,-0.163240,0.044852
17994,-0.909105,5.723049,7.769759,-0.257991,-0.161439,0.062639
17995,-1.023905,5.844298,7.745432,-0.398152,-0.156481,0.075882
17996,-1.057536,5.571164,7.617780,-0.532702,-0.158578,0.061135
17997,-0.973420,5.273784,7.519756,-0.628392,-0.164744,0.080752
17998,-1.020577,4.868937,7.236166,-0.642549,-0.189221,0.072647
17999,-0.989361,4.403869,7.243011,-0.526544,-0.219483,0.074590
18000,-0.842577,4.153171,7.202247,-0.362423,-0.248127,0.080380
18001,-0.840327,4.287637,7.132979,-0.197564,-0.272613,0.091662
18002,-0.765094,4.512046,7.192170,-0.112719,-0.304491,0.087265
18003,-0.672368,4.933318,7.178728,-0.148391,-0.325924,0.120770
18004,-0.652285,4.985936,7.017673,-0.304217,-0.351596,0.140900
18005,-0.707919,4.812167,6.884493,-0.479915,-0.386492,0.163958
18006,-0.681856,4.413759,6.765311,-0.605890,-0.425965,0.188139
18007,-0.489200,3.884411,6.533464,-0.642681,-0.471561,0.209133
18008,-0.496207,3.487147,6.402816,-0.554935,-0.514915,0.220909
18009,-0.396513,3.355217,6.340408,-0.427339,-0.576258,0.233145
