// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
19704,9.364027,-2.107656,1.526648,-0.000928,0.026509,-0.031740
19705,9.387310,-2.060007,1.507730,-0.002902,0.028488,-0.033715
19706,9.436451,-2.080785,1.485372,-0.005618,0.027423,-0.032231
19707,9.405421,-2.129023,1.403291,-0.006079,0.025526,-0.031311
19708,9.475868,-2.213273,1.411261,-0.005055,0.029647,-0.027410
19709,9.502974,-2.224743,1.384508,0.021124,0.021034,-0.034363
19710,9.472857,-2.171248,1.375296,0.034261,0.024381,-0.030988
19711,9.508978,-2.122184,1.428676,0.030337,0.018381,-0.025114
19712,9.491727,-2.115742,1.392486,0.016119,0.015578,-0.020386
19713,9.491092,-2.167717,1.420184,0.005267,0.016475,-0.016462
19714,9.526397,-2.221719,1.399870,0.000625,0.012586,-0.009151
19715,9.503547,-2.289641,1.373091,-0.002938,0.008082,-0.000047
19716,9.597245,-2.254939,1.381095,-0.008392,0.005898,0.012842
19717,9.614496,-2.308361,1.321092,-0.020368,0.002204,0.026915
19718,9.608975,-2.306866,1.354428,-0.042264,0.003189,0.043049
19719,9.567450,-2.376961,1.286755,-0.063971,-0.010126,0.062736
19720,9.589975,-2.561280,1.331817,-0.097372,-0.016051,0.084095
19721,9.607055,-2.790508,1.310774,-0.119779,-0.017494,0.115120
19722,9.556413,-2.947744,1.373931,-0.096022,-0.026410,0.146653
19723,9.607772,-2.838644,1.356433,-0.075853,-0.044964,0.179357
19724,9.764551,-2.752118,1.442904,-0.113009,-0.052023,0.224134
19725,9.879379,-2.736057,1.461079,-0.180887,-0.054850,0.287083
19726,9.950246,-2.821882,1.485581,-0.253402,-0.052450,0.345676
19727,9.976089,-3.009692,1.515312,-0.314545,-0.064894,0.414993
19728,9.920337,-3.289954,1.472235,-0.351698,-0.086085,0.491524
19729,9.979349,-3.591865,1.476325,-0.413503,-0.104743,0.578164
19730,10.039274,-3.945768,1.480597,-0.464997,-0.124131,0.674012
19731,10.117342,-4.325880,1.448294,-0.492668,-0.144323,0.773678
19732,10.116643,-4.682006,1.431962,-0.496192,-0.159605,0.876825
19733,10.089762,-4.961394,1.433307,-0.476164,-0.180947,0.975930
19734,10.007229,-5.154128,1.344309,-0.460482,-0.198669,1.078362
19735,9.871686,-5.211172,1.300575,-0.449730,-0.228667,1.183933
19736,9.800161,-5.390022,1.310654,-0.465647,-0.239768,1.296129
19737,9.677650,-5.555559,1.311590,-0.456944,-0.250360,1.406833
19738,9.536216,-5.742641,1.327544,-0.494497,-0.271123,1.514771
19739,9.686094,-6.084350,1.243431,-0.530317,-0.288370,1.634585
19740,9.782688,-6.316097,1.155289,-0.500204,-0.299463,1.727051
19741,9.846448,-6.494299,1.303829,-0.408351,-0.295032,1.800718
19742,9.703923,-6.658274,1.316066,-0.336234,-0.294578,1.861926
19743,9.490711,-7.016481,1.258788,-0.263072,-0.304042,1.950592
19744,9.256837,-7.438257,1.126847,-0.120975,-0.305983,2.012232
19745,9.019841,-7.582646,1.068603,0.063367,-0.323131,2.074576
19746,8.896087,-7.470139,0.934469,0.182040,-0.344701,2.133699
19747,8.768773,-7.395775,0.876245,0.190321,-0.347330,2.189620
19748,8.605768,-7.354887,0.904916,0.171449,-0.355622,2.252097
