// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
39200,9.812623,-1.713875,0.541634,-0.106692,-0.006938,0.037901
39201,9.882527,-1.644624,0.471871,-0.117955,-0.009151,0.040350
39202,9.895916,-1.630332,0.361957,-0.133133,-0.016537,0.045365
39203,10.004562,-1.544721,0.287249,-0.138622,-0.034739,0.044329
39204,10.022597,-1.493093,0.237427,-0.128890,-0.054113,0.037105
39205,9.825658,-1.521983,0.333391,-0.113134,-0.071589,0.038389
39206,9.714437,-1.571273,0.424144,-0.087116,-0.092444,0.033764
39207,9.694795,-1.617584,0.514820,-0.045701,-0.108485,0.031643
39208,9.655383,-1.674450,0.678819,0.001898,-0.116011,0.028410
39209,9.614550,-1.634806,0.760093,0.048162,-0.115394,0.021772
39210,9.633916,-1.630471,0.820917,0.074951,-0.107695,0.017432
39211,9.647603,-1.630524,0.792074,0.076853,-0.090647,0.018891
39212,9.620306,-1.570005,0.770470,0.048230,-0.076526,0.012847
39213,9.668905,-1.431452,0.773537,-0.011231,-0.055556,0.022482
39214,9.674027,-1.360872,0.659316,-0.089125,-0.039009,0.028669
39215,9.686862,-1.345299,0.547613,-0.182693,-0.028018,0.036582
39216,9.721306,-1.434140,0.531128,-0.259613,-0.017134,0.045344
39217,9.722577,-1.518016,0.522714,-0.337366,-0.002623,0.061322
39218,9.691915,-1.661671,0.577125,-0.409070,0.005794,0.080054
39219,9.734738,-1.907330,0.642292,-0.456769,0.016987,0.101321
39220,9.702059,-2.023769,0.667197,-0.473536,0.029911,0.115117
39221,9.693400,-2.061673,0.655017,-0.491317,0.034612,0.125820
39222,9.685607,-2.144718,0.610409,-0.501578,0.028532,0.131019
39223,9.718649,-2.299442,0.497237,-0.474478,0.009165,0.128259
39224,9.927013,-2.526257,0.691317,-0.418036,-0.020112,0.122899
39225,10.122765,-2.822141,0.956249,-0.330360,-0.040414,0.120730
39226,10.057071,-3.066463,1.086771,-0.203207,-0.055956,0.127972
39227,10.079025,-3.034011,1.068370,-0.058123,-0.061610,0.143670
39228,10.014298,-2.374290,1.141742,0.061414,-0.052627,0.150097
39229,9.890585,-1.501963,1.167640,0.049450,-0.042022,0.156806
39230,9.903801,-0.989268,1.014696,-0.162789,-0.050240,0.200503
39231,9.910187,-1.010788,0.489474,-0.471053,-0.046823,0.264764
39232,9.808161,-1.513190,-0.672919,-0.731501,-0.017643,0.324875
39233,9.530400,-2.091559,-1.262416,-0.833609,0.006008,0.388625
39234,9.434599,-2.268959,-0.680208,-0.907644,0.046725,0.442734
39235,9.311393,-2.328180,-0.159083,-1.017289,0.085383,0.472310
39236,9.249977,-2.582234,0.204442,-1.150616,0.097912,0.485839
39237,9.196875,-3.312828,0.506814,-1.184372,0.063845,0.475437
39238,9.402071,-4.388837,1.150790,-1.043075,0.012322,0.438162
39239,9.415786,-5.653172,1.079623,-0.597340,-0.032676,0.406242
39240,9.479301,-6.391821,0.430575,0.129794,-0.086038,0.386785
39241,9.542739,-5.865114,-0.148003,0.908214,-0.141729,0.364555
39242,9.796588,-4.375114,-0.407798,1.427539,-0.204464,0.347966
39243,10.057983,-3.083133,-0.282657,1.574425,-0.253871,0.380237
39244,10.229301,-2.108427,0.057801,1.413382,-0.261738,0.453856
39245,10.025749,-1.339237,0.049250,1.024345,-0.240765,0.534049
39246,9.775984,-1.130199,-0.418555,0.539383,-0.207179,0.612501
39247,9.818903,-1.508789,-0.530347,0.089029,-0.135979,0.704770
39248,9.575460,-1.824670,-0.322594,-0.319141,-0.043227,0.769090
39249,9.227026,-2.091873,-0.061499,-0.721208,0.025019,0.795316
39250,9.025859,-2.491880,0.079476,-1.042876,0.051267,0.789140
39251,8.832615,-3.204326,-0.119323,-1.182515,0.043633,0.751337
39252,8.775724,-4.233566,-0.265163,-1.073423,0.006740,0.671003
39253,9.089741,-5.333362,0.418230,-0.758641,-0.043062,0.606592
39254,9.287773,-5.982162,0.462158,-0.178140,-0.085300,0.550772
39255,9.249380,-5.554448,0.052897,0.479986,-0.129586,0.477802
39256,9.354219,-4.619408,-0.190138,0.980396,-0.183997,0.443367
39257,9.675825,-3.774699,-0.283339,1.222573,-0.246718,0.444063
39258,9.890483,-2.862824,-0.294685,1.209925,-0.278860,0.471556
39259,9.845698,-2.071274,-0.386133,0.996135,-0.290091,0.519289
39260,9.663512,-1.629806,-0.616971,0.644404,-0.294987,0.577477
39261,9.519243,-1.886130,-0.514884,0.240752,-0.250846,0.659581
39262,9.410292,-2.337279,0.013872,-0.149472,-0.171638,0.749625
39263,9.053962,-2.634225,0.677948,-0.548799,-0.070129,0.825109
39264,8.790661,-3.208409,1.314718,-0.908347,-0.005375,0.878518
39265,8.775992,-3.691800,1.522036,-1.194498,0.035796,0.909786
39266,8.529756,-4.146058,0.692843,-1.308513,0.028545,0.893063
39267,8.161916,-4.927649,-0.108827,-1.185671,-0.052576,0.833553
39268,8.349035,-6.259924,-0.215919,-0.822935,-0.145022,0.754459
39269,8.704731,-7.505418,-0.347726,-0.138865,-0.219683,0.681736
39270,9.234996,-7.356581,-0.539377,0.694882,-0.261282,0.621790
39271,9.575681,-6.282075,-0.694178,1.360647,-0.295693,0.588005
39272,9.944728,-4.883229,-0.453190,1.696636,-0.311229,0.564672
39273,10.017099,-3.609173,-0.290050,1.668007,-0.290280,0.581806
39274,9.525540,-2.553724,-0.667631,1.372484,-0.283630,0.610083
39275,9.137801,-2.287370,-0.764278,0.953361,-0.277662,0.673420
39276,9.045181,-2.419056,-0.356041,0.483014,-0.240270,0.731051
39277,8.908728,-2.809127,-0.092778,0.039370,-0.167122,0.778282
39278,8.595997,-3.547929,0.217295,-0.347931,-0.087354,0.796952
39279,8.447048,-4.282866,0.307625,-0.586323,-0.025803,0.802862
39280,8.278762,-4.759846,0.019481,-0.646779,0.013843,0.756093
39281,8.489703,-5.218818,-0.029012,-0.623388,0.006962,0.694332
39282,8.441296,-5.584724,0.103998,-0.505357,-0.008284,0.629970
39283,8.186402,-6.133195,-0.195363,-0.239256,-0.080833,0.549801
39284,8.169569,-6.806580,-0.698729,0.201648,-0.174366,0.490819
39285,8.488256,-6.650870,-0.847615,0.652449,-0.254640,0.455714
39286,8.656293,-5.900983,-0.658505,0.938426,-0.317676,0.444867
39287,8.929154,-5.239552,-0.414150,0.957349,-0.353059,0.492316
39288,9.065171,-4.744151,-0.355833,0.790427,-0.327425,0.563531
39289,8.828115,-4.519481,-0.759095,0.534772,-0.305823,0.647908
39290,8.804585,-4.750223,-0.622214,0.228725,-0.237005,0.752992
39291,8.716708,-4.932743,-0.281414,-0.120693,-0.158225,0.851062
39292,8.383696,-5.038767,0.074885,-0.494375,-0.086045,0.933890
39293,8.168682,-5.258045,0.471340,-0.863569,-0.042243,0.987564
39294,7.959475,-5.416417,0.316105,-1.164154,-0.026419,1.018897
39295,7.646456,-5.768416,-0.461306,-1.359620,-0.030258,1.006193
39296,7.630720,-6.324055,-0.790370,-1.464160,-0.069041,0.986392
39297,7.831793,-6.891921,-0.744174,-1.466156,-0.097236,0.962188
39298,7.850205,-7.216669,-0.694335,-1.381766,-0.131873,0.932731
39299,7.655643,-7.420254,-1.044042,-1.259906,-0.190463,0.915840
39300,7.504380,-7.679525,-1.528359,-1.149366,-0.285641,0.931097
