// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
31842,8.964622,-3.190220,2.756283,0.024077,-0.007977,-0.009057
31843,8.970201,-3.161253,2.777052,0.027187,-0.002867,-0.011148
31844,8.931041,-3.115748,2.787262,0.027909,-0.005819,-0.012001
31845,8.975225,-3.162267,2.754097,0.023115,-0.008354,-0.018261
31846,8.990569,-3.158548,2.806827,0.026238,-0.005287,-0.013430
31847,9.013504,-3.164835,2.812504,0.019855,-0.003686,-0.013750
31848,9.022389,-3.221057,2.800909,0.025929,-0.006777,-0.011883
31849,9.013876,-3.241885,2.804604,0.031046,-0.002765,-0.007181
31850,9.041668,-3.221004,2.831208,0.039435,-0.003435,-0.006997
31851,9.028419,-3.188990,2.823612,0.038734,-0.002527,0.000776
31852,9.055952,-3.168468,2.850560,0.039688,0.001909,-0.003885
31853,9.033632,-3.159069,2.846392,0.033870,-0.001195,-0.000811
31854,9.037449,-3.162888,2.824189,0.025307,0.011293,-0.005516
31855,9.034623,-3.124455,2.893522,0.025474,0.011015,-0.002830
31856,9.014681,-3.152644,2.822404,0.018919,0.012897,-0.005836
31857,8.997769,-3.164224,2.874649,0.016204,0.014906,-0.004861
31858,8.996239,-3.195707,2.832800,0.020681,0.017987,-0.003989
31859,9.018228,-3.202851,2.840547,0.022681,0.018923,-0.004122
31860,8.999287,-3.198661,2.814147,0.028361,0.020256,-0.002963
31861,8.990930,-3.187835,2.864137,0.024610,0.023735,0.000408
31862,9.020531,-3.205018,2.825186,0.037650,0.016345,-0.000936
31863,9.029313,-3.230082,2.860458,0.031264,0.025449,0.010760
31864,9.022636,-3.209466,2.807984,0.034789,0.026109,0.009359
31865,9.066258,-3.225774,2.822388,0.037120,0.026494,0.014600
31866,8.992791,-3.229204,2.789651,0.042092,0.030763,0.016595
31867,8.983504,-3.219605,2.840881,0.039065,0.031289,0.019115
31868,9.030081,-3.193773,2.796614,0.031316,0.032897,0.022738
31869,9.024453,-3.190125,2.824031,0.023084,0.033304,0.025230
31870,9.048985,-3.204831,2.809892,0.019336,0.038798,0.021653
31871,8.993467,-3.212435,2.806463,0.016950,0.042276,0.021058
31872,8.995604,-3.218985,2.787050,0.014152,0.038656,0.021610
31873,8.966484,-3.239796,2.765261,0.018883,0.037560,0.020506
31874,9.014562,-3.229723,2.800489,0.023131,0.035261,0.018273
31875,8.968323,-3.214309,2.793424,0.026666,0.035908,0.016874
31876,8.953402,-3.184604,2.788677,0.025637,0.037372,0.019259
31877,8.920364,-3.200048,2.790524,0.023800,0.036161,0.022073
31878,8.872848,-3.217887,2.739801,0.023740,0.040027,0.026714
31879,8.880216,-3.245011,2.776476,0.032546,0.034890,0.027638
31880,8.949264,-3.228037,2.737880,0.041906,0.027075,0.025047
31881,9.014630,-3.253651,2.758530,0.045607,0.027441,0.026335
31882,9.031181,-3.209766,2.755805,0.048667,0.026873,0.023806
31883,8.980948,-3.189218,2.772153,0.038364,0.032263,0.024118
31884,8.962057,-3.154506,2.790700,0.028124,0.033782,0.019790
31885,8.929246,-3.169769,2.791870,0.020317,0.025935,0.018361
31886,8.909593,-3.168136,2.765650,0.003268,0.031517,0.019893
31887,8.925378,-3.205662,2.753922,-0.000746,0.029665,0.020153
31888,8.870326,-3.213481,2.748339,-0.000852,0.024049,0.019761
31889,8.895372,-3.276441,2.768644,0.004852,0.025341,0.020925
31890,8.875870,-3.274948,2.741804,0.013491,0.020469,0.019185
31891,8.902076,-3.256783,2.769754,0.026680,0.012758,0.020609
31892,8.919336,-3.260696,2.800906,0.029246,0.010999,0.016966
31893,8.910306,-3.203376,2.813828,0.029074,0.009256,0.021210
31894,8.913428,-3.209549,2.792270,0.025349,0.014755,0.017608
31895,8.953127,-3.173779,2.792921,0.016172,0.008948,0.013197
31896,8.952495,-3.174536,2.794087,0.010469,0.007657,0.012030
31897,8.911354,-3.211944,2.796132,-0.000821,0.010686,0.010082
31898,8.951191,-3.224127,2.831885,-0.002833,0.009767,0.010213
31899,8.967917,-3.260749,2.818145,-0.003965,0.007641,0.005277
31900,8.963492,-3.208344,2.806368,-0.001463,0.009755,0.006270
31901,8.873942,-3.223648,2.820220,-0.000915,0.007082,0.002764
31902,8.873655,-3.223991,2.820731,-0.006131,0.006991,0.002722
31903,8.931294,-3.223450,2.805484,-0.001679,0.000548,-0.001430
31904,8.931046,-3.271331,2.841760,0.003968,0.005705,0.004367
31905,8.949143,-3.226597,2.835545,0.006039,0.002753,-0.000394
31906,8.962297,-3.209230,2.809171,0.004849,0.004498,-0.000700
31907,8.930779,-3.223223,2.807381,0.001646,0.005326,-0.000874
31908,8.944865,-3.173103,2.824570,-0.002046,0.004956,-0.002173
31909,8.957829,-3.203742,2.834137,-0.007476,0.009005,-0.000272
31910,8.979848,-3.212231,2.840333,-0.012691,0.008913,-0.000315
31911,8.926896,-3.185594,2.876274,-0.016047,0.010009,-0.003177
31912,8.934806,-3.244095,2.865467,-0.018393,0.007623,-0.001486
31913,8.942891,-3.254785,2.818587,-0.013665,0.006516,-0.002567
31914,8.920578,-3.246555,2.813031,-0.010615,0.005959,-0.005079
31915,8.933765,-3.276790,2.822349,-0.001162,0.003751,-0.007239
31916,8.939081,-3.248262,2.842642,0.003625,-0.001221,-0.012951
31917,8.939570,-3.246997,2.842551,0.010885,-0.006083,-0.010734
31918,8.945185,-3.217824,2.862602,0.015796,-0.005453,-0.016063
31919,8.972261,-3.229316,2.844827,0.009239,-0.003536,-0.019101
31920,8.968915,-3.222158,2.868111,0.009609,-0.007945,-0.018360
31921,8.956656,-3.189433,2.858608,0.001221,-0.005214,-0.025516
31922,8.965784,-3.245318,2.847142,0.001223,-0.005217,-0.025518
31923,8.931279,-3.251880,2.867950,0.004764,-0.004580,-0.026907
31924,8.958655,-3.262667,2.850065,0.008792,-0.002745,-0.027171
31925,8.920184,-3.263315,2.894770,0.019144,-0.006166,-0.034408
31926,8.917371,-3.206778,2.882276,0.013934,-0.006269,-0.034455
31927,8.936032,-3.239046,2.867669,0.019530,-0.010586,-0.033673
31928,8.933154,-3.230323,2.891260,0.012864,0.001065,-0.034387
31929,8.956586,-3.235051,2.897279,0.008360,-0.001982,-0.035251
31930,8.948601,-3.254352,2.900848,0.003074,0.001793,-0.030662
31931,8.985007,-3.242411,2.879998,0.000207,0.004073,-0.032402
31932,8.971930,-3.289605,2.863786,-0.000498,0.007011,-0.031586
31933,8.955241,-3.251307,2.878859,-0.005789,0.010786,-0.026996
31934,8.960047,-3.302103,2.892086,-0.001236,0.007959,-0.023827
31935,8.964706,-3.305184,2.869401,-0.000416,0.010619,-0.024267
31936,8.942865,-3.294887,2.864745,0.000404,0.013279,-0.024708
31937,8.911930,-3.307125,2.863613,0.005439,0.011657,-0.020412
31938,8.943593,-3.290841,2.867123,0.008312,0.009374,-0.018674
31939,8.943847,-3.289023,2.868416,0.008084,0.013515,-0.016730
31940,8.917480,-3.274194,2.887615,0.006704,0.013532,-0.012783
31941,8.934973,-3.308559,2.874743,0.003834,0.015809,-0.014525
31942,8.930581,-3.254319,2.863924,0.000399,0.020766,-0.012758
31943,8.952552,-3.261604,2.871633,-0.001549,0.023466,-0.005302
31944,8.933969,-3.258301,2.844288,-0.008922,0.022694,-0.007909
31945,8.946822,-3.288599,2.855126,-0.013511,0.023527,-0.004140
31946,8.955143,-3.266489,2.853481,-0.022016,0.028115,0.000267
31947,8.918258,-3.309188,2.832621,-0.022829,0.025448,0.000703
31948,8.943853,-3.275478,2.780522,-0.020669,0.026105,0.003262
31949,8.951551,-3.334541,2.771063,-0.016605,0.022088,0.005312
31950,8.933251,-3.299692,2.786933,-0.011386,0.022193,0.005361
31951,8.941937,-3.245537,2.828772,-0.017504,0.023298,0.010381
31952,8.918598,-3.239100,2.824383,-0.025775,0.023738,0.012836
31953,8.904152,-3.210631,2.816566,-0.033223,0.026834,0.014851
31954,8.902837,-3.213087,2.817924,-0.035792,0.028574,0.018481
31955,8.923229,-3.256559,2.781332,-0.035073,0.025628,0.017657
31956,8.908139,-3.261341,2.729649,-0.032203,0.023344,0.019399
