// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
30280,9.113547,-2.441750,3.073079,-0.002164,0.011987,-0.011810
30281,9.113186,-2.431979,3.040803,0.003418,0.013287,-0.013941
30282,9.137566,-2.460725,3.087443,0.001970,0.009714,-0.015260
30283,9.122265,-2.405756,3.066673,0.005897,0.010425,-0.013422
30284,9.106256,-2.422453,3.116736,0.002280,0.011351,-0.013609
30285,9.170150,-2.437651,3.059596,0.002280,0.011351,-0.013610
30286,9.146275,-2.423456,3.082058,0.003415,0.011412,-0.010707
30287,9.153774,-2.444732,3.077315,0.004502,0.010098,-0.012891
30288,9.144999,-2.475549,3.088047,0.008427,0.008940,-0.007816
30289,9.177748,-2.463893,3.091699,0.014578,0.012143,-0.011730
30290,9.153548,-2.441008,3.080940,0.013181,0.009946,-0.007961
30291,9.121996,-2.404429,3.109421,0.014884,0.011911,-0.006843
30292,9.112154,-2.409906,3.020434,0.014413,0.016504,-0.001358
30293,9.102968,-2.441306,3.031974,0.016635,0.015252,-0.000637
30294,9.151742,-2.420660,3.020512,0.019637,0.011046,-0.003750
30295,9.217384,-2.407386,3.060362,0.022995,0.011727,-0.003363
30296,9.193247,-2.393308,3.083351,0.017984,0.014194,-0.006259
30297,9.185523,-2.369473,3.090650,0.010655,0.011416,-0.013574
30298,9.143829,-2.410617,3.099336,0.007649,0.013754,-0.007226
30299,9.070265,-2.399328,3.068029,0.008124,0.009157,-0.012709
30300,9.134444,-2.423187,3.044606,0.013488,0.011578,-0.006314
30301,9.126630,-2.399879,3.051741,0.013225,0.011319,-0.002878
30302,9.101989,-2.369357,3.007458,0.010740,0.012310,-0.000165
30303,9.092901,-2.400879,3.018648,0.013532,0.012958,-0.001228
30304,9.142052,-2.397365,3.074176,0.013842,0.016464,-0.002818
30305,9.141203,-2.379657,3.009112,0.015237,0.016788,-0.003351
30306,9.141112,-2.387017,3.044357,0.012101,0.014978,-0.012263
30307,9.124693,-2.394966,3.061381,0.012621,0.011762,-0.012657
30308,9.173566,-2.365031,3.016237,0.012621,0.011761,-0.012657
30309,9.157244,-2.372883,3.033041,0.012316,0.010119,-0.014307
30310,9.140740,-2.372312,3.016310,0.013447,0.010186,-0.011402
30311,9.155749,-2.407384,2.972521,0.008128,0.009144,-0.012714
30312,9.172304,-2.405052,2.991389,0.005597,0.006887,-0.011847
30313,9.181326,-2.388846,3.049654,0.010698,0.012785,-0.008495
30314,9.124172,-2.368225,3.002566,0.009780,0.005996,-0.010201
30315,9.100255,-2.354012,3.024705,0.009258,0.009210,-0.009809
30316,9.107915,-2.375405,3.019702,0.003892,0.003056,-0.009725
30317,9.124360,-2.364798,3.004696,0.005858,0.005277,-0.012045
30318,9.132355,-2.394366,3.032931,0.005815,0.002027,-0.013889
30319,9.157829,-2.359888,3.041401,0.007472,0.000743,-0.014617
30320,9.133014,-2.391277,3.033384,0.003550,0.000023,-0.016460
30321,9.133508,-2.389331,3.033430,0.004342,-0.001077,-0.023531
30322,9.142777,-2.355017,3.023680,0.013540,-0.002562,-0.022221
30323,9.134709,-2.384802,3.033377,0.005165,-0.004512,-0.019033
30324,9.119970,-2.338020,3.044567,0.001285,-0.001984,-0.019032
30325,9.135598,-2.372787,2.999455,-0.002072,-0.002671,-0.019422
30326,9.136534,-2.388081,3.065997,-0.004036,-0.004894,-0.017102
30327,9.160961,-2.399703,3.044418,-0.006219,-0.000398,-0.015984
30328,9.137407,-2.385365,3.065511,-0.003428,0.000253,-0.017047
30329,9.129131,-2.407360,3.041380,-0.004075,-0.008146,-0.018948
30330,9.146050,-2.396018,3.025431,0.003509,-0.001371,-0.021551
30331,9.146955,-2.402303,3.058507,0.000639,-0.008525,-0.024177
30332,9.163796,-2.382117,3.008965,0.003469,-0.004624,-0.023397
30333,9.124317,-2.376431,3.045165,-0.005770,-0.006403,-0.026551
30334,9.124045,-2.420264,3.014929,-0.004112,-0.009545,-0.024037
30335,9.141370,-2.417048,3.032098,0.000375,-0.006922,-0.023985
30336,9.109220,-2.416945,2.995438,0.002298,-0.009811,-0.024909
30337,9.102511,-2.391969,3.000158,0.005315,-0.014018,-0.028015
30338,9.127760,-2.410740,3.011312,0.008407,-0.013581,-0.024189
30339,9.128762,-2.408278,3.010245,0.010632,-0.014825,-0.023465
30340,9.097179,-2.416238,3.006414,0.009992,-0.021370,-0.028609
30341,9.007139,-2.513650,2.961790,0.014336,-0.035474,-0.029454
30342,8.898325,-2.758263,2.843224,0.036715,-0.062520,-0.029791
30343,8.667160,-3.209140,2.850073,0.120540,-0.116755,-0.029204
30344,8.217547,-3.851008,3.006466,0.258361,-0.199010,-0.013152
30345,7.898092,-4.559792,3.520989,0.486344,-0.323842,0.021414
30346,7.947125,-4.635037,4.594981,0.690791,-0.454429,0.086381
30347,8.242062,-3.869246,5.747718,0.778230,-0.521742,0.189511
30348,9.006763,-3.495268,6.888270,0.748603,-0.535091,0.267170
30349,9.965760,-4.130946,7.759641,0.631593,-0.408019,0.348664
30350,10.438689,-4.979416,8.408354,0.597421,-0.168744,0.419417
30351,9.982241,-5.226692,8.237822,0.669274,0.052493,0.463511
30352,9.751141,-5.292487,7.734265,0.769802,0.221907,0.498029
30353,9.694999,-5.571473,7.295260,0.859533,0.377664,0.547550
30354,9.842125,-6.143629,7.245948,0.955295,0.519652,0.608431
30355,10.048820,-6.629798,7.753415,1.083422,0.690179,0.702756
30356,10.283986,-6.879645,8.249075,1.203220,0.869792,0.832857
30357,10.698166,-6.846727,8.649647,1.288150,1.064414,0.980803
30358,11.076344,-6.573595,8.891825,1.321759,1.273555,1.137615
30359,11.238787,-6.221583,8.923700,1.281997,1.483013,1.307806
30360,11.063634,-5.982373,9.000055,1.199908,1.673923,1.465429
30361,10.933475,-5.909329,9.143016,1.094865,1.833332,1.617849
30362,10.938486,-6.204351,9.333544,1.014952,1.972528,1.749223
30363,11.170401,-6.650362,9.638154,0.999524,2.119763,1.888515
30364,11.402167,-6.802548,9.552863,1.026580,2.258021,2.010589
30365,11.591241,-6.864119,9.242712,1.039692,2.391554,2.136728
30366,11.658101,-7.128483,8.797644,1.046679,2.511785,2.264494
30367,11.573665,-7.642733,8.384009,1.103260,2.603283,2.396675
30368,11.559403,-8.025926,8.144309,1.229434,2.670432,2.519442
30369,11.587243,-8.152422,8.091781,1.417593,2.731793,2.633482
