// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
55788,9.739680,-0.453376,1.471377,0.066879,0.002710,-0.012064
55789,9.764218,-0.417692,1.417153,0.044484,0.012153,-0.017540
55790,9.801500,-0.537606,1.340640,0.060250,0.033819,-0.020053
55791,9.838216,-0.588465,1.265657,0.071189,0.070728,-0.015860
55792,9.857496,-0.622318,1.197703,0.051629,0.117429,-0.017632
55793,9.805787,-0.740357,1.222581,0.031729,0.128270,-0.028106
55794,9.766265,-0.772080,1.217757,0.043750,0.109873,-0.031713
55795,9.785915,-0.804336,1.151102,0.104855,0.099361,-0.034144
55796,9.716813,-0.730589,1.172380,0.147503,0.094471,-0.032851
55797,9.689956,-0.551753,1.231688,0.158036,0.085476,-0.030880
55798,9.702182,-0.510379,1.311139,0.145807,0.071999,-0.026725
55799,9.778424,-0.450192,1.451419,0.126243,0.061952,-0.015112
55800,9.798766,-0.428986,1.478905,0.124975,0.072442,-0.012009
55801,9.750731,-0.373233,1.518776,0.114242,0.087108,-0.016550
55802,9.716033,-0.383939,1.633115,0.084134,0.079567,-0.017130
55803,9.693502,-0.365468,1.618622,0.028255,0.061362,-0.006840
55804,9.714278,-0.471543,1.549685,-0.022867,0.053976,0.007126
55805,9.710070,-0.611072,1.535131,-0.015738,0.044241,0.000049
55806,9.658743,-0.662382,1.550448,0.039291,0.045247,-0.005647
55807,9.674575,-0.574653,1.548821,0.067237,0.039512,-0.007590
55808,9.741731,-0.538522,1.539919,0.053012,0.044624,-0.006710
55809,9.736994,-0.572580,1.522071,0.050969,0.050606,-0.004519
55810,9.804251,-0.571012,1.515397,0.066437,0.052108,-0.009342
55811,9.756770,-0.585440,1.555048,0.070721,0.062212,-0.007880
55812,9.717771,-0.584262,1.542639,0.047171,0.046596,-0.016855
55813,9.683550,-0.589779,1.354825,0.030461,0.039840,-0.015155
55814,9.678939,-0.588358,1.334797,0.074410,0.036450,-0.019579
55815,9.762240,-0.443101,1.418435,0.101250,0.054044,-0.023811
55816,9.693166,-0.357398,1.333694,0.040487,0.063705,-0.027814
55817,9.608317,-0.428174,1.257876,-0.012013,0.053500,-0.016143
55818,9.659167,-0.574827,1.457717,-0.000163,0.032768,0.005199
55819,9.806701,-0.716286,1.814281,0.020870,0.053734,0.029352
55820,9.714448,-0.660836,2.008183,0.019710,0.092877,0.048345
55821,9.706605,-0.542436,2.087723,-0.012803,0.101972,0.064394
55822,9.784272,-0.512213,2.156365,-0.028991,0.094784,0.075423
55823,9.953550,-0.524590,2.459667,0.047752,0.107257,0.092432
55824,10.291619,-0.822178,3.368078,0.139798,0.117710,0.121387
55825,10.661598,-1.672820,3.971636,0.002982,0.071940,0.176327
55826,10.483080,-2.781058,3.604689,-0.080250,0.012815,0.191680
55827,10.123091,-3.353363,2.231069,0.376863,-0.009612,0.121898
55828,10.059448,-2.704292,0.898980,1.216706,0.052313,0.016505
55829,9.826642,-1.141457,0.262425,1.740024,0.103858,-0.070428
55830,9.433580,0.051604,-0.512710,1.634948,0.083751,-0.091278
55831,9.326742,0.403871,-0.772243,1.065925,0.058819,0.020629
55832,9.142499,0.114060,-0.909040,0.557383,0.074729,0.166414
55833,9.078534,0.043992,-0.536781,0.581515,0.117921,0.245528
55834,9.286347,0.474334,0.711453,0.854975,0.237131,0.272425
55835,9.660795,1.105600,2.589388,0.980221,0.431763,0.288503
55836,9.614015,1.611180,4.483922,0.606234,0.557058,0.313499
55837,9.426291,1.684985,5.516592,-0.474792,0.509613,0.338626
