// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
23642,9.747067,-1.175531,0.795660,0.060675,-0.026322,0.006330
23643,9.747165,-1.175789,0.794084,0.054808,-0.019944,0.008381
23644,9.790624,-1.201267,0.814402,0.051249,-0.016466,0.005578
23645,9.771831,-1.197480,0.828567,0.051527,-0.013352,0.007287
23646,9.781194,-1.223153,0.806918,0.056965,-0.009810,0.002711
23647,9.756650,-1.201814,0.770389,0.052436,-0.004447,0.002941
23648,9.747283,-1.176238,0.791967,0.053473,0.000394,0.007085
23649,9.756710,-1.154915,0.798676,0.039778,0.000321,0.006890
23650,9.763215,-1.148483,0.765852,0.035560,-0.000182,0.001158
23651,9.750874,-1.137994,0.748246,0.024500,0.006696,0.004997
23652,9.753722,-1.123212,0.788536,0.008579,0.008187,0.004673
23653,9.762897,-1.149403,0.768513,-0.003243,0.013342,0.006076
23654,9.746620,-1.178192,0.797200,-0.018148,0.020585,0.005400
23655,9.796176,-1.244723,0.759974,-0.018904,0.018857,0.002963
23656,9.770556,-1.247577,0.810123,-0.016160,0.024444,0.002016
23657,9.774041,-1.256169,0.739604,-0.012609,0.022766,-0.004160
23658,9.776781,-1.240909,0.781544,-0.012664,0.032658,-0.000985
23659,9.764304,-1.230279,0.766192,-0.010826,0.030237,-0.002073
23660,9.727377,-1.198308,0.714184,-0.009964,0.030606,-0.004617
23661,9.727212,-1.197977,0.716990,-0.015516,0.030224,-0.004047
23662,9.708178,-1.193669,0.734618,-0.027487,0.029994,-0.004855
23663,9.729784,-1.182158,0.761415,-0.028509,0.025147,-0.009002
23664,9.710688,-1.224853,0.751338,-0.034275,0.029276,-0.007454
23665,9.679485,-1.209555,0.750366,-0.040204,0.028934,-0.012598
23666,9.710547,-1.223111,0.755987,-0.037124,0.027748,-0.015010
23667,9.703795,-1.275627,0.764123,-0.034530,0.027958,-0.018150
23668,9.725470,-1.310185,0.763557,-0.031937,0.028169,-0.021289
23669,9.725605,-1.307819,0.765894,-0.014198,0.026094,-0.030998
23670,9.716386,-1.326273,0.762053,-0.006430,0.025832,-0.035919
23671,9.704453,-1.312236,0.746225,0.001715,0.025525,-0.035128
23672,9.704801,-1.308349,0.748522,0.008468,0.020426,-0.044200
23673,9.724223,-1.307606,0.735325,0.004609,0.013154,-0.051421
23674,9.734223,-1.280868,0.742855,0.004243,0.012287,-0.052644
23675,9.791585,-1.287624,0.699362,0.003388,0.011906,-0.050103
23676,9.844902,-1.286201,0.728439,0.000431,0.010821,-0.048189
23677,9.814330,-1.266872,0.725630,-0.007248,0.002086,-0.050953
23678,9.836558,-1.250981,0.749984,-0.015156,-0.003045,-0.048243
23679,9.787095,-1.227946,0.760737,-0.017018,-0.008268,-0.049856
23680,9.763210,-1.202501,0.723473,-0.030791,0.000591,-0.042412
23681,9.726102,-1.238198,0.725178,-0.024406,-0.008076,-0.039231
23682,9.660456,-1.244917,0.762509,-0.020095,-0.009821,-0.033978
23683,9.670580,-1.267303,0.740014,-0.015662,-0.012915,-0.033710
23684,9.658536,-1.206380,0.747789,-0.016145,-0.011526,-0.034439
23685,9.664960,-1.267501,0.770588,-0.011450,-0.010595,-0.036950
23686,9.665503,-1.263925,0.769650,-0.004776,-0.006696,-0.038340
23687,9.694615,-1.289648,0.732841,0.010259,-0.008484,-0.035430
23688,9.728988,-1.285378,0.775257,0.022481,-0.004175,-0.037382
23689,9.760343,-1.248644,0.806136,0.037779,-0.001936,-0.037253
23690,9.764473,-1.205625,0.761206,0.034344,-0.000736,-0.040559
23691,9.845991,-1.186566,0.780713,0.032257,-0.001455,-0.041188
23692,9.837225,-1.203957,0.774861,0.023517,0.002453,-0.042219
23693,9.878698,-1.239302,0.757474,0.018964,0.000154,-0.044694
23694,9.829013,-1.216933,0.769168,0.015136,-0.001312,-0.040234
23695,9.854630,-1.162574,0.748373,0.010092,-0.002222,-0.043438
23696,9.808571,-1.219385,0.744544,0.003700,-0.001220,-0.049321
23697,9.815766,-1.208405,0.710904,0.005647,-0.008576,-0.037416
23698,9.805953,-1.265564,0.551180,0.002901,-0.033037,-0.023894
23699,9.683259,-1.277366,0.393747,0.025841,-0.063766,-0.016513
23700,9.642096,-1.069399,0.400820,0.035810,-0.109116,-0.036992
23701,9.684269,-0.852389,0.546920,0.028086,-0.148037,-0.070225
23702,9.967407,-0.562833,1.056669,-0.013485,-0.136912,-0.111555
23703,10.340223,-0.516304,2.022167,-0.084778,-0.043305,-0.162881
23704,10.441251,-0.755637,2.691907,-0.086322,0.118863,-0.243385
23705,10.732036,-1.318263,2.828926,0.071207,0.281540,-0.325897
23706,10.406600,-1.675704,2.441284,0.337664,0.488043,-0.389675
23707,10.248577,-1.947164,1.941403,0.663953,0.543109,-0.412299
23708,10.356220,-1.801533,1.731582,0.970967,0.582267,-0.406246
23709,10.311975,-1.174744,1.369477,1.122445,0.647171,-0.444603
23710,9.901960,-0.852960,0.833708,1.073373,0.703828,-0.511427
23711,9.083204,-0.510952,0.127355,1.002758,0.665246,-0.546994
23712,8.647684,0.010135,-0.684125,0.890642,0.516850,-0.537858
23713,8.304537,0.621733,-1.683694,0.603317,0.300667,-0.488073
23714,8.012356,0.595289,-2.376763,0.163358,-0.007353,-0.396990
23715,8.375708,-0.062751,-2.367572,-0.310202,-0.298852,-0.281385
23716,9.143884,-1.068260,-1.591882,-0.666368,-0.456970,-0.128612
23717,9.375021,-2.022698,-0.563556,-0.844208,-0.493474,0.013423
23718,9.229244,-2.669777,0.379656,-0.826799,-0.505819,0.113757
23719,9.075755,-3.065753,0.983946,-0.612682,-0.535781,0.185473
23720,9.450997,-3.138042,1.847148,-0.302255,-0.591853,0.248113
23721,10.268585,-2.896892,2.932205,-0.068451,-0.516400,0.309766
23722,10.807517,-2.650709,3.657238,0.132484,-0.259972,0.361164
23723,11.062756,-2.423444,3.733879,0.410277,0.082007,0.385209
23724,10.920328,-2.247428,3.477545,0.718981,0.370172,0.400388
23725,10.699010,-2.006175,2.883405,0.955476,0.487875,0.418985
23726,10.576026,-1.387483,2.101578,1.060230,0.497992,0.399185
23727,10.607491,-0.788187,1.585595,1.022242,0.493166,0.343163
23728,10.381960,-0.449862,1.110408,0.908267,0.536648,0.274132
23729,9.829899,-0.216257,0.452127,0.826704,0.553632,0.219379
23730,9.265163,0.008531,-0.420822,0.719043,0.473186,0.160716
23731,8.749238,-0.118255,-1.394482,0.618401,0.263572,0.109351
23732,8.570918,-0.051567,-1.454445,0.476412,-0.036004,0.077926
23733,8.671605,0.264726,-1.003454,0.205363,-0.277111,0.040368
23734,8.855672,0.442592,-0.526836,-0.083896,-0.379111,0.014656
23735,8.927836,0.292585,-0.183717,-0.313393,-0.393260,-0.001921
23736,9.009426,-0.211415,0.034429,-0.433014,-0.433487,0.015645
23737,9.192809,-0.886739,0.780759,-0.519891,-0.495243,0.056235
23738,9.962059,-1.488752,2.233541,-0.621235,-0.517891,0.125709
23739,10.923266,-1.871580,3.797943,-0.743065,-0.341148,0.230814
23740,11.467658,-2.043809,4.702872,-0.783608,0.050626,0.294207
23741,11.477577,-2.643132,4.513552,-0.574029,0.449117,0.332358
23742,11.080678,-3.825114,3.613255,-0.169313,0.698149,0.412632
23743,10.459549,-4.585196,2.510135,0.293805,0.774063,0.505222
23744,9.865886,-4.883167,1.503404,0.806819,0.682838,0.571467
23745,9.637609,-4.694466,0.644461,1.258691,0.494893,0.621251
23746,9.461999,-4.068270,-0.041042,1.589002,0.337849,0.655956
23747,9.228583,-3.183984,-0.797996,1.781007,0.259630,0.680687
23748,8.845975,-2.380351,-1.494579,1.836684,0.145759,0.693561
23749,8.521200,-1.830993,-1.912566,1.741989,-0.064035,0.717315
23750,8.408818,-1.335029,-1.946297,1.501658,-0.297160,0.753348
23751,8.575210,-0.699192,-1.503606,1.202974,-0.487063,0.777253
23752,8.994244,-0.228907,-0.500717,0.849180,-0.585627,0.817340
23753,9.425833,-0.045567,0.471129,0.413944,-0.547023,0.869449
23754,9.667998,-0.170134,1.065821,-0.004151,-0.444302,0.917268
23755,9.728761,-0.548026,1.736196,-0.313819,-0.369633,0.926151
23756,10.013980,-0.946385,3.042129,-0.520274,-0.339768,0.900004
23757,11.031088,-1.155767,4.736078,-0.739722,-0.200930,0.865437
23758,11.887283,-1.457845,5.569822,-0.938196,0.178767,0.809913
23759,11.807561,-2.393592,4.941523,-0.901173,0.645396,0.750393
23760,10.643551,-3.946706,3.304622,-0.448185,0.952537,0.703342
23761,9.253121,-5.346989,1.691784,0.371845,0.903059,0.695171
23762,8.631045,-5.725823,0.576543,1.200991,0.566761,0.723903
23763,8.614997,-5.123063,-0.150407,1.720271,0.240138,0.746950
23764,8.845448,-3.933046,-0.741474,2.031395,0.064973,0.722633
23765,8.961454,-2.715468,-1.099574,2.192050,-0.027502,0.669706
23766,8.897074,-1.851128,-1.090759,2.134495,-0.123635,0.643150
23767,8.545369,-1.063037,-1.019864,1.836569,-0.252363,0.630781
23768,8.415955,-0.372610,-0.818357,1.418646,-0.405553,0.617379
23769,8.506222,0.160906,-0.070373,0.877145,-0.490508,0.628080
23770,8.966418,0.418354,1.025068,0.270624,-0.492042,0.646692
23771,9.365590,0.396278,1.681945,-0.328320,-0.350967,0.648118
23772,9.392483,-0.036844,2.236257,-0.728575,-0.185241,0.597045
23773,9.910634,-0.674490,3.596414,-1.020146,-0.099964,0.540141
23774,11.055383,-1.229236,5.261132,-1.357463,0.112894,0.492371
23775,11.722160,-2.024987,5.758531,-1.576585,0.498673,0.434886
23776,11.246346,-4.002621,4.790760,-1.422478,0.879077,0.397044
23777,9.703420,-6.372655,2.861711,-0.776903,0.960896,0.396160
23778,8.646958,-7.735700,1.051589,0.116116,0.657693,0.402789
23779,8.251892,-7.744711,-0.379313,0.800888,0.276657,0.420307
23780,7.999855,-6.943494,-1.366254,1.249843,-0.011488,0.414115
23781,8.100181,-5.669996,-1.855190,1.564709,-0.248549,0.415689
23782,8.264171,-4.219829,-1.699927,1.632915,-0.383421,0.446008
23783,8.129949,-3.002186,-1.409318,1.458442,-0.446699,0.481460
23784,8.098165,-2.088456,-0.640987,1.200273,-0.532799,0.506400
23785,8.607811,-1.211058,0.873832,0.740177,-0.584046,0.586270
23786,9.333999,-0.599287,2.280227,0.086689,-0.468017,0.684213
23787,9.384058,-0.691676,2.996695,-0.417885,-0.267823,0.707955
23788,9.482434,-1.053536,3.925511,-0.703232,-0.145618,0.656998
23789,10.328250,-1.533386,5.220213,-1.033914,0.027338,0.603757
23790,10.909895,-2.571099,5.270479,-1.288066,0.355197,0.558937
23791,10.382140,-4.494968,3.925828,-1.152379,0.700594,0.530738
23792,8.817889,-6.484545,1.980454,-0.551036,0.764255,0.523374
23793,7.659522,-7.408941,0.454448,0.152597,0.449597,0.498315
23794,7.655985,-7.590180,-0.381873,0.609998,0.067957,0.474491
23795,7.885733,-6.942099,-0.730422,0.950884,-0.122254,0.449522
23796,7.877960,-5.944558,-0.875091,1.247874,-0.191230,0.449904
23797,7.675817,-4.850605,-0.778738,1.405022,-0.272526,0.495829
23798,7.487133,-3.760002,-0.499816,1.335790,-0.419492,0.534399
23799,7.863420,-2.810606,0.231531,1.054327,-0.573844,0.558413
23800,8.760240,-1.787478,1.592293,0.469416,-0.574683,0.604752
23801,9.105589,-1.398817,2.355188,-0.218964,-0.402131,0.642387
23802,8.785987,-1.704465,2.343549,-0.673606,-0.251724,0.614022
23803,8.520924,-2.274405,2.993131,-0.987044,-0.236295,0.536238
23804,9.298625,-2.951796,4.046740,-1.364604,-0.209557,0.493982
23805,9.906458,-3.868439,4.177129,-1.642505,0.044913,0.488736
23806,9.456316,-5.791763,3.208150,-1.492117,0.331878,0.506983
23807,8.516841,-7.936193,1.999249,-0.839629,0.404167,0.608006
23808,7.714629,-8.888021,1.147673,-0.062057,0.216895,0.726978
23809,7.688159,-8.645136,0.209651,0.573578,-0.043175,0.751615
