// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
53080,9.636988,-2.343501,1.147057,0.005298,0.016542,0.245245
53081,9.517614,-2.299322,1.269495,-0.223208,0.079261,0.280409
53082,9.274561,-2.443589,1.365852,-0.403045,0.122820,0.293258
53083,9.188025,-2.685137,1.321510,-0.558907,0.141533,0.289893
53084,8.888680,-2.955463,0.860800,-0.639624,0.143549,0.256306
53085,8.453683,-3.143172,0.618128,-0.647518,0.106916,0.211091
53086,8.185603,-3.253143,0.394131,-0.519581,-0.006271,0.114812
53087,8.213748,-3.111022,1.628751,-0.396190,-0.091672,0.006441
53088,8.602688,-2.891318,2.613328,-0.329838,-0.206511,-0.028685
53089,9.348587,-2.844283,3.118431,-0.285640,-0.240143,-0.064669
53090,9.634389,-3.323527,2.386061,-0.403274,-0.171298,-0.079596
53091,9.378346,-4.086215,0.935303,-0.255798,-0.130299,-0.129827
53092,9.259353,-4.413181,-0.142286,0.132896,-0.150364,-0.183429
53093,9.652189,-4.296906,-0.296100,0.499533,-0.129572,-0.172187
53094,9.956823,-3.806911,0.119785,0.671573,-0.078630,-0.128768
53095,10.100941,-3.244918,0.868069,0.672450,-0.032761,-0.066624
53096,9.937788,-2.826065,1.172771,0.480382,0.012841,-0.002445
53097,9.511598,-2.863590,1.327183,0.180083,0.066532,0.053418
53098,9.226384,-3.243164,1.299590,-0.019130,0.067985,0.080891
53099,9.087399,-3.706857,1.485885,-0.073908,0.047848,0.080781
53100,9.139479,-4.090146,1.744998,-0.044447,0.029747,0.075260
53101,9.152160,-4.284828,2.014283,0.104186,-0.009692,0.099196
53102,9.352550,-4.152780,1.912587,0.283415,-0.053265,0.136276
53103,9.501947,-3.985781,1.599922,0.321220,-0.034528,0.170885
53104,9.445528,-3.915415,1.131986,0.357119,-0.010297,0.198854
53105,9.212211,-3.474095,0.420410,0.425719,-0.054660,0.216165
53106,9.391933,-3.135559,0.088088,0.387032,-0.048017,0.244663
53107,9.482670,-3.202464,0.448399,0.075007,0.076481,0.287292
53108,9.393087,-3.688639,0.755844,-0.107106,0.147463,0.330153
53109,9.353943,-3.844072,1.191889,-0.096660,0.155761,0.361238
53110,9.250454,-3.547609,1.338569,-0.137836,0.153035,0.387107
53111,8.949539,-3.515250,1.190750,-0.268540,0.157210,0.383970
53112,8.680487,-3.712196,1.298256,-0.248519,0.128035,0.329336
53113,8.506524,-4.033680,1.463440,-0.185843,0.057984,0.275763
53114,8.574584,-4.463982,1.490047,-0.054335,-0.020621,0.245830
53115,8.763749,-4.708013,1.617266,0.128423,-0.095597,0.248530
53116,8.966743,-4.608163,1.395324,0.266298,-0.133467,0.258460
53117,8.938925,-4.220628,0.722324,0.332430,-0.148787,0.269488
53118,8.808698,-3.797693,-0.171789,0.448795,-0.167788,0.293954
53119,8.535620,-3.508266,0.014959,0.571002,-0.144136,0.276438
53120,8.428957,-3.626059,0.761648,0.603920,-0.135439,0.240164
53121,8.611781,-3.885203,1.593603,0.747185,-0.146216,0.193479
53122,9.069753,-3.884618,2.173638,0.813964,-0.130986,0.151156
53123,9.463290,-3.963157,2.231224,0.776459,-0.088537,0.149068
53124,9.586964,-3.808933,2.118626,0.724102,-0.031066,0.166403
53125,9.517566,-3.532710,1.851002,0.544473,0.012276,0.216375
53126,9.565258,-3.165741,1.492533,0.339638,0.020358,0.288554
53127,9.701705,-2.924649,1.308002,0.072751,0.049120,0.375693
53128,9.731733,-3.106310,0.938087,-0.295810,0.078068,0.460578
53129,9.767504,-4.155748,0.768293,-0.529215,0.141099,0.546993
53130,9.556084,-5.316511,1.041834,-0.545873,0.248065,0.602167
53131,9.356104,-5.919978,1.588424,-0.336991,0.308485,0.644542
53132,8.977844,-5.649441,2.021532,0.057024,0.244387,0.666595
53133,8.765235,-4.569032,1.917429,0.225982,0.148469,0.679904
53134,8.730324,-3.794673,2.036434,0.062623,0.132540,0.642600
53135,8.732936,-3.781580,2.478299,-0.198614,0.145839,0.605305
53136,8.779322,-4.564737,2.391491,-0.261978,0.121761,0.579803
53137,8.874745,-5.278912,2.210440,-0.114424,0.130265,0.556797
53138,8.790513,-5.141419,1.605854,0.193657,0.080168,0.544984
53139,8.797162,-4.486605,0.586217,0.335482,-0.006477,0.564645
53140,9.279843,-4.262217,0.323444,0.112461,0.040518,0.660616
53141,9.641004,-4.656413,0.627169,-0.240331,0.182408,0.790774
53142,9.602994,-4.819981,1.764585,-0.245922,0.277022,0.889025
53143,9.534019,-4.868419,3.116308,-0.453282,0.351129,1.007616
53144,9.148380,-5.374876,2.842577,-0.809499,0.453546,1.112716
53145,8.365379,-5.799607,2.084988,-0.816192,0.492374,1.111142
53146,7.647571,-5.928840,1.446202,-0.671978,0.446609,1.087847
53147,7.267771,-5.970721,0.675893,-0.507531,0.325160,1.047868
53148,7.350721,-5.568483,0.823905,-0.207941,0.179440,0.962346
53149,7.479641,-5.266316,1.102048,-0.025161,0.093340,0.842231
53150,7.564263,-5.462901,0.933192,0.077271,0.027627,0.787152
53151,8.068676,-5.314670,0.911090,0.264209,-0.019693,0.746227
53152,8.557545,-5.035446,1.181184,0.255247,0.038328,0.755772
53153,8.951361,-4.879019,1.552085,0.037877,0.169015,0.818748
53154,9.089537,-5.051921,1.808138,-0.318068,0.299801,0.931724
53155,8.933594,-5.471243,1.722837,-0.577252,0.383620,1.023425
53156,8.311250,-5.799670,1.811600,-0.697060,0.458649,1.034328
53157,7.382158,-6.152237,1.992922,-0.752202,0.525744,0.994266
53158,6.610570,-6.426339,1.909500,-0.665113,0.510073,0.901473
53159,6.201542,-6.627343,1.773668,-0.433036,0.424128,0.801829
53160,6.328041,-6.546492,1.389344,-0.123999,0.310891,0.709396
53161,6.425383,-6.146196,1.612754,0.125923,0.234174,0.611744
53162,6.179876,-6.066517,1.770679,0.377733,0.141575,0.497334
53163,5.878632,-5.943918,1.601106,0.676113,0.016389,0.358382
53164,6.377938,-5.672169,1.475313,0.932168,-0.080169,0.249704
53165,7.566948,-5.525532,1.622910,0.974086,-0.042798,0.220435
53166,8.581132,-5.281962,1.937194,0.810223,0.081778,0.274751
53167,9.210167,-5.421419,2.418208,0.351723,0.257758,0.404933
53168,9.206680,-6.270500,2.166608,-0.260809,0.417092,0.571171
53169,8.573752,-7.051959,2.036188,-0.609505,0.469458,0.709873
53170,7.881756,-7.934966,2.086340,-0.874144,0.501339,0.822053
53171,6.974807,-8.877697,2.148756,-0.872941,0.547321,0.837087
53172,5.892393,-9.308260,1.823735,-0.202273,0.424798,0.737426
