// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
57413,9.400829,-4.279455,1.484460,0.292535,-0.030921,0.180302
57414,9.453720,-3.984709,1.607748,0.165483,0.015099,0.227835
57415,9.376668,-3.945125,1.621944,-0.015733,0.056551,0.278060
57416,9.457940,-4.038730,1.485785,-0.192323,0.083506,0.314835
57417,9.402452,-4.211485,1.404035,-0.335136,0.108758,0.358950
57418,9.422465,-4.420809,1.315824,-0.433197,0.100131,0.404061
57419,9.309783,-4.730448,1.286142,-0.464807,0.093914,0.459746
57420,9.234365,-5.014465,1.221000,-0.413244,0.074290,0.492578
57421,9.258451,-5.015897,1.151314,-0.302117,0.048340,0.529009
57422,9.330955,-4.941060,1.146121,-0.205211,0.025541,0.579019
57423,9.436444,-4.900769,1.201943,-0.132470,0.020638,0.641577
57424,9.389771,-4.774977,0.931575,-0.053918,0.010274,0.674237
57425,9.260244,-4.838807,0.709829,0.014488,0.011482,0.718696
57426,9.139492,-5.083033,0.485578,0.117122,0.008252,0.751482
57427,9.047721,-5.361777,0.415976,0.223470,0.008695,0.778171
57428,9.032176,-5.610309,0.622414,0.328725,0.022005,0.813569
57429,8.990127,-5.678456,0.861360,0.398122,0.042288,0.840168
57430,8.874110,-5.730165,1.020531,0.412522,0.069996,0.871317
57431,8.703412,-5.761645,1.294022,0.409162,0.105063,0.898253
57432,8.791727,-5.597256,1.945617,0.368746,0.153271,0.903934
57433,9.006636,-5.584932,2.622312,0.325473,0.189547,0.920125
57434,8.806442,-5.775800,2.299693,0.436464,0.189359,0.911351
57435,8.226271,-5.693669,1.564031,0.646489,0.123444,0.859038
57436,7.787437,-5.198791,0.756996,0.847392,-0.011201,0.800615
57437,7.737869,-5.052750,0.442317,0.873382,-0.107336,0.810756
57438,7.709019,-5.136700,-0.033168,0.842062,-0.167850,0.830806
57439,7.900208,-5.421500,-0.213145,0.802278,-0.219709,0.838296
57440,8.463320,-6.038235,0.334360,0.806473,-0.170051,0.864084
57441,8.989907,-6.590614,0.956520,0.888482,-0.018717,0.889870
57442,9.018336,-6.567568,1.588273,0.980096,0.161039,0.915612
57443,8.753022,-5.880785,2.016204,0.953992,0.327586,0.935687
57444,8.301566,-5.009679,2.237367,0.723953,0.459268,0.962742
57445,7.908494,-4.500478,2.151169,0.298849,0.568708,1.003260
57446,7.607803,-4.599575,2.028341,-0.202075,0.644317,1.052366
57447,7.407202,-5.244700,1.894742,-0.636753,0.670965,1.092753
57448,7.339661,-6.125348,1.733812,-0.904437,0.647142,1.121329
57449,7.408034,-6.959276,1.612506,-0.965099,0.577589,1.149721
57450,7.497255,-7.611868,1.406922,-0.864025,0.492125,1.168385
57451,7.447698,-8.223185,1.152083,-0.637394,0.400247,1.197919
57452,7.368436,-8.497816,1.061315,-0.330365,0.303161,1.224877
57453,7.224823,-8.204344,0.898116,-0.039014,0.223321,1.236175
57454,7.188334,-7.506733,0.739139,0.162582,0.161339,1.241920
57455,7.226607,-7.063422,0.855025,0.247388,0.155477,1.264710
57456,7.429746,-7.221337,1.327882,0.201008,0.221240,1.318778
57457,7.397809,-7.729226,1.710903,0.146853,0.324862,1.377395
57458,7.150930,-8.151257,1.979392,0.112612,0.425150,1.419868
57459,6.815316,-8.394371,2.121611,0.138341,0.490828,1.438512
57460,6.424911,-8.429585,2.142898,0.175270,0.531822,1.458406
57461,6.165995,-8.359179,2.056811,0.185207,0.543677,1.478326
57462,5.971708,-8.246430,1.963633,0.158077,0.543218,1.504554
57463,5.812355,-8.022751,1.899079,0.080965,0.536093,1.530522
57464,5.631299,-7.884659,1.946128,-0.031489,0.524650,1.564096
57465,5.447139,-7.913785,2.032415,-0.142301,0.522428,1.583700
