// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
09689,9.449051,-2.224133,1.411811,0.002332,0.017792,-0.004128
09690,9.434016,-2.279874,1.428828,-0.006502,0.012495,0.002629
09691,9.439870,-2.290876,1.397679,0.003506,0.011903,0.004043
09692,9.498881,-2.297716,1.393477,0.001741,0.006119,0.003754
09693,9.485812,-2.310190,1.377305,0.010082,0.007070,0.007716
09694,9.527633,-2.362233,1.347769,0.020747,0.002527,0.002818
09695,9.566151,-2.325708,1.399493,0.043512,0.001202,-0.003535
09696,9.589619,-2.289964,1.393426,0.048492,-0.003089,-0.007714
09697,9.632075,-2.252708,1.372047,0.032919,0.004743,-0.009042
09698,9.573014,-2.244869,1.378141,0.021876,0.003260,-0.010754
09699,9.555962,-2.289137,1.353598,0.000472,0.004676,-0.007257
09700,9.507134,-2.347195,1.326700,0.002911,-0.008442,-0.004768
09701,9.524264,-2.389183,1.343534,0.028592,-0.009519,0.000801
09702,9.518277,-2.377990,1.375709,0.044969,-0.010298,0.000060
09703,9.469681,-2.348277,1.356886,0.058293,-0.013625,-0.000160
09704,9.499931,-2.290235,1.398622,0.051502,-0.018772,0.002318
09705,9.495742,-2.322962,1.390123,0.046618,-0.011485,0.000967
09706,9.504395,-2.343301,1.399081,0.051413,-0.007147,-0.004166
09707,9.496117,-2.321076,1.390712,0.034376,-0.006758,-0.005455
09708,9.523765,-2.339936,1.384320,0.037738,-0.005838,-0.005674
09709,9.560152,-2.292127,1.394300,0.042085,-0.006511,-0.007010
09710,9.551838,-2.270048,1.385852,0.032030,-0.005246,-0.001485
09711,9.541476,-2.292089,1.409991,0.023947,-0.007169,0.001810
09712,9.518182,-2.326577,1.417287,0.026981,-0.004266,0.004741
09713,9.547893,-2.357124,1.451893,0.030604,-0.004293,0.011766
09714,9.513385,-2.361110,1.410031,0.042971,-0.002001,0.017527
09715,9.549171,-2.315435,1.420530,0.058672,-0.002803,0.018195
09716,9.559184,-2.294108,1.397675,0.052731,0.002752,0.020008
09717,9.597299,-2.258835,1.449478,0.048031,0.001405,0.019620
09718,9.601171,-2.226691,1.459145,0.038871,0.012678,0.017529
09719,9.555901,-2.253570,1.442705,0.027425,0.009844,0.021050
09720,9.544746,-2.277639,1.468604,0.026795,0.013475,0.023878
09721,9.539953,-2.225118,1.469662,0.033447,0.011995,0.025497
09722,9.560181,-2.182532,1.423247,0.032463,0.013596,0.026607
09723,9.566185,-2.161522,1.474153,0.023110,0.014563,0.027238
09724,9.541975,-2.198321,1.483415,0.008446,0.017452,0.026851
09725,9.504816,-2.247563,1.475787,0.005062,0.016894,0.030534
09726,9.535352,-2.324202,1.472094,0.027860,0.015209,0.020693
09727,9.517741,-2.283590,1.456809,0.040609,0.019191,0.024698
09728,9.512929,-2.230942,1.458735,0.048299,0.019789,0.026603
09729,9.497425,-2.147115,1.410789,0.036644,0.021566,0.024272
09730,9.482068,-2.116848,1.436859,0.012326,0.027068,0.024186
09731,9.489506,-2.140412,1.448413,-0.019402,0.030704,0.025967
09732,9.509118,-2.239945,1.469743,-0.039672,0.037168,0.024222
09733,9.467237,-2.322480,1.454985,-0.046293,0.038307,0.019126
09734,9.459486,-2.348267,1.408577,-0.040327,0.036786,0.022180
09735,9.479195,-2.393805,1.355641,-0.028978,0.032258,0.015876
09736,9.457621,-2.406037,1.487289,-0.037347,0.031642,0.015382
09737,9.472665,-2.465321,2.012621,-0.106311,0.050278,0.023766
09738,9.530327,-2.685078,2.933509,-0.242493,0.094161,0.047643
09739,9.306994,-3.239557,3.130943,-0.373833,0.125209,0.101397
09740,9.113549,-4.033485,2.448847,-0.279240,0.150703,0.127252
09741,8.923851,-4.434390,1.887175,0.166402,0.124345,0.118001
09742,8.843121,-3.860042,1.742843,0.819654,0.013158,0.059196
09743,8.842005,-2.655917,1.059568,1.174603,-0.166713,-0.028684
