// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
43499,9.333514,-2.850349,1.374474,-0.030790,0.010949,-0.018727
43500,9.363109,-2.864031,1.364136,-0.024886,0.010412,-0.021200
43501,9.366675,-2.824022,1.318309,-0.016044,0.010272,-0.031021
43502,9.441266,-2.740768,1.183609,0.004941,0.030343,-0.047727
43503,9.477682,-2.692847,1.057828,0.040448,0.079809,-0.086859
43504,9.418688,-2.746699,1.051287,0.124530,0.130707,-0.139271
43505,9.111187,-2.974469,1.065478,0.265060,0.105317,-0.227292
43506,9.249740,-3.130200,1.148937,0.461499,0.076895,-0.315519
43507,9.267225,-2.783826,1.444232,0.653738,0.071119,-0.406217
43508,9.338547,-2.123236,1.865659,0.714111,0.072037,-0.463432
43509,9.365213,-1.604871,2.449342,0.611438,0.087967,-0.492852
43510,9.428718,-1.545641,3.062262,0.384230,0.112548,-0.488011
43511,9.521755,-1.877677,3.314889,0.129274,0.129203,-0.457759
43512,9.360166,-2.742943,2.889611,-0.027373,0.124263,-0.368157
43513,9.311636,-3.462776,2.371857,-0.022266,0.082049,-0.273353
43514,9.338799,-3.553462,2.054251,0.073629,0.022178,-0.160367
43515,9.625771,-2.779369,1.986967,0.097465,-0.029024,-0.051531
43516,9.896157,-1.534686,1.715890,0.003806,-0.044492,0.026529
43517,10.166276,-0.992753,1.239529,-0.199598,-0.026486,0.112764
43518,10.313531,-1.454716,0.815322,-0.421951,0.038296,0.222376
43519,10.390548,-2.791272,0.793783,-0.532027,0.161456,0.347571
43520,10.223345,-4.024597,1.356397,-0.543663,0.290361,0.429888
43521,9.923857,-4.233788,2.160278,-0.545163,0.394624,0.485488
43522,9.559365,-3.515322,2.678057,-0.630305,0.452661,0.450711
43523,9.145818,-3.280220,2.482064,-0.765246,0.455032,0.398400
43524,8.799925,-4.061645,2.486595,-0.820219,0.382633,0.366931
43525,8.804518,-4.941007,3.028338,-0.700860,0.272016,0.322680
43526,8.761691,-5.731742,3.050513,-0.353470,0.139766,0.286721
43527,8.638427,-6.109194,2.532379,0.159084,0.005385,0.285430
43528,8.809408,-5.857338,2.223090,0.708203,-0.107217,0.315015
43529,9.042779,-4.679835,1.961085,1.095884,-0.173892,0.339102
43530,9.276128,-3.103774,2.201161,1.182077,-0.178621,0.356444
43531,9.508759,-1.715385,2.560861,1.043793,-0.109837,0.327216
43532,9.667497,-0.395525,2.375933,0.778147,0.014288,0.247903
43533,9.919434,0.021949,1.998614,0.382909,0.153778,0.274862
43534,10.116479,-0.925454,1.860150,-0.119014,0.338471,0.382944
43535,10.039244,-2.891334,1.870145,-0.604196,0.525362,0.477091
43536,9.725388,-4.714545,2.084670,-0.917560,0.674719,0.521536
43537,9.254964,-5.204797,2.467940,-1.017853,0.735489,0.510837
43538,8.779953,-4.920375,2.227115,-0.955633,0.714623,0.495102
43539,8.591103,-4.816994,2.249559,-0.818269,0.610801,0.480566
43540,8.772735,-5.475171,3.097607,-0.630447,0.502269,0.503438
43541,8.838236,-6.742032,3.096229,-0.259844,0.364852,0.537663
43542,8.876895,-7.849745,2.560691,0.367640,0.207566,0.595999
43543,9.073384,-7.992449,2.211684,1.095713,0.052707,0.690419
43544,9.382341,-6.860427,2.017444,1.633878,-0.065066,0.801578
43545,9.934829,-5.280698,2.432420,1.774537,-0.104438,0.930208
43546,10.406934,-4.059695,2.914814,1.535694,-0.027026,1.050688
43547,10.273666,-2.669824,2.517157,1.087629,0.088029,1.123069
43548,10.013386,-1.680917,1.721634,0.595397,0.184703,1.179234
43549,9.903802,-2.223910,1.321750,0.145643,0.355871,1.263710
43550,9.709438,-3.812607,1.421925,-0.248583,0.578000,1.411954
43551,9.310753,-4.877492,2.131291,-0.577161,0.743093,1.515135
43552,9.078177,-4.788741,3.517244,-0.956703,0.892059,1.594723
43553,8.579694,-4.184115,3.463931,-1.369265,0.947047,1.601039
43554,8.084666,-4.631616,2.736947,-1.670074,0.908467,1.631366
43555,7.745160,-6.258030,2.760914,-1.696028,0.788017,1.613569
43556,7.570073,-8.332192,2.642524,-1.240446,0.579993,1.538163
43557,7.486590,-10.047900,2.422709,-0.343135,0.344073,1.465084
43558,7.495763,-10.631786,1.945222,0.771221,0.120854,1.416227
43559,7.912737,-9.953005,1.357005,1.736911,-0.066161,1.446181
43560,8.317720,-7.743813,0.690322,2.276185,-0.182225,1.495195
43561,8.518812,-5.350426,0.025472,2.317244,-0.224279,1.535052
43562,8.474882,-4.326973,-0.039806,2.058215,-0.126167,1.610364
43563,8.020720,-4.853593,1.408384,1.756214,0.060107,1.640924
43564,7.615408,-5.483253,3.763281,1.529069,0.260768,1.590259
43565,6.889985,-5.254879,4.700896,1.334693,0.387148,1.474940
43566,6.244162,-4.679997,4.362627,1.066804,0.442055,1.337499
43567,6.021528,-4.553112,4.306152,0.671201,0.499872,1.228340
43568,6.268264,-4.920231,4.539561,0.213091,0.562971,1.170567
43569,6.424221,-5.870543,4.433342,-0.118605,0.559853,1.153291
43570,6.709320,-7.358167,4.125965,-0.182586,0.512593,1.164661
43571,6.973350,-8.464433,3.944917,0.046200,0.436389,1.188746
43572,7.212999,-8.611709,3.925300,0.404925,0.352115,1.198681
43573,7.494024,-7.903235,4.080518,0.692487,0.286497,1.218049
43574,7.598001,-6.640970,3.761948,0.797529,0.253662,1.235655
43575,7.704987,-5.646389,3.193814,0.772413,0.239183,1.262148
43576,7.972794,-5.992371,2.578108,0.717159,0.277700,1.356898
43577,8.169898,-7.685917,3.054194,0.669393,0.437416,1.497533
43578,7.987489,-8.700017,3.855399,0.638225,0.601050,1.597627
43579,7.523759,-7.689078,4.617243,0.502056,0.712012,1.627838
43580,6.644120,-5.934418,4.680333,0.216439,0.726359,1.589986
43581,5.784372,-5.946639,4.308102,-0.063460,0.636307,1.554933
43582,5.519512,-8.176032,4.029032,-0.017284,0.460617,1.515253
43583,5.796356,-10.349614,4.168222,0.505263,0.241668,1.465708
43584,6.254326,-11.496642,4.180194,1.310730,0.023259,1.464184
43585,6.708252,-11.445897,4.217581,2.157602,-0.142727,1.500296
43586,6.728287,-9.996921,3.701613,2.766305,-0.284999,1.529643
43587,7.088809,-8.212940,3.637275,3.030568,-0.391261,1.593609
43588,7.499356,-6.820396,3.799503,2.986479,-0.401807,1.638365
43589,7.645265,-5.457413,3.622919,2.786177,-0.357084,1.667453
43590,7.760936,-4.980047,3.268309,2.454633,-0.268134,1.804066
43591,7.629750,-6.412848,3.582563,2.062185,-0.108338,1.994735
43592,7.286702,-8.756872,4.352162,1.812478,0.113405,2.157408
43593,6.664174,-9.215318,5.503802,1.670763,0.254115,2.269019
43594,6.064080,-7.660681,6.551170,1.411059,0.308279,2.297275
43595,5.733674,-6.618966,7.048172,0.926653,0.314337,2.365136
43596,5.531426,-7.216546,6.912340,0.461508,0.305792,2.435929
43597,4.850029,-8.784008,6.127853,0.334306,0.232761,2.469623
43598,4.299759,-10.079901,5.310103,0.595116,0.065875,2.506563
43599,4.480550,-10.479375,4.909232,1.037514,-0.114256,2.557594
43600,4.829886,-9.929203,4.911395,1.398124,-0.240135,2.603893
43601,4.849878,-9.093997,4.925257,1.570792,-0.354518,2.647853
43602,4.884051,-8.483867,5.165303,1.618323,-0.430799,2.697501
43603,4.782348,-7.794652,5.626683,1.589750,-0.452623,2.710534
43604,4.279671,-6.689033,5.321114,1.568861,-0.459864,2.668137
43605,3.676668,-5.709908,5.125492,1.532428,-0.469302,2.629647
43606,3.301312,-5.221705,5.273059,1.385596,-0.432736,2.619279
43607,3.226071,-5.371048,5.610100,1.206078,-0.342833,2.578312
43608,3.344827,-5.785241,6.571517,1.029909,-0.205552,2.554522
43609,3.357551,-5.801621,7.949622,0.849412,0.015686,2.520057
43610,2.996880,-5.327605,8.955408,0.695180,0.270278,2.452279
43611,2.083317,-4.677361,8.969309,0.452917,0.493957,2.387561
43612,1.124164,-4.241505,7.915509,0.091493,0.606873,2.364199
43613,0.432948,-4.141664,7.327832,-0.280538,0.626856,2.283080
43614,0.281726,-5.169191,7.269612,-0.577780,0.569880,2.177576
43615,0.659138,-7.069520,7.033842,-0.674046,0.472377,2.106311
43616,1.041531,-9.156565,6.490415,-0.456143,0.270516,2.056573
43617,1.151082,-10.401551,5.602751,0.027834,0.034057,2.048177
43618,0.903908,-9.900986,4.722182,0.558155,-0.225031,2.049469
43619,0.320656,-7.657898,3.975334,0.914561,-0.526376,2.029012
43620,0.255679,-5.469020,4.226079,0.923685,-0.795288,2.008469
43621,0.562137,-4.696655,4.831835,0.612897,-0.949850,1.988056
43622,0.943652,-5.388790,4.428046,0.248521,-1.042970,1.968599
43623,1.406005,-7.237156,3.661527,0.126863,-1.089542,1.951567
43624,1.684115,-9.115815,3.958527,0.341730,-1.002223,1.928065
43625,1.733545,-9.574766,5.432841,0.796243,-0.851605,1.909258
43626,1.323345,-7.659460,6.789710,1.210189,-0.697972,1.896690
43627,0.799048,-4.853802,7.686374,1.246036,-0.583288,1.905068
43628,0.480564,-3.231087,7.946912,0.782550,-0.447700,1.940808
43629,0.200636,-3.521485,7.871654,0.117573,-0.333257,1.971601
43630,-0.198915,-5.260076,7.100580,-0.346965,-0.312501,1.960401
43631,-0.399380,-7.445430,6.194349,-0.451444,-0.394751,1.961858
43632,-0.568360,-8.927156,5.406515,-0.188104,-0.520226,1.940143
43633,-0.895245,-10.148703,4.219796,0.250534,-0.723710,1.953260
43634,-1.057934,-11.848806,2.599617,0.694237,-1.000938,2.076057
43635,-1.000860,-11.824656,1.753354,1.218261,-1.333739,2.198755
43636,-1.204631,-9.362844,2.008714,1.572123,-1.678927,2.286750
43637,-1.539156,-5.746787,3.093710,1.540728,-1.977297,2.377877
43638,-1.190528,-4.050244,4.903853,1.037787,-2.149120,2.491120
43639,-0.712777,-5.479548,5.963416,0.333068,-2.211121,2.666115
43640,-0.300970,-8.036653,6.230550,-0.001468,-2.210436,2.772467
43641,-0.094683,-9.378368,6.477610,0.241617,-2.147905,2.793628
43642,0.223235,-8.705148,7.221766,0.884720,-2.072042,2.787077
43643,0.783784,-6.171412,8.624856,1.508430,-1.917867,2.757790
43644,1.277149,-3.283357,10.253472,1.774792,-1.681113,2.739425
43645,1.590157,-1.244452,11.311857,1.546876,-1.407047,2.734648
43646,1.591775,0.001434,11.709523,1.008009,-1.123054,2.694372
43647,1.310214,-0.013097,11.430137,0.349279,-0.869125,2.636358
43648,0.906527,-0.926550,10.870361,-0.181412,-0.679552,2.560991
43649,0.116136,-1.998235,9.897444,-0.391373,-0.578537,2.439882
43650,-0.678786,-3.162776,8.863568,-0.332016,-0.582508,2.305166
43651,-0.748802,-4.132765,7.786306,-0.172648,-0.626885,2.202906
43652,-0.607335,-4.299877,7.427178,0.032905,-0.681091,2.083176
43653,-0.542623,-4.000087,7.315810,0.094444,-0.745188,2.042787
43654,-0.780586,-3.318300,7.304712,0.086408,-0.791567,1.982186
43655,-1.092050,-3.063475,7.504894,-0.010576,-0.859307,1.947664
43656,-1.297714,-3.058518,7.423095,-0.103737,-0.936118,1.884227
43657,-1.400624,-2.931524,7.002188,-0.125521,-1.016295,1.802001
43658,-1.041240,-3.012683,7.413949,-0.062366,-1.027301,1.699387
43659,-0.592174,-3.710990,8.475870,0.086105,-0.959860,1.604488
43660,-0.213293,-4.011137,9.101983,0.351366,-0.858875,1.517216
43661,-0.155726,-3.404534,9.902448,0.638297,-0.715984,1.427842
43662,-0.367465,-2.429764,10.386814,0.675340,-0.559793,1.375423
43663,-0.663050,-1.904279,10.479523,0.469157,-0.415946,1.340634
43664,-1.273276,-2.430679,9.816453,0.143134,-0.324620,1.326831
43665,-1.796673,-3.627315,8.599639,-0.084973,-0.294823,1.303010
43666,-2.121474,-4.655388,7.444876,-0.112222,-0.371014,1.255437
43667,-2.145375,-5.196681,6.380418,-0.021548,-0.529316,1.240611
43668,-1.786452,-5.024091,6.222841,0.013019,-0.678948,1.249837
43669,-1.425968,-3.738184,6.501207,-0.104921,-0.815422,1.260703
43670,-1.217238,-2.268687,6.936054,-0.398413,-0.933428,1.276017
43671,-1.082281,-1.923762,7.686185,-0.757167,-1.004216,1.265732
43672,-0.755661,-2.788703,8.515391,-0.960388,-1.013461,1.209208
43673,-0.329555,-4.113926,9.216257,-0.906466,-0.952349,1.154159
43674,-0.094775,-5.136342,9.162430,-0.641346,-0.853402,1.137920
43675,-0.095657,-5.356034,9.646636,-0.184463,-0.677091,1.094273
43676,-0.497161,-4.403527,10.282287,0.361554,-0.503723,1.001198
43677,-0.459136,-2.890666,11.275747,0.786362,-0.318087,0.878465
43678,-0.339772,-1.902580,12.171019,0.903278,-0.079880,0.780195
43679,-0.440827,-1.902224,11.926035,0.845310,0.132286,0.714944
43680,-1.120310,-2.518860,10.612631,0.829144,0.272584,0.618325
43681,-1.878067,-3.104983,9.071597,0.923285,0.275986,0.515119
43682,-2.335464,-2.646888,7.314368,1.019234,0.174456,0.443951
43683,-2.586587,-1.454969,6.533556,0.977538,0.017388,0.383839
43684,-2.599081,-0.162740,6.669357,0.684401,-0.130334,0.330199
43685,-2.403105,0.466805,7.175775,0.166842,-0.255315,0.269885
43686,-2.008747,-0.190859,7.777762,-0.444239,-0.349880,0.250124
43687,-1.527157,-1.968933,8.567668,-0.875710,-0.401482,0.234284
43688,-1.365234,-3.959117,8.995267,-0.942429,-0.459119,0.208908
43689,-1.166444,-5.481097,9.214111,-0.673141,-0.510133,0.194619
43690,-0.807844,-6.766845,9.888331,-0.119661,-0.457697,0.165280
43691,-0.494170,-6.940976,10.954197,0.537869,-0.336604,0.163709
43692,-0.232395,-5.429689,11.769707,1.020720,-0.161206,0.152405
43693,-0.132504,-3.219325,12.041353,1.031869,0.058206,0.164140
43694,-0.251020,-1.580622,11.403680,0.550676,0.296219,0.199811
43695,-0.703318,-1.404299,10.710210,-0.158579,0.537529,0.236840
43696,-1.738743,-2.582748,9.252862,-0.757553,0.670677,0.295720
43697,-2.695230,-4.322172,7.024267,-1.008344,0.629721,0.398218
43698,-3.667146,-5.420415,5.401644,-0.873382,0.462024,0.431195
43699,-4.141659,-5.146246,4.767203,-0.606876,0.138727,0.429557
43700,-3.741524,-3.851395,5.258584,-0.434078,-0.209201,0.404727
43701,-3.008868,-2.618946,6.199870,-0.338540,-0.510458,0.344552
43702,-2.424698,-2.545057,7.032080,-0.226471,-0.726697,0.265635
43703,-0.753337,-1.737934,10.445777,0.063804,-0.757488,0.016692
43704,1.960878,3.268021,15.972014,0.176055,-0.373990,-0.477192
