// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
56606,7.600505,-4.213151,2.245487,-0.257891,-0.049947,-0.365360
56607,7.552680,-4.429434,2.540262,-0.217540,-0.078181,-0.407981
56608,7.711061,-4.624564,2.901415,-0.156063,-0.115533,-0.455160
56609,7.886413,-4.661132,3.183964,-0.105257,-0.134650,-0.490856
56610,8.175359,-4.875164,3.351188,-0.050364,-0.148295,-0.522467
56611,8.290687,-5.044076,3.258402,0.015106,-0.159560,-0.549396
56612,8.426040,-4.969571,3.180987,0.086682,-0.169306,-0.567066
56613,8.511324,-4.838017,3.112822,0.134762,-0.176809,-0.574707
56614,8.585989,-4.784533,3.069508,0.168198,-0.174286,-0.583034
56615,8.581874,-4.653416,3.002230,0.188685,-0.172096,-0.594773
56616,8.542235,-4.632962,2.996915,0.207365,-0.170658,-0.593155
56617,8.567255,-4.577748,3.033880,0.200516,-0.158044,-0.591973
56618,8.587711,-4.563209,3.083590,0.193534,-0.146147,-0.583832
56619,8.673921,-4.532578,3.160317,0.175483,-0.125264,-0.576479
56620,8.667387,-4.392515,3.283193,0.136423,-0.103728,-0.563500
56621,8.667272,-4.273669,3.348822,0.054675,-0.079052,-0.544342
56622,8.680379,-4.249378,3.412365,-0.033707,-0.050231,-0.525226
56623,8.731813,-4.348045,3.433801,-0.119145,-0.022980,-0.508651
56624,8.692950,-4.500187,3.466070,-0.162678,-0.000071,-0.490024
56625,8.671129,-4.626037,3.502229,-0.191835,0.022692,-0.471216
56626,8.655557,-4.693019,3.499709,-0.196144,0.037723,-0.449648
56627,8.652943,-4.757866,3.415121,-0.186227,0.057135,-0.430020
56628,8.659342,-4.795913,3.378119,-0.164152,0.065225,-0.408324
56629,8.643042,-4.826667,3.368284,-0.137036,0.074096,-0.385574
56630,8.669693,-4.774511,3.300625,-0.106693,0.078477,-0.366486
56631,8.688004,-4.725233,3.276715,-0.077332,0.087275,-0.344441
56632,8.738844,-4.676156,3.260637,-0.064877,0.101521,-0.327180
56633,8.740188,-4.578332,3.211960,-0.070030,0.107412,-0.302102
56634,8.739769,-4.482485,3.164219,-0.079700,0.128181,-0.286397
56635,8.743231,-4.467196,3.099031,-0.100286,0.138620,-0.269285
56636,8.696077,-4.429169,2.912244,-0.121011,0.150632,-0.251628
56637,8.558321,-4.553754,2.669990,-0.133850,0.142857,-0.232047
56638,8.323953,-4.883967,2.423865,-0.094144,0.110011,-0.213363
56639,8.172285,-5.368950,2.151899,0.033391,0.046325,-0.194297
56640,8.157019,-5.875423,2.220964,0.257992,-0.046510,-0.171288
56641,8.353871,-6.312228,2.585962,0.573692,-0.133394,-0.137436
