// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
22246,9.655342,1.121365,1.791516,0.030189,0.003869,-0.020726
22247,9.652590,1.140452,1.752787,0.019945,0.005855,-0.026330
22248,9.659941,1.087002,1.836251,0.005511,0.006370,-0.030026
22249,9.648051,1.044210,1.864143,-0.001718,0.004286,-0.031687
22250,9.674640,0.967260,1.829240,-0.001456,0.002177,-0.029050
22251,9.682112,0.900698,1.738344,0.008496,-0.002371,-0.025713
22252,9.683702,0.894413,1.810934,0.020835,0.003659,-0.025780
22253,9.635904,0.856273,1.766160,0.041285,0.004888,-0.023256
22254,9.608656,0.938745,1.801149,0.061754,0.000949,-0.012055
22255,9.612667,1.048880,1.830426,0.059915,0.005378,-0.013187
22256,9.615511,1.027136,1.835462,0.048411,0.002383,-0.005953
22257,9.636469,0.995713,1.789707,0.042800,0.002174,-0.001205
22258,9.632800,1.027615,1.818013,0.042016,0.003334,-0.000451
22259,9.631497,1.043141,1.885632,0.052269,0.010741,0.004378
22260,9.597088,1.039228,1.886533,0.054512,0.012530,0.008696
22261,9.593298,1.070012,1.916017,0.047782,0.020846,0.018153
22262,9.587081,1.116067,1.907156,0.033562,0.024489,0.023703
22263,9.528517,1.165837,1.950213,0.002258,0.034775,0.032175
22264,9.526278,1.184368,2.055344,-0.051948,0.043670,0.039460
22265,9.543272,1.177048,2.043754,-0.108960,0.049857,0.045787
22266,9.545677,1.145969,2.055838,-0.165264,0.059608,0.050912
22267,9.557135,1.175365,2.003466,-0.217209,0.078137,0.055924
22268,9.637589,1.350843,2.012135,-0.259197,0.105661,0.056092
22269,9.713150,1.563479,2.088196,-0.331165,0.141241,0.047742
22270,9.759004,1.723392,2.182026,-0.407889,0.205767,0.036224
22271,9.716203,1.879539,2.441742,-0.481211,0.265270,0.012361
22272,9.709040,1.858283,2.692813,-0.608054,0.314603,-0.001579
22273,9.670422,1.642416,2.897060,-0.734642,0.343212,-0.001111
22274,9.730943,1.324191,2.929586,-0.831759,0.353331,0.022433
22275,9.774599,1.019764,2.797572,-0.889615,0.360112,0.056944
22276,9.875112,0.836319,2.609932,-0.904548,0.384638,0.080443
22277,9.912288,0.765079,2.384778,-0.909322,0.407644,0.101425
22278,9.879692,0.713195,2.155296,-0.896363,0.430013,0.103090
22279,9.865036,0.669731,1.944541,-0.886796,0.446737,0.116699
22280,9.807885,0.647031,1.904351,-0.876637,0.466164,0.137670
22281,9.760363,0.660095,1.948221,-0.884259,0.474396,0.153668
22282,9.772324,0.652485,2.208190,-0.928860,0.484917,0.179091
22283,9.793106,0.449492,2.332780,-1.000616,0.491807,0.218388
22284,9.617649,0.269179,2.454594,-1.052906,0.499514,0.262792
22285,9.429295,0.141451,2.408996,-1.084413,0.481306,0.297060
22286,9.393631,0.006181,2.422663,-1.108959,0.448420,0.343043
22287,9.418283,-0.180680,2.386879,-1.138541,0.420105,0.393602
22288,9.438077,-0.392966,2.415992,-1.165403,0.411142,0.445072
22289,9.365887,-0.695002,2.364391,-1.169860,0.389117,0.502345
22290,9.331083,-0.897479,2.356800,-1.162920,0.353118,0.557835
