// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
19281,9.587607,-2.091268,0.663586,-0.059364,0.041956,0.000393
19282,9.654875,-2.101886,0.630260,-0.072505,0.041186,0.007325
19283,9.783942,-2.039344,0.626591,-0.069994,0.035703,0.008279
19284,9.775058,-2.039058,0.662425,-0.067756,0.042034,0.008509
19285,9.673226,-2.026721,0.603474,-0.054726,0.045811,0.005515
19286,9.573948,-2.028188,0.652749,-0.045035,0.038633,0.004314
19287,9.556596,-2.026004,0.722028,-0.039928,0.029951,0.006471
19288,9.570479,-2.013542,0.780325,-0.039788,0.024041,0.006826
19289,9.633873,-2.000511,0.815520,-0.029674,0.026529,0.002118
19290,9.639251,-1.986079,0.907748,-0.032550,0.033380,0.000299
19291,9.606471,-1.989864,0.866823,-0.034757,0.040463,0.004156
19292,9.632155,-1.949236,0.874869,-0.035960,0.039361,-0.002651
19293,9.623007,-1.992971,0.806178,-0.042002,0.040393,-0.006718
19294,9.645295,-2.025815,0.726875,-0.054807,0.036456,-0.011965
19295,9.708741,-2.056312,0.657109,-0.055203,0.024414,-0.016946
19296,9.769042,-2.115413,0.604597,-0.051179,0.016903,-0.021344
19297,9.716492,-2.143282,0.646431,-0.036409,0.017396,-0.020560
19298,9.608979,-2.186143,0.621294,-0.011450,0.011614,-0.019842
19299,9.546005,-2.152554,0.693504,0.016159,0.000259,-0.026397
19300,9.500369,-2.121178,0.698744,0.043057,-0.003685,-0.025949
19301,9.553988,-2.043399,0.763304,0.051364,-0.008915,-0.030022
19302,9.555731,-2.047392,0.817487,0.051238,-0.011179,-0.030284
19303,9.572759,-1.994257,0.801600,0.039127,-0.012010,-0.034143
19304,9.598220,-2.038458,0.827223,0.030715,-0.014315,-0.034528
19305,9.621658,-2.023092,0.849590,0.025737,-0.014447,-0.032051
19306,9.584687,-2.088394,0.895654,0.012669,-0.006599,-0.038000
19307,9.576971,-2.083100,0.928689,0.019870,-0.008288,-0.040142
19308,9.545407,-2.178900,0.960122,0.022302,-0.003201,-0.030809
19309,9.536299,-2.263480,1.015392,0.036615,0.001096,-0.022426
19310,9.570094,-2.265001,1.114769,0.051068,0.007650,-0.013784
19311,9.654157,-2.319046,1.141470,0.060838,0.021468,-0.006432
19312,9.700155,-2.346753,1.141079,0.061612,0.037391,0.003593
19313,9.773774,-2.393889,1.150143,0.070277,0.046592,0.012964
19314,9.712376,-2.475581,1.180792,0.070932,0.060253,0.022721
19315,9.663553,-2.537265,1.214958,0.098863,0.061046,0.029383
19316,9.694058,-2.535661,1.268235,0.113950,0.076579,0.039050
19317,9.741966,-2.499330,1.415849,0.112679,0.098944,0.057420
19318,9.860249,-2.304931,1.539659,0.032397,0.120564,0.087214
19319,9.930762,-2.229221,1.638977,-0.100922,0.145712,0.139504
19320,9.903052,-2.275432,1.735578,-0.268426,0.170848,0.210077
19321,9.853693,-2.463006,1.813665,-0.421007,0.195228,0.280262
19322,9.936431,-2.634830,1.925479,-0.535070,0.235318,0.342722
19323,10.145314,-2.546109,2.009507,-0.642907,0.287617,0.411417
19324,10.154730,-2.617005,1.978175,-0.761755,0.355383,0.488015
19325,9.988325,-3.002327,1.801063,-0.858616,0.402961,0.561264
19326,9.794218,-3.469698,1.649868,-0.867424,0.430675,0.622068
19327,9.684257,-3.707396,1.534837,-0.805708,0.456522,0.669405
19328,9.674573,-3.766361,1.522023,-0.726254,0.476495,0.712674
19329,9.716236,-3.869091,1.529392,-0.675198,0.498510,0.755604
19330,9.659023,-4.102776,1.456628,-0.617444,0.512413,0.805102
19331,9.727643,-4.146979,1.607665,-0.525550,0.521500,0.856035
19332,9.954277,-3.625266,1.711742,-0.509746,0.554139,0.911811
19333,9.921627,-3.489789,1.754762,-0.614769,0.593446,0.973170
19334,9.867327,-4.002019,1.546159,-0.704074,0.613679,1.046269
19335,9.795449,-4.501793,1.400986,-0.715828,0.621240,1.137528
19336,9.664441,-4.938942,1.363391,-0.665435,0.618870,1.236138
19337,9.663634,-5.049832,1.232822,-0.617271,0.600001,1.344264
19338,9.702744,-5.039778,1.194755,-0.605306,0.590618,1.446967
19339,9.720514,-5.101556,1.185084,-0.632949,0.572790,1.551659
19340,9.697275,-5.253644,1.193989,-0.677220,0.553615,1.672512
19341,9.700370,-5.442874,1.172914,-0.750399,0.535415,1.802265
19342,9.602322,-5.686328,1.201135,-0.829126,0.516210,1.916158
19343,9.494707,-6.054148,1.144649,-0.855993,0.490589,2.015832
19344,9.362870,-6.455103,1.244701,-0.810514,0.471892,2.106459
19345,9.268285,-6.815497,1.273214,-0.735657,0.471022,2.192048
19346,9.064882,-7.060004,1.192683,-0.663336,0.450117,2.269110
19347,8.923269,-7.358424,1.122606,-0.589627,0.423900,2.361700
19348,8.799269,-7.730355,1.028286,-0.507192,0.401030,2.453936
19349,8.592923,-8.179462,1.133720,-0.398275,0.381828,2.535132
19350,8.480160,-8.533427,1.183889,-0.240532,0.374777,2.612527
19351,8.210031,-8.939278,1.282170,-0.046835,0.384043,2.673022
19352,7.830589,-9.164163,1.563759,0.172252,0.390958,2.718101
19353,7.635751,-9.056881,1.884619,0.375279,0.420420,2.748482
19354,7.357066,-8.801169,2.174343,0.489193,0.484022,2.779330
19355,6.929963,-8.489263,2.164391,0.494658,0.529026,2.807769
19356,6.358271,-8.474339,2.003120,0.421604,0.567037,2.835989
19357,5.674960,-8.731114,1.880906,0.309656,0.556309,2.869604
19358,5.140704,-9.281040,1.895565,0.252539,0.529965,2.913849
19359,4.697687,-9.832349,2.176308,0.268619,0.504732,2.952175
19360,4.340326,-10.152739,2.657155,0.331457,0.503034,2.991969
19361,3.928312,-10.145444,2.905148,0.429745,0.541175,3.024164
19362,3.380631,-9.961239,2.967885,0.467555,0.571845,3.053801
19363,2.786752,-9.882665,2.986239,0.447996,0.574559,3.068638
19364,2.301780,-9.967275,2.989874,0.420278,0.540767,3.083862
19365,2.036673,-10.162624,2.908984,0.397522,0.481564,3.088145
19366,2.009956,-10.518641,2.889684,0.421086,0.423856,3.072713
19367,2.173461,-10.871504,2.895365,0.523562,0.374124,3.041087
19368,2.274417,-10.992101,2.962044,0.713816,0.346557,2.999758
19369,2.418506,-10.931701,2.971494,0.932403,0.337681,2.949353
19370,2.457433,-10.748952,2.944129,1.147322,0.346467,2.881071
19371,2.358397,-10.440453,2.792782,1.330004,0.356959,2.800672
19372,2.286916,-10.137787,2.590888,1.475794,0.352124,2.718281
19373,2.224350,-9.872587,2.255999,1.595810,0.347786,2.623894
19374,2.043483,-9.677478,1.948132,1.684773,0.317446,2.520938
19375,1.864354,-9.288521,1.881897,1.770550,0.268389,2.402759
19376,1.651513,-8.888874,1.837980,1.865805,0.208787,2.263524
19377,1.470399,-8.462532,1.791884,1.938323,0.124106,2.098752
19378,1.430204,-8.133170,1.839792,2.020747,0.049888,1.910669
19379,1.378503,-7.826044,1.966799,2.130889,-0.018895,1.705742
19380,1.397884,-7.480084,2.063252,2.292933,-0.097538,1.473290
19381,1.419501,-7.083760,1.932146,2.483304,-0.162670,1.226472
19382,1.171852,-6.658641,1.740621,2.667209,-0.244612,0.996092
19383,0.745498,-6.467135,1.765613,2.891930,-0.363879,0.738555
19384,0.466297,-6.189214,1.945065,3.093318,-0.554602,0.479699
19385,0.598662,-5.948427,2.026369,3.211129,-0.728043,0.237300
19386,0.914734,-5.587765,2.096122,3.273860,-0.879453,0.034715
19387,1.408307,-5.136739,2.318989,3.266903,-0.984449,-0.147849
19388,1.792024,-4.720578,2.477744,3.230635,-1.085395,-0.330329
19389,2.145093,-4.431544,2.827255,3.136386,-1.188507,-0.512702
19390,2.365570,-4.311830,2.865832,3.038477,-1.285798,-0.675734
19391,2.559453,-4.277048,2.989847,2.958762,-1.397964,-0.830880
19392,2.856512,-4.411538,3.240117,2.890529,-1.514373,-0.965891
19393,3.082939,-4.654943,3.476014,2.870498,-1.635259,-1.059321
19394,3.492003,-4.638315,3.782848,2.872977,-1.748217,-1.147971
19395,4.059371,-4.422821,4.139680,2.892024,-1.821722,-1.248717
19396,4.639103,-4.106556,4.530599,2.893633,-1.858014,-1.307475
19397,4.983529,-4.001947,4.903402,2.839128,-1.866774,-1.329960
19398,5.395691,-3.939813,5.191047,2.757327,-1.866145,-1.342599
19399,5.683379,-3.781774,5.432765,2.679388,-1.841191,-1.343420
19400,5.989079,-3.374280,5.586685,2.539998,-1.804167,-1.333949
19401,6.317668,-2.892494,5.748461,2.306463,-1.750857,-1.317512
19402,6.424893,-2.582809,5.894798,2.021354,-1.676092,-1.284306
19403,6.496247,-2.477196,5.855046,1.684281,-1.602116,-1.229983
19404,6.486579,-2.600800,5.878389,1.382720,-1.549646,-1.179801
19405,6.488787,-2.907914,6.082995,1.152358,-1.507022,-1.121096
19406,6.657496,-3.141373,6.263659,1.016592,-1.439828,-1.083130
19407,6.626868,-3.198719,6.362619,0.957260,-1.366297,-1.064628
19408,6.638645,-2.992378,6.467101,0.918058,-1.309396,-1.070897
19409,6.764591,-2.531624,6.775024,0.875605,-1.258953,-1.075413
19410,6.834937,-2.073200,6.935319,0.777751,-1.185693,-1.050125
19411,6.760376,-1.822645,7.027343,0.623888,-1.127243,-1.008510
19412,6.786310,-1.884061,6.919436,0.443416,-1.099984,-0.956889
19413,6.998794,-2.160181,6.956722,0.275058,-1.080966,-0.912796
19414,7.145433,-2.532650,6.995449,0.158940,-1.044955,-0.869140
19415,7.212693,-2.849727,6.940804,0.127622,-1.007535,-0.824621
19416,7.193135,-2.816940,6.958270,0.168223,-0.975311,-0.794350
19417,7.227607,-2.644509,7.083358,0.204056,-0.949010,-0.763297
19418,7.369705,-2.504810,7.103092,0.216387,-0.895430,-0.730849
19419,7.320671,-2.344616,7.230366,0.179150,-0.850988,-0.697704
19420,7.501725,-2.383878,7.227972,0.066490,-0.819881,-0.659640
19421,7.772956,-2.609433,7.315776,-0.030053,-0.762014,-0.590277
19422,7.966337,-2.746363,7.376586,-0.105503,-0.707112,-0.513133
19423,8.046132,-2.717544,7.239455,-0.143039,-0.654786,-0.460389
19424,8.048457,-2.593191,7.322019,-0.201386,-0.604651,-0.442194
19425,8.134761,-2.345388,7.326446,-0.287647,-0.552384,-0.412363
19426,8.069019,-2.073762,7.387090,-0.439191,-0.515261,-0.369456
19427,8.008681,-1.682447,6.905352,-0.631570,-0.502197,-0.303173
19428,7.915040,-1.550160,6.718289,-0.951090,-0.488058,-0.243881
19429,7.911772,-2.428576,6.583724,-1.314446,-0.471021,-0.157633
19430,7.715045,-3.524780,6.498390,-1.365782,-0.411559,-0.077963
19431,7.583859,-4.014713,6.522277,-1.239771,-0.408746,-0.059262
19432,7.679292,-4.221267,6.604140,-1.066103,-0.400169,-0.040880
19433,7.674885,-3.951094,6.745215,-0.933855,-0.379959,0.009122
19434,7.465237,-3.403127,6.686594,-0.844756,-0.378271,0.034010
19435,7.362699,-3.083604,6.726282,-0.801880,-0.393385,0.031266
19436,7.354641,-3.242845,7.016475,-0.812650,-0.381600,0.030532
