// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
12758,9.453977,1.306302,2.404412,0.009439,0.000287,-0.015446
12759,9.455159,1.376912,2.402504,0.002704,-0.000093,-0.015217
12760,9.492189,1.379024,2.449326,-0.001708,0.001619,-0.018560
12761,9.475060,1.330159,2.476090,0.000087,-0.001153,-0.022109
12762,9.476862,1.367426,2.499455,0.006885,0.000419,-0.021180
12763,9.508158,1.367986,2.448695,0.015869,0.001702,-0.026143
12764,9.489528,1.319338,2.451142,0.003593,0.002577,-0.026891
12765,9.486356,1.320423,2.402536,0.002143,0.000836,-0.021022
12766,9.486690,1.356994,2.401678,-0.000663,0.000868,-0.022092
12767,9.487095,1.325175,2.427266,-0.002142,0.004928,-0.022047
12768,9.452890,1.362414,2.428615,-0.013074,-0.000647,-0.025162
12769,9.486954,1.363854,2.427017,-0.005758,0.005796,-0.024256
12770,9.457452,1.437595,2.500810,-0.015432,0.003053,-0.027418
12771,9.490250,1.370345,2.501073,-0.024052,-0.000434,-0.034109
12772,9.453093,1.407007,2.453687,-0.020131,-0.000016,-0.035410
12773,9.455900,1.445832,2.501932,-0.018633,0.002913,-0.040124
12774,9.521640,1.378296,2.476056,-0.024188,0.004159,-0.041106
12775,9.517064,1.311149,2.430030,-0.033542,0.007364,-0.038469
12776,9.529707,1.329205,2.356558,-0.028007,0.006110,-0.037495
12777,9.498237,1.299940,2.433547,-0.019148,0.009698,-0.035468
12778,9.534416,1.371952,2.455363,-0.019224,0.008502,-0.036633
12779,9.519522,1.496902,2.478887,-0.022607,0.009458,-0.043514
12780,9.540157,1.519543,2.552056,-0.017936,0.014845,-0.049501
12781,9.525559,1.611721,2.601751,-0.028374,0.021091,-0.057318
12782,9.525746,1.651974,2.628035,-0.038985,0.024934,-0.069797
12783,9.560406,1.727406,2.652131,-0.041847,0.029596,-0.084869
12784,9.527249,1.840323,2.704424,-0.051428,0.037351,-0.105560
12785,9.542852,2.004917,2.704641,-0.072431,0.035784,-0.128236
12786,9.524958,2.103514,2.758518,-0.108688,0.052467,-0.156282
12787,9.518894,2.185034,2.740769,-0.139726,0.060777,-0.188055
12788,9.498020,2.253246,2.799624,-0.176769,0.079457,-0.227873
12789,9.524532,2.270668,2.810638,-0.222627,0.095641,-0.259361
12790,9.567048,2.272493,2.823894,-0.276733,0.114221,-0.289566
12791,9.608470,2.241145,2.840921,-0.332657,0.138996,-0.315186
12792,9.593305,2.227684,2.790807,-0.361575,0.172655,-0.341651
12793,9.574606,2.354055,2.718974,-0.394106,0.195411,-0.363540
12794,9.575012,2.535132,2.747400,-0.414152,0.214169,-0.399957
12795,9.555884,2.632719,2.755294,-0.442301,0.226064,-0.442298
12796,9.590066,2.750884,2.861080,-0.486593,0.226372,-0.482348
12797,9.709375,2.718624,2.891848,-0.549021,0.245755,-0.513941
12798,9.587885,2.611424,2.909002,-0.611638,0.265957,-0.532960
12799,9.515424,2.490941,2.802211,-0.665668,0.260326,-0.549376
12800,9.558148,2.234292,2.808735,-0.701965,0.264539,-0.556678
12801,9.499729,1.973896,2.790777,-0.703361,0.266240,-0.556201
12802,9.438566,1.755111,2.599025,-0.698879,0.252506,-0.543146
12803,9.456267,1.529108,2.644733,-0.670508,0.243303,-0.521623
12804,9.428550,1.506463,2.699327,-0.627896,0.243298,-0.511411
12805,9.410804,1.601426,2.808913,-0.580840,0.240405,-0.493894
12806,9.396383,1.653565,3.013778,-0.561472,0.242922,-0.482039
12807,9.381035,1.681050,3.046211,-0.555993,0.249514,-0.464077
12808,9.330866,1.511191,3.088055,-0.557991,0.247467,-0.436946
12809,9.270444,1.284858,3.122254,-0.528459,0.233121,-0.393115
12810,9.289775,1.157281,3.062573,-0.505919,0.216576,-0.348063
12811,9.264611,0.976746,2.921497,-0.501954,0.191539,-0.285653
12812,9.223991,0.802614,2.825749,-0.478294,0.155305,-0.222073
12813,9.273828,0.605863,2.821344,-0.440111,0.139108,-0.160528
12814,9.245788,0.494330,2.873372,-0.406667,0.132226,-0.093598
12815,9.172130,0.331947,2.819995,-0.356235,0.121345,-0.026284
12816,9.141713,0.253252,2.799080,-0.292443,0.112050,0.039266
12817,9.065270,0.087775,2.988847,-0.239613,0.121610,0.100981
12818,8.968973,-0.058943,3.107708,-0.193887,0.132895,0.175842
12819,8.895048,-0.239844,3.049425,-0.140420,0.105060,0.264126
12820,8.927399,-0.450798,2.985753,-0.072929,0.079503,0.363679
12821,9.005246,-0.616074,2.951534,0.007853,0.055988,0.471965
12822,8.997942,-0.808024,2.862766,0.092375,0.011294,0.582342
12823,9.151825,-0.899420,2.860217,0.201658,-0.015454,0.683429
12824,9.336908,-1.020620,3.052521,0.269486,-0.003132,0.783755
12825,9.309320,-1.075877,3.082331,0.353554,0.015223,0.885452
12826,9.321668,-0.995265,3.252660,0.389598,-0.001652,0.993584
12827,9.455438,-1.211564,3.243239,0.382871,-0.013074,1.110616
12828,9.539039,-1.542968,3.027047,0.416102,-0.013764,1.228554
12829,9.556731,-1.786475,2.995608,0.474243,-0.006083,1.348958
12830,9.617507,-1.993645,3.021901,0.546110,-0.005879,1.476414
12831,9.913031,-2.014890,3.147050,0.618818,0.002848,1.601767
12832,10.172903,-1.956489,3.357303,0.641758,0.064364,1.705663
12833,10.295068,-2.026180,3.291039,0.660299,0.103233,1.809725
12834,10.248091,-1.942578,3.431752,0.668931,0.119213,1.898989
12835,10.250743,-1.952231,3.519404,0.640468,0.152995,1.976686
12836,10.127498,-2.066888,3.380408,0.608886,0.195263,2.056092
12837,10.024647,-2.111563,3.370226,0.573614,0.207848,2.148876
12838,10.043510,-2.163482,3.364575,0.533296,0.234385,2.233069
12839,10.155515,-2.281536,3.435124,0.470211,0.259864,2.314875
12840,10.373769,-2.370348,3.612949,0.409361,0.311952,2.389613
12841,10.549023,-2.593032,3.718567,0.334183,0.377381,2.473538
12842,10.653513,-2.786525,3.854638,0.262771,0.455127,2.533324
12843,10.706182,-2.963991,3.947943,0.224909,0.523941,2.590146
12844,10.623839,-2.971886,4.067930,0.173055,0.596321,2.628294
12845,10.451492,-2.840480,4.089287,0.125003,0.641355,2.646405
12846,10.300387,-2.620920,4.160856,0.021756,0.673068,2.657032
12847,10.197806,-2.733449,4.328135,-0.146199,0.689830,2.665098
12848,10.386634,-3.288126,4.417876,-0.293045,0.717770,2.686987
12849,10.472331,-3.550791,4.603251,-0.399544,0.795155,2.714589
12850,10.207750,-4.213753,4.580383,-0.563209,0.853043,2.752206
12851,9.979280,-4.802400,4.458118,-0.574168,0.849428,2.781754
12852,9.925113,-5.127066,4.208373,-0.556593,0.832961,2.826536
12853,9.803514,-5.390677,4.097962,-0.496344,0.807985,2.866980
12854,9.659461,-5.477206,4.184953,-0.427846,0.785523,2.880478
12855,9.578566,-5.670734,4.354717,-0.346890,0.761393,2.878437
12856,9.481638,-5.963026,4.549226,-0.268867,0.766426,2.872883
12857,9.426820,-6.293608,4.759419,-0.159224,0.810853,2.874188
12858,9.223024,-6.539798,4.834591,-0.029083,0.846440,2.891300
12859,9.042159,-6.725737,4.726741,0.124867,0.851126,2.905182
12860,8.905738,-6.753672,4.610987,0.275143,0.833128,2.916807
12861,8.803810,-6.581172,4.477709,0.363037,0.794720,2.917254
12862,8.784818,-6.480300,4.408164,0.400062,0.765718,2.898384
12863,8.656433,-6.497786,4.439725,0.415533,0.753743,2.873566
12864,8.479692,-6.556365,4.485123,0.435569,0.750127,2.849820
12865,8.172279,-6.472671,4.516693,0.452919,0.751662,2.820900
12866,7.823032,-6.474164,4.310867,0.470046,0.727462,2.774634
12867,7.714433,-6.465372,4.206665,0.541715,0.687005,2.723967
12868,7.542597,-6.343235,3.975231,0.636008,0.672780,2.668423
12869,7.154549,-6.249812,4.016915,0.689530,0.652615,2.596556
12870,6.965672,-6.201890,4.083340,0.739978,0.618784,2.531872
12871,6.765252,-6.084020,4.185041,0.787036,0.595840,2.479900
12872,6.406803,-6.062413,4.228469,0.804017,0.578614,2.437156
12873,6.090386,-6.141298,4.218279,0.829919,0.546119,2.390214
12874,5.819154,-6.211295,4.320505,0.847678,0.537754,2.348710
12875,5.453460,-6.368326,4.363999,0.884065,0.524976,2.311567
12876,5.176250,-6.473626,4.580288,0.949263,0.489964,2.262888
12877,5.000796,-6.364299,4.805971,0.976561,0.457150,2.207567
12878,4.858740,-6.172880,5.041991,0.946551,0.446885,2.147174
12879,4.703000,-6.034936,5.122396,0.903377,0.426988,2.088717
12880,4.618824,-5.931633,5.142081,0.817336,0.388718,2.045176
12881,4.565089,-5.917047,5.211724,0.760143,0.398824,1.997687
12882,4.345593,-6.026679,5.324951,0.757413,0.442398,1.951776
12883,3.997028,-6.080989,5.444853,0.779443,0.471181,1.921633
12884,3.602645,-6.021017,5.652495,0.799309,0.482435,1.885173
12885,3.360911,-6.175046,5.577952,0.843113,0.472519,1.862344
12886,3.154825,-6.214750,5.238753,0.921831,0.439468,1.838636
12887,3.095708,-6.074252,5.087248,0.967121,0.379977,1.792255
12888,3.181791,-6.018345,5.000828,0.974866,0.333946,1.735007
12889,3.116058,-5.762302,5.168507,0.992357,0.320690,1.666437
12890,2.927014,-5.487991,5.479453,0.950110,0.306260,1.577129
12891,2.736724,-5.090188,5.536575,0.894934,0.320059,1.502197
12892,2.505500,-4.709352,5.713614,0.783683,0.321045,1.428284
12893,2.409120,-4.403544,5.860582,0.619612,0.315669,1.354730
12894,2.280311,-4.248537,6.055674,0.483794,0.319549,1.287557
12895,2.025947,-4.014896,6.224806,0.306130,0.303647,1.221896
12896,1.831144,-3.973224,6.235805,0.079562,0.258944,1.143856
12897,1.734338,-3.968403,6.330211,-0.083572,0.233569,1.062393
12898,1.596437,-4.155405,6.471514,-0.196706,0.234656,0.978419
12899,1.421478,-4.272665,6.757170,-0.298678,0.247062,0.904991
12900,1.280909,-4.314445,6.924434,-0.349992,0.237505,0.804888
12901,1.170898,-4.194024,6.989352,-0.339530,0.213147,0.711148
12902,1.136360,-4.006369,6.873752,-0.309899,0.190349,0.609713
12903,1.101559,-3.897243,6.826529,-0.264615,0.171118,0.504313
12904,1.201536,-3.918064,6.792639,-0.229653,0.154756,0.405536
12905,1.272165,-3.937237,6.753616,-0.179427,0.155039,0.307725
12906,1.349683,-3.783497,6.831643,-0.098769,0.179572,0.207858
12907,1.531865,-3.321728,6.958406,-0.017545,0.181474,0.084356
12908,1.836691,-2.954139,7.052536,0.009852,0.169834,-0.038053
12909,1.886695,-2.686752,7.055246,0.053227,0.189393,-0.191660
12910,1.591111,-2.305241,7.171503,0.040258,0.189315,-0.357928
12911,1.093922,-1.848142,7.308530,-0.048529,0.153197,-0.552385
12912,0.955885,-1.591429,7.316157,-0.180095,0.100426,-0.758279
12913,1.241002,-1.762799,7.070506,-0.354954,0.048992,-0.942571
12914,1.727119,-2.390970,6.749881,-0.486462,0.035287,-1.107703
12915,2.114658,-3.171145,6.603739,-0.510189,0.060448,-1.223625
12916,2.191230,-3.810235,6.524942,-0.482073,0.087803,-1.315186
12917,2.152345,-4.188345,6.595695,-0.448745,0.092043,-1.394174
12918,2.066074,-4.178940,6.646273,-0.419214,0.066533,-1.472367
12919,2.013609,-4.021601,6.560199,-0.432156,0.034640,-1.568517
12920,2.126648,-3.895736,6.560236,-0.501722,-0.019121,-1.676041
12921,2.518802,-3.951898,6.658236,-0.600174,-0.028999,-1.780854
12922,2.813793,-4.268628,6.714254,-0.687007,-0.014279,-1.875110
12923,2.915991,-4.772989,6.662393,-0.723082,0.009788,-1.958053
12924,2.858894,-5.217727,6.471927,-0.709336,0.031269,-2.011194
12925,2.871443,-5.633159,6.041018,-0.673387,0.052960,-2.047914
12926,2.942629,-5.885772,5.651399,-0.601967,0.049076,-2.068658
12927,3.102009,-5.877378,5.342729,-0.540048,0.002379,-2.104137
12928,3.468799,-5.659349,5.098328,-0.512509,-0.076303,-2.152701
12929,4.200788,-5.485253,5.320618,-0.577881,-0.105326,-2.213561
12930,4.882544,-5.816276,5.935035,-0.665513,-0.055784,-2.261904
12931,5.124402,-6.474278,6.524260,-0.673301,0.054083,-2.259229
12932,4.804367,-6.785218,6.708214,-0.580367,0.151928,-2.265634
12933,4.285452,-6.841547,6.114900,-0.537415,0.172628,-2.268270
12934,3.861114,-6.808720,5.184763,-0.481577,0.101565,-2.295967
12935,4.009832,-6.633320,4.519993,-0.399761,-0.041330,-2.346893
12936,4.910487,-6.520675,4.504657,-0.385295,-0.149198,-2.406224
12937,6.188559,-6.600145,5.281677,-0.453774,-0.126225,-2.459533
12938,6.859186,-7.092279,6.236285,-0.485710,0.046531,-2.468269
12939,6.310035,-7.456596,6.880719,-0.347345,0.211349,-2.443224
12940,5.667873,-7.278539,6.862451,-0.216131,0.269710,-2.438303
12941,5.177517,-6.954485,6.332714,-0.227241,0.256038,-2.441813
12942,5.045027,-6.944504,5.262836,-0.212598,0.133971,-2.449179
12943,5.485347,-6.720586,4.240887,-0.120837,-0.063953,-2.491368
12944,6.654315,-6.213830,3.681182,-0.078909,-0.244381,-2.568227
12945,7.862518,-6.157330,4.071075,-0.138235,-0.299183,-2.669188
12946,8.750220,-6.755646,4.919339,-0.152824,-0.160934,-2.739787
12947,8.147107,-7.104539,5.532177,-0.023774,0.003495,-2.736681
12948,7.316666,-7.210774,5.647347,0.019035,0.007653,-2.704815
12949,6.435249,-7.327753,5.091799,-0.018858,-0.222354,-2.613526
12950,6.705490,-6.691845,4.985085,0.159443,-0.545672,-2.582826
12951,8.066454,-5.224354,5.400310,0.387688,-0.622453,-2.648622
12952,8.680461,-4.601196,5.128733,0.315930,-0.533278,-2.767074
12953,8.721027,-5.178696,5.286447,0.175654,-0.354550,-2.875129
12954,8.058766,-6.050436,5.481182,0.262618,-0.185238,-2.908264
12955,7.154833,-6.008880,5.767088,0.417570,-0.163157,-2.877258
12956,7.316178,-5.777149,5.826166,0.497203,-0.206398,-2.832483
12957,7.907148,-5.509428,5.841503,0.510692,-0.265909,-2.763169
12958,8.168348,-5.133292,5.939244,0.557935,-0.348411,-2.743216
12959,8.301531,-4.826560,5.353150,0.679666,-0.484144,-2.795469
12960,8.815008,-4.517702,5.031278,0.754485,-0.548996,-2.881922
12961,9.016587,-4.579906,4.706392,0.847348,-0.490115,-2.960072
12962,8.549961,-4.517812,4.549759,1.001863,-0.490160,-2.997887
12963,8.295905,-4.116873,4.728119,1.141128,-0.529206,-3.007705
12964,8.190177,-3.569889,5.045353,1.196004,-0.545849,-2.965334
12965,8.285932,-2.919582,5.458280,1.150985,-0.556401,-2.893173
12966,8.692340,-2.460438,5.592512,1.031521,-0.615708,-2.826641
12967,9.516011,-2.190489,5.370546,0.919095,-0.691727,-2.780568
12968,9.983012,-1.763217,5.235330,0.810497,-0.692905,-2.773005
12969,9.924790,-2.022850,4.701551,0.616388,-0.705161,-2.767772
12970,9.537603,-2.288582,4.175056,0.576330,-0.729781,-2.757329
12971,9.214741,-2.183392,3.969405,0.583975,-0.750863,-2.750709
12972,8.872460,-1.718709,4.010304,0.577683,-0.773962,-2.719034
12973,8.542285,-1.374969,4.104356,0.515672,-0.779052,-2.642280
12974,8.499222,-1.147437,4.115538,0.473651,-0.821628,-2.522058
12975,9.057381,-0.584788,4.537219,0.364664,-0.810427,-2.404069
12976,9.662597,-0.161942,5.106369,0.152017,-0.731961,-2.309610
12977,10.093852,-0.297353,5.127661,-0.102744,-0.628942,-2.239411
12978,10.017990,-0.072175,5.172008,-0.230070,-0.523913,-2.199378
12979,9.462781,0.270430,5.366501,-0.383238,-0.465386,-2.200195
12980,9.310736,-0.077197,5.120575,-0.515907,-0.462020,-2.173564
12981,9.352512,-0.353525,4.839851,-0.534451,-0.433262,-2.081019
12982,9.141684,-0.768870,4.794741,-0.517223,-0.415454,-1.949630
12983,9.113245,-1.134489,4.585242,-0.403584,-0.408646,-1.781496
12984,9.132963,-0.971248,4.619918,-0.307148,-0.392547,-1.590116
12985,8.969727,-0.988183,4.483359,-0.251461,-0.370210,-1.393748
12986,8.944421,-0.894415,4.163323,-0.158868,-0.379312,-1.210224
12987,8.663245,-0.685894,4.067785,-0.104453,-0.457165,-1.049545
12988,8.727909,-0.203792,4.157984,0.005007,-0.531448,-0.937007
12989,8.775368,0.354792,4.451841,0.029497,-0.555919,-0.858653
12990,8.715504,0.667961,4.649114,0.002809,-0.539994,-0.782683
12991,8.778862,0.754193,4.636434,-0.040461,-0.521420,-0.690503
12992,8.942986,0.541276,4.548882,-0.082719,-0.480908,-0.589374
12993,9.093095,0.471079,4.358974,-0.095415,-0.430950,-0.490500
12994,8.948098,0.560596,3.864946,-0.100353,-0.404512,-0.381403
12995,8.527024,0.770615,3.881961,-0.071713,-0.443754,-0.304867
12996,8.532538,0.954218,3.938657,-0.078255,-0.507399,-0.222735
12997,8.632732,1.048384,3.815764,-0.096230,-0.525047,-0.154421
12998,8.670170,0.995359,3.864653,-0.093126,-0.495984,-0.104247
12999,8.806047,0.866622,3.963347,-0.045376,-0.450517,-0.070378
13000,8.929223,0.853671,3.956067,-0.003162,-0.421519,-0.015492
13001,9.048135,0.834667,3.825103,0.034320,-0.405125,0.040840
13002,9.094580,0.930125,3.632046,0.131069,-0.383340,0.092023
13003,8.816449,1.497998,3.928428,0.272711,-0.383586,0.111759
13004,8.587422,2.094397,4.253751,0.293147,-0.388111,0.106160
13005,8.595025,2.351613,4.149212,0.263300,-0.404302,0.107541
13006,8.904590,2.395333,4.129786,0.267946,-0.414089,0.109126
13007,9.180831,2.381800,4.223166,0.250698,-0.379074,0.109194
13008,9.352757,2.301510,4.230986,0.223200,-0.343097,0.126039
13009,9.568578,2.198255,4.167205,0.166415,-0.329694,0.179479
13010,9.728739,1.964447,3.987964,0.141159,-0.325572,0.242887
13011,9.677429,1.891330,3.821703,0.144470,-0.314592,0.304441
13012,9.572223,1.911280,3.641809,0.163971,-0.309499,0.338209
13013,9.320835,1.927709,3.555303,0.225349,-0.301161,0.336142
13014,9.121898,2.107546,3.563921,0.284647,-0.292128,0.320388
13015,9.021628,2.212247,3.664470,0.332925,-0.284344,0.308799
13016,8.978260,2.238550,3.634602,0.344529,-0.276553,0.300379
13017,9.088027,2.182358,3.649390,0.346091,-0.270535,0.320704
13018,9.286128,2.043924,3.560251,0.353906,-0.259271,0.351197
13019,9.419299,1.986862,3.381011,0.401277,-0.238864,0.391918
13020,9.284905,2.058567,3.184710,0.458899,-0.235386,0.411258
13021,9.213529,2.320915,3.348081,0.514787,-0.245045,0.401758
13022,9.238859,2.621308,3.709067,0.499585,-0.230299,0.386130
13023,9.170050,2.810869,3.765649,0.427447,-0.206926,0.368243
13024,9.069863,2.689456,3.457632,0.349073,-0.202758,0.360739
13025,9.128355,2.406126,3.265088,0.318706,-0.197568,0.363121
13026,9.256593,2.208504,3.203770,0.308671,-0.199765,0.387501
13027,9.325277,2.170780,3.201904,0.345533,-0.203575,0.404248
13028,9.536821,2.241898,3.156736,0.374200,-0.218424,0.410697
13029,9.860665,2.254606,3.131437,0.410856,-0.188806,0.430506
13030,9.585087,2.040118,3.241798,0.471627,-0.145547,0.470016
13031,9.208068,1.947821,3.140264,0.496467,-0.184463,0.494544
13032,9.311029,1.920402,2.891953,0.467238,-0.225976,0.483612
13033,9.397322,1.872547,2.642635,0.466509,-0.191960,0.447240
13034,9.417764,1.932285,2.596142,0.473448,-0.155884,0.426588
13035,9.526698,2.140005,2.604450,0.491877,-0.122941,0.414271
13036,9.539846,2.456528,2.763182,0.470898,-0.099141,0.394512
13037,9.491666,2.702319,2.848056,0.435218,-0.065478,0.365454
13038,9.408941,2.758184,2.858852,0.369203,-0.040102,0.332910
13039,9.247919,2.721443,2.969594,0.319500,-0.032042,0.296809
13040,9.177885,2.611214,2.933157,0.298127,-0.044172,0.270156
13041,9.156184,2.332334,2.894755,0.268772,-0.064982,0.274505
13042,9.183507,2.073626,2.806803,0.278387,-0.087993,0.294172
13043,9.297342,1.801630,2.667311,0.305086,-0.121014,0.333829
13044,9.463948,1.737986,2.525185,0.336337,-0.139968,0.349638
13045,9.571499,2.014699,2.380737,0.387028,-0.136977,0.347424
13046,9.595238,2.304383,2.382549,0.369275,-0.115423,0.317353
13047,9.606517,2.544860,2.434297,0.341315,-0.096174,0.273299
13048,9.555522,2.681712,2.514789,0.271093,-0.074737,0.225196
13049,9.422171,2.730099,2.577002,0.171945,-0.067481,0.176572
13050,9.405674,2.546021,2.668645,0.089818,-0.063116,0.140929
13051,9.351640,2.395760,2.762395,0.050970,-0.066436,0.120168
13052,9.360938,2.319097,2.805056,0.034412,-0.070445,0.090844
13053,9.417168,2.333921,2.869424,0.032167,-0.069180,0.071934
13054,9.470164,2.347936,2.812100,0.025407,-0.064027,0.051906
13055,9.457362,2.290468,2.758464,0.015543,-0.057846,0.041386
13056,9.507176,2.047120,2.756948,-0.014812,-0.053659,0.040675
13057,9.542961,1.677897,2.637141,-0.055338,-0.049181,0.059039
13058,9.564034,1.253587,2.518564,-0.060403,-0.057245,0.081577
13059,9.539010,0.996283,2.298595,-0.019938,-0.069858,0.106885
13060,9.535298,1.088362,2.240923,0.035786,-0.075782,0.115344
13061,9.546768,1.269115,2.254164,0.054336,-0.065183,0.119650
13062,9.492894,1.448918,2.392443,0.042767,-0.049063,0.119756
13063,9.462392,1.473575,2.485449,0.025969,-0.044717,0.112935
13064,9.416993,1.411154,2.532613,0.029821,-0.034813,0.099819
13065,9.366514,1.453320,2.578692,0.062121,-0.020574,0.101474
13066,9.318835,1.463035,2.674693,0.084404,-0.016682,0.097455
13067,9.318621,1.490556,2.646163,0.113401,-0.025161,0.096882
13068,9.350879,1.554052,2.590536,0.146685,-0.023505,0.099684
13069,9.401823,1.602209,2.558843,0.163199,-0.019842,0.093360
13070,9.413979,1.717286,2.477582,0.159519,-0.019146,0.086289
13071,9.428960,1.799530,2.446005,0.139873,-0.017212,0.076029
13072,9.462330,1.830258,2.391198,0.109621,-0.018739,0.064875
13073,9.464502,1.827688,2.412516,0.064885,-0.012486,0.049299
13074,9.484762,1.773578,2.411509,0.033959,-0.010752,0.039365
13075,9.453518,1.664369,2.365419,0.012066,-0.013266,0.035163
13076,9.509075,1.540941,2.316953,0.008919,-0.018179,0.034097
13077,9.495096,1.450523,2.293879,0.021456,-0.016265,0.032616
13078,9.514929,1.468187,2.363871,0.042141,-0.017829,0.035686
13079,9.476029,1.638456,2.381327,0.056365,-0.023500,0.025988
13080,9.475510,1.743536,2.448616,0.043123,-0.014056,0.015607
13081,9.475159,1.813931,2.493364,0.014140,-0.013827,0.003332
