// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
05406,9.729092,-0.368103,1.294988,-0.005578,0.014395,-0.005645
05407,9.745026,-0.386465,1.262164,-0.004284,0.014557,-0.007370
05408,9.744602,-0.409854,1.259234,-0.005809,0.012990,-0.007284
05409,9.758470,-0.417575,1.306508,-0.004071,0.012888,-0.006000
05410,9.784399,-0.378555,1.228926,-0.005827,0.009917,-0.007554
05411,9.774912,-0.387283,1.282820,-0.014921,0.009733,-0.006234
05412,9.760537,-0.402383,1.233585,-0.015569,0.013201,-0.010476
05413,9.797800,-0.408950,1.273840,-0.013841,0.011563,-0.009327
05414,9.781287,-0.413412,1.304868,-0.007334,0.011422,-0.007198
05415,9.774464,-0.384476,1.287070,-0.004541,0.008544,-0.009412
05416,9.781607,-0.363732,1.315400,-0.007770,0.013222,-0.010071
05417,9.774251,-0.382675,1.289220,-0.011039,0.010219,-0.011407
05418,9.757764,-0.386807,1.320048,-0.008016,0.008745,-0.011981
05419,9.774090,-0.380456,1.291097,-0.008443,0.012082,-0.014718
05420,9.773753,-0.403289,1.287872,-0.012777,0.010319,-0.012692
05421,9.750502,-0.378983,1.300196,-0.008657,0.013750,-0.016086
05422,9.726523,-0.426682,1.299757,-0.009959,0.012049,-0.014498
05423,9.742850,-0.420274,1.270959,-0.008222,0.011949,-0.013213
05424,9.772894,-0.446198,1.283933,-0.006928,0.012113,-0.014936
05425,9.766273,-0.392717,1.270711,-0.004963,0.013416,-0.012011
05426,9.779852,-0.423852,1.313846,-0.005398,0.015216,-0.014883
05427,9.765795,-0.414266,1.269182,-0.000195,0.013379,-0.011162
05428,9.765682,-0.413181,1.270400,-0.006486,0.011846,-0.011929
05429,9.742181,-0.413042,1.278434,-0.000423,0.011976,-0.012802
05430,9.788906,-0.409659,1.265690,-0.000656,0.009036,-0.014579
05431,9.796199,-0.364447,1.298252,-0.001946,0.010407,-0.012720
05432,9.788946,-0.383185,1.272007,-0.003235,0.011777,-0.010862
05433,9.789058,-0.358014,1.277296,-0.006720,0.008904,-0.013706
05434,9.751490,-0.373490,1.234735,-0.006714,0.010440,-0.013570
05435,9.781564,-0.399446,1.247646,-0.014509,0.011943,-0.013849
05436,9.781482,-0.398528,1.248587,-0.012124,0.008374,-0.008323
05437,9.764757,-0.427062,1.275028,-0.012338,0.010042,-0.009691
05438,9.802159,-0.409560,1.319307,-0.013866,0.006937,-0.009746
05439,9.771396,-0.453624,1.295236,-0.006280,0.008640,-0.010697
05440,9.802018,-0.407649,1.320944,-0.000210,0.010310,-0.011430
05441,9.764631,-0.399109,1.282918,0.004129,0.013615,-0.013313
05442,9.757590,-0.393717,1.261078,0.009326,0.010247,-0.009726
05443,9.741171,-0.373694,1.296478,0.011929,0.013651,-0.012896
05444,9.734121,-0.368296,1.274709,0.003047,0.011779,-0.010225
05445,9.757443,-0.366062,1.268868,-0.005203,0.008934,-0.013926
05446,9.817577,-0.443135,1.289252,-0.004979,0.010337,-0.012285
05447,9.834290,-0.388607,1.268992,-0.005198,0.010470,-0.013789
05448,9.834232,-0.387291,1.269843,-0.009976,0.007427,-0.014916
05449,9.841267,-0.365828,1.297905,-0.012370,0.007922,-0.020717
05450,9.817688,-0.389501,1.301045,-0.011058,0.005591,-0.011828
05451,9.777853,-0.370627,1.342904,-0.005415,0.012138,-0.015156
05452,9.740662,-0.337829,1.308938,0.000637,0.007670,-0.016433
05453,9.733822,-0.307836,1.291046,-0.007817,0.009560,-0.021231
05454,9.703331,-0.326618,1.271351,-0.014763,0.008413,-0.026519
05455,9.756585,-0.422276,1.264338,-0.024292,0.011537,-0.027955
05456,9.756469,-0.443960,1.260867,-0.025597,0.008296,-0.026509
05457,9.756475,-0.441832,1.261566,-0.018875,0.008040,-0.022861
05458,9.793617,-0.471036,1.297213,-0.008042,0.008159,-0.022870
05459,9.793703,-0.444646,1.302417,-0.007181,0.010129,-0.027461
05460,9.786702,-0.462198,1.275899,-0.003056,0.008002,-0.020510
05461,9.800589,-0.444429,1.327117,0.002790,0.008281,-0.022878
05462,9.823942,-0.464849,1.316740,0.008634,0.007025,-0.025383
05463,9.807274,-0.539701,1.334236,0.016651,0.005408,-0.023591
05464,9.867775,-0.639041,1.349881,0.027041,0.002728,-0.026881
05465,9.864815,-0.794039,1.400873,0.044826,0.013225,-0.020772
05466,9.868664,-0.929488,1.480497,0.086442,0.020551,-0.010650
05467,9.855677,-1.143031,1.577988,0.145391,0.016185,0.011407
05468,9.931628,-1.407971,1.538145,0.208465,0.026592,0.041915
05469,9.993704,-1.450421,1.492376,0.264571,0.028143,0.066459
05470,10.120622,-1.348529,1.608746,0.299864,0.039997,0.076317
05471,10.140026,-1.440729,1.855955,0.372439,0.081312,0.089481
05472,10.083372,-1.542402,2.027021,0.481171,0.133948,0.118458
05473,10.078094,-1.598246,2.223929,0.547899,0.207563,0.168959
05474,9.968681,-1.629239,2.257467,0.605028,0.278827,0.228221
05475,9.876030,-1.769502,2.173804,0.695256,0.319073,0.291205
05476,9.956837,-1.855196,2.005100,0.817310,0.357232,0.361990
05477,9.902287,-2.064383,1.993933,0.942722,0.398814,0.424884
05478,9.816001,-2.093733,1.895057,1.051573,0.424440,0.492139
05479,10.000143,-2.032522,1.967566,1.104283,0.440363,0.567863
05480,10.248127,-2.021654,2.199958,1.107055,0.487208,0.650163
05481,10.334159,-2.108589,2.420807,1.089151,0.559573,0.725280
05482,10.319491,-2.191245,2.574528,1.077953,0.633566,0.803856
05483,10.275322,-2.296427,2.639862,1.073480,0.692603,0.876073
05484,10.398187,-2.417244,2.697313,1.083451,0.744087,0.941500
05485,10.591202,-2.458608,2.854307,1.096393,0.813853,1.014661
05486,10.731098,-2.630056,3.076845,1.119332,0.887901,1.092815
05487,10.724736,-2.819968,3.266673,1.152360,0.975405,1.173147
05488,10.669681,-2.836308,3.308699,1.205106,1.042197,1.243523
05489,10.662116,-2.766075,3.301613,1.265823,1.105347,1.317926
05490,10.694265,-2.808717,3.317551,1.299705,1.171550,1.398015
05491,10.615601,-2.697321,3.458904,1.300488,1.255556,1.488549
05492,10.729525,-2.624902,3.600559,1.242151,1.332311,1.572618
05493,10.856757,-2.610995,3.946286,1.116733,1.435401,1.626539
05494,10.900903,-2.671372,4.215868,1.023119,1.550649,1.669690
05495,10.720603,-2.669972,4.467018,0.952003,1.656957,1.704995
05496,10.409064,-2.681253,4.437766,0.896107,1.746870,1.725732
05497,10.172906,-2.628701,4.518632,0.801751,1.795652,1.782403
05498,10.341954,-2.946725,4.549151,0.737177,1.863048,1.825031
05499,10.464134,-2.804506,4.714353,0.619659,1.946669,1.867702
05500,10.372029,-2.706268,4.991557,0.451900,2.043514,1.892497
05501,10.313605,-2.657580,5.249605,0.282641,2.118291,1.923127
05502,10.133689,-2.741459,5.417961,0.112017,2.185137,1.965400
05503,9.851342,-2.700351,5.469123,-0.124837,2.236393,1.996180
05504,9.709349,-3.465583,5.408111,-0.300517,2.258554,2.020847
05505,9.673915,-4.103095,5.416330,-0.338059,2.297439,2.052399
05506,9.455943,-4.399877,5.579518,-0.338644,2.327944,2.087025
