// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
20985,9.528372,2.597196,1.320375,0.055181,-0.004696,0.008607
20986,9.530864,2.582214,1.349950,0.043570,-0.003046,0.013602
20987,9.561985,2.577802,1.363856,0.029828,-0.004183,0.009862
20988,9.523007,2.486122,1.380785,0.025922,0.006591,0.011784
20989,9.556111,2.466904,1.427491,0.020726,0.011162,0.013478
20990,9.548819,2.444665,1.438302,0.016577,0.020439,0.015718
20991,9.564691,2.388265,1.394826,0.017035,0.035455,0.019279
20992,9.522208,2.407211,1.410963,0.017250,0.048973,0.023162
20993,9.537946,2.350024,1.369846,0.017989,0.056162,0.028125
20994,9.507156,2.351063,1.359717,0.018552,0.060572,0.035240
20995,9.530585,2.313683,1.309754,0.018869,0.063486,0.042677
20996,9.530685,2.309793,1.315877,0.009361,0.071858,0.042828
20997,9.496756,2.250354,1.298979,0.008246,0.071130,0.046380
20998,9.546815,2.246103,1.283674,-0.000434,0.073394,0.049115
20999,9.570470,2.207224,1.235356,-0.003051,0.073009,0.052869
21000,9.620774,2.201952,1.220382,-0.010353,0.070878,0.059380
21001,9.671249,2.196000,1.205452,-0.007601,0.071388,0.065231
21002,9.660565,2.197312,1.160056,-0.018718,0.076057,0.069552
21003,9.620791,2.196321,1.210825,-0.015351,0.067675,0.080147
21004,9.604752,2.160517,1.205659,-0.019913,0.063363,0.086571
21005,9.554197,2.166094,1.202572,-0.019110,0.059937,0.095099
21006,9.507290,2.141959,1.261480,-0.024494,0.052423,0.100647
21007,9.481594,2.106945,1.313835,-0.028240,0.048621,0.102015
21008,9.461995,2.107392,1.324843,-0.030745,0.042978,0.103500
21009,9.483092,2.101426,1.292180,-0.028663,0.041634,0.098577
21010,9.476773,2.070914,1.306304,-0.023021,0.041299,0.094452
21011,9.460860,2.034765,1.298657,-0.008239,0.042928,0.085157
21012,9.484669,2.001783,1.327614,0.010057,0.036243,0.078367
21013,9.452793,2.022976,1.364078,0.036256,0.033353,0.066294
21014,9.452769,2.026651,1.446524,0.063123,0.029591,0.059086
21015,9.465226,2.005337,1.420079,0.090561,0.027519,0.053083
21016,9.495155,2.109545,1.430853,0.114181,0.022939,0.046607
21017,9.509218,2.172660,1.460369,0.133735,0.027646,0.042360
21018,9.510933,2.258913,1.405456,0.147972,0.030202,0.037831
21019,9.503692,2.334044,1.440653,0.146355,0.034371,0.032546
21020,9.523951,2.434399,1.428691,0.144266,0.031569,0.023808
21021,9.557221,2.503582,1.420697,0.131589,0.036512,0.018674
21022,9.501755,2.556921,1.429215,0.105159,0.043169,0.015584
21023,9.514980,2.622777,1.460309,0.073751,0.043927,0.009615
21024,9.484134,2.626866,1.447441,0.039334,0.048123,0.009937
21025,9.484856,2.616261,1.371169,-0.000372,0.048921,0.011793
21026,9.463441,2.625693,1.381737,-0.039011,0.041118,0.011853
21027,9.449638,2.558004,1.358172,-0.079728,0.046527,0.011399
21028,9.435871,2.489788,1.335361,-0.116551,0.038579,0.012776
21029,9.451310,2.431192,1.297216,-0.140416,0.039000,0.013590
21030,9.479910,2.340532,1.263333,-0.162996,0.036290,0.016377
21031,9.467590,2.256741,1.272478,-0.178783,0.036624,0.017445
21032,9.468329,2.140947,1.285493,-0.191567,0.036240,0.018135
21033,9.498208,2.035155,1.282580,-0.199189,0.031236,0.017183
21034,9.480401,1.906605,1.251084,-0.194965,0.029927,0.015133
21035,9.536832,1.834810,1.280328,-0.176889,0.023076,0.016522
21036,9.532607,1.771959,1.276946,-0.167842,0.019639,0.017226
21037,9.563054,1.763664,1.297263,-0.143890,0.016625,0.020106
21038,9.614678,1.744689,1.310908,-0.122317,0.012067,0.020446
21039,9.687492,1.714775,1.318078,-0.108248,0.011942,0.027698
