// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	VelInc_X	VelInc_Y	VelInc_Z	Roll	Pitch	Yaw
08244	2.269488	7.850520	9.091252	0.021851	0.078797	0.090866	40.931141	-10.297233	-30.555873
08245	2.866119	8.275506	9.373835	0.027583	0.083135	0.093723	41.059111	-9.949711	-33.400886
08246	3.292310	8.631749	9.690992	0.031710	0.086748	0.096927	40.729100	-11.032719	-34.271636
08247	3.161909	8.707493	9.094951	0.030495	0.087457	0.090965	40.408854	-12.226609	-35.193868
08248	2.692423	8.668878	8.107059	0.026002	0.086956	0.081084	40.221638	-13.226777	-36.110415
08249	2.721568	8.961885	7.906074	0.026281	0.089888	0.079069	40.284524	-14.340613	-37.120015
08250	3.088102	8.723365	8.198452	0.029783	0.087614	0.081983	40.015683	-15.501459	-38.035236
08251	3.173046	8.133244	8.700423	0.030443	0.081797	0.087025	40.478505	-16.772778	-39.209807
08252	3.575184	8.028786	9.695777	0.034211	0.080879	0.097017	40.140091	-18.163424	-40.176413
08253	4.206883	8.187764	10.680802	0.040277	0.082653	0.106896	40.380243	-19.479607	-41.450439
08254	4.804352	8.000995	11.300897	0.046108	0.080950	0.113139	39.885584	-21.001279	-42.509913
08255	4.572755	7.322389	11.293898	0.043725	0.074139	0.113128	39.466160	-22.345151	-43.720415
08256	4.657202	7.307745	11.105223	0.044444	0.073978	0.111319	39.121165	-24.055493	-45.081045
08257	4.313355	7.205488	10.837252	0.040942	0.072936	0.108624	38.171870	-25.427414	-46.264292
08258	4.091283	6.728334	10.680323	0.038717	0.068145	0.107066	37.959561	-27.283299	-47.832972
08259	4.391503	6.961315	11.371609	0.041531	0.070597	0.113995	36.813152	-28.350556	-49.058039
08260	4.924025	6.739990	12.011751	0.046751	0.068580	0.120433	36.495606	-30.245332	-50.748058
08261	4.417587	5.503376	12.036731	0.041723	0.056249	0.120670	35.023347	-30.931644	-51.969816
08262	4.496447	4.962886	12.644571	0.042284	0.051022	0.126803	34.699410	-32.863189	-53.893975
08263	4.339393	4.743042	12.285489	0.040711	0.048954	0.123162	32.558890	-33.441886	-54.997608
08264	3.762699	5.113014	11.641792	0.035122	0.052607	0.116530	32.192718	-35.457314	-57.145918
08265	3.337438	5.827442	10.850758	0.031208	0.059615	0.108414	30.194369	-35.802714	-58.530106
08266	2.754340	5.771173	10.422971	0.025647	0.059055	0.103952	30.063709	-37.595780	-61.184506
08267	2.261213	4.101547	10.383242	0.020785	0.042493	0.103611	28.817653	-37.544428	-62.766284
08268	2.828779	2.931326	9.961228	0.026442	0.030705	0.099691	28.748953	-39.114655	-65.825520
08269	3.362641	2.959822	9.155527	0.031811	0.030652	0.091849	27.197132	-38.575794	-67.112815
