// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
22161,9.539711,2.285729,1.327540,0.005792,0.012025,-0.010428
22162,9.535201,2.236126,1.359626,0.014643,0.008187,-0.010856
22163,9.581491,2.246473,1.323538,0.027921,0.006889,-0.011634
22164,9.551396,2.258930,1.337402,0.032345,0.009431,-0.011985
22165,9.567943,2.306336,1.337875,0.038791,0.011623,-0.011940
22166,9.597319,2.322807,1.347091,0.035631,0.008933,-0.009109
22167,9.575752,2.331837,1.338266,0.027676,0.009375,-0.005059
22168,9.545710,2.317926,1.329394,0.029172,0.008976,-0.009224
22169,9.524166,2.326768,1.320704,0.016422,0.008090,-0.003818
22170,9.536759,2.296591,1.330007,0.016796,0.009105,-0.004894
22171,9.545046,2.320023,1.330503,0.013645,0.006413,-0.002062
22172,9.544906,2.294521,1.307893,0.016042,0.004848,-0.002670
22173,9.566091,2.287107,1.316685,0.022485,0.000353,-0.002410
22174,9.595793,2.328459,1.348203,0.021733,0.002784,-0.000399
22175,9.595713,2.328759,1.348255,0.015288,0.007280,-0.000661
22176,9.553092,2.344625,1.330647,0.013787,0.007685,0.003504
22177,9.544636,2.321482,1.330900,0.006967,0.004477,0.004535
22178,9.557479,2.316305,1.362913,-0.001124,0.003648,0.003014
22179,9.582896,2.332808,1.318022,-0.003147,0.003998,0.002616
22180,9.536172,2.297846,1.332042,-0.008091,0.003630,-0.001666
22181,9.578653,2.282032,1.350526,-0.008467,0.002616,-0.000589
22182,9.578635,2.281998,1.350708,0.002023,-0.000350,0.000398
22183,9.578607,2.281954,1.350984,-0.002398,0.006025,0.000462
22184,9.595467,2.301816,1.328941,0.006444,0.006653,-0.000098
22185,9.569965,2.285055,1.374791,0.006069,0.007869,0.000907
22186,9.557098,2.289856,1.343665,0.005693,0.006855,0.001984
22187,9.540108,2.269844,1.366856,0.005318,0.008071,0.002989
22188,9.556988,2.263634,1.322172,0.008090,0.009749,0.001233
22189,9.518661,2.251821,1.336314,0.015283,0.007281,-0.000656
