// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
48864	9.829889	-1.160386	0.717723	-0.008106	0.005644	-0.009889	-58.797417	-82.147848	-9.995116
48865	9.801258	-1.145919	0.731273	-0.011903	-0.000459	-0.006957	-58.790889	-82.151393	-10.008591
48866	9.774423	-1.112515	0.729185	-0.013549	0.002333	-0.012771	-58.773249	-82.157294	-10.034226
48867	9.784218	-1.142470	0.692828	-0.007168	0.003881	-0.007990	-58.746311	-82.160055	-10.065564
48868	9.767045	-1.140135	0.654458	-0.007243	0.002046	-0.007334	-58.726817	-82.163075	-10.089421
48869	9.789204	-1.156497	0.675043	-0.004838	0.005134	-0.008178	-58.693640	-82.165551	-10.125709
48870	9.794141	-1.171030	0.657155	-0.003366	0.003749	-0.010971	-58.658970	-82.169932	-10.162661
48871	9.794239	-1.170020	0.657508	-0.004608	0.004403	-0.010195	-58.623830	-82.173607	-10.200797
48872	9.775335	-1.186172	0.634810	-0.003291	0.005583	-0.011625	-58.583462	-82.177788	-10.243501
48873	9.789555	-1.152645	0.676539	-0.007242	0.002043	-0.007334	-58.564390	-82.180763	-10.266940
48874	9.791420	-1.133072	0.660848	-0.002497	-0.006082	-0.008470	-58.575042	-82.186915	-10.257743
48875	9.789758	-1.151345	0.675810	-0.009950	-0.002153	-0.003817	-58.580105	-82.189425	-10.258387
48876	9.796458	-1.147325	0.642047	-0.006937	0.003147	-0.010005	-58.558855	-82.193776	-10.283994
48877	9.812038	-1.166838	0.696249	-0.003440	0.001912	-0.010314	-58.531509	-82.198246	-10.313584
48878	9.812135	-1.165860	0.696512	-0.004608	0.004401	-0.010193	-58.506660	-82.202394	-10.341524
48879	9.813976	-1.146055	0.681458	-0.004607	0.004400	-0.010193	-58.471307	-82.206056	-10.379872
48880	9.795071	-1.162294	0.658801	-0.005775	0.006889	-0.010072	-58.439764	-82.209357	-10.415267
48881	9.800053	-1.176531	0.641093	0.000512	0.005450	-0.014603	-58.387977	-82.214849	-10.467240
48882	9.773172	-1.142789	0.639697	-0.002203	0.007488	-0.011034	-58.355951	-82.218472	-10.501166
48883	9.790501	-1.143192	0.678889	0.002768	0.004870	-0.014136	-58.305855	-82.223900	-10.550127
48884	9.795491	-1.157447	0.661095	0.002232	0.004494	-0.009446	-58.289231	-82.227905	-10.566013
48885	9.788967	-1.159753	0.695113	0.002620	0.001199	-0.012826	-58.255119	-82.233794	-10.598926
48886	9.806316	-1.160329	0.733651	-0.001330	-0.002342	-0.008537	-58.270047	-82.239267	-10.585062
48887	9.808176	-1.140680	0.717900	-0.003658	-0.003598	-0.008349	-58.266551	-82.244420	-10.590705
48888	9.816329	-1.189550	0.696638	-0.000171	0.001403	-0.008603	-58.264498	-82.248348	-10.593247
48889	9.818127	-1.170034	0.681503	-0.000559	0.004697	-0.005223	-58.236425	-82.249475	-10.621899
48890	9.789424	-1.155630	0.695534	0.004634	0.007583	-0.010287	-58.210081	-82.251843	-10.646253
48891	9.802781	-1.147661	0.628816	0.000283	0.006174	-0.012583	-58.159933	-82.256105	-10.696695
48892	9.767462	-1.136540	0.676432	0.000684	0.004042	-0.005998	-58.163297	-82.257664	-10.693515
48893	9.786492	-1.118534	0.699735	-0.000011	-0.001164	-0.009966	-58.145386	-82.262868	-10.711595
48894	9.791512	-1.133071	0.681261	0.000927	-0.002922	-0.008069	-58.167559	-82.267501	-10.689081
48895	9.813732	-1.149269	0.701576	0.002159	0.002657	-0.008790	-58.137313	-82.270976	-10.718349
48896	9.785035	-1.134874	0.715354	0.006510	0.004066	-0.006493	-58.134700	-82.272822	-10.717781
48897	9.813854	-1.147659	0.702500	0.004561	0.005747	-0.009631	-58.090065	-82.275768	-10.760181
48898	9.818839	-1.162138	0.684750	0.004488	0.003912	-0.008977	-58.080374	-82.279031	-10.768465
48899	9.818930	-1.161141	0.685136	0.006975	0.002604	-0.010526	-58.043539	-82.283365	-10.801618
48900	9.820731	-1.141283	0.670353	0.007974	0.008912	-0.009230	-58.012582	-82.284788	-10.829378
48901	9.773075	-1.143809	0.661808	0.007182	0.014335	-0.012435	-57.929074	-82.286479	-10.909530
48902	9.736027	-1.150988	0.725386	0.003079	0.005959	-0.016802	-57.919214	-82.292740	-10.918366
48903	9.799639	-1.094325	0.760901	-0.006438	-0.010802	-0.014145	-57.929984	-82.302906	-10.911247
48904	9.826911	-1.125972	0.761333	-0.011145	-0.020214	-0.003206	-58.027000	-82.310077	-10.820881
48905	9.856772	-1.146529	0.622412	-0.010482	-0.002542	0.000869	-58.044166	-82.310441	-10.809665
48906	9.810734	-1.131128	0.598458	0.010962	0.027842	-0.005340	-57.948602	-82.304028	-10.900929
48907	9.717428	-1.164757	0.703497	0.032394	0.031458	-0.011106	-57.792073	-82.299850	-11.040218
48908	9.762638	-1.099115	0.826868	0.037048	-0.000196	-0.021051	-57.762997	-82.309429	-11.048800
48909	9.796642	-1.126124	0.794638	0.001971	-0.016488	-0.016890	-57.783109	-82.322680	-11.027427
48910	9.801160	-1.165811	0.666936	-0.006086	0.004586	-0.017364	-57.761009	-82.329304	-11.055242
48911	9.805413	-1.100402	0.745347	0.000048	0.005713	-0.020527	-57.694296	-82.337548	-11.122624
48912	9.858925	-1.084665	0.845129	-0.014728	-0.015765	-0.012153	-57.738486	-82.345882	-11.086428
48913	9.895591	-1.101091	0.672546	-0.025711	-0.004384	-0.007148	-57.753232	-82.350728	-11.086500
48914	9.904776	-1.157706	0.528271	-0.008475	0.030601	0.002963	-57.658720	-82.338612	-11.187903
48915	9.818046	-1.188171	0.601074	0.030747	0.060990	-0.017345	-57.382899	-82.328278	-11.448543
48916	9.771489	-1.066301	0.786285	0.042154	0.041244	-0.015809	-57.197630	-82.321757	-11.610706
48917	9.762978	-1.087028	0.838754	0.017273	0.020157	-0.009908	-57.093155	-82.320296	-11.706231
48918	9.789566	-1.144343	0.733860	0.003380	0.014444	-0.009453	-57.037335	-82.319527	-11.761439
48919	9.794562	-1.158447	0.717582	0.011126	0.024072	-0.016656	-56.907040	-82.320055	-11.886580
48920	9.764053	-1.162009	0.748572	0.017983	0.017950	-0.015950	-56.820884	-82.321568	-11.965826
48921	9.787974	-1.158576	0.754802	0.007373	0.005516	-0.013837	-56.765588	-82.326541	-12.017498
48922	9.815188	-1.189796	0.757536	0.011338	0.004003	-0.008210	-56.727202	-82.326209	-12.049871
48923	9.859561	-1.150847	0.771668	0.006772	0.023829	-0.008997	-56.618210	-82.323078	-12.156072
48924	9.818527	-1.150447	0.730509	0.011047	0.023412	-0.006039	-56.517768	-82.313929	-12.248596
48925	9.789589	-1.136184	0.746129	0.007711	0.022073	-0.007097	-56.418893	-82.310371	-12.344004
48926	9.780866	-1.111834	0.660635	0.013304	0.022834	-0.005564	-56.359354	-82.303716	-12.398274
48927	9.799592	-1.093804	0.686123	0.020308	0.020375	-0.006163	-56.262249	-82.300247	-12.484635
48928	9.816609	-1.094341	0.727031	0.021867	0.020813	-0.009603	-56.170662	-82.295827	-12.566599
48929	9.794435	-1.076447	0.709074	0.025041	0.024709	-0.007179	-56.053546	-82.291429	-12.670442
48930	9.792640	-1.094431	0.726701	0.020331	0.014142	-0.006208	-55.980292	-82.287215	-12.733394
