// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
49743,9.849452,-0.877217,0.345553,-0.024108,0.005163,-0.010523
49744,9.811460,-0.877462,0.408384,-0.017002,0.003998,-0.010382
49745,9.866269,-0.872718,0.384695,-0.009795,0.000335,-0.008893
49746,9.882241,-0.817632,0.405092,-0.004991,0.003980,-0.014039
49747,9.823379,-0.854028,0.464030,-0.011877,0.003293,-0.014905
49748,9.806824,-0.855327,0.425508,-0.001498,0.003072,-0.012935
49749,9.786062,-0.890413,0.421778,0.000236,0.000779,-0.017215
49750,9.835904,-0.867496,0.414498,0.008172,0.001562,-0.015053
49751,9.880696,-0.827156,0.423743,0.003405,0.004217,-0.016736
49752,9.900945,-0.895411,0.358804,0.005386,0.003756,-0.012072
49753,9.934923,-0.926774,0.331471,0.013886,0.001499,-0.013419
49754,9.913326,-0.910826,0.309483,0.022648,0.004227,-0.009237
49755,9.931476,-0.996586,0.261784,0.035069,-0.005783,-0.007507
49756,9.983302,-0.958016,0.236526,0.060227,-0.010835,0.004315
49757,9.934272,-0.873559,0.312446,0.074073,-0.015128,0.010795
49758,9.890274,-0.807127,0.371452,0.072860,-0.022195,0.018388
49759,9.845474,-0.689876,0.410958,0.068495,-0.029552,0.022092
49760,9.846274,-0.585164,0.477099,0.046893,-0.034206,0.019566
49761,9.823349,-0.482478,0.538418,0.020272,-0.021843,0.017559
49762,9.799618,-0.485712,0.531188,-0.032088,-0.023827,0.002980
49763,9.805544,-0.554489,0.531766,-0.076881,-0.008211,-0.008614
49764,9.793899,-0.731691,0.424962,-0.118177,-0.009184,-0.017179
49765,9.820784,-0.920110,0.379067,-0.128884,-0.001526,-0.023215
49766,9.775491,-1.063265,0.299829,-0.113846,0.001185,-0.024372
49767,9.838372,-1.109227,0.259642,-0.093100,0.000709,-0.020470
49768,9.798912,-1.163950,0.233484,-0.066745,-0.000448,-0.012856
49769,9.817813,-1.143579,0.254013,-0.033050,-0.004580,-0.005813
49770,9.848375,-1.103632,0.329790,-0.009720,-0.005337,-0.004141
49771,9.817442,-0.947567,0.409359,0.018175,-0.003739,-0.003477
49772,9.792422,-0.860065,0.491133,0.012574,-0.003031,-0.007178
49773,9.808339,-0.805104,0.511418,0.006870,0.000178,-0.012221
49774,9.835209,-0.835786,0.517786,-0.008493,0.008037,-0.018551
49775,9.860465,-0.920762,0.436610,-0.011872,0.009590,-0.021724
49776,9.800182,-1.011499,0.408597,0.001355,0.017183,-0.019890
49777,9.848388,-1.042830,0.314584,0.020791,0.008541,-0.019382
49778,9.849474,-1.092331,0.334562,0.048012,0.015684,-0.016546
49779,9.872406,-1.037475,0.323001,0.075634,0.009660,-0.004929
49780,9.882193,-0.913971,0.342693,0.093562,0.004582,-0.004284
49781,9.863120,-0.775240,0.373495,0.094495,0.007142,-0.004352
49782,9.867842,-0.634087,0.408876,0.074054,0.003181,-0.007670
49783,9.844095,-0.635060,0.404660,0.040471,0.004798,-0.013372
49784,9.825445,-0.652964,0.384086,0.018781,0.005763,-0.020667
49785,9.850882,-0.738114,0.303026,-0.006650,0.003190,-0.021505
49786,9.872287,-0.857101,0.256417,-0.013204,-0.001852,-0.021736
49787,9.841091,-0.963122,0.216056,-0.006429,0.001337,-0.022228
49788,9.849387,-1.013126,0.200520,0.016146,-0.010164,-0.014398
49789,9.837811,-0.887519,0.318653,0.028956,-0.014518,-0.009212
49790,9.824726,-0.817611,0.348679,0.024047,-0.018807,-0.001985
49791,9.824296,-0.778974,0.451919,0.017611,-0.023205,-0.004283
49792,9.838103,-0.741296,0.487227,0.009560,-0.024650,-0.004368
49793,9.860042,-0.755112,0.507762,-0.005911,-0.014305,-0.012055
49794,9.867309,-0.754055,0.472596,-0.028763,-0.010955,-0.021984
49795,9.841260,-0.877600,0.414919,-0.038200,-0.008161,-0.023996
49796,9.846120,-0.999171,0.328926,-0.035481,0.002124,-0.025504
49797,9.843956,-1.120176,0.277018,-0.016494,-0.002829,-0.023561
49798,9.817307,-1.086108,0.270679,0.009757,-0.001420,-0.017297
49799,9.846355,-1.099673,0.259365,0.030516,-0.001814,-0.013384
49800,9.853935,-0.992453,0.294682,0.056385,-0.006063,-0.010589
49801,9.873984,-0.796824,0.349014,0.069810,-0.000332,-0.009520
49802,9.863905,-0.760559,0.382044,0.044386,0.000201,-0.013764
49803,9.915546,-0.720644,0.357465,0.032165,0.005200,-0.012787
49804,9.912535,-0.684572,0.356809,0.004869,0.003689,-0.020336
49805,9.844398,-0.723913,0.343662,-0.018670,0.006292,-0.021255
49806,9.808297,-0.812865,0.320283,-0.026833,0.004197,-0.019263
49807,9.845567,-0.878139,0.293992,-0.023453,0.002652,-0.016091
49808,9.801235,-0.915929,0.285244,-0.013079,-0.000682,-0.010714
49809,9.896512,-0.905406,0.304952,0.002190,0.000266,-0.012574
49810,9.878136,-0.817551,0.352625,0.013846,-0.001674,-0.010041
49811,9.898866,-0.779725,0.356447,0.001964,0.002115,-0.011854
49812,9.872009,-0.746512,0.350458,-0.004918,0.001409,-0.012708
49813,9.875267,-0.779575,0.351643,-0.018681,-0.000003,-0.014415
49814,9.839249,-0.869100,0.327692,-0.023345,0.000140,-0.014745
49815,9.851560,-0.885855,0.277404,-0.017745,-0.000547,-0.011047
49816,9.815664,-0.869271,0.322393,0.000909,-0.001127,-0.009730
49817,9.784983,-0.763799,0.420226,-0.005374,0.001971,-0.007844
49818,9.802375,-0.798382,0.353870,-0.014475,0.000407,-0.009224
49819,9.855169,-0.809958,0.347608,-0.016806,0.005185,-0.014525
49820,9.863594,-0.860460,0.332498,-0.021017,-0.001514,-0.012875
49821,9.908034,-0.926528,0.272173,-0.017974,0.004432,-0.013753
49822,9.933197,-0.974057,0.296108,-0.003869,0.004650,-0.014836
49823,9.913372,-0.941503,0.257004,0.018314,0.010057,-0.006153
49824,9.892805,-0.871444,0.323274,0.020418,0.007128,-0.000133
49825,9.867701,-0.822948,0.300461,0.018569,0.005654,0.009650
49826,9.882322,-0.838485,0.356890,0.013791,-0.004262,0.021662
49827,9.893675,-0.820817,0.411579,0.022319,-0.005919,0.033402
49828,9.994986,-0.777417,0.502157,0.019187,-0.008791,0.046027
49829,10.123800,-0.805940,0.493356,0.012212,-0.012706,0.063761
49830,10.347567,-0.827808,0.503955,-0.004294,-0.013903,0.094647
49831,10.531601,-0.910112,0.489199,-0.015327,-0.016472,0.131282
49832,10.553053,-0.992398,0.528735,-0.036231,-0.008887,0.176984
