// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
14885,9.543107,2.671743,0.435683,0.015433,0.012859,-0.010358
14886,9.521930,2.682310,0.410643,0.013683,0.010559,-0.008402
14887,9.536174,2.663831,0.415908,0.003077,0.015609,-0.005739
14888,9.502798,2.672268,0.423410,0.000468,0.007295,-0.013368
14889,9.521026,2.685082,0.413480,-0.004148,0.007899,-0.010889
14890,9.518346,2.616933,0.390356,-0.002843,0.005765,-0.011583
14891,9.557459,2.620147,0.406054,-0.004661,0.005171,-0.012617
14892,9.563464,2.630981,0.428157,-0.002354,0.004870,-0.013855
14893,9.563113,2.632163,0.428717,-0.005408,0.004702,-0.011207
14894,9.537780,2.612168,0.418718,-0.000913,0.011141,-0.015659
14895,9.522833,2.632829,0.415249,0.002516,0.005635,-0.015467
14896,9.551481,2.595679,0.424554,-0.001079,0.011695,-0.009532
14897,9.509910,2.633002,0.449133,0.002024,0.006531,-0.013192
14898,9.557127,2.607659,0.447399,0.003331,0.004398,-0.013885
14899,9.521392,2.637620,0.417876,0.004095,0.008492,-0.011292
14900,9.529651,2.627211,0.476512,-0.001612,0.005341,-0.015261
14901,9.551883,2.671094,0.451587,-0.007791,0.006710,-0.012955
14902,9.537023,2.601125,0.460604,-0.005993,0.003682,-0.015921
14903,9.532452,2.662221,0.463653,-0.006302,0.007650,-0.015771
14904,9.533885,2.625223,0.425702,-0.007794,0.006711,-0.012954
14905,9.558415,2.647750,0.437427,-0.005232,0.007778,-0.013326
14906,9.572577,2.629778,0.442550,-0.005978,0.007308,-0.011917
14907,9.622038,2.673465,0.465209,-0.005725,0.008673,-0.011052
14908,9.661147,2.676595,0.481369,-0.008034,0.008972,-0.009814
14909,9.691621,2.691469,0.439680,-0.014795,0.009317,-0.012226
14910,9.633216,2.678792,0.436850,-0.014926,0.016361,-0.014196
14911,9.597536,2.618289,0.421471,-0.017802,0.019265,-0.013670
14912,9.563953,2.627096,0.429939,-0.018818,0.013808,-0.017129
14913,9.548839,2.648052,0.427288,-0.016525,0.009891,-0.022367
14914,9.556461,2.621407,0.411109,-0.014651,0.005155,-0.022348
14915,9.630609,2.597178,0.457292,-0.013982,0.007340,-0.026738
14916,9.675583,2.611508,0.494871,-0.006982,0.004741,-0.027462
