// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
08102,9.764537,-1.772556,0.519820,0.005499,0.012614,-0.017503
08103,9.737619,-1.715054,0.551619,0.004465,0.012430,-0.019297
08104,9.751481,-1.741035,0.537460,-0.007973,0.010458,-0.019027
08105,9.740456,-1.758920,0.564238,-0.016357,0.010599,-0.020568
08106,9.741923,-1.780781,0.570140,-0.018038,0.006848,-0.021059
08107,9.758165,-1.854259,0.566224,-0.012420,0.011720,-0.020325
08108,9.717750,-1.883420,0.548407,-0.007783,0.007465,-0.022862
08109,9.750321,-1.858178,0.535006,0.002439,0.005711,-0.013622
08110,9.729588,-1.860490,0.523836,0.012081,0.007736,-0.014402
08111,9.728617,-1.835403,0.519414,0.019204,0.005435,-0.010541
08112,9.740096,-1.814431,0.494411,0.022110,0.006377,-0.012088
08113,9.700519,-1.753431,0.546518,0.026663,0.006099,-0.012858
08114,9.682134,-1.803279,0.546182,0.020543,0.003612,-0.014639
08115,9.703296,-1.798175,0.558900,0.022608,0.003979,-0.011055
08116,9.729621,-1.828772,0.523987,0.028306,0.004873,-0.012091
08117,9.717357,-1.823318,0.545466,0.032328,0.002018,-0.013614
08118,9.697827,-1.849362,0.539787,0.045258,0.001600,-0.012853
08119,9.729076,-1.800773,0.521286,0.052374,-0.000704,-0.009003
08120,9.740494,-1.780105,0.496213,0.057226,-0.000388,-0.004920
08121,9.715602,-1.771248,0.538440,0.059396,0.000959,-0.003411
08122,9.721767,-1.715104,0.560866,0.054394,-0.005330,-0.005159
08123,9.733158,-1.694668,0.535368,0.045927,-0.001217,-0.004939
08124,9.741798,-1.685602,0.568373,0.036826,-0.003284,-0.014146
08125,9.749279,-1.652447,0.596037,0.028277,0.004817,-0.012160
08126,9.733765,-1.690524,0.537431,0.006586,0.008750,-0.017543
08127,9.715513,-1.739938,0.537533,0.000611,0.012213,-0.021671
08128,9.717045,-1.761554,0.544171,-0.004973,0.012303,-0.022691
08129,9.722607,-1.795352,0.497797,0.001024,0.013804,-0.018871
08130,9.743800,-1.789711,0.511245,0.001550,0.016379,-0.018130
08131,9.711864,-1.811344,0.526591,0.002759,0.008601,-0.019853
08132,9.713387,-1.833277,0.532937,0.005439,0.007573,-0.017283
08133,9.712355,-1.808184,0.528405,0.015147,0.008240,-0.009094
08134,9.729375,-1.791052,0.594388,0.017107,0.005003,-0.014201
08135,9.748028,-1.738369,0.596098,0.015236,0.004255,-0.010855
08136,9.769091,-1.733427,0.609002,0.016287,0.009408,-0.009372
