// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
08102	9.764537	-1.772556	0.519820	0.005499	0.012614	-0.017503	-73.683057	-79.283872	-7.884947
08103	9.737619	-1.715054	0.551619	0.004465	0.012430	-0.019297	-72.199196	-79.513917	-9.644376
08104	9.751481	-1.741035	0.537460	-0.007973	0.010458	-0.019027	-72.935095	-79.404497	-8.784112
08105	9.740456	-1.758920	0.564238	-0.016357	0.010599	-0.020568	-72.894906	-79.413978	-8.834532
08106	9.741923	-1.780781	0.570140	-0.018038	0.006848	-0.021059	-72.864958	-79.424683	-8.875962
08107	9.758165	-1.854259	0.566224	-0.012420	0.011720	-0.020325	-72.819284	-79.433829	-8.929663
08108	9.717750	-1.883420	0.548407	-0.007783	0.007465	-0.022862	-72.780923	-79.444848	-8.973217
08109	9.750321	-1.858178	0.535006	0.002439	0.005711	-0.013622	-72.750334	-79.451332	-9.002911
08110	9.729588	-1.860490	0.523836	0.012081	0.007736	-0.014402	-72.708363	-79.457040	-9.038591
08111	9.728617	-1.835403	0.519414	0.019204	0.005435	-0.010541	-72.671725	-79.461880	-9.064665
08112	9.740096	-1.814431	0.494411	0.022110	0.006377	-0.012088	-72.631958	-79.465835	-9.092324
08113	9.700519	-1.753431	0.546518	0.026663	0.006099	-0.012858	-72.586899	-79.471821	-9.122616
08114	9.682134	-1.803279	0.546182	0.020543	0.003612	-0.014639	-72.555393	-79.477241	-9.142841
08115	9.703296	-1.798175	0.558900	0.022608	0.003979	-0.011055	-72.520495	-79.482599	-9.165161
08116	9.729621	-1.828772	0.523987	0.028306	0.004873	-0.012091	-72.483761	-79.485601	-9.186200
08117	9.717357	-1.823318	0.545466	0.032328	0.002018	-0.013614	-72.446629	-79.492691	-9.205127
08118	9.697827	-1.849362	0.539787	0.045258	0.001600	-0.012853	-72.411538	-79.495592	-9.214700
08119	9.729076	-1.800773	0.521286	0.052374	-0.000704	-0.009003	-72.375187	-79.500631	-9.221151
08120	9.740494	-1.780105	0.496213	0.057226	-0.000388	-0.004920	-72.349621	-79.498351	-9.214169
08121	9.715602	-1.771248	0.538440	0.059396	0.000959	-0.003411	-72.309565	-79.500046	-9.220296
08122	9.721767	-1.715104	0.560866	0.054394	-0.005330	-0.005159	-72.303225	-79.498305	-9.195535
08123	9.733158	-1.694668	0.535368	0.045927	-0.001217	-0.004939	-72.275850	-79.501213	-9.196614
08124	9.741798	-1.685602	0.568373	0.036826	-0.003284	-0.014146	-72.264252	-79.504349	-9.187404
08125	9.749279	-1.652447	0.596037	0.028277	0.004817	-0.012160	-72.222385	-79.510142	-9.213506
08126	9.733765	-1.690524	0.537431	0.006586	0.008750	-0.017543	-72.184545	-79.513864	-9.248390
08127	9.715513	-1.739938	0.537533	0.000611	0.012213	-0.021671	-72.127627	-79.523539	-9.305918
08128	9.717045	-1.761554	0.544171	-0.004973	0.012303	-0.022691	-72.081780	-79.529845	-9.355723
08129	9.722607	-1.795352	0.497797	0.001024	0.013804	-0.018871	-72.022439	-79.537698	-9.415470
08130	9.743800	-1.789711	0.511245	0.001550	0.016379	-0.018130	-71.969818	-79.539471	-9.468566
08131	9.711864	-1.811344	0.526591	0.002759	0.008601	-0.019853	-71.923741	-79.548760	-9.513815
08132	9.713387	-1.833277	0.532937	0.005439	0.007573	-0.017283	-71.901596	-79.550369	-9.533790
08133	9.712355	-1.808184	0.528405	0.015147	0.008240	-0.009094	-71.859770	-79.553843	-9.567499
08134	9.729375	-1.791052	0.594388	0.017107	0.005003	-0.014201	-71.847126	-79.552087	-9.570933
08135	9.748028	-1.738369	0.596098	0.015236	0.004255	-0.010855	-71.815258	-79.557205	-9.594464
08136	9.769091	-1.733427	0.609002	0.016287	0.009408	-0.009372	-71.790665	-79.552785	-9.611734
08137	9.772085	-1.720610	0.551537	0.006882	0.009350	-0.012693	-71.746680	-79.557988	-9.652467
08138	9.726316	-1.714815	0.581850	0.003695	0.012760	-0.016319	-71.709783	-79.557829	-9.688609
08139	9.752767	-1.745376	0.547631	0.002350	0.014590	-0.012230	-71.653356	-79.561835	-9.744627
08140	9.703931	-1.783505	0.498288	0.001953	0.017955	-0.015349	-71.603532	-79.558804	-9.795059
08141	9.711272	-1.750268	0.526736	0.004200	0.010370	-0.015272	-71.555419	-79.565188	-9.841546
08142	9.680900	-1.737000	0.477950	0.005755	0.013137	-0.012739	-71.525661	-79.561192	-9.870221
08143	9.655971	-1.727729	0.520139	-0.002331	0.008923	-0.009085	-71.491557	-79.564455	-9.906282
08144	9.692017	-1.774764	0.523297	-0.005343	0.007007	-0.005463	-71.497094	-79.558134	-9.904444
08145	9.732664	-1.742652	0.542237	-0.010307	0.005687	-0.007497	-71.478749	-79.561179	-9.929128
08146	9.746579	-1.769758	0.527486	-0.012480	0.004324	-0.009021	-71.496446	-79.555279	-9.921985
08147	9.729964	-1.752951	0.601518	-0.011544	0.008497	-0.005473	-71.472377	-79.556718	-9.953256
08148	9.717507	-1.748245	0.622498	-0.009690	0.004280	-0.008513	-71.488695	-79.554572	-9.946054
08149	9.777500	-1.779163	0.578751	-0.014830	0.008281	-0.017801	-71.454927	-79.562782	-9.989122
08150	9.756816	-1.781620	0.567403	-0.013388	0.010068	-0.013200	-71.450268	-79.560951	-10.001490
08151	9.777901	-1.776466	0.580256	-0.013897	0.012451	-0.014255	-71.407249	-79.566487	-10.053396
08152	9.730471	-1.838414	0.535749	-0.009966	0.013579	-0.014016	-71.389170	-79.564862	-10.077086
08153	9.695936	-1.813109	0.539950	0.000786	0.011817	-0.014777	-71.339211	-79.570830	-10.127464
08154	9.694816	-1.788186	0.535528	0.007796	0.008563	-0.008837	-71.338788	-79.562507	-10.118890
08155	9.692371	-1.739745	0.525564	0.006146	0.009774	-0.009621	-71.297124	-79.566041	-10.157651
08156	9.681221	-1.758447	0.552448	0.004483	0.006026	-0.010093	-71.303141	-79.558811	-10.153348
08157	9.701024	-1.729549	0.559510	0.009242	0.002749	-0.014687	-71.275152	-79.566308	-10.176424
08158	9.702496	-1.752062	0.565633	-0.000579	0.008682	-0.010379	-71.274660	-79.564873	-10.180987
08159	9.684368	-1.802241	0.565323	0.004181	0.005405	-0.014973	-71.241484	-79.572072	-10.212285
08160	9.716763	-1.777181	0.552015	0.001910	0.008020	-0.014745	-71.239794	-79.567846	-10.211361
08161	9.697379	-1.803410	0.546482	0.000780	0.011807	-0.014789	-71.189961	-79.573782	-10.261555
08162	9.701484	-1.873211	0.564113	0.006981	0.010322	-0.014777	-71.183341	-79.563767	-10.260772
08163	9.721220	-1.844380	0.571827	0.017302	0.009612	-0.007577	-71.137732	-79.566077	-10.297008
08164	9.754811	-1.843393	0.564745	0.020421	0.012503	-0.013271	-71.111212	-79.557587	-10.316719
08165	9.732707	-1.822677	0.548741	0.018740	0.011402	-0.002975	-71.064003	-79.557060	-10.353789
08166	9.750957	-1.770935	0.551124	0.024830	0.008939	-0.000894	-71.060946	-79.542474	-10.344502
08167	9.781854	-1.723012	0.532649	0.012850	0.005896	-0.008566	-71.027641	-79.546026	-10.370891
08168	9.705018	-1.765523	0.581977	0.005808	0.006832	-0.003431	-71.044319	-79.540564	-10.353131
08169	9.752444	-1.792942	0.559045	0.004880	0.002656	-0.006980	-71.026836	-79.543868	-10.368040
08170	9.759513	-1.760581	0.586385	0.007560	0.001640	-0.004397	-71.056353	-79.533240	-10.331507
08171	9.740010	-1.787819	0.580194	0.001359	0.003124	-0.004412	-71.042200	-79.535049	-10.345054
08172	9.773527	-1.787510	0.572209	0.000227	0.006910	-0.004458	-71.054533	-79.520527	-10.332384
08173	9.753974	-1.814922	0.566399	-0.000504	0.007339	-0.001377	-71.032070	-79.519861	-10.355480
08174	9.684362	-1.858387	0.504223	0.005704	0.010812	-0.001682	-71.038333	-79.510542	-10.342766
08175	9.670487	-1.830155	0.520096	0.014389	0.003707	-0.005714	-71.013857	-79.512937	-10.359182
08176	9.685794	-1.881114	0.511214	0.022240	0.001012	-0.004915	-71.041014	-79.504202	-10.314105
08177	9.651101	-1.856643	0.514667	0.037428	-0.001999	-0.004378	-71.021577	-79.506947	-10.311923
08178	9.718120	-1.856289	0.498391	0.045282	0.000258	-0.003908	-71.053298	-79.497185	-10.239470
08179	9.726427	-1.847825	0.531724	0.056834	-0.003266	0.001257	-71.032581	-79.497106	-10.227150
08180	9.719488	-1.787860	0.574386	0.056937	-0.002303	-0.000829	-71.067987	-79.476904	-10.144791
08181	9.714258	-1.692400	0.553181	0.058185	0.004786	-0.003516	-71.018364	-79.477782	-10.160991
08182	9.700418	-1.663683	0.569381	0.040422	0.004826	-0.008381	-71.020602	-79.465489	-10.136533
08183	9.722738	-1.682262	0.588110	0.027618	0.006197	-0.011210	-70.976601	-79.470168	-10.164813
08184	9.757688	-1.704826	0.586338	0.014195	0.008976	-0.013024	-70.977826	-79.464054	-10.151382
08185	9.741300	-1.719941	0.522524	-0.000579	0.013601	-0.010745	-70.929016	-79.467040	-10.200929
08186	9.730159	-1.738321	0.549927	-0.008834	0.014693	-0.014346	-70.919413	-79.465595	-10.217871
08187	9.712110	-1.788517	0.550322	-0.020717	0.015289	-0.013305	-70.874733	-79.469641	-10.274922
08188	9.724899	-1.791355	0.530972	-0.023397	0.016298	-0.015892	-70.869409	-79.470277	-10.292499
08189	9.703880	-1.852770	0.589815	-0.019367	0.013441	-0.017406	-70.825335	-79.476924	-10.348109
08190	9.716741	-1.855350	0.570239	-0.008732	0.010705	-0.016099	-70.828629	-79.474523	-10.348052
08191	9.773976	-1.897421	0.585984	-0.000369	0.010586	-0.014566	-70.784945	-79.480136	-10.392150
08192	9.740740	-1.895733	0.595515	0.010486	0.009796	-0.017403	-70.781564	-79.472323	-10.383379
08193	9.809280	-1.918001	0.585652	0.024940	0.012177	-0.014115	-70.719279	-79.477271	-10.431584
08194	9.785929	-1.873076	0.564092	0.036711	0.010612	-0.013085	-70.706641	-79.470947	-10.417372
08195	9.772098	-1.843822	0.580878	0.045584	0.013066	-0.010827	-70.633519	-79.473874	-10.464479
08196	9.794339	-1.862624	0.600544	0.044519	0.010587	-0.001530	-70.617589	-79.455578	-10.451817
08197	9.799758	-1.806826	0.623619	0.052656	0.008523	0.004140	-70.568909	-79.451178	-10.469930
08198	9.754749	-1.826923	0.659881	0.058189	0.006166	0.016251	-70.574452	-79.439772	-10.432198
08199	9.708242	-1.824113	0.690265	0.064047	0.001759	0.022469	-70.557779	-79.426896	-10.411118
08200	9.666068	-1.834344	0.667465	0.074849	-0.001326	0.030703	-70.595007	-79.398690	-10.320477
08201	9.671247	-1.873259	0.621171	0.080183	-0.008321	0.036177	-70.612158	-79.380306	-10.255517
08202	9.679768	-2.042562	0.662081	0.097056	-0.008934	0.046121	-70.661964	-79.339547	-10.139444
08203	9.757986	-2.109461	0.696397	0.132927	-0.010210	0.047732	-70.665410	-79.315208	-10.057663
08204	9.816343	-2.112373	0.793951	0.160910	0.003788	0.058551	-70.674505	-79.270209	-9.935659
08205	9.931186	-2.159767	0.908598	0.176162	0.017868	0.075533	-70.600947	-79.225514	-9.906898
08206	9.871732	-2.180706	0.970083	0.191721	0.029850	0.086575	-70.517499	-79.156080	-9.876475
08207	9.964051	-2.152940	0.999623	0.182496	0.045665	0.108700	-70.395665	-79.088150	-9.893170
08208	9.987511	-2.103478	1.041371	0.146073	0.068328	0.135220	-70.288244	-78.978035	-9.898949
08209	9.974313	-2.183985	1.089729	0.091660	0.082116	0.172589	-70.183167	-78.868481	-9.951508
08210	9.936824	-2.225052	1.114492	0.025980	0.101445	0.200624	-70.120511	-78.726394	-9.978352
08211	9.908438	-2.308950	1.183981	-0.042322	0.119272	0.243957	-70.065007	-78.571161	-10.058552
08212	9.911987	-2.397856	1.245545	-0.100403	0.139753	0.274128	-69.993648	-78.382718	-10.207378
08213	9.913180	-2.583067	1.240182	-0.142842	0.155533	0.303572	-69.961763	-78.188337	-10.322490
08214	9.916272	-2.760762	1.176311	-0.152105	0.166647	0.330218	-69.928693	-77.949735	-10.432864
08215	10.020587	-3.014576	1.106742	-0.112373	0.173379	0.353408	-69.885837	-77.724921	-10.541457
08216	10.107801	-3.208419	1.192557	-0.037111	0.190145	0.383384	-69.766741	-77.449961	-10.685246
08217	10.121235	-3.237277	1.257529	0.048115	0.204757	0.422451	-69.626045	-77.181684	-10.800124
08218	10.121624	-3.148687	1.408017	0.096383	0.215379	0.464931	-69.463555	-76.859548	-10.913044
08219	10.132137	-2.950928	1.510859	0.107106	0.232039	0.519772	-69.321651	-76.533440	-10.994697
08220	10.050884	-2.662528	1.502062	0.039178	0.244938	0.585760	-69.228960	-76.152801	-11.086778
08221	10.038671	-2.621400	1.535104	-0.083181	0.248497	0.637737	-69.264288	-75.760266	-11.098426
08222	9.985120	-2.770479	1.437776	-0.214646	0.257856	0.701524	-69.385380	-75.304461	-11.095396
08223	9.938991	-3.096917	1.358196	-0.296908	0.260829	0.753796	-69.600252	-74.847255	-11.047974
08224	9.911754	-3.583935	1.360927	-0.326209	0.260676	0.805537	-69.851228	-74.336948	-10.960035
08225	9.973631	-4.104512	1.254700	-0.255057	0.273052	0.855233	-70.073039	-73.822782	-10.880140
08226	10.057962	-4.707181	1.252912	-0.107469	0.277023	0.903083	-70.231711	-73.269529	-10.752771
