// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
65470,9.787137,0.080093,0.745549,-0.083066,-0.008206,-0.006362
65471,9.841550,0.040835,0.727775,-0.092073,-0.008857,-0.002695
65472,9.832879,0.022311,0.741242,-0.079057,0.000958,-0.002327
65473,9.809495,0.075668,0.753928,-0.072075,0.000839,-0.004397
65474,9.848043,0.158571,0.757911,-0.067215,0.004762,-0.009941
65475,9.789833,0.164132,0.771494,-0.073214,0.004175,-0.014073
65476,9.828332,0.247990,0.775671,-0.082343,0.001311,-0.021239
65477,9.833155,0.233454,0.758450,-0.101421,0.007834,-0.020214
65478,9.845483,0.262805,0.804788,-0.120285,0.011299,-0.023024
65479,9.854003,0.258140,0.847187,-0.139558,0.011339,-0.026333
65480,9.821698,0.294627,0.875401,-0.160901,0.013117,-0.025642
65481,9.825272,0.329870,0.881265,-0.187483,0.007341,-0.029785
65482,9.816420,0.313017,0.896316,-0.210985,0.008695,-0.035917
65483,9.852095,0.313764,0.875791,-0.232625,0.013901,-0.039767
65484,9.856773,0.275419,0.914491,-0.248868,0.019136,-0.045995
65485,9.829165,0.297179,0.926447,-0.265957,0.029389,-0.052453
65486,9.789150,0.291683,0.893519,-0.288567,0.030809,-0.053452
65487,9.824605,0.293831,0.875396,-0.306478,0.036747,-0.058503
65488,9.801788,0.300988,0.871018,-0.330039,0.043616,-0.068121
65489,9.794666,0.369785,0.918559,-0.356295,0.054193,-0.077791
65490,9.874788,0.473698,1.028731,-0.395651,0.072217,-0.100438
65491,9.981536,0.560359,1.133099,-0.434876,0.099640,-0.134403
65492,10.059939,0.694762,1.197494,-0.466651,0.139895,-0.171290
65493,10.022268,0.790639,1.268628,-0.507723,0.171667,-0.208442
65494,9.953296,0.742212,1.291452,-0.538027,0.180489,-0.240972
65495,9.883029,0.799958,1.423000,-0.563361,0.181615,-0.270067
65496,9.898248,0.891962,1.618719,-0.625382,0.202149,-0.306835
65497,9.814071,1.034035,1.879711,-0.692448,0.261702,-0.337136
65498,9.854793,1.116025,1.948312,-0.732220,0.326096,-0.386797
65499,9.803292,1.270171,2.072330,-0.730855,0.387224,-0.439248
65500,9.777307,1.189747,1.980504,-0.679414,0.430170,-0.475172
65501,9.767342,1.235180,1.900800,-0.621683,0.457601,-0.495176
65502,9.844957,1.294771,1.751354,-0.591148,0.497720,-0.491096
65503,9.919857,1.551904,1.685699,-0.600340,0.548993,-0.484426
65504,9.896810,1.632230,1.720389,-0.694243,0.596739,-0.479551
65505,9.915451,1.851167,1.834579,-0.805381,0.633617,-0.492769
65506,10.018490,1.882438,2.114874,-0.941164,0.665567,-0.530567
65507,10.105422,1.755002,2.257577,-1.056859,0.703278,-0.580582
65508,10.080431,1.545684,2.264242,-1.121446,0.739521,-0.624655
65509,10.042842,1.298797,2.229261,-1.110103,0.763617,-0.665983
65510,10.040443,1.042220,2.120959,-1.070650,0.782256,-0.690074
65511,10.078213,0.895766,2.082308,-1.006820,0.825629,-0.700213
65512,10.135995,0.847789,2.148230,-0.924664,0.876717,-0.709311
65513,10.112541,0.852166,2.336615,-0.827978,0.947936,-0.707925
65514,10.042251,0.862462,2.508164,-0.734897,1.016300,-0.707475
65515,10.013900,0.986359,2.732657,-0.611319,1.069595,-0.715124
65516,10.035307,1.199773,2.881968,-0.506116,1.124784,-0.733092
65517,9.997677,1.484013,2.947024,-0.418295,1.177025,-0.753812
65518,9.874404,1.818785,2.921022,-0.372430,1.207501,-0.765197
65519,9.752898,2.039410,2.959649,-0.362689,1.225633,-0.779707
65520,9.626064,2.139634,3.120039,-0.388056,1.227708,-0.790425
