// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
54298,9.721833,1.723784,-0.217733,-0.016888,0.000870,-0.006655
54299,9.744245,1.719807,-0.181948,-0.024620,-0.002712,-0.003480
54300,9.784676,1.687938,-0.211520,-0.029222,-0.002259,-0.005630
54301,9.761574,1.680960,-0.214389,-0.024797,-0.001227,-0.003825
54302,9.807541,1.696437,-0.207486,-0.022429,0.005196,-0.004995
54303,9.784469,1.689372,-0.209643,-0.029155,0.006308,-0.002750
54304,9.727419,1.717342,-0.235999,-0.032233,0.005822,-0.002956
54305,9.692878,1.740694,-0.226883,-0.035328,0.004152,-0.001320
54306,9.693860,1.765278,-0.290735,-0.042082,-0.000932,-0.005648
54307,9.698208,1.720456,-0.214931,-0.049598,-0.003632,-0.005821
54308,9.710084,1.771524,-0.232365,-0.055167,-0.005502,-0.010734
54309,9.703874,1.781903,-0.210015,-0.069389,-0.005906,-0.010507
54310,9.751289,1.902806,-0.273976,-0.105948,-0.009708,-0.003889
54311,9.636136,2.002986,-0.236742,-0.167275,-0.014725,-0.001117
54312,9.665196,2.138398,-0.201548,-0.232338,-0.031448,0.008535
54313,9.716478,2.255793,-0.098079,-0.317504,-0.048631,0.014612
54314,9.699356,2.362374,-0.035155,-0.412307,-0.060380,0.015318
54315,9.646409,2.385357,0.107818,-0.505078,-0.073598,0.014879
54316,9.714404,2.231246,0.164760,-0.581787,-0.086392,0.012723
54317,9.805618,1.960947,0.136924,-0.614345,-0.080385,0.017419
54318,9.758675,1.714292,0.114997,-0.594094,-0.063449,0.015784
54319,9.753239,1.544568,-0.007418,-0.532582,-0.049843,0.015916
54320,9.800187,1.638375,0.000227,-0.469759,-0.027290,0.020827
54321,9.756373,1.810745,-0.069601,-0.427470,-0.003392,0.023497
54322,9.711957,1.955981,-0.073340,-0.430273,0.005946,0.024448
54323,9.753883,1.964936,-0.190512,-0.451828,0.011754,0.028894
54324,9.790332,1.997116,-0.315348,-0.468686,0.026943,0.021038
54325,9.728260,1.996042,-0.398715,-0.485962,0.035448,0.011245
54326,9.694218,1.967679,-0.437143,-0.512032,0.039607,0.001338
54327,9.653819,1.882007,-0.484183,-0.529620,0.029038,-0.009780
54328,9.664703,1.790600,-0.517172,-0.525300,0.013837,-0.028842
54329,9.622477,1.781774,-0.381384,-0.503314,-0.006276,-0.045227
54330,9.609201,1.788330,-0.298110,-0.488057,-0.031203,-0.066228
54331,9.682316,1.796428,-0.274008,-0.460233,-0.054703,-0.089331
54332,9.726359,1.821861,-0.264596,-0.434300,-0.074107,-0.114915
54333,9.735032,1.856405,-0.215771,-0.397699,-0.089285,-0.143234
54334,9.761015,1.953863,-0.234484,-0.368316,-0.098876,-0.170092
54335,9.739822,2.089206,-0.197661,-0.349799,-0.109805,-0.196319
54336,9.775007,2.180836,-0.106884,-0.344012,-0.118024,-0.224326
54337,9.751924,2.336578,-0.100840,-0.345424,-0.120688,-0.250837
54338,9.733494,2.456140,-0.055600,-0.370015,-0.128998,-0.272643
54339,9.713970,2.593363,-0.040087,-0.407483,-0.137055,-0.291163
54340,9.705540,2.671205,0.022436,-0.451179,-0.143243,-0.312220
54341,9.683791,2.811715,0.041104,-0.501666,-0.145665,-0.333016
54342,9.685124,2.880426,0.061537,-0.565371,-0.146229,-0.349235
54343,9.634118,2.941140,0.099400,-0.623301,-0.151135,-0.369001
54344,9.616599,2.999694,0.097104,-0.673837,-0.149325,-0.393700
54345,9.592335,3.065704,0.119812,-0.719113,-0.153894,-0.413929
54346,9.663075,3.176921,0.106492,-0.748072,-0.158282,-0.440396
54347,9.765529,3.179192,0.127587,-0.762241,-0.151862,-0.474580
54348,9.812531,3.227831,0.075917,-0.769118,-0.141187,-0.510105
54349,9.798633,3.310422,0.005342,-0.766350,-0.131984,-0.546011
54350,9.830742,3.377769,0.002468,-0.768627,-0.136522,-0.587145
54351,9.866805,3.420633,-0.120693,-0.762322,-0.128223,-0.625721
54352,9.856257,3.653963,-0.081374,-0.766662,-0.126893,-0.670957
54353,9.845306,3.906215,-0.090302,-0.808709,-0.126707,-0.712314
54354,9.738109,4.093770,-0.029710,-0.866378,-0.132660,-0.758024
54355,9.693078,4.252882,0.030136,-0.930099,-0.146128,-0.807067
54356,9.718771,4.362640,0.092742,-0.990194,-0.161912,-0.855843
54357,9.769417,4.577162,0.077998,-1.064958,-0.172618,-0.906962
54358,9.801384,4.710116,0.050174,-1.137931,-0.168617,-0.956241
54359,9.821304,4.667693,-0.084929,-1.193761,-0.170735,-1.008270
54360,9.810280,4.310620,-0.180986,-1.170936,-0.179336,-1.065734
54361,9.724274,3.971374,-0.183523,-1.068636,-0.180442,-1.118169
54362,9.675349,4.028986,-0.159439,-0.937480,-0.191391,-1.157449
54363,9.569879,4.358077,0.038551,-0.831334,-0.194353,-1.198241
54364,9.534992,4.791408,0.152664,-0.773292,-0.203689,-1.231578
54365,9.590904,5.213293,0.218203,-0.765142,-0.214370,-1.265856
54366,9.678745,5.573840,0.249212,-0.808298,-0.209768,-1.295515
54367,9.705249,5.798228,0.225661,-0.893823,-0.202832,-1.333413
54368,9.663560,5.939202,0.195834,-1.008904,-0.190463,-1.360918
54369,9.520713,6.113044,0.156618,-1.146910,-0.169962,-1.388438
54370,9.386303,6.242536,0.180601,-1.292360,-0.166059,-1.414144
54371,9.262706,6.325758,0.264230,-1.407936,-0.176966,-1.434079
54372,9.334521,6.407165,0.270457,-1.501600,-0.190156,-1.461917
54373,9.451744,6.553847,0.296863,-1.568107,-0.202218,-1.495408
54374,9.525415,6.569275,0.252545,-1.609406,-0.203509,-1.540826
54375,9.571898,6.548376,0.296908,-1.624797,-0.197000,-1.583528
54376,9.535937,6.656409,0.343326,-1.635113,-0.187994,-1.637273
54377,9.441689,6.874365,0.527620,-1.648748,-0.183098,-1.682565
54378,9.437288,7.174864,0.525985,-1.680029,-0.182962,-1.732645
54379,9.463920,7.543706,0.556952,-1.752578,-0.185068,-1.774436
54380,9.493596,7.791063,0.473834,-1.865975,-0.184554,-1.814337
54381,9.473816,7.707438,0.357283,-1.972819,-0.171772,-1.856984
54382,9.322599,7.319236,0.305344,-2.011561,-0.159237,-1.901848
54383,9.145389,6.878912,0.364805,-1.934125,-0.152444,-1.955620
54384,9.020746,6.706548,0.573218,-1.802141,-0.148406,-2.000716
54385,8.916352,6.897945,0.717349,-1.669949,-0.131754,-2.030359
54386,8.703168,7.253622,0.910149,-1.599627,-0.115208,-2.056619
54387,8.532564,7.463704,0.900041,-1.563364,-0.115556,-2.078789
54388,8.467745,7.554870,0.961452,-1.551407,-0.116129,-2.096435
54389,8.426257,7.620451,0.960019,-1.554006,-0.102140,-2.105458
54390,8.201387,7.689492,0.887699,-1.569518,-0.083443,-2.114101
54391,7.927442,7.721082,0.959933,-1.600028,-0.082268,-2.111815
54392,7.753412,7.801124,0.905290,-1.634052,-0.087010,-2.106695
54393,7.618404,7.915147,1.095964,-1.657240,-0.099829,-2.105856
54394,7.510225,8.015287,1.201890,-1.670090,-0.112461,-2.107527
54395,7.364275,8.032646,1.259680,-1.671210,-0.135770,-2.107117
54396,7.259673,7.985125,1.363321,-1.671163,-0.157484,-2.097728
54397,7.114517,7.950979,1.385490,-1.680634,-0.169087,-2.085652
54398,6.966901,7.969539,1.382585,-1.687905,-0.166072,-2.071034
54399,6.728148,8.101261,1.518627,-1.719396,-0.170467,-2.064700
54400,6.557287,8.310132,1.660468,-1.775632,-0.177931,-2.047527
54401,6.323270,8.394723,1.791416,-1.845001,-0.192441,-2.033826
54402,6.137120,8.261619,1.980644,-1.866714,-0.216224,-2.021617
54403,6.127092,8.099645,2.038186,-1.837478,-0.235091,-2.006678
54404,6.139234,7.900789,2.080827,-1.768219,-0.233391,-1.986075
54405,5.959243,7.816649,2.131591,-1.692473,-0.218208,-1.969549
54406,5.678263,7.745822,2.236104,-1.631798,-0.216837,-1.966213
54407,5.392591,7.713026,2.413196,-1.635430,-0.208215,-1.945734
54408,5.107672,7.658836,2.518180,-1.678750,-0.204989,-1.907001
54409,4.874593,7.722672,2.603272,-1.740392,-0.207365,-1.872178
54410,4.682988,7.946684,2.713206,-1.798810,-0.233983,-1.834167
54411,4.657653,8.392593,2.705615,-1.867272,-0.281080,-1.800436
54412,4.765412,8.170817,2.946965,-1.909977,-0.323863,-1.772850
54413,4.787158,7.504169,3.058715,-1.858035,-0.338493,-1.741204
54414,4.584545,6.983210,3.270237,-1.692773,-0.337249,-1.716498
54415,4.350165,6.910770,3.456100,-1.489251,-0.337250,-1.701122
54416,4.082732,7.254055,3.513029,-1.316113,-0.335034,-1.697087
54417,3.852740,7.681787,3.496530,-1.225161,-0.343837,-1.682480
54418,3.570964,7.998887,3.573785,-1.183035,-0.363697,-1.668579
54419,3.501891,8.273609,3.666535,-1.179807,-0.395405,-1.663328
54420,3.516312,8.460534,3.774617,-1.201626,-0.421128,-1.648623
54421,3.395538,8.414635,3.914759,-1.216769,-0.432182,-1.641440
54422,3.185943,8.293321,4.017240,-1.219413,-0.439598,-1.633988
54423,2.929194,8.179000,4.124515,-1.201611,-0.461822,-1.639500
54424,2.810381,7.958407,4.134273,-1.181821,-0.489403,-1.641721
54425,2.673213,7.842891,4.119622,-1.139536,-0.518564,-1.652701
54426,2.545718,7.885439,4.226709,-1.084870,-0.537806,-1.661456
54427,2.509590,7.967655,4.366045,-1.065325,-0.547119,-1.660449
54428,2.301981,8.041888,4.499042,-1.076201,-0.559175,-1.653149
54429,2.136447,8.265421,4.687852,-1.100510,-0.590118,-1.648655
54430,2.141964,8.358340,4.935357,-1.167197,-0.631753,-1.647103
54431,2.149127,8.236959,5.068576,-1.240217,-0.651635,-1.631458
54432,2.078587,7.974175,5.175887,-1.274729,-0.658676,-1.638898
54433,1.928846,7.550746,5.171408,-1.256578,-0.668742,-1.636013
54434,1.838167,7.286168,5.083746,-1.178193,-0.668420,-1.643304
54435,1.835014,7.433937,5.063193,-1.105284,-0.654846,-1.662503
54436,1.820486,7.814693,5.215100,-1.099532,-0.640590,-1.672067
54437,1.793904,8.168079,5.518884,-1.177130,-0.623721,-1.685029
54438,1.764782,8.345551,5.711936,-1.314006,-0.615550,-1.687787
54439,1.779992,8.127869,6.028933,-1.472858,-0.599023,-1.696369
54440,1.798531,7.797386,6.089319,-1.573669,-0.578288,-1.713853
54441,1.874685,7.170919,6.093210,-1.618680,-0.551216,-1.727794
