// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
23830,9.100282,-3.794299,0.738338,-0.004892,0.011743,-0.011872
23831,9.148491,-3.831513,0.779533,-0.014273,0.016392,-0.005939
23832,9.131825,-3.806767,0.734360,-0.016225,0.014228,-0.010908
23833,9.163277,-3.819697,0.729127,-0.024883,0.013328,-0.012673
23834,9.218206,-3.768839,0.696748,-0.025432,0.013896,-0.008705
23835,9.299680,-3.709826,0.684759,-0.032559,0.013518,-0.011949
23836,9.288877,-3.554312,0.665871,-0.069431,0.014957,-0.009827
23837,9.120216,-3.537775,0.643526,-0.117136,0.012261,-0.009099
23838,9.042877,-3.673094,0.648449,-0.147569,0.002559,-0.010983
23839,8.966134,-3.829552,0.601382,-0.140586,-0.006388,-0.011205
23840,8.952421,-3.936873,0.569240,-0.118400,-0.019040,-0.018004
23841,8.963014,-3.903262,0.537308,-0.105850,-0.030923,-0.021311
23842,8.934568,-3.756648,0.539138,-0.152053,-0.047876,-0.026578
23843,8.892388,-3.738685,0.460722,-0.223762,-0.066264,-0.027886
23844,8.848389,-3.831330,0.422957,-0.288470,-0.099590,-0.027820
23845,8.933332,-4.000951,0.327723,-0.393161,-0.137043,-0.019393
23846,8.933487,-4.472357,0.275314,-0.442971,-0.151508,0.000007
23847,8.739044,-5.103982,0.268961,-0.385920,-0.157584,0.008034
23848,8.554816,-5.552095,0.296228,-0.218637,-0.183879,0.022965
23849,8.489207,-5.714762,0.300412,-0.030095,-0.196469,0.038566
23850,8.527811,-5.639635,0.407349,0.111662,-0.197677,0.058672
23851,8.468958,-5.482979,0.617114,0.170831,-0.188097,0.071725
23852,8.359170,-5.439714,0.732183,0.157522,-0.187776,0.103620
23853,8.314514,-5.427984,0.855367,0.076129,-0.197825,0.142157
23854,8.365818,-5.656389,0.841953,-0.046608,-0.197716,0.195555
23855,8.520042,-6.109170,0.788339,-0.164316,-0.206885,0.256941
23856,8.773100,-6.670794,0.800059,-0.248504,-0.192223,0.329837
23857,8.829444,-7.233573,0.820601,-0.247076,-0.142997,0.434101
23858,8.641585,-7.359035,0.794004,-0.190315,-0.105093,0.523375
23859,8.573380,-7.150934,0.719157,-0.196863,-0.090306,0.613549
23860,8.587438,-7.184612,0.484728,-0.281755,-0.082319,0.696930
23861,8.668978,-7.469349,0.310240,-0.386506,-0.087329,0.769512
23862,8.684290,-8.041329,0.139622,-0.451900,-0.105956,0.851952
23863,8.584134,-8.724463,0.096090,-0.432924,-0.128486,0.958117
23864,8.537031,-9.222811,-0.046079,-0.331910,-0.145306,1.083822
23865,8.511953,-9.481074,-0.214555,-0.172206,-0.158154,1.209323
23866,8.658880,-9.282652,-0.236212,-0.054316,-0.154284,1.337350
23867,8.826271,-8.875434,-0.333992,-0.075055,-0.138547,1.424630
23868,8.664372,-8.566847,-0.427475,-0.167760,-0.123741,1.509881
23869,8.516896,-9.035821,-0.594821,-0.284228,-0.139216,1.605233
23870,8.508993,-9.936477,-0.729456,-0.269796,-0.169381,1.704913
23871,8.603879,-10.630434,-0.786024,-0.087565,-0.192786,1.799681
23872,8.709695,-10.597575,-0.710133,0.161312,-0.217700,1.889094
23873,8.820534,-10.081519,-0.601317,0.331378,-0.231277,1.981430
23874,8.937064,-9.575500,-0.536712,0.331557,-0.236611,2.065310
23875,9.058029,-9.468579,-0.579839,0.248747,-0.233977,2.126646
23876,9.159793,-9.734164,-0.576405,0.162264,-0.225606,2.182939
23877,9.183446,-10.116898,-0.578746,0.150791,-0.216900,2.242443
23878,9.141696,-10.402521,-0.653604,0.208452,-0.210804,2.294437
23879,9.180245,-10.405345,-0.670306,0.316041,-0.206419,2.335857
23880,9.223792,-10.230477,-0.625679,0.399706,-0.187911,2.379937
23881,9.317523,-9.956855,-0.493386,0.416846,-0.168176,2.415567
23882,9.169754,-9.752788,-0.399266,0.372410,-0.149968,2.452279
23883,8.981633,-9.807458,-0.389386,0.320020,-0.150529,2.486032
23884,8.891568,-10.035557,-0.450871,0.341662,-0.163537,2.512271
23885,8.880018,-10.341224,-0.408253,0.449319,-0.189239,2.535576
23886,8.979310,-10.355835,-0.304766,0.620495,-0.206915,2.554585
23887,8.867692,-9.971524,-0.189113,0.774229,-0.205438,2.587837
23888,8.706950,-9.493301,0.105102,0.799141,-0.200427,2.605034
23889,8.532759,-9.284790,0.209994,0.756543,-0.180234,2.605582
23890,8.460148,-9.318240,0.260598,0.720567,-0.150059,2.599816
23891,8.359865,-9.293745,0.322274,0.676428,-0.121120,2.580144
23892,8.199265,-9.247974,0.395392,0.630050,-0.075083,2.562675
23893,7.854280,-9.187496,0.524531,0.580555,-0.030678,2.540923
23894,7.541117,-9.110950,0.498887,0.556984,0.007133,2.522513
23895,7.360821,-8.974603,0.582696,0.533977,0.030009,2.503254
23896,7.173822,-8.869532,0.513094,0.514537,0.056488,2.487789
23897,6.962862,-8.809194,0.640022,0.485808,0.096103,2.471040
23898,6.565499,-8.533132,0.669629,0.445403,0.117205,2.457321
23899,6.323319,-8.283666,0.640257,0.331070,0.118723,2.439877
23900,6.120071,-8.264888,0.638871,0.159092,0.112687,2.422002
23901,5.843806,-8.536405,0.646187,0.002982,0.101749,2.417517
