// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
55189,9.205681,-3.325792,-0.109507,0.010107,0.001311,-0.012648
55190,9.222705,-3.313734,-0.094828,0.010164,-0.000695,-0.014855
55191,9.203046,-3.338947,-0.051322,0.007183,-0.000786,-0.012984
55192,9.255701,-3.308236,-0.050304,0.005363,0.000164,-0.018148
55193,9.241062,-3.339406,-0.091015,0.003485,0.000887,-0.016947
55194,9.206003,-3.356488,-0.077362,0.001220,0.001264,-0.013401
55195,9.228201,-3.391419,-0.158301,-0.001315,-0.000486,-0.016081
55196,9.226215,-3.387004,-0.116478,0.000950,-0.005327,-0.011310
55197,9.261065,-3.386268,-0.114995,0.005093,-0.008661,-0.011900
55198,9.242172,-3.352110,-0.076600,0.006138,-0.005840,-0.010365
55199,9.241502,-3.369780,-0.061585,0.002886,-0.008061,-0.014720
55200,9.241625,-3.327880,-0.051077,0.000563,-0.005676,-0.008966
55201,9.276771,-3.367874,-0.060498,-0.002421,-0.001306,-0.015414
55202,9.243126,-3.406885,-0.073804,-0.000543,-0.002031,-0.016618
55203,9.261254,-3.375856,-0.074999,0.003811,0.001004,-0.012935
55204,9.194120,-3.396049,-0.105515,0.003484,-0.001349,-0.012796
55205,9.196961,-3.398111,-0.147585,0.004200,-0.000881,-0.011121
55206,9.194903,-3.393923,-0.105736,0.007690,-0.008920,-0.011434
55207,9.178041,-3.322327,-0.098461,0.003547,-0.007818,-0.006681
55208,9.211353,-3.300027,-0.070207,0.006796,-0.003366,-0.006488
55209,9.247447,-3.321574,-0.094878,0.004588,-0.002767,-0.009308
55210,9.265979,-3.372687,-0.118255,0.000442,0.000565,-0.008717
55211,9.316208,-3.380195,-0.086221,0.001485,0.003388,-0.007181
55212,9.284385,-3.382505,-0.129991,-0.004865,0.005089,-0.005247
55213,9.317965,-3.401157,-0.112042,-0.006417,0.008166,-0.004183
55214,9.234655,-3.373676,-0.161042,-0.011989,0.006100,0.001381
55215,9.231035,-3.389695,-0.103315,-0.006797,0.003364,0.006488
55216,9.229383,-3.368455,-0.076785,-0.015353,0.003434,0.009763
55217,9.230254,-3.350131,-0.092798,-0.015890,-0.003060,0.001463
55218,9.244323,-3.336234,-0.037008,-0.017831,0.001900,0.000711
55219,9.245709,-3.358176,-0.063924,-0.021590,0.005574,-0.001047
55220,9.228190,-3.387621,-0.062730,-0.017180,0.008834,-0.003731
55221,9.264270,-3.409235,-0.087129,-0.018225,0.008241,-0.009432
55222,9.212039,-3.397423,-0.075979,-0.016770,0.023795,0.000662
55223,9.250079,-3.381857,-0.130224,-0.015484,0.016358,-0.002475
55224,9.215767,-3.381199,-0.131312,-0.014321,0.015166,-0.005355
55225,9.214778,-3.399862,-0.114990,-0.015483,0.014123,0.001683
55226,9.200362,-3.373096,-0.159559,-0.014707,0.012585,0.001150
55227,9.237382,-3.376290,-0.198955,-0.013156,0.011742,-0.004076
55228,9.216052,-3.380529,-0.128523,-0.018344,0.012245,-0.005030
55229,9.250766,-3.380135,-0.126076,-0.018998,0.009770,-0.008918
55230,9.267941,-3.409279,-0.122322,-0.016527,0.015758,-0.008186
55231,9.201854,-3.410924,-0.167568,-0.020286,0.019428,-0.009949
55232,9.203649,-3.431916,-0.193316,-0.018345,0.014470,-0.009200
55233,9.203911,-3.431249,-0.192660,-0.019122,0.013771,-0.004509
55234,9.222101,-3.441738,-0.204253,-0.017630,0.014934,-0.007526
55235,9.189322,-3.462787,-0.232501,-0.009335,0.006056,-0.004535
55236,9.187008,-3.459204,-0.190133,-0.001101,0.003649,-0.007655
55237,9.204834,-3.428862,-0.191062,0.003435,-0.001556,-0.006424
55238,9.187383,-3.458215,-0.190033,0.005251,-0.002505,-0.001252
55239,9.167413,-3.484506,-0.147082,0.015103,-0.009986,-0.007646
55240,9.239004,-3.487661,-0.185260,0.017959,-0.008114,-0.000934
55241,9.153272,-3.457014,-0.192444,0.023473,-0.004032,-0.004279
55242,9.205159,-3.527597,-0.198154,0.024702,-0.009458,-0.005206
55243,9.156828,-3.540943,-0.256637,0.037347,-0.013068,-0.002685
55244,9.154355,-3.537773,-0.214387,0.049277,-0.017151,-0.001846
55245,9.153981,-3.496955,-0.203316,0.057963,-0.025693,-0.001214
55246,9.204201,-3.546177,-0.182617,0.064905,-0.022918,0.002937
55247,9.170554,-3.527748,-0.199756,0.073340,-0.021212,0.008227
55248,9.204001,-3.588509,-0.192864,0.070094,-0.025683,0.008013
55249,9.185585,-3.578627,-0.180096,0.081063,-0.022226,0.015972
55250,9.168105,-3.550256,-0.182713,0.092727,-0.030709,0.014704
55251,9.216739,-3.619611,-0.145735,0.102777,-0.034114,0.016691
55252,9.182837,-3.643548,-0.173452,0.108950,-0.032048,0.025485
55253,9.146295,-3.664660,-0.158832,0.108562,-0.032429,0.027785
55254,9.165189,-3.823835,-0.229130,0.112656,-0.038235,0.037679
55255,9.082724,-3.845334,-0.330369,0.145340,-0.046706,0.046298
55256,9.025828,-3.835488,-0.276809,0.165446,-0.058015,0.058535
55257,9.055365,-3.838391,-0.231836,0.192671,-0.072651,0.068235
55258,9.036584,-3.797016,-0.250461,0.212774,-0.084058,0.080359
55259,9.083241,-3.854372,-0.228500,0.233483,-0.088786,0.094306
55260,8.974599,-3.922758,-0.227365,0.244055,-0.088281,0.114774
55261,8.953853,-3.968157,-0.266039,0.238746,-0.090708,0.136835
55262,9.014230,-4.102447,-0.249405,0.289227,-0.110708,0.167083
55263,9.006483,-4.119543,-0.247485,0.319242,-0.124258,0.195613
