// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
14010,9.768612,1.424830,0.866985,0.028079,0.016430,0.000289
14011,9.744247,1.404575,0.854449,0.025013,0.018303,0.003269
14012,9.738505,1.438162,0.859153,0.011933,0.017866,0.006571
14013,9.737771,1.421798,0.842152,0.021899,0.017375,0.004968
14014,9.731379,1.439458,0.828249,0.021897,0.017374,0.004968
14015,9.749817,1.493916,0.846519,0.029032,0.015643,-0.005283
14016,9.701104,1.454299,0.819919,0.033344,0.016565,-0.010536
14017,9.713049,1.528096,0.822343,0.039644,0.009387,-0.016395
14018,9.743877,1.548523,0.870317,0.027309,0.008792,-0.020050
14019,9.742197,1.518568,0.834321,0.008672,0.015373,-0.017849
14020,9.707907,1.491696,0.894210,-0.005038,0.018205,-0.018049
14021,9.723474,1.483720,0.839310,-0.016910,0.017763,-0.018310
14022,9.735090,1.433499,0.853240,-0.021751,0.012482,-0.018374
14023,9.733507,1.403058,0.817783,-0.017985,0.011542,-0.015937
14024,9.720488,1.440586,0.788798,-0.001936,0.019134,-0.019741
14025,9.686139,1.414050,0.848662,0.006081,0.014915,-0.024475
14026,9.607524,1.513570,0.800186,-0.000631,-0.004528,-0.030784
14027,9.628963,1.597311,0.728043,-0.006787,-0.032843,-0.036161
14028,9.686109,1.634156,0.660394,-0.043077,-0.075128,-0.043797
14029,9.883566,1.665149,0.525392,-0.073496,-0.099530,-0.027084
14030,10.012288,1.605835,0.469567,-0.084190,-0.083968,-0.025223
14031,9.899745,1.535115,0.464697,-0.103076,-0.072921,-0.010728
14032,9.627623,1.382640,0.470770,-0.111177,-0.086157,-0.012311
14033,9.482436,1.298412,0.540200,-0.103422,-0.129749,-0.019968
14034,9.516713,1.241317,0.640043,-0.111199,-0.175231,-0.017860
14035,9.622226,1.196630,0.722614,-0.139204,-0.192733,-0.005032
14036,9.698255,1.163679,0.794160,-0.149159,-0.184264,0.012195
14037,9.703780,1.219234,0.728414,-0.135295,-0.174871,0.029845
14038,9.648602,1.305756,0.767063,-0.075855,-0.171172,0.031452
14039,9.620524,1.460936,0.874676,-0.042441,-0.182945,0.012585
14040,9.658660,1.552744,0.873077,-0.046471,-0.197668,-0.007313
14041,9.777470,1.576411,0.829864,-0.047569,-0.196198,-0.025182
14042,9.899072,1.524791,0.851940,-0.050712,-0.178998,-0.040493
14043,10.050664,1.460356,0.885860,-0.074463,-0.150342,-0.042247
14044,10.106258,1.346310,0.906784,-0.105990,-0.096909,-0.043100
14045,10.087449,1.283389,0.990302,-0.116894,-0.028220,-0.038157
14046,9.982184,1.198878,1.134322,-0.141338,0.032200,-0.035011
14047,9.879358,1.044725,1.117289,-0.160850,0.067647,-0.029001
14048,9.875960,0.874239,1.078332,-0.134369,0.089844,-0.015714
14049,10.020010,0.711567,1.025765,-0.090484,0.117539,0.012923
14050,10.129670,0.484326,0.996834,-0.040594,0.153136,0.061492
14051,10.146003,0.249360,1.010984,-0.002502,0.208386,0.117760
14052,10.102472,-0.074559,0.912067,0.082740,0.245948,0.165546
14053,10.253573,-0.097838,1.064349,0.247444,0.288054,0.200556
14054,10.242148,0.013408,1.179294,0.287619,0.339950,0.227684
14055,10.097028,-0.107224,0.794213,0.402597,0.336431,0.238581
14056,10.400758,0.362616,1.170808,0.691755,0.370485,0.236133
14057,10.709390,0.964910,1.697012,0.680996,0.449598,0.231668
14058,10.830567,1.201675,1.714554,0.649254,0.542358,0.239363
14059,10.805144,1.403436,1.873717,0.606137,0.648430,0.242346
14060,10.586682,1.600510,1.952601,0.497487,0.713313,0.232909
14061,10.363806,1.674955,1.747163,0.323588,0.711718,0.241574
14062,10.305856,1.498466,1.359884,0.193427,0.639660,0.292032
14063,10.430106,1.052152,1.034357,0.054973,0.583996,0.407373
14064,10.502574,-0.021983,0.572426,-0.054705,0.592898,0.569392
14065,10.441673,-0.840449,0.198303,0.048856,0.668001,0.752654
14066,10.177357,-1.134476,0.563003,0.185276,0.732875,0.941816
14067,9.706067,-1.381614,1.010040,0.140527,0.738782,1.127725
14068,9.346829,-1.675357,0.820143,0.169055,0.661830,1.301850
14069,9.298584,-1.907168,0.843546,0.239636,0.546540,1.474045
14070,9.562960,-1.792689,0.679316,0.306863,0.461217,1.668411
