// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
21967,9.459737,-2.073502,1.556605,0.026152,-0.061332,0.038312
21968,9.397483,-2.098674,1.570585,0.062767,-0.071955,0.040280
21969,9.292126,-2.005400,1.516484,0.049488,-0.098271,0.034500
21970,9.337887,-2.328284,1.349505,0.042517,-0.122154,0.040027
21971,9.516250,-2.716088,1.168670,0.134321,-0.142885,0.052387
21972,9.797994,-2.955933,1.183875,0.288342,-0.150114,0.065129
21973,10.121443,-2.719094,1.380414,0.435340,-0.119635,0.062470
21974,10.255365,-2.271131,1.632652,0.495248,-0.048218,0.049082
21975,10.147624,-1.802491,1.808450,0.475762,0.020155,0.030484
21976,10.029572,-1.545049,1.844372,0.376088,0.063168,0.003462
21977,9.887346,-1.489415,1.771131,0.280625,0.113865,-0.010285
21978,9.880677,-1.409651,1.734603,0.212973,0.159269,-0.022293
21979,9.986547,-1.408933,1.849932,0.133666,0.201990,-0.031482
21980,10.204173,-1.556192,2.047016,0.064212,0.278163,-0.042006
21981,10.412436,-1.744747,2.309088,0.023151,0.380026,-0.035736
21982,10.538709,-1.810710,2.472170,-0.007708,0.503658,-0.017604
21983,10.520410,-1.871608,2.637753,-0.054151,0.633216,0.021457
21984,10.716701,-1.601255,2.987986,-0.139572,0.742425,0.093924
21985,10.860065,-1.523151,3.324440,-0.347046,0.900102,0.201814
21986,10.920220,-0.701014,3.810607,-0.661257,1.038197,0.376870
21987,10.552716,-0.780730,3.852040,-1.259002,1.166680,0.570335
21988,10.358306,-1.331493,3.956063,-1.745653,1.213436,0.705751
21989,10.369752,-2.256864,3.938861,-2.173092,1.276711,0.864060
21990,10.279133,-3.200746,4.128470,-2.397552,1.354227,1.016212
21991,10.144362,-4.029621,4.237965,-2.538095,1.416798,1.189811
21992,10.089829,-4.944548,4.183733,-2.630310,1.441135,1.370410
21993,9.988790,-5.111587,4.374741,-2.652162,1.477212,1.545024
21994,9.705813,-5.491574,4.559782,-2.746070,1.491760,1.690734
21995,9.547595,-5.719513,4.655695,-2.877874,1.495133,1.844748
21996,9.330857,-5.817382,4.648199,-3.006001,1.492939,2.046762
21997,8.911910,-5.609831,4.196335,-3.203986,1.473780,2.241556
21998,8.095196,-6.981863,3.642845,-3.330086,1.441075,2.402749
21999,7.399502,-9.001563,3.169300,-3.119948,1.339606,2.520079
22000,6.918245,-10.413532,2.954277,-2.539534,1.214629,2.612172
22001,6.559471,-10.915893,2.995943,-1.780597,1.114764,2.680026
22002,6.341280,-10.861916,3.014543,-1.018233,1.020980,2.733912
22003,6.150842,-10.039970,3.189759,-0.401194,0.951113,2.776090
22004,6.033461,-8.894084,3.386726,-0.015052,0.917576,2.815530
22005,5.832983,-7.904652,3.481139,0.091836,0.883972,2.854725
22006,5.655253,-7.308206,3.442859,0.019312,0.846185,2.887430
22007,5.511170,-7.281476,3.280116,-0.111413,0.818357,2.911268
22008,5.277305,-7.881469,3.197907,-0.177939,0.790155,2.923812
22009,5.188395,-8.462068,3.142449,-0.094028,0.767925,2.915728
22010,5.069754,-8.717043,3.087046,0.107457,0.755325,2.879886
22011,4.925801,-8.572518,3.060225,0.343259,0.748222,2.825510
22012,4.776561,-8.165771,3.083722,0.541686,0.738410,2.757014
22013,4.716050,-7.781838,3.168647,0.647364,0.726887,2.683060
22014,4.678482,-7.348845,3.136070,0.674737,0.723923,2.605664
22015,4.590490,-7.217351,3.190988,0.649697,0.705753,2.518478
22016,4.560744,-7.268064,3.300049,0.611235,0.675027,2.421004
22017,4.638594,-7.368631,3.367681,0.597720,0.649010,2.328778
22018,4.622596,-7.462822,3.384403,0.607615,0.624592,2.240340
22019,4.627562,-7.587365,3.267178,0.640249,0.590380,2.148391
22020,4.576200,-7.633844,3.153805,0.690622,0.543278,2.054863
22021,4.475618,-7.678522,3.049866,0.753855,0.499550,1.951537
22022,4.351694,-7.683426,2.997954,0.833228,0.434716,1.830667
22023,4.261521,-7.706053,3.056466,0.935996,0.375771,1.695084
22024,4.164289,-7.693446,3.013530,1.052048,0.319230,1.554083
22025,3.970955,-7.559084,3.009721,1.158485,0.257418,1.410671
22026,3.837884,-7.372361,3.002129,1.242783,0.164996,1.274402
22027,3.768010,-7.138864,3.118967,1.316991,0.078634,1.128783
22028,3.746185,-6.886184,3.215907,1.337093,0.000296,0.987227
22029,3.645320,-6.786344,3.329530,1.344482,-0.057985,0.852717
22030,3.523079,-6.789583,3.546523,1.362726,-0.113216,0.718509
22031,3.341593,-6.805557,3.683600,1.389582,-0.177291,0.592135
22032,3.349969,-6.862588,3.753421,1.427005,-0.242810,0.470254
22033,3.398731,-6.776249,3.843221,1.451218,-0.297537,0.360984
