// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
16478,9.683565,1.960092,0.906253,-0.045845,-0.029442,-0.004630
16479,9.666434,1.968060,0.961035,-0.035710,-0.027679,-0.009819
16480,9.675389,1.963710,1.046854,-0.041215,-0.021110,-0.013674
16481,9.712226,1.911230,1.011528,-0.047338,-0.020203,-0.011820
16482,9.750968,1.909066,0.918175,-0.051205,-0.010265,-0.015350
16483,9.667942,1.906524,0.851572,-0.038145,-0.005619,-0.008641
16484,9.606796,1.994093,0.842857,-0.025268,-0.001795,-0.013615
16485,9.641423,2.036113,0.869210,-0.034575,-0.006670,-0.014107
16486,9.673874,1.942299,0.860098,-0.038508,-0.008376,-0.012499
16487,9.669392,1.901854,0.885473,-0.030235,-0.001189,-0.018046
16488,9.669014,1.903634,0.885775,-0.021735,-0.002788,-0.023549
16489,9.727417,1.942484,0.908945,-0.016452,-0.011213,-0.020787
16490,9.713826,2.022987,0.894640,-0.014722,0.003749,-0.021116
16491,9.680921,1.974959,0.902211,-0.008762,0.000895,-0.015127
16492,9.635069,1.975642,0.941456,-0.015884,0.004051,-0.014837
16493,9.623679,1.961362,0.867094,-0.017717,-0.001222,-0.011782
16494,9.606012,1.999413,0.878066,-0.010501,-0.003420,-0.013769
16495,9.608096,1.991993,0.910882,-0.002507,-0.009734,-0.015262
16496,9.620748,2.059555,0.926651,-0.007056,-0.005368,-0.022000
16497,9.629095,2.085955,0.967803,-0.010925,-0.006072,-0.026552
16498,9.658666,2.146839,0.927784,-0.032203,0.004341,-0.027376
16499,9.636356,2.059029,0.871414,-0.042494,0.012309,-0.023946
16500,9.648802,2.011864,0.842701,-0.056769,0.029261,-0.022334
16501,9.587453,1.955516,0.835234,-0.053770,0.022492,-0.017642
16502,9.517516,1.875131,0.784560,-0.035015,0.001296,-0.021469
16503,9.632462,1.929916,0.843937,-0.013576,-0.018857,-0.018915
16504,9.734404,1.948550,0.839842,-0.013356,-0.016999,-0.017839
16505,9.764726,1.949687,0.890354,-0.010806,-0.005132,-0.023816
16506,9.755373,2.013390,0.942933,-0.007734,0.000827,-0.034853
16507,9.786868,2.067216,0.936244,0.012648,0.005367,-0.046869
16508,9.858940,2.196519,0.964943,0.028341,0.023977,-0.062891
16509,9.910909,2.314076,1.065252,0.030560,0.056437,-0.082988
16510,10.040307,2.370249,1.074240,0.027591,0.077024,-0.109697
16511,10.185217,2.507607,1.124853,0.047005,0.142143,-0.140101
16512,10.353117,2.722020,1.307521,0.038467,0.217013,-0.188708
16513,10.234420,2.915355,1.457832,0.017426,0.318266,-0.254971
