// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
16575	9.922760	0.305802	1.117111	0.006572	0.011277	-0.015456	15.193064	-83.222341	7.996231
16576	9.903001	0.285167	1.100358	0.019562	0.009800	-0.013071	15.252646	-83.214956	7.947516
16577	9.854142	0.285801	1.156335	0.021908	0.016794	-0.011435	15.298084	-83.205257	7.912196
16578	9.853952	0.287315	1.157573	0.026131	0.009731	-0.013656	15.363985	-83.197811	7.860905
16579	9.817437	0.292908	1.126173	0.035488	0.010485	-0.007168	15.402955	-83.191234	7.841493
16580	9.821486	0.367045	1.131843	0.042059	0.010416	-0.007753	15.449612	-83.184299	7.818774
16581	9.855765	0.366431	1.130557	0.028807	0.008288	-0.009004	15.499095	-83.177004	7.787917
16582	9.824027	0.418042	1.136332	0.019187	0.004843	-0.008393	15.542598	-83.173044	7.755175
16583	9.821135	0.370429	1.133784	0.012886	0.008507	-0.008951	15.584712	-83.166733	7.720351
16584	9.817662	0.349458	1.098747	0.028102	0.011771	-0.007347	15.619498	-83.159106	7.701532
16585	9.785874	0.401305	1.104751	0.031623	0.007276	-0.013862	15.700420	-83.152155	7.639578
16586	9.816832	0.378917	1.067475	0.018618	0.009665	-0.010289	15.745826	-83.145228	7.604590
16587	9.814756	0.382535	1.033938	0.027078	0.009608	-0.011719	15.819720	-83.136191	7.549765
16588	9.819864	0.403868	1.104881	0.027734	0.004989	-0.014585	15.895879	-83.131158	7.489061
16589	9.872332	0.401691	1.119490	0.010957	0.006438	-0.015281	15.982880	-83.127845	7.404394
16590	9.815502	0.334024	1.101419	0.007246	0.007545	-0.012385	16.033715	-83.121732	7.357371
16591	9.852546	0.382532	1.102858	0.013502	0.001830	-0.018992	16.154286	-83.116959	7.247134
16592	9.833485	0.335446	1.118219	0.007902	0.002926	-0.015250	16.224435	-83.112913	7.181037
16593	9.836102	0.385743	1.121618	0.018380	0.005141	-0.015116	16.327826	-83.107944	7.089541
16594	9.799655	0.391641	1.089540	0.013509	0.001826	-0.018995	16.419490	-83.103872	7.005005
