// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
13959,9.039933,-3.707934,-0.265583,-0.001772,0.001236,-0.023749
13960,9.084217,-3.730177,-0.243151,-0.003952,0.000860,-0.019674
13961,9.059096,-3.721065,-0.264954,0.002957,-0.003049,-0.019298
13962,9.118030,-3.728676,-0.255334,0.002200,-0.005026,-0.018830
13963,9.159341,-3.719371,-0.246433,0.006336,-0.003456,-0.020157
13964,9.157175,-3.685818,-0.259882,0.006957,-0.004910,-0.020131
13965,9.157887,-3.684056,-0.259779,0.004140,0.002690,-0.018669
13966,9.157276,-3.646561,-0.218526,-0.006753,0.001930,-0.015629
13967,9.149737,-3.654442,-0.239411,-0.011484,0.006209,-0.020084
13968,9.162772,-3.710959,-0.245711,-0.014059,0.016268,-0.013859
13969,9.145616,-3.692927,-0.245633,-0.015905,0.014102,-0.011353
13970,9.105553,-3.699280,-0.253958,-0.018347,0.017788,-0.014628
13971,9.059044,-3.710776,-0.228562,-0.020501,0.021808,-0.016307
13972,9.038111,-3.769560,-0.276715,-0.014076,0.022788,-0.016451
13973,9.048210,-3.794592,-0.295364,-0.010590,0.021413,-0.012049
13974,9.095974,-3.780253,-0.317950,-0.003650,0.021913,-0.017423
13975,9.044909,-3.764394,-0.359265,0.008212,0.022718,-0.010405
13976,9.074965,-3.733379,-0.382121,0.008309,0.018471,-0.016741
13977,9.080087,-3.759626,-0.312662,0.011995,0.011881,-0.013411
13978,9.142466,-3.730679,-0.347578,0.017748,0.016440,-0.010411
13979,9.126846,-3.708637,-0.291510,0.023732,0.020179,-0.014241
13980,9.137144,-3.693588,-0.212741,0.031935,0.031972,-0.016312
13981,9.117265,-3.643445,-0.222389,0.030385,0.041055,-0.020564
13982,9.112894,-3.683049,-0.224891,0.028467,0.047530,-0.017491
13983,9.090677,-3.706311,-0.227695,0.023738,0.055081,-0.010374
13984,9.050587,-3.713253,-0.231281,0.026803,0.049945,-0.007068
13985,9.050779,-3.713110,-0.226024,0.016287,0.048544,0.002807
13986,9.097963,-3.700467,-0.245674,0.008218,0.040178,0.004377
13987,9.152460,-3.787461,-0.280217,0.004648,0.039277,0.008888
13988,9.149334,-3.756555,-0.289775,0.008031,0.038873,0.008037
13989,9.152036,-3.789049,-0.272472,0.011698,0.038806,0.008783
13990,9.140592,-3.727399,-0.207480,0.007751,0.038531,0.006432
13991,9.140426,-3.728009,-0.203833,0.009619,0.034177,0.006525
13992,9.132319,-3.737987,-0.221383,0.000480,0.036532,0.001759
13993,9.132336,-3.738136,-0.218143,0.003728,0.032702,0.001416
13994,9.093107,-3.741549,-0.170083,-0.002842,0.034806,-0.000564
13995,9.100034,-3.736105,-0.200427,-0.001743,0.034991,-0.002602
13996,9.074560,-3.728557,-0.219259,-0.000021,0.033725,-0.004607
13997,9.026289,-3.745504,-0.246643,-0.003744,0.035914,-0.002203
13998,9.048127,-3.725064,-0.289961,-0.008097,0.025367,-0.003044
13999,9.048339,-3.724705,-0.287930,-0.011002,0.027405,-0.004273
14000,9.048449,-3.724570,-0.286217,-0.011191,0.019593,0.001999
14001,9.063380,-3.709522,-0.297424,-0.009687,0.015867,-0.004762
14002,9.089178,-3.716446,-0.274558,-0.016932,0.015034,-0.001014
14003,9.059599,-3.746071,-0.249221,-0.018729,0.010748,-0.001671
14004,9.062548,-3.777551,-0.235695,-0.013479,0.005995,-0.002410
14005,9.093487,-3.743027,-0.206235,-0.011071,0.001159,-0.007539
14006,9.045535,-3.759123,-0.236789,-0.001145,0.004006,-0.017423
14007,9.046210,-3.757515,-0.236532,0.003483,0.000705,-0.018196
14008,9.021252,-3.748656,-0.258301,0.003484,0.000704,-0.018196
14009,9.064266,-3.775134,-0.289474,-0.000946,0.005305,-0.021092
14010,9.076606,-3.835618,-0.350149,0.008249,0.000828,-0.019474
14011,9.077338,-3.833913,-0.349856,0.015785,-0.004510,-0.019017
14012,9.100834,-3.807667,-0.341145,0.016129,-0.006297,-0.020583
14013,9.115319,-3.859673,-0.293554,0.016618,-0.011172,-0.020046
14014,9.149649,-3.855487,-0.251074,0.026160,-0.017434,-0.019994
14015,9.151494,-3.849378,-0.196983,0.037350,-0.016322,-0.021392
14016,9.134592,-3.830662,-0.198028,0.045368,-0.020023,-0.023012
14017,9.127846,-3.729017,-0.183729,0.044795,-0.014195,-0.028826
14018,9.120981,-3.736031,-0.204242,0.043269,-0.011639,-0.030499
14019,9.081562,-3.741348,-0.212962,0.044242,-0.007200,-0.026219
14020,9.031041,-3.725194,-0.255688,0.052412,-0.006302,-0.019921
14021,9.046537,-3.708612,-0.266898,0.055669,-0.010130,-0.020262
14022,9.054109,-3.701632,-0.299327,0.058647,-0.014299,-0.022202
14023,9.048972,-3.636366,-0.325596,0.062726,-0.018287,-0.026180
14024,9.114921,-3.637712,-0.348432,0.060877,-0.028142,-0.029483
14025,9.131848,-3.615648,-0.306900,0.055683,-0.025535,-0.031915
14026,9.132964,-3.612784,-0.307411,0.044689,-0.025371,-0.034177
14027,9.151868,-3.626551,-0.307278,0.032874,-0.025044,-0.032796
14028,9.161005,-3.613719,-0.287395,0.022757,-0.019483,-0.036044
14029,9.163487,-3.605729,-0.234219,0.010381,-0.019847,-0.037852
14030,9.107759,-3.588971,-0.191615,-0.004571,-0.012276,-0.036645
14031,9.083435,-3.578377,-0.214757,-0.020175,-0.004458,-0.043906
14032,9.101076,-3.663994,-0.208371,-0.026698,0.003181,-0.043242
14033,9.080097,-3.684555,-0.217405,-0.027885,0.003936,-0.046481
14034,9.117558,-3.713373,-0.215497,-0.021025,0.013068,-0.051329
14035,9.154967,-3.632392,-0.177945,-0.010711,0.019669,-0.060189
14036,9.213597,-3.598857,-0.124775,-0.014730,0.032372,-0.067805
14037,9.251304,-3.516591,-0.084822,-0.016137,0.050402,-0.069985
14038,9.327491,-3.389130,0.006766,-0.030492,0.066147,-0.085629
14039,9.416762,-3.431920,0.004607,-0.049961,0.095591,-0.098424
14040,9.462961,-3.336577,0.070683,-0.068714,0.122621,-0.105935
14041,9.536240,-3.173639,0.154949,-0.084155,0.148985,-0.128056
14042,9.607505,-3.086088,0.193581,-0.112160,0.185662,-0.148381
14043,9.560278,-3.126405,0.225643,-0.146157,0.230564,-0.164951
14044,9.568315,-3.142183,0.257847,-0.182938,0.269947,-0.174971
14045,9.491620,-3.219388,0.210099,-0.217962,0.302439,-0.189784
14046,9.477617,-3.331314,0.242488,-0.243793,0.331642,-0.194578
14047,9.546802,-3.542800,0.151255,-0.275037,0.351153,-0.189861
14048,9.617359,-3.758145,0.005401,-0.280875,0.357147,-0.175974
14049,9.640858,-3.981459,-0.007908,-0.267491,0.386334,-0.154658
14050,9.446380,-4.079640,0.025442,-0.225950,0.405970,-0.154403
14051,9.147325,-3.965535,0.056074,-0.155446,0.402739,-0.175080
14052,9.054922,-3.723405,0.159339,-0.074653,0.379655,-0.210712
14053,9.057719,-3.595158,0.229432,0.004090,0.376528,-0.232963
14054,9.138188,-3.443706,0.379276,0.038860,0.385538,-0.251530
14055,9.194386,-3.360997,0.458126,0.013446,0.407563,-0.245754
14056,9.177995,-3.409399,0.422544,-0.041665,0.420798,-0.221572
14057,9.202916,-3.690406,0.226132,-0.090495,0.429099,-0.179342
14058,9.156605,-3.940052,0.089064,-0.108081,0.430524,-0.126149
14059,8.995753,-4.164881,0.053407,-0.089762,0.431044,-0.082670
14060,8.787762,-4.339438,-0.021716,-0.053159,0.420732,-0.039893
14061,8.572925,-4.527254,-0.120387,-0.007092,0.392202,0.001892
14062,8.432900,-4.712582,-0.272310,0.057315,0.337539,0.043715
14063,8.316847,-5.055303,-0.394590,0.112669,0.278726,0.107197
14064,8.248239,-5.652848,-0.588430,0.169891,0.219222,0.194498
14065,8.102047,-6.227229,-0.777799,0.268893,0.132585,0.309469
14066,7.831119,-6.593762,-0.865683,0.431792,0.018019,0.418144
14067,7.531307,-6.687698,-0.904185,0.622770,-0.123729,0.507247
14068,7.315533,-6.649625,-0.944420,0.816219,-0.286105,0.582687
14069,7.225541,-6.563791,-1.101031,1.010258,-0.450759,0.648495
14070,7.261261,-6.545630,-1.157117,1.189292,-0.593136,0.719283
14071,7.464657,-6.488828,-1.177374,1.350334,-0.709404,0.794901
14072,7.726882,-6.441858,-1.166412,1.481309,-0.805281,0.870634
