// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
55180,8.884894,-4.188379,1.304026,-0.012470,0.004076,-0.001472
55181,8.870422,-4.216189,1.289083,-0.007177,0.003237,0.002436
55182,8.889862,-4.238762,1.271514,-0.008523,0.006158,0.001786
55183,8.836069,-4.222182,1.292232,-0.006102,0.006906,0.004073
55184,8.889852,-4.230260,1.294763,-0.003948,0.006081,0.002045
55185,8.869322,-4.226468,1.267667,0.000806,0.006179,-0.000028
55186,8.883216,-4.208064,1.260497,-0.000270,0.006591,0.000986
55187,8.897494,-4.180521,1.275939,-0.000270,0.006591,0.000986
55188,8.882582,-4.217367,1.239131,0.003408,0.007101,-0.000072
55189,8.869299,-4.217357,1.292977,0.004036,0.009022,-0.000419
55190,8.877214,-4.167350,1.273191,0.004126,0.002257,0.000927
55191,8.917100,-4.193691,1.283388,0.005292,-0.000839,0.003909
55192,8.882940,-4.199279,1.286510,0.006547,0.003004,0.003215
55193,8.891199,-4.140279,1.289099,0.008970,-0.000330,0.002852
55194,8.910705,-4.162656,1.271816,0.004126,0.002256,0.000927
55195,8.890693,-4.149505,1.267133,0.001705,0.001509,-0.001361
55196,8.884786,-4.117743,1.254535,-0.002690,0.001761,-0.003953
55197,8.856946,-4.154233,1.270183,-0.002959,0.004270,-0.005619
55198,8.871200,-4.135194,1.262612,-0.004303,0.003110,-0.008920
55199,8.877426,-4.166162,1.275594,0.002512,0.003605,-0.004040
55200,8.877392,-4.174445,1.253467,0.001440,0.005476,-0.016002
55201,8.872776,-4.123121,1.286307,0.006106,-0.001365,-0.014395
55202,8.858676,-4.158416,1.249182,0.004670,0.004236,-0.019042
55203,8.845551,-4.174879,1.257428,0.005480,0.002248,-0.024369
55204,8.860518,-4.154181,1.250208,0.004133,0.005165,-0.025019
55205,8.867989,-4.174112,1.286002,0.000188,0.003076,-0.028276
55206,8.868479,-4.189690,1.241385,0.003504,0.008769,-0.034990
55207,8.856580,-4.186763,1.294966,0.003420,0.001829,-0.031311
55208,8.891521,-4.187586,1.270105,0.006825,0.004842,-0.034029
55209,8.884979,-4.234511,1.291298,0.007722,0.004253,-0.032708
55210,8.880278,-4.199910,1.279180,0.005301,0.003494,-0.034993
55211,8.901663,-4.209897,1.284783,0.006643,0.004655,-0.031690
55212,8.894725,-4.266243,1.283360,0.003589,0.006059,-0.030979
55213,8.890162,-4.222851,1.293808,0.000809,0.004959,-0.028605
55214,8.891238,-4.220472,1.294173,-0.005024,0.005267,-0.025524
55215,8.897638,-4.268273,1.262046,-0.006556,0.008010,-0.023844
55216,8.878746,-4.244258,1.279963,-0.001613,0.002764,-0.017924
55217,8.831229,-4.275853,1.268316,0.004208,0.006538,-0.018355
55218,8.845816,-4.255710,1.261415,0.011657,0.004894,-0.016470
55219,8.793059,-4.228260,1.305295,0.010579,0.005304,-0.015457
55220,8.794252,-4.172995,1.205043,0.006901,0.004788,-0.014402
55221,8.888983,-4.205020,1.217939,0.001428,0.005434,-0.015981
55222,8.963639,-4.224106,1.225742,0.001248,0.005264,-0.013652
55223,8.936428,-4.259625,1.242080,0.003475,0.011362,-0.019348
55224,8.937492,-4.248609,1.265455,0.007096,0.000865,-0.019373
55225,8.898100,-4.220905,1.256094,0.010758,0.005465,-0.017779
55226,8.878388,-4.215562,1.229115,0.009790,-0.000879,-0.015421
55227,8.853386,-4.151234,1.256867,0.008712,-0.000468,-0.014409
55228,8.819960,-4.155589,1.259814,0.004855,-0.001151,-0.011028
55229,8.820419,-4.154645,1.259715,0.002534,-0.004581,-0.009323
55230,8.840886,-4.166805,1.264621,-0.000358,0.001079,-0.008300
55231,8.847213,-4.206609,1.254699,-0.003217,-0.001438,-0.012567
55232,8.875981,-4.150300,1.284297,-0.004492,0.002896,-0.006583
55233,8.881996,-4.199263,1.252077,-0.005127,0.006474,-0.016545
55234,8.888865,-4.229230,1.265208,-0.000993,0.004655,-0.018261
55235,8.875714,-4.246047,1.273621,0.009855,0.006038,-0.019089
55236,8.910183,-4.247702,1.249253,0.017046,0.002814,-0.021509
55237,8.905392,-4.195674,1.282733,0.022518,0.002170,-0.019926
55238,8.920034,-4.175103,1.276212,0.018105,0.006483,-0.019872
55239,8.866408,-4.175209,1.252344,0.018042,-0.000438,-0.016196
55240,8.901289,-4.158791,1.272826,0.005377,0.003421,-0.015359
55241,8.921961,-4.170317,1.278389,0.000343,0.005815,-0.014961
55242,8.874651,-4.193242,1.289503,-0.001196,0.008561,-0.013287
55243,8.820697,-4.194235,1.265193,-0.001097,0.005899,-0.009297
55244,8.820737,-4.202677,1.243072,0.000881,0.004908,-0.008990
55245,8.889055,-4.190373,1.238119,0.001241,0.005235,-0.013643
55246,8.889780,-4.179984,1.261312,0.005635,0.005011,-0.011049
55247,8.876118,-4.206646,1.247075,0.003219,0.004243,-0.013335
55248,8.910563,-4.199703,1.245167,0.003097,0.010992,-0.014682
55249,8.911141,-4.198173,1.246188,0.012730,0.004448,-0.017452
55250,8.897986,-4.215035,1.254781,0.012111,0.002526,-0.017104
55251,8.845904,-4.124646,1.219894,0.013808,0.004030,-0.018459
55252,8.873028,-4.167199,1.238491,0.014550,-0.000802,-0.017457
55253,8.867667,-4.124965,1.248583,0.010076,-0.003402,-0.013734
55254,8.854183,-4.151387,1.234183,0.005994,0.005324,-0.015697
55255,8.875015,-4.153895,1.262215,0.005578,-0.001909,-0.007371
55256,8.855113,-4.149256,1.234677,0.000184,0.001539,-0.015270
55257,8.876060,-4.151622,1.262348,0.003343,-0.002520,-0.011982
55258,8.890165,-4.141107,1.232207,0.004295,0.003814,-0.014339
55259,8.883484,-4.180452,1.275917,0.003396,0.004387,-0.015655
55260,8.918043,-4.173230,1.273835,0.007071,0.004904,-0.016703
55261,8.884722,-4.177465,1.277079,0.004758,0.001476,-0.014999
55262,8.898887,-4.166729,1.247254,0.002033,0.007291,-0.016308
55263,8.926469,-4.190883,1.310963,0.003576,0.004541,-0.017977
55264,8.906685,-4.185840,1.284041,0.008406,0.006086,-0.013405
55265,8.940904,-4.188039,1.259552,0.008869,0.003751,-0.014066
55266,8.955376,-4.159018,1.275045,0.006529,0.004419,-0.009724
55267,8.921782,-4.163793,1.278522,0.003186,0.008313,-0.010687
55268,8.888342,-4.159448,1.304567,-0.000670,0.007636,-0.007315
55269,8.888560,-4.158715,1.305421,-0.000337,0.012047,-0.009325
55270,8.888901,-4.148910,1.328837,-0.003011,0.008305,-0.002974
55271,8.908653,-4.179888,1.289770,-0.000367,0.016140,-0.006686
55272,8.888633,-4.166390,1.286018,0.003157,0.012404,-0.008045
55273,8.889152,-4.147230,1.332395,0.003875,0.011673,-0.004404
55274,8.882660,-4.124516,1.298367,0.005287,0.015668,-0.007421
