// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
57681,,9.340349,-3.141311,-0.134911,0.010515,0.009720,-0.015079,-92.469914,-71.390977,-2.117313
57682,,9.315437,-3.128241,-0.153877,0.000888,0.014247,-0.014857,-92.827837,-71.411946,-1.550986
57683,,9.311332,-3.192539,-0.184596,-0.000718,0.015002,-0.014820,-92.635256,-71.405975,-1.854192
57684,,9.311311,-3.223940,-0.172279,-0.001835,0.010047,-0.012158,-92.620161,-71.413198,-1.871228
57685,,9.270748,-3.192386,-0.190710,0.000163,0.010558,-0.011344,-92.603547,-71.420428,-1.888559
57686,,9.251080,-3.238030,-0.220804,0.003698,0.011475,-0.015777,-92.583101,-71.429756,-1.907894
57687,,9.286759,-3.241319,-0.178329,0.012999,0.004528,-0.011634,-92.563565,-71.436664,-1.926900
57688,,9.301077,-3.199993,-0.113088,0.018062,0.001558,-0.014058,-92.551630,-71.444751,-1.928573
57689,,9.313923,-3.185312,-0.178615,0.015466,0.009440,-0.012013,-92.523430,-71.451457,-1.954079
57690,,9.333995,-3.169839,-0.134934,0.020528,0.006471,-0.014435,-92.501708,-71.459882,-1.964585
57691,,9.334472,-3.168493,-0.133559,0.018354,0.009801,-0.014977,-92.473380,-71.467847,-1.986882
57692,,9.299729,-3.162709,-0.173560,0.014499,0.010752,-0.013440,-92.447695,-71.475805,-2.005210
57693,,9.319815,-3.147102,-0.129857,0.012106,0.008973,-0.015103,-92.430508,-71.483033,-2.013347
57694,,9.294506,-3.166624,-0.137901,0.009320,0.005927,-0.017616,-92.416309,-71.493260,-2.022690
57695,,9.301198,-3.158562,-0.170294,0.003363,0.009049,-0.011415,-92.399157,-71.498340,-2.040961
57696,,9.294965,-3.196735,-0.124770,0.007857,0.008657,-0.014414,-92.380871,-71.506798,-2.055497
57697,,9.317210,-3.207598,-0.157750,0.003185,0.012892,-0.011145,-92.355224,-71.511263,-2.085481
57698,,9.291818,-3.227464,-0.165649,0.007856,0.008658,-0.014412,-92.336907,-71.519717,-2.100049
57699,,9.276720,-3.207311,-0.163719,0.013312,0.006958,-0.015980,-92.319011,-71.525354,-2.113984
57700,,9.277219,-3.205918,-0.162691,0.014273,0.005650,-0.014549,-92.302155,-71.533814,-2.123133
57701,,9.309785,-3.176673,-0.186008,0.012524,0.004426,-0.017677,-92.288608,-71.539113,-2.135265
