// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
23018,9.040856,-3.902412,-0.043787,0.040059,0.003250,-0.000380
23019,9.033785,-3.899818,-0.075701,0.040705,0.001170,-0.004775
23020,9.026828,-3.896987,-0.107646,0.043313,0.001221,-0.006252
23021,9.000572,-3.899618,-0.065157,0.041968,-0.000831,-0.011235
23022,8.993401,-3.872112,-0.095351,0.045932,0.001277,-0.007726
23023,8.973677,-3.894979,-0.108681,0.043997,-0.001937,-0.011801
23024,8.994360,-3.869961,-0.092230,0.037242,-0.001666,-0.018299
23025,9.009058,-3.915527,-0.114840,0.044065,-0.005175,-0.015282
23026,8.974793,-3.842052,-0.101422,0.042114,-0.007309,-0.018194
23027,8.995963,-3.841057,-0.087313,0.037541,-0.008410,-0.018465
23028,9.010003,-3.837678,-0.106951,0.036736,-0.006064,-0.020868
23029,9.031188,-3.836628,-0.092937,0.032939,-0.007345,-0.016410
23030,9.065547,-3.834195,-0.099524,0.030340,-0.007392,-0.014930
23031,9.073727,-3.859386,-0.067003,0.022914,-0.003963,-0.015878
23032,9.073545,-3.809204,-0.063149,0.026948,-0.006179,-0.017017
23033,9.061252,-3.833808,-0.043838,0.018872,-0.000660,-0.013576
23034,9.027574,-3.809345,-0.034344,0.014843,0.001558,-0.012436
23035,9.048995,-3.833017,-0.022044,0.013457,0.001658,-0.015095
23036,9.021938,-3.828837,-0.068341,0.014069,0.001733,-0.017163
23037,9.022996,-3.851714,-0.069167,0.010610,0.006192,-0.015772
23038,8.990227,-3.875835,-0.062860,0.003399,0.006116,-0.013408
23039,9.017311,-3.871419,-0.102949,0.009412,0.004960,-0.012794
23040,9.004377,-3.872241,-0.081579,0.012149,0.006930,-0.005155
23041,8.997472,-3.869451,-0.114369,0.010210,0.003703,-0.009225
23042,8.998270,-3.892990,-0.115258,0.014226,0.002573,-0.009202
23043,9.040063,-3.917491,-0.089526,0.014838,0.002648,-0.011270
23044,9.019599,-3.891585,-0.100366,0.016858,0.001541,-0.011838
23045,9.020093,-3.890457,-0.099630,0.018898,-0.000650,-0.013565
23046,9.040640,-3.865424,-0.083873,0.027505,-0.000665,-0.013266
23047,9.027444,-3.841418,-0.060917,0.025531,-0.001726,-0.015015
23048,9.020926,-3.837753,-0.093917,0.024189,-0.003797,-0.019992
23049,9.021672,-3.836013,-0.093395,0.023602,-0.004954,-0.019081
23050,8.994289,-3.807337,-0.138185,0.022770,-0.001530,-0.020331
23051,9.068891,-3.756508,-0.115073,0.020247,-0.005919,-0.023487
23052,9.088773,-3.724498,-0.188021,0.010889,-0.006824,-0.029670
23053,9.090086,-3.678635,-0.097403,-0.010571,-0.002183,-0.033610
23054,9.044937,-3.702276,-0.072564,-0.040547,-0.001874,-0.042478
23055,9.034163,-3.748921,-0.057372,-0.060990,-0.000900,-0.038365
23056,9.003842,-3.844159,-0.059215,-0.066189,-0.001002,-0.035405
23057,9.026753,-3.890038,-0.051718,-0.067001,0.002429,-0.036645
23058,8.975039,-3.936087,-0.063384,-0.057762,0.002510,-0.038410
23059,8.977589,-3.981413,-0.068378,-0.042592,0.004694,-0.036087
23060,8.999444,-3.978748,-0.056034,-0.028022,0.005717,-0.032858
23061,8.983344,-4.122030,-0.079809,-0.020549,0.007466,-0.019317
23062,8.927801,-4.363487,-0.136561,-0.012142,0.007694,0.004578
23063,9.001089,-4.654947,-0.170732,-0.001590,0.007642,0.035855
23064,8.979153,-4.979603,-0.150212,0.060300,-0.002496,0.067325
23065,8.853922,-5.014422,-0.139871,0.139044,-0.021366,0.092205
23066,8.699606,-4.980982,-0.081698,0.217333,-0.046524,0.105466
23067,8.483895,-5.038817,-0.155831,0.290657,-0.071733,0.121772
23068,8.281001,-5.077754,-0.159438,0.356172,-0.104914,0.143393
23069,8.210955,-5.158487,-0.281864,0.401704,-0.136115,0.177216
23070,8.384552,-5.341060,-0.338160,0.468929,-0.176404,0.219439
23071,8.570789,-5.654075,-0.330277,0.553558,-0.196428,0.269602
23072,8.764001,-5.825974,-0.330352,0.700126,-0.237813,0.331711
23073,8.884220,-5.908891,-0.306146,0.807089,-0.258605,0.405153
23074,8.805293,-5.952457,-0.196522,0.882479,-0.260709,0.474162
23075,8.611959,-5.733567,0.053943,0.963278,-0.273640,0.557995
23076,8.542785,-5.711097,0.237134,0.983791,-0.272086,0.626785
23077,8.598840,-5.619988,0.355795,0.981448,-0.249663,0.700197
23078,8.758394,-5.514588,0.394606,0.966553,-0.228640,0.796842
23079,8.889719,-5.593705,0.279118,0.916094,-0.203178,0.888866
23080,8.986843,-5.732769,0.206438,0.849257,-0.168811,0.983872
23081,9.026609,-5.638980,0.085988,0.759755,-0.129845,1.077895
23082,8.830376,-5.938881,-0.149053,0.579216,-0.081423,1.163956
23083,9.022363,-5.386217,-0.230349,0.452050,-0.079285,1.277702
23084,8.948603,-5.949592,-0.255944,0.134092,0.009335,1.367495
23085,8.541753,-6.862471,-0.377303,-0.017176,0.072133,1.501488
23086,8.522616,-7.284176,-0.511362,-0.047876,0.096820,1.621516
23087,9.096931,-6.061086,0.039803,0.069504,0.024861,1.751615
23088,8.409695,-7.258995,-0.207043,-0.257399,0.169912,1.802645
23089,7.851781,-7.459469,-0.571135,-0.204322,0.108553,1.950087
23090,8.026621,-7.093546,-0.360903,-0.260669,0.050034,2.053824
23091,7.377034,-8.777029,-0.923005,-0.393524,0.121329,2.147967
23092,8.185349,-7.819549,-0.902771,-0.050734,-0.076499,2.291185
23093,8.192044,-8.465121,-0.457155,-0.221341,-0.005243,2.322796
23094,7.695579,-9.015639,-0.768324,-0.098423,-0.073719,2.412319
23095,7.742580,-8.868374,-0.588070,-0.048482,-0.130268,2.484990
23096,7.388006,-9.026418,-0.852924,0.038421,-0.199685,2.536714
23097,7.190665,-9.208329,-1.015378,0.103857,-0.281151,2.585330
23098,7.212042,-9.157188,-0.970581,0.209028,-0.362320,2.633305
23099,7.274075,-9.314764,-0.820389,0.242532,-0.385435,2.674111
23100,7.359814,-9.390506,-0.653262,0.286376,-0.400713,2.724788
23101,7.419626,-9.360207,-0.506499,0.335727,-0.414161,2.759307
23102,7.345344,-9.212554,-0.386766,0.340211,-0.412884,2.769702
23103,7.074667,-8.979489,-0.315483,0.333820,-0.410467,2.776554
23104,6.853505,-8.810350,-0.207668,0.266463,-0.397694,2.763386
23105,6.772638,-8.749744,-0.149538,0.145563,-0.367599,2.786023
23106,6.590150,-8.803936,-0.188697,0.037922,-0.343563,2.795062
23107,6.408161,-8.855766,-0.236681,-0.100379,-0.318204,2.820484
23108,6.090592,-9.099817,-0.495379,-0.265154,-0.279775,2.845928
23109,5.612533,-9.312340,-0.829482,-0.335398,-0.291933,2.861778
23110,5.229746,-9.360277,-1.105186,-0.314588,-0.380736,2.848685
23111,5.097036,-9.398603,-1.178737,-0.303313,-0.454233,2.816242
23112,4.841586,-9.257648,-1.375143,-0.302969,-0.511793,2.780453
23113,4.657537,-9.071097,-1.347778,-0.319673,-0.577315,2.746921
23114,4.615884,-9.092603,-1.357143,-0.365470,-0.593536,2.715489
23115,4.587395,-9.123583,-1.337460,-0.367440,-0.611697,2.699589
