// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
35603,,9.789594,-0.803641,0.496794,0.016908,0.013420,-0.003044,-59.097210,-84.059128,-5.915597
35604,,9.807178,-0.809839,0.536096,0.013344,0.013152,-0.001950,-59.055670,-84.058695,-5.937982
35605,,9.789502,-0.787127,0.518009,0.006248,0.012104,-0.001891,-58.989613,-84.056055,-6.000796
35606,,9.813102,-0.791468,0.523352,0.003231,0.015680,-0.002202,-58.921108,-84.054067,-6.062373
35607,,9.842215,-0.870106,0.561136,-0.000380,0.024340,-0.000952,-58.804076,-84.047323,-6.180258
35608,,9.824482,-0.847451,0.544095,0.011116,0.023004,-0.002235,-58.675715,-84.042071,-6.303761
35609,,9.770970,-0.840336,0.572588,0.014542,0.025334,0.005181,-58.563542,-84.031978,-6.408167
35610,,9.782922,-0.836845,0.507308,0.020291,0.024662,0.004543,-58.457662,-84.024227,-6.497348
35611,,9.776645,-0.823181,0.562485,0.016167,0.028958,0.005070,-58.328062,-84.013057,-6.618344
35612,,9.776431,-0.823807,0.565293,0.009834,0.026300,0.009241,-58.238779,-84.003246,-6.694802
35613,,9.788389,-0.820795,0.500284,0.004637,0.030804,0.008478,-58.117876,-83.989813,-6.813700
35614,,9.817975,-0.856217,0.436754,0.007610,0.036142,0.008953,-57.953866,-83.975630,-6.976483
35615,,9.888661,-0.854753,0.470382,0.008764,0.026494,0.007960,-57.850056,-83.963700,-7.075822
35616,,9.858656,-0.836600,0.521799,-0.001555,0.034470,0.002174,-57.700628,-83.955001,-7.225370
35617,,9.858436,-0.820763,0.543250,-0.004766,0.026690,0.000275,-57.582260,-83.946684,-7.347146
35618,,9.828598,-0.850208,0.538834,-0.004802,0.027203,0.002404,-57.494440,-83.942360,-7.427624
35619,,9.792475,-0.849872,0.605039,-0.002101,0.022225,0.005549,-57.410685,-83.932829,-7.513058
35620,,9.774749,-0.827985,0.587816,0.003887,0.023988,0.006345,-57.331550,-83.927135,-7.582993
35621,,9.757106,-0.821929,0.552213,0.002855,0.023676,0.002929,-57.231251,-83.918389,-7.682212
35622,,9.769109,-0.770376,0.542146,-0.000397,0.024812,0.001187,-57.114558,-83.913838,-7.798530
35623,,9.763094,-0.836097,0.504558,-0.004959,0.023722,-0.003272,-57.000924,-83.908017,-7.915670
35624,,9.792844,-0.838377,0.476920,-0.002738,0.022272,-0.004944,-56.863146,-83.909994,-8.055343
35625,,9.769223,-0.849511,0.456311,0.001030,0.017090,-0.000509,-56.784238,-83.904881,-8.134113
35626,,9.775194,-0.815492,0.461003,0.005709,0.016627,-0.002427,-56.701240,-83.907827,-8.211936
35627,,9.792664,-0.837645,0.481877,0.010666,0.009691,-0.003082,-56.642481,-83.906263,-8.264888
35628,,9.798700,-0.803292,0.485686,0.010190,0.004824,-0.005936,-56.594557,-83.915461,-8.309339
35629,,9.792586,-0.820711,0.501689,0.006582,0.005079,-0.002727,-56.559777,-83.915175,-8.340538
35630,,9.798647,-0.786306,0.504961,0.001507,-0.000358,-0.007917,-56.561797,-83.928864,-8.334600
35631,,9.786476,-0.821187,0.535814,0.001547,-0.000875,-0.010044,-56.534923,-83.933950,-8.360741
35632,,9.792788,-0.818118,0.501975,-0.002498,0.002384,-0.013779,-56.521577,-83.952788,-8.366686
35633,,9.786790,-0.834621,0.517341,0.007099,-0.004496,-0.014223,-56.495329,-83.961021,-8.388967
35634,,9.769333,-0.794613,0.515685,0.004444,-0.008434,-0.017531,-56.535407,-83.980931,-8.342580
35635,,9.763518,-0.826641,0.511868,0.004484,-0.008953,-0.019656,-56.514711,-83.993145,-8.360774
35636,,9.799779,-0.825518,0.447219,0.003098,-0.010147,-0.018119,-56.538732,-84.013459,-8.335677
