// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
58104,8.910048,-4.300527,-0.121438,0.008565,0.009000,-0.003414
58105,8.942866,-4.269387,-0.151503,0.017787,0.006765,-0.008285
58106,8.933069,-4.218739,-0.130567,0.021418,0.009645,-0.006260
58107,8.955165,-4.210605,-0.137005,0.014216,0.009682,-0.007900
58108,8.944411,-4.194529,-0.150779,0.008210,0.012441,-0.003592
58109,8.901181,-4.153419,-0.154787,0.002128,0.007951,-0.002294
58110,8.945071,-4.176900,-0.131326,0.000197,0.014030,-0.000986
58111,8.922739,-4.162753,-0.178273,-0.010267,0.009193,-0.003873
58112,8.922427,-4.179739,-0.195207,-0.009501,0.008108,-0.001112
58113,8.911293,-4.219913,-0.188974,-0.013102,0.008126,-0.001933
58114,8.911830,-4.202468,-0.171513,-0.007923,0.005470,-0.002596
58115,8.933785,-4.194594,-0.179342,-0.001518,0.003620,-0.004920
58116,8.912250,-4.201597,-0.171041,0.003279,0.001507,-0.006964
58117,8.956598,-4.168579,-0.169552,0.000903,0.002329,-0.009446
58118,8.946460,-4.134810,-0.167671,-0.005974,-0.003977,-0.012117
58119,8.892396,-4.133174,-0.167268,-0.011892,0.002662,-0.013010
58120,8.903470,-4.220457,-0.148525,-0.009500,-0.001528,-0.018741
58121,8.904348,-4.218595,-0.148802,-0.002225,0.000871,-0.022901
58122,8.883534,-4.224105,-0.140773,0.010128,-0.004715,-0.023128
58123,8.862116,-4.208021,-0.188249,0.019394,-0.002595,-0.026187
58124,8.907963,-4.194610,-0.130708,0.018212,-0.003871,-0.031535
58125,8.887471,-4.199470,-0.122156,0.020215,-0.002700,-0.029832
58126,8.921620,-4.204637,-0.114084,0.027484,-0.000301,-0.033995
58127,8.934112,-4.161376,-0.119171,0.017846,-0.000436,-0.031713
58128,8.924473,-4.198620,-0.112519,0.016278,-0.001174,-0.038442
58129,8.947398,-4.205020,-0.137336,0.010254,0.000127,-0.034737
58130,8.971016,-4.232901,-0.106220,0.009507,0.004107,-0.036297
58131,8.906558,-4.286959,-0.115965,0.011472,0.000929,-0.036400
58132,8.886009,-4.308592,-0.124501,0.021859,-0.001465,-0.036522
58133,8.909689,-4.280495,-0.114208,0.031885,-0.000416,-0.036823
58134,8.867688,-4.236627,-0.118159,0.026685,0.000775,-0.036763
58135,8.879869,-4.210355,-0.140349,0.025459,-0.000032,-0.035102
58136,8.913489,-4.249721,-0.166790,0.021010,-0.002821,-0.033481
58137,8.970016,-4.285419,-0.127992,0.015930,0.008045,-0.036226
58138,8.982342,-4.314980,-0.128525,0.017920,0.007770,-0.035125
58139,8.973230,-4.334979,-0.103499,0.017562,0.012660,-0.034706
58140,8.952260,-4.318179,-0.149524,0.015555,0.011478,-0.036409
58141,8.910598,-4.313141,-0.114601,0.013113,0.009867,-0.033085
58142,8.868005,-4.287125,-0.135573,0.017106,0.010776,-0.030282
58143,8.858574,-4.307840,-0.110843,0.012218,0.006106,-0.024233
58144,8.859493,-4.305983,-0.109557,0.022192,0.006207,-0.018123
58145,8.805333,-4.321812,-0.124786,0.022104,-0.000563,-0.014113
58146,8.860513,-4.393790,-0.120122,0.032134,0.001954,-0.013813
58147,8.849721,-4.394513,-0.150901,0.038940,0.002486,-0.013553
58148,8.818158,-4.423825,-0.117405,0.038606,0.005431,-0.020747
58149,8.808954,-4.573740,-0.065974,0.035060,0.007841,-0.027381
58150,8.799375,-4.701809,-0.070304,0.036310,0.008146,-0.036054
58151,8.779418,-4.869645,-0.067816,0.051569,0.010436,-0.042225
58152,8.639610,-4.931395,-0.065161,0.074782,0.010203,-0.044584
58153,8.500310,-5.048880,-0.039709,0.087615,0.015240,-0.045638
58154,8.373033,-5.293262,0.044929,0.072407,0.018243,-0.044093
58155,8.330672,-5.737116,-0.052337,0.073094,0.018184,-0.027312
58156,8.386105,-6.188403,-0.108372,0.126070,0.013558,0.000304
58157,8.350026,-6.537983,-0.299789,0.241147,-0.011518,0.038321
58158,8.322639,-6.674108,-0.393308,0.363940,-0.040120,0.086554
58159,8.390345,-6.803395,-0.425482,0.443261,-0.070170,0.144741
58160,8.441924,-6.958463,-0.503848,0.490514,-0.090608,0.201040
58161,8.534139,-7.071266,-0.490956,0.493689,-0.119025,0.254680
58162,8.531663,-7.177762,-0.633102,0.483890,-0.154679,0.315347
58163,8.651714,-7.504375,-0.770230,0.439113,-0.200936,0.395539
58164,8.573780,-7.862278,-0.989801,0.413419,-0.253860,0.497130
58165,8.522253,-8.039339,-1.096493,0.418657,-0.311850,0.600941
58166,8.461542,-8.135298,-1.198131,0.409030,-0.371442,0.714450
58167,8.381841,-8.098662,-1.352242,0.404635,-0.421857,0.826844
58168,8.429925,-8.030868,-1.680079,0.392983,-0.493760,0.940996
58169,8.677323,-8.008140,-1.927496,0.381705,-0.569205,1.025050
58170,8.904041,-8.056681,-2.119810,0.354645,-0.625375,1.100323
58171,8.997094,-8.328205,-2.288286,0.347614,-0.670636,1.179938
58172,8.929163,-8.628737,-2.305001,0.365423,-0.719014,1.260588
58173,8.843626,-9.061439,-2.513918,0.448256,-0.782597,1.327479
58174,8.906600,-9.398016,-2.835996,0.601962,-0.866771,1.378603
58175,8.906523,-9.580469,-2.880994,0.750939,-0.946521,1.417444
58176,8.695336,-10.194533,-2.862485,0.855897,-1.012519,1.467776
58177,8.528803,-11.390734,-2.530675,0.981338,-1.051471,1.556866
58178,8.403124,-12.870059,-2.437095,1.272072,-1.076995,1.745914
58179,8.374156,-13.216193,-2.223213,1.716317,-1.088002,1.994229
58180,8.385441,-12.241766,-1.980072,2.019082,-1.099968,2.224194
58181,8.646199,-10.603504,-1.914685,2.032199,-1.119667,2.396075
58182,9.048438,-9.305288,-1.762491,1.775939,-1.123212,2.518501
58183,9.424020,-8.957929,-1.665044,1.365809,-1.104451,2.626463
58184,9.523954,-9.527104,-1.591412,1.048958,-1.092338,2.731603
58185,9.432378,-10.469793,-1.593837,0.962398,-1.120217,2.862064
58186,9.429781,-11.080692,-1.555039,1.099719,-1.169356,3.003242
58187,9.520344,-10.859384,-1.558618,1.320104,-1.228347,3.145149
58188,9.593035,-10.187908,-1.537733,1.423129,-1.276504,3.272795
58189,9.495075,-9.700736,-1.489223,1.335515,-1.300082,3.376112
58190,9.198693,-9.972863,-1.388638,1.147502,-1.323409,3.456053
58191,8.886606,-10.720018,-1.282602,1.030873,-1.348845,3.504688
58192,8.704678,-11.412758,-1.262045,1.078886,-1.401080,3.550601
58193,8.693667,-11.436143,-1.312398,1.242243,-1.451870,3.596504
58194,8.743510,-10.770630,-1.292523,1.344644,-1.484408,3.642418
58195,8.579021,-10.034503,-1.228174,1.311769,-1.486906,3.671752
58196,8.102247,-9.596006,-1.236352,1.149948,-1.483619,3.687574
58197,7.519700,-9.575447,-1.241013,0.947814,-1.498973,3.686892
58198,7.133035,-9.934927,-1.332845,0.799063,-1.529159,3.655410
58199,6.912303,-10.330416,-1.485488,0.780099,-1.568404,3.627201
58200,6.654924,-10.410774,-1.652240,0.878491,-1.610719,3.593705
58201,6.394675,-10.084017,-1.721173,0.999274,-1.642201,3.568246
58202,6.052747,-9.656991,-1.779099,1.079124,-1.675765,3.542958
58203,5.774467,-9.257021,-1.746375,1.114915,-1.697704,3.515413
58204,5.429209,-8.987650,-1.689267,1.110715,-1.717775,3.480760
58205,5.064577,-8.865388,-1.729081,1.097584,-1.735065,3.454422
58206,4.756034,-8.726093,-1.866786,1.123242,-1.772890,3.421014
58207,4.364959,-8.443439,-1.817026,1.170174,-1.808749,3.369457
58208,3.975433,-8.235920,-1.711081,1.185658,-1.860970,3.321561
58209,3.580705,-8.020547,-1.485271,1.185851,-1.909245,3.260510
58210,3.174894,-8.002549,-1.359615,1.193113,-1.953815,3.206959
58211,2.808703,-7.963323,-1.259231,1.223291,-1.993210,3.154510
58212,2.413851,-7.815082,-1.078104,1.260797,-2.030477,3.111645
58213,2.018671,-7.486346,-0.864673,1.238213,-2.064055,3.067221
58214,1.569077,-7.251277,-0.755885,1.173358,-2.104064,3.002991
58215,1.178332,-7.021030,-0.519405,1.097788,-2.146257,2.921237
58216,0.864076,-6.793040,-0.334967,1.006807,-2.180854,2.827301
58217,0.520084,-6.807063,-0.290627,0.949602,-2.222438,2.730231
58218,0.239765,-6.881375,-0.176361,0.946711,-2.258002,2.641736
58219,0.000330,-6.930791,0.011688,0.979668,-2.294519,2.558126
58220,-0.297933,-6.830507,0.192655,1.031433,-2.321634,2.488751
58221,-0.529175,-6.482158,0.410744,1.056187,-2.345370,2.423535
58222,-0.712358,-6.049637,0.788565,1.016652,-2.363055,2.342928
58223,-0.987600,-5.611688,1.030552,0.905220,-2.357185,2.254571
58224,-1.244150,-5.420982,1.370375,0.731560,-2.365837,2.177722
58225,-1.370162,-5.505770,1.629775,0.566403,-2.371278,2.092819
58226,-1.517088,-5.688918,1.773464,0.502871,-2.369308,2.006990
58227,-1.747777,-5.644354,1.903590,0.528402,-2.364843,1.922396
58228,-1.891196,-5.499108,1.968675,0.559828,-2.358644,1.837459
58229,-1.953674,-5.256827,2.080537,0.575622,-2.360845,1.765601
58230,-1.875063,-5.051337,2.254799,0.528862,-2.355218,1.702683
58231,-1.932569,-4.981792,2.551571,0.424213,-2.334862,1.647174
58232,-2.064634,-5.111624,2.863172,0.327480,-2.325517,1.591410
