// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
42745,9.716718,-1.385464,-1.425284,0.003743,0.013514,0.002130
42746,9.682479,-1.320638,-1.354891,-0.008337,0.019040,-0.000926
42747,9.666489,-1.361064,-1.375236,-0.023975,0.017899,0.003847
42748,9.637311,-1.358858,-1.355822,-0.016545,0.017514,-0.001541
42749,9.669962,-1.277474,-1.310737,-0.021004,0.012730,-0.001328
42750,9.713971,-1.286701,-1.269879,-0.041230,0.021784,0.002904
42751,9.689921,-1.347006,-1.301283,-0.063360,0.024355,0.002319
42752,9.703812,-1.377214,-1.307216,-0.069906,0.025737,0.002391
42753,9.665488,-1.429493,-1.396335,-0.073239,0.025537,0.001390
42754,9.641533,-1.489348,-1.427950,-0.068661,0.026530,0.002778
42755,9.593996,-1.586822,-1.427758,-0.052361,0.022199,0.001533
42756,9.661223,-1.569895,-1.451537,-0.036593,0.013952,-0.002043
42757,9.705545,-1.567588,-1.378243,-0.008753,0.016932,-0.001206
42758,9.662790,-1.534540,-1.351011,0.002549,0.020672,-0.003247
42759,9.649240,-1.514897,-1.373658,0.015397,0.025521,-0.006625
42760,9.634134,-1.531894,-1.328173,0.025691,0.020883,-0.005871
42761,9.644798,-1.451609,-1.317800,0.036464,0.015120,-0.010694
42762,9.636777,-1.482768,-1.359447,0.042058,0.013302,-0.012966
42763,9.629393,-1.490712,-1.336020,0.050149,0.013040,-0.014389
42764,9.637513,-1.481633,-1.355461,0.063054,0.011755,-0.010741
42765,9.645565,-1.472817,-1.375152,0.067520,0.005364,-0.011829
42766,9.624391,-1.450471,-1.344725,0.077393,0.004209,-0.010940
42767,9.692460,-1.399007,-1.270662,0.077160,0.000631,-0.015057
42768,9.670967,-1.388033,-1.273137,0.063472,0.002720,-0.011384
42769,9.684555,-1.430241,-1.311681,0.059720,0.005982,-0.012236
