// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
30859,9.722501,1.351316,1.037058,-0.007096,0.016577,-0.016883
30860,9.792730,1.304643,1.059680,0.010732,0.013592,-0.012899
30861,9.779930,1.298571,1.029682,0.036477,0.020125,-0.008075
30862,9.778344,1.324401,1.006370,0.050989,0.010879,-0.009271
30863,9.772762,1.432416,1.040877,0.051619,0.011044,-0.012842
30864,9.776923,1.597281,1.058059,0.036403,0.008989,-0.019102
30865,9.748675,1.562988,1.097649,0.010040,0.017934,-0.014153
30866,9.699758,1.597496,1.110915,-0.011285,0.019022,-0.015270
30867,9.647874,1.523223,1.113330,-0.035795,0.018303,-0.015295
30868,9.664020,1.449743,1.088525,-0.045218,0.015183,-0.015327
30869,9.660728,1.342394,1.079063,-0.044368,0.009795,-0.019757
30870,9.706162,1.280847,1.038995,-0.023992,0.008467,-0.013267
30871,9.693574,1.353226,0.990494,-0.004209,0.017122,-0.008962
30872,9.654565,1.443569,0.986377,0.015827,0.016887,-0.007898
30873,9.669490,1.560853,1.030403,0.024153,0.016483,-0.015981
30874,9.677199,1.652125,1.121468,0.005572,0.014827,-0.022683
30875,9.698750,1.639371,1.155718,-0.019409,0.012891,-0.024828
30876,9.702592,1.638359,1.080150,-0.048173,0.005643,-0.024684
30877,9.800589,1.628690,1.064433,-0.062129,0.006070,-0.028508
30878,9.815085,1.510323,1.164268,-0.068839,0.003551,-0.031735
30879,9.852160,1.368905,1.164980,-0.094988,-0.008729,-0.033842
30880,9.823006,1.351640,1.048141,-0.100691,-0.015508,-0.037592
30881,9.757340,1.382555,1.104986,-0.083839,-0.017532,-0.035427
30882,9.704344,1.413107,1.062100,-0.085520,-0.012241,-0.038477
30883,9.670754,1.399179,1.022231,-0.074027,-0.008661,-0.038043
30884,9.601032,1.346772,1.043511,-0.049854,-0.006789,-0.043455
30885,9.578594,1.286429,1.028724,-0.036997,-0.008584,-0.038181
30886,9.577000,1.235464,1.022286,-0.003688,-0.004858,-0.034595
30887,9.597390,1.248250,1.030359,0.026439,-0.002943,-0.029923
30888,9.609446,1.258599,1.061134,0.036049,-0.002020,-0.028377
30889,9.618644,1.317989,1.043733,0.051733,0.001250,-0.020023
30890,9.671928,1.425942,1.073439,0.058008,-0.000750,-0.021279
30891,9.722552,1.504305,1.073308,0.044746,0.007607,-0.019975
30892,9.734536,1.513843,1.105189,0.022069,0.012814,-0.018713
30893,9.684336,1.493889,1.111960,0.009075,0.014421,-0.011100
30894,9.712013,1.452278,1.093583,-0.010903,0.022378,-0.003466
30895,9.667336,1.482719,1.030361,-0.011839,0.019979,-0.007685
30896,9.676883,1.460822,1.033623,0.005178,0.019089,-0.001663
30897,9.740247,1.465421,1.085439,0.013614,0.023172,-0.003460
30898,9.717810,1.480608,1.054922,0.015014,0.026771,0.002876
30899,9.727396,1.458190,1.058534,0.015524,0.024641,0.002604
30900,9.765023,1.393387,1.041932,0.015206,0.024554,0.004393
30901,9.771802,1.419939,0.997356,0.011788,0.028286,0.006354
30902,9.736302,1.513544,1.048682,0.010368,0.026824,0.009604
30903,9.770571,1.504882,1.115700,-0.013093,0.030741,0.010505
30904,9.699868,1.472429,1.115612,-0.032705,0.023155,0.010085
30905,9.688607,1.517921,1.092692,-0.045301,0.018190,0.011123
30906,9.688533,1.516517,1.095292,-0.050628,0.020457,0.007030
30907,9.698196,1.493050,1.099421,-0.053684,0.020950,0.004826
30908,9.709138,1.445427,1.127660,-0.046640,0.021437,-0.003290
30909,9.667366,1.426399,1.113197,-0.029714,0.026269,-0.009242
30910,9.662064,1.367981,1.055426,-0.017743,0.018758,-0.010576
30911,9.682412,1.378105,1.066653,0.000353,0.031532,-0.002108
30912,9.715025,1.395284,1.109309,0.016993,0.022775,-0.002965
30913,9.761105,1.333480,1.069436,0.018990,0.017577,-0.001684
30914,9.798534,1.348213,1.033859,0.016641,0.013715,-0.002668
30915,9.760477,1.413280,1.053670,0.009624,0.011100,-0.004133
30916,9.721345,1.424207,1.067161,-0.003114,0.005022,-0.007016
30917,9.712750,1.422531,1.090161,0.002577,-0.000487,-0.007092
30918,9.693039,1.467661,1.087670,0.001695,0.004886,-0.002635
30919,9.657671,1.483424,1.155220,0.002144,0.007285,-0.007713
30920,9.664813,1.432628,1.127273,0.003697,0.011062,-0.014247
30921,9.662124,1.404387,1.097974,0.012711,0.008483,-0.011498
30922,9.699487,1.420142,1.061731,0.018803,0.008704,-0.014257
30923,9.721270,1.406548,1.094816,0.023853,0.003018,-0.010758
30924,9.757693,1.367943,1.051884,0.023071,0.001731,-0.011085
30925,9.731506,1.458036,0.946319,0.035918,-0.000045,-0.005785
30926,9.761923,1.507927,1.093309,0.035032,0.005332,-0.001329
30927,9.705889,1.514074,1.151710,0.010835,0.004619,-0.003175
30928,9.711571,1.566240,1.080776,0.001283,0.000352,-0.007139
30929,9.685971,1.560053,1.149350,-0.013181,0.002880,-0.010707
30930,9.694214,1.563143,1.127564,-0.028531,0.010784,-0.009822
30931,9.642094,1.433835,1.122265,-0.025568,0.005854,-0.013890
30932,9.678495,1.395078,1.080056,-0.009949,0.001373,-0.014169
30933,9.718655,1.361283,1.091681,0.000630,0.001377,-0.010759
30934,9.673478,1.338144,1.019872,0.022482,-0.001768,-0.009898
30935,9.716130,1.333624,1.060771,0.038842,-0.002825,-0.000266
30936,9.737766,1.398024,1.074916,0.037620,0.003660,-0.001216
30937,9.649899,1.441219,1.098860,0.022386,0.003699,0.002078
30938,9.650884,1.495583,1.104604,0.013810,-0.001503,-0.000049
30939,9.643363,1.547761,1.133117,0.006872,0.001512,-0.002425
30940,9.636575,1.442101,1.198449,-0.006745,0.000795,-0.000868
30941,9.708490,1.386922,1.088966,-0.013950,0.000390,-0.003848
30942,9.746408,1.322500,1.071089,0.014687,0.014400,0.000860
30943,9.726575,1.367273,1.069395,0.015522,0.012356,-0.001199
30944,9.723738,1.416886,1.021741,0.025691,0.007831,-0.002282
30945,9.740415,1.484251,1.113720,0.050793,0.012155,-0.003376
30946,9.724204,1.534756,1.165648,0.036201,0.012368,-0.003657
30947,9.692525,1.493789,1.150492,0.025763,0.013473,-0.003178
30948,9.711613,1.528750,1.135979,0.019340,0.014353,-0.005834
30949,9.679511,1.566757,1.102696,0.006882,0.011675,-0.008130
30950,9.664848,1.530401,1.042053,-0.004409,0.005848,-0.007080
30951,9.707214,1.526409,1.084525,0.003042,0.012057,-0.017869
30952,9.687110,1.572587,1.082887,-0.007717,0.013072,-0.015614
30953,9.697917,1.527142,1.110035,-0.010309,0.014758,-0.015721
30954,9.688064,1.471983,1.128672,-0.014977,0.015996,-0.016212
30955,9.727133,1.384080,1.136195,-0.019774,0.014929,-0.013410
30956,9.729497,1.352495,1.030811,-0.011599,0.014412,-0.008582
30957,9.770531,1.372528,1.049706,-0.007253,0.013088,-0.006305
30958,9.751930,1.393088,1.072132,-0.007002,0.007535,-0.007184
30959,9.723445,1.436235,1.092758,-0.001367,0.006560,-0.012040
30960,9.705674,1.511310,1.121040,-0.009847,0.014772,-0.006411
30961,9.723756,1.492215,1.101401,-0.015301,0.015912,-0.014418
30962,9.695535,1.456936,1.141270,-0.018614,0.012973,-0.017243
30963,9.704181,1.381668,1.138405,-0.020556,0.013640,-0.013729
30964,9.698104,1.348209,1.055559,-0.002271,0.013136,-0.014770
30965,9.700521,1.300265,1.104779,0.008750,0.005382,-0.010717
30966,9.728140,1.337998,1.067099,0.021983,0.009361,-0.008078
30967,9.708132,1.383734,1.064750,0.029373,0.008751,-0.010762
30968,9.671877,1.478934,1.113611,0.023929,0.007504,-0.004400
30969,9.680279,1.481983,1.091195,0.011476,0.004812,-0.006710
30970,9.690828,1.514755,1.098918,0.005511,0.006888,-0.007259
30971,9.694093,1.520710,1.154074,-0.011543,0.011071,-0.010968
30972,9.712797,1.422688,1.152539,-0.033980,0.010672,-0.010704
30973,9.719492,1.317236,1.119351,-0.027174,0.006553,-0.012209
30974,9.754130,1.248255,1.047338,-0.017316,0.000760,-0.004312
30975,9.754051,1.248810,1.047414,0.008361,-0.000344,-0.008030
30976,9.742768,1.296032,1.021619,0.030091,0.002023,0.004843
30977,9.684737,1.404785,1.036863,0.033139,0.001544,0.007068
30978,9.679207,1.486098,1.095103,0.034435,0.000703,0.007127
30979,9.682211,1.569841,1.130734,0.024124,0.004100,0.004300
30980,9.605438,1.565541,1.179984,0.005123,-0.000030,0.002609
30981,9.651465,1.449065,1.133107,-0.003048,0.000479,-0.002223
30982,9.681165,1.382266,1.137563,-0.000324,-0.000087,0.001782
30983,9.687586,1.354762,1.084901,-0.000518,0.002132,0.000275
30984,9.724002,1.393349,1.024179,0.008887,0.004116,0.007551
30985,9.725405,1.367992,1.048820,0.018422,0.008407,0.011539
30986,9.727632,1.396879,1.079155,0.027302,0.004736,0.010425
30987,9.736300,1.398443,1.056445,0.030673,0.004345,0.010870
30988,9.708014,1.440236,1.076201,0.031643,0.004604,0.005528
30989,9.703757,1.497253,1.159042,0.023604,0.006231,0.004587
30990,9.692528,1.543909,1.133653,0.009340,0.006510,0.002482
30991,9.713606,1.474771,1.161161,-0.002075,-0.000449,-0.000387
30992,9.709284,1.415284,1.101428,-0.012706,0.002860,-0.001446
30993,9.716963,1.363229,1.073586,-0.008295,0.007181,-0.000068
30994,9.725457,1.365549,1.051518,0.014138,0.007580,-0.000306
30995,9.718091,1.339176,1.098902,0.028594,0.006268,-0.003873
30996,9.735947,1.398841,1.059167,0.040651,0.004422,-0.006042
30997,9.707429,1.442087,1.079002,0.044542,0.010878,-0.004385
30998,9.708573,1.418522,1.103531,0.042205,0.007007,-0.005369
30999,9.725588,1.423897,1.058196,0.033063,0.007256,-0.004864
31000,9.715546,1.446884,1.057022,0.028850,0.009696,-0.003255
31001,9.727389,1.455186,1.089034,0.015431,0.007920,-0.007426
31002,9.718618,1.453670,1.112473,0.010894,0.010276,-0.004039
31003,9.694437,1.439047,1.050330,0.018412,0.010786,-0.002812
31004,9.675774,1.459640,1.072337,0.019515,0.012162,-0.004261
31005,9.704761,1.472312,1.059240,0.026061,0.013598,-0.004872
31006,9.754347,1.494556,1.055134,0.014457,0.016651,-0.000605
31007,9.724903,1.483116,1.070669,0.017312,0.019568,-0.007068
31008,9.705324,1.449700,1.087694,0.015950,0.014769,-0.006215
31009,9.705090,1.450439,1.088803,0.004477,0.011139,-0.006716
31010,9.700765,1.391195,1.030083,-0.006090,0.009926,-0.002996
31011,9.682093,1.411469,1.052372,-0.006609,0.012059,-0.002725
31012,9.651433,1.424305,1.043100,0.003374,0.009765,-0.005263
31013,9.641314,1.447165,1.042646,-0.000708,0.014503,-0.006955
31014,9.681419,1.413162,1.056287,-0.002717,0.019692,-0.008256
31015,9.730099,1.381672,1.047303,0.009666,0.017933,-0.012179
31016,9.768852,1.372676,1.036672,0.011220,0.020518,-0.011516
31017,9.779173,1.405692,1.045719,0.011018,0.021562,-0.005841
31018,9.759792,1.505208,1.049787,0.012834,0.018589,-0.006048
31019,9.711756,1.514173,1.086018,0.009019,0.008785,-0.010083
31020,9.712083,1.436397,1.105422,-0.005627,0.003323,-0.009540
31021,9.757700,1.399121,1.041078,-0.001877,0.007487,-0.004593
31022,9.718413,1.409758,1.054332,0.000453,0.011364,-0.003599
31023,9.679115,1.420165,1.067947,-0.005387,0.014559,-0.000284
31024,9.690824,1.428123,1.100784,-0.002263,0.011918,-0.007612
31025,9.668719,1.443622,1.068998,-0.003427,0.015057,-0.010963
31026,9.670356,1.474603,1.100372,-0.005173,0.014688,-0.013135
31027,9.688632,1.455640,1.080600,-0.010229,0.010192,-0.010963
31028,9.696993,1.458915,1.059163,0.000269,0.014754,-0.012284
31029,9.709798,1.443392,1.116337,-0.000956,0.012252,-0.014726
31030,9.734833,1.396756,1.043913,-0.001490,0.013212,-0.007275
31031,9.695400,1.407898,1.057528,0.005711,0.014821,-0.011431
31032,9.726845,1.372448,1.093207,0.011821,0.006071,-0.015615
31033,9.697360,1.361971,1.107546,0.011493,0.005988,-0.013834
31034,9.725703,1.321006,1.088483,0.010062,0.004529,-0.010607
31035,9.734849,1.378528,1.071623,0.020097,0.006715,-0.006855
31036,9.688740,1.417250,1.136919,0.029161,0.009824,-0.004942
31037,9.680458,1.470482,1.165711,0.015115,0.009027,-0.012771
31038,9.703243,1.432709,1.224068,0.012640,0.011834,-0.009005
31039,9.714130,1.387355,1.251264,0.002217,0.014076,-0.015777
31040,9.762840,1.263099,1.075484,-0.002270,0.011915,-0.007610
31041,9.791861,1.275515,1.062949,0.012800,0.017436,0.001160
31042,9.721451,1.243689,1.060592,0.021805,0.014907,0.003984
31043,9.718827,1.292501,1.012833,0.035939,0.013535,0.002268
31044,9.761624,1.342122,1.061385,0.046995,0.020449,0.006968
31045,9.726010,1.412169,1.134587,0.055937,0.022434,0.005008
31046,9.697768,1.508884,1.161172,0.047881,0.033030,0.005498
31047,9.679390,1.583570,1.189812,0.034558,0.027875,-0.001102
31048,9.688980,1.561633,1.194096,-0.000890,0.030177,-0.000735
31049,9.693063,1.449572,1.109577,-0.013068,0.030873,-0.002523
31050,9.703257,1.348802,1.133326,-0.012797,0.025313,-0.003388
31051,9.736715,1.248960,1.034320,-0.001065,0.023405,-0.003703
31052,9.694216,1.253913,0.994549,0.023345,0.027656,-0.001019
31053,9.725027,1.296097,1.012579,0.046590,0.024892,0.004028
31054,9.699759,1.398258,1.093153,0.059126,0.028763,0.010332
31055,9.711874,1.460255,1.132031,0.063733,0.032050,0.006081
31056,9.663064,1.547086,1.149661,0.043135,0.028631,0.005967
31057,9.682696,1.502435,1.155674,0.010616,0.029332,0.004626
31058,9.699987,1.506375,1.113070,0.000072,0.029265,0.001104
31059,9.710740,1.459753,1.142357,-0.010030,0.030415,-0.000308
31060,9.737343,1.387300,1.096583,-0.013648,0.027370,-0.001377
31061,9.733538,1.327352,1.040044,-0.000562,0.030264,-0.002509
31062,9.705599,1.345897,1.086302,0.015201,0.028129,-0.005879
31063,9.725777,1.355986,1.097616,0.019935,0.026893,0.005736
31064,9.686920,1.420421,1.116833,0.034592,0.023385,0.003816
31065,9.678466,1.472723,1.146540,0.027857,0.024152,0.002871
31066,9.696948,1.452816,1.127910,0.004185,0.025692,-0.004344
31067,9.686059,1.421276,1.123195,0.002973,0.023179,-0.006791
31068,9.716147,1.409528,1.135959,-0.006223,0.017769,-0.005460
31069,9.732973,1.359818,1.087415,-0.000205,0.021351,-0.005752
31070,9.703886,1.403093,1.108301,0.011232,0.020516,-0.011427
31071,9.694668,1.402098,1.132685,0.013156,0.018683,-0.007730
31072,9.673884,1.393367,1.125116,0.024012,0.014341,-0.012227
31073,9.695674,1.434639,1.164704,0.024638,0.013348,-0.008600
31074,9.693764,1.405707,1.135943,0.016361,0.011519,-0.010228
31075,9.674655,1.427106,1.157575,0.028338,0.013046,-0.009892
31076,9.684345,1.406061,1.160230,0.014481,0.008850,-0.009121
31077,9.700257,1.381009,1.086101,0.002750,0.010754,-0.008856
31078,9.659639,1.416645,1.074251,0.011785,0.009386,-0.013151
31079,9.680892,1.403572,1.108445,0.006977,0.008316,-0.010415
31080,9.672267,1.457064,1.136935,0.003946,0.008773,-0.012671
31081,9.660447,1.450337,1.106168,0.005679,0.009155,-0.010485
31082,9.673287,1.489600,1.168235,0.005052,0.010147,-0.014109
31083,9.671401,1.460947,1.139323,0.002739,0.006257,-0.015117
31084,9.691058,1.418049,1.143668,0.001967,0.004961,-0.015453
31085,9.720069,1.431612,1.130664,-0.000048,0.010144,-0.016772
31086,9.720385,1.354702,1.150580,0.012157,0.000472,-0.016383
31087,9.717517,1.350317,1.096578,0.011973,0.007181,-0.011629
31088,9.708854,1.403916,1.124667,0.013797,0.004209,-0.011819
31089,9.688670,1.449457,1.121180,-0.002407,0.005107,-0.010606
31090,9.678028,1.418209,1.114807,-0.007406,0.006245,-0.009385
31091,9.648942,1.461380,1.134302,-0.007406,0.006245,-0.009385
31092,9.708459,1.461914,1.132331,-0.019139,0.008137,-0.009128
31093,9.648462,1.462961,1.136350,-0.023132,0.009506,-0.013230
31094,9.678155,1.397607,1.143107,-0.018038,0.005016,-0.016825
31095,9.705280,1.326603,1.095293,-0.011306,0.004263,-0.015860
31096,9.723984,1.307710,1.074910,0.000717,0.001304,-0.010721
31097,9.734635,1.395217,1.087168,0.016492,0.003689,-0.007782
31098,9.695557,1.460663,1.104115,0.015722,0.002392,-0.008118
31099,9.677928,1.512044,1.154715,0.003698,0.005349,-0.013258
31100,9.708105,1.501049,1.166040,-0.012748,0.002806,-0.012648
31101,9.696298,1.494565,1.135205,-0.027467,0.006293,-0.021816
31102,9.665477,1.508689,1.125191,-0.031509,0.002020,-0.025007
31103,9.664396,1.401952,1.115691,-0.032375,0.004076,-0.022963
31104,9.673774,1.327011,1.113246,-0.027950,0.003927,-0.016746
31105,9.721765,1.320571,1.079255,-0.002075,0.000704,-0.018629
31106,9.750842,1.334345,1.065559,0.009757,-0.000037,-0.015003
31107,9.752053,1.366042,1.095288,0.012399,0.003935,-0.015763
31108,9.701272,1.424141,1.080873,0.006628,0.003768,-0.014878
31109,9.702758,1.510069,1.115773,-0.004285,-0.002051,-0.015754
31110,9.674377,1.475077,1.154086,-0.015252,0.001124,-0.015156
31111,9.695672,1.462038,1.187983,-0.024391,0.001329,-0.014751
31112,9.644599,1.465314,1.168792,-0.032425,0.002912,-0.015780
31113,9.634013,1.434404,1.162340,-0.037763,-0.000527,-0.019042
31114,9.700765,1.353716,1.102089,-0.016356,-0.004737,-0.019975
31115,9.689986,1.269189,1.089478,-0.004479,-0.004315,-0.023516
31116,9.707556,1.275753,1.043708,0.011395,-0.005261,-0.022962
31117,9.727702,1.288085,1.051972,0.026400,-0.004152,-0.020367
31118,9.707519,1.388958,1.052548,0.040637,-0.004339,-0.018107
31119,9.738119,1.487710,1.073045,0.032836,0.000670,-0.018529
31120,9.711317,1.537653,1.145865,0.006721,0.000428,-0.017244
31121,9.731250,1.495100,1.149578,-0.015589,-0.003458,-0.019629
31122,9.710529,1.432208,1.135166,-0.020964,-0.008058,-0.015730
31123,9.691233,1.399230,1.150227,-0.013127,-0.007418,-0.016204
31124,9.717761,1.407155,1.081830,-0.016160,-0.006968,-0.018454
31125,9.678200,1.418538,1.093443,-0.005158,0.000005,-0.013699
31126,9.669112,1.417833,1.115931,0.008217,-0.002609,-0.015665
31127,9.640952,1.382812,1.153448,0.011216,-0.008702,-0.012511
31128,9.675219,1.416899,1.037385,0.010881,-0.008783,-0.010738
31129,9.663668,1.410138,1.004946,0.021018,-0.004243,-0.010203
31130,9.676439,1.503954,1.070691,0.026156,-0.003071,-0.014700
31131,9.707960,1.469350,1.105606,0.015517,0.000165,-0.015870
31132,9.748338,1.436892,1.118272,0.009547,0.002199,-0.016491
31133,9.698556,1.415750,1.123161,0.008306,0.003018,-0.005525
31134,9.727651,1.374146,1.104291,-0.002930,-0.002904,-0.004624
31135,9.726339,1.344307,1.074171,0.001604,-0.006396,-0.000795
31136,9.716337,1.475395,1.082219,0.014707,0.002204,-0.002795
31137,9.707401,1.528343,1.110058,0.004840,0.002245,-0.009884
31138,9.680543,1.522996,1.178296,-0.008632,0.003712,-0.011802
31139,9.689124,1.417291,1.145879,-0.009301,0.003552,-0.008259
31140,9.716838,1.345837,1.097779,0.001904,0.003832,-0.008255
31141,9.725549,1.239520,1.065259,0.010231,0.005684,0.004413
31142,9.724299,1.263481,1.040975,0.033606,0.005334,0.006269
31143,9.746033,1.357915,1.084639,0.056012,0.005898,0.006289
31144,9.708018,1.452410,1.130967,0.050910,0.005878,0.003637
31145,9.668648,1.516928,1.147822,0.034071,0.007708,0.001233
31146,9.718188,1.539263,1.143440,0.021663,0.009403,0.005028
31147,9.669816,1.546842,1.178908,0.004522,0.016795,0.003476
31148,9.688648,1.471974,1.155045,-0.008086,0.020701,0.005759
31149,9.726519,1.376887,1.110825,-0.011453,0.021067,0.005277
31150,9.756844,1.364213,1.123906,-0.003954,0.021636,0.006583
31151,9.768029,1.317417,1.152488,0.016721,0.021808,0.004439
31152,9.868264,1.337112,1.169964,0.026936,0.031995,0.015117
31153,9.901070,1.329497,1.238029,0.031253,0.035218,0.023705
31154,9.901008,1.381723,1.246546,0.034974,0.045075,0.027773
31155,9.841085,1.379065,1.253483,0.031927,0.050024,0.031778
