// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
47882,9.657892,-2.302245,-1.331461,0.270547,0.040096,0.015162
47883,9.731215,-2.370391,-1.213326,0.272625,0.053412,0.010707
47884,9.830149,-2.620707,-0.961172,0.318445,0.093482,-0.002309
47885,9.956927,-2.948759,-0.903004,0.443723,0.150642,-0.013192
47886,9.792084,-3.432573,-0.777861,0.479937,0.181446,-0.002355
47887,9.510270,-4.210567,-0.873167,0.573187,0.117901,0.036450
47888,9.587699,-4.644586,-0.944710,0.814838,0.022282,0.087742
47889,9.678285,-4.506855,-0.896709,1.062149,-0.061130,0.138020
47890,9.812990,-4.231448,-0.795093,1.217529,-0.165856,0.192056
47891,10.310854,-3.917515,-0.639234,1.318226,-0.320043,0.253119
47892,10.542979,-3.924177,-0.936923,1.327149,-0.355159,0.356676
47893,10.474829,-3.841467,-1.065486,1.419107,-0.453002,0.456110
47894,10.404644,-3.270327,-1.101368,1.421574,-0.499551,0.567751
47895,10.214034,-2.648677,-1.327681,1.215346,-0.548302,0.691927
47896,10.089391,-2.617230,-1.483704,0.880650,-0.630560,0.781319
47897,10.150822,-2.786655,-1.642584,0.582146,-0.692110,0.878373
47898,10.076127,-3.107675,-1.853735,0.309334,-0.726604,0.973116
47899,10.157984,-3.590856,-1.948206,0.106057,-0.813186,1.028179
47900,10.269580,-4.073396,-2.199986,-0.007410,-0.866105,1.097161
47901,10.275300,-4.463137,-2.422489,-0.049077,-0.916296,1.157978
47902,10.125291,-4.737877,-2.714922,-0.039598,-0.946658,1.209999
47903,9.737636,-4.899648,-2.866950,0.003616,-0.967289,1.239031
47904,9.501450,-4.992911,-2.968963,0.070678,-1.000920,1.267507
47905,9.309929,-4.893995,-3.053902,0.134179,-1.030011,1.291220
47906,9.052288,-4.778727,-3.094958,0.144849,-1.032585,1.306582
47907,8.684555,-4.696446,-3.216835,0.100053,-1.032930,1.318698
47908,8.266412,-4.643968,-3.303196,0.020592,-1.046662,1.315971
47909,8.029599,-4.850296,-3.370012,-0.127535,-1.068955,1.328839
47910,7.808261,-5.307721,-3.649053,-0.229582,-1.093709,1.347856
47911,7.731527,-5.715065,-3.755694,-0.266064,-1.107935,1.365138
47912,7.496416,-6.015211,-3.816452,-0.228672,-1.114225,1.385818
