,Acc_X,Acc_Y,Acc_Z
0,9.430759,-2.154993,-2.070368
0.01,9.403551,-2.129319,-2.090319
0.02,9.395654,-2.18778,-2.09141
0.03,9.401831,-2.167417,-2.103485
0.04,9.389685,-2.13469,-2.105063
0.05,9.431751,-2.079643,-2.094401
0.06,9.434646,-2.039561,-2.077885
0.07,9.392563,-2.034265,-2.042362
0.08,9.399776,-2.073414,-2.096911
0.09,9.393442,-2.033534,-2.039047
0.1,9.388094,-2.040575,-2.096468
0.11,9.378356,-1.968649,-2.082688
0.12,9.388012,-1.980401,-2.050112
0.13,9.407939,-2.063252,-2.029735
0.14,9.393458,-2.069717,-2.046253
0.15,9.427316,-2.07364,-2.037443
0.16,9.36791,-2.114958,-2.034796
0.17,9.391503,-2.035484,-2.086122
0.18,9.436902,-2.000263,-2.10353
0.19,9.449983,-2.031605,-2.099204
0.2,9.417061,-2.026229,-2.105258
0.21,9.420894,-2.057586,-2.059607
0.22,9.385681,-2.091774,-2.080344
0.23,9.401148,-2.083566,-2.060917
0.24,9.38098,-2.109994,-2.063745
0.25,9.389624,-2.049922,-2.060425
0.26,9.402808,-2.081034,-2.055892
0.27,9.372331,-2.035743,-2.046862
0.28,9.409795,-2.059151,-2.065795
0.29,9.383891,-2.104958,-2.055638
0.3,9.378697,-2.123518,-2.040917
0.31,9.371349,-2.16969,-2.113455
0.32,9.386816,-2.161178,-2.094204
0.33,9.393205,-2.140575,-2.105611
0.34,9.386643,-2.100224,-2.0479
0.35,9.396376,-2.100113,-2.087547
0.36,9.398982,-2.06027,-2.071339
0.37,9.429129,-2.044673,-2.034631
0.38,9.416778,-2.012377,-2.036438
0.39,9.396467,-2.03936,-2.039606
0.4,9.415286,-2.05111,-2.048704
0.41,9.40639,-2.050076,-2.00623
0.42,9.456491,-2.105849,-2.022146
0.43,9.412313,-2.128055,-2.073922
0.44,9.433532,-2.10004,-2.067566
0.45,9.406303,-2.086634,-2.014239
0.46,9.397759,-2.073892,-2.043394
0.47,9.394718,-2.053195,-2.013597
0.48,9.424985,-2.037009,-1.976465
0.49,9.401518,-2.031846,-2.023767
0.5,9.414871,-2.062702,-2.018828
0.51,9.415505,-2.061529,-2.017069
0.52,9.44945,-2.065043,-2.007782
0.53,9.416683,-2.059404,-2.013736
0.54,9.420953,-2.078292,-2.039901
0.55,9.395228,-2.124122,-2.02935
0.56,9.401605,-2.103403,-2.040896
0.57,9.402264,-2.10232,-2.038976
0.58,9.421413,-2.113551,-2.047261
0.59,9.388624,-2.10814,-2.053234
0.6,9.396165,-2.15896,-2.035089
0.61,9.396636,-2.158394,-2.03351
0.62,9.372811,-2.165284,-2.008483
0.63,9.414408,-2.110185,-1.997786
0.64,9.381553,-2.105332,-2.003502
0.65,9.406396,-2.097405,-2.024932
0.66,9.382665,-2.103951,-1.999742
0.67,9.386975,-2.12305,-2.025924
0.68,9.396646,-2.133831,-1.993035
0.69,9.388166,-2.121027,-2.022524
0.7,9.427777,-2.105084,-2.026586
0.71,9.436076,-2.04491,-2.023687
0.72,9.434728,-2.083618,-2.036251
0.73,9.409022,-2.129869,-2.025501
0.74,9.402554,-2.077695,-2.040079
0.75,9.397503,-2.096572,-2.024254
0.76,9.383451,-2.103589,-2.039555
0.77,9.365579,-2.090407,-2.027237
0.78,9.336181,-2.116419,-1.988318
0.79,9.342687,-2.095437,-1.999586
0.8,9.339637,-2.173175,-2.026657
0.81,9.351181,-2.143798,-1.979607
0.82,9.346629,-2.150536,-2.037514
0.83,9.376716,-2.132974,-2.001072
0.84,9.39587,-2.143502,-2.010313
0.85,9.416809,-2.114464,-2.005351
0.86,9.409683,-2.172402,-2.005705
0.87,9.391466,-2.159076,-1.995044
0.88,9.378866,-2.126469,-1.997918
0.89,9.429659,-2.071341,-2.029655
0.9,9.405684,-2.077833,-2.005496
0.91,9.418963,-2.108714,-2.001288
0.92,9.386011,-2.103372,-2.00833
0.93,9.412207,-2.166145,-2.000623
0.94,9.406912,-2.184684,-1.986399
0.95,9.414687,-2.234796,-1.9683
0.96,9.43959,-2.226411,-1.990136
0.97,9.413989,-2.383109,-1.962688
0.98,9.444536,-2.466321,-1.980599
0.99,9.454207,-2.478403,-1.945553
1,9.459325,-2.600383,-2.023382
1.01,9.464525,-2.834288,-2.081918
1.02,9.452552,-3.469434,-2.275841
1.03,9.417892,-4.409829,-2.673737
1.04,9.390225,-5.477506,-3.073102
1.05,9.319425,-6.536916,-3.488931
1.06,9.352741,-6.962369,-3.706027
1.07,9.528491,-6.354925,-3.722479
1.08,9.724427,-4.917417,-3.385366
1.09,9.725919,-3.205101,-3.116459
1.1,9.75318,-2.252819,-3.368263
1.11,9.570783,-2.448271,-3.750942
1.12,9.141954,-2.286837,-3.462481
1.13,8.570619,-3.112148,-3.489179
1.14,8.376923,-4.44911,-3.450537
1.15,8.706342,-5.129842,-3.204478
1.16,8.832389,-5.31979,-3.402636
1.17,9.389005,-4.137887,-3.402929
1.18,9.185642,-4.830862,-4.614121
1.19,7.558692,-5.570586,-4.96075
1.2,7.339318,-7.145637,-5.365221
1.21,7.590707,-7.808917,-5.68929
1.22,7.857777,-7.53567,-5.744242
1.23,7.882412,-6.815569,-5.635251
1.24,7.639586,-6.331892,-5.660078
1.25,7.42614,-6.154664,-5.788531
1.26,7.260665,-6.319364,-6.387779
1.27,7.048767,-6.607869,-7.089835
1.28,7.050362,-6.535539,-7.29337
1.29,7.032143,-6.146113,-7.219402
1.3,6.732264,-5.816272,-6.941641
1.31,6.375991,-5.661205,-6.590093
1.32,5.987051,-5.718745,-6.311973
1.33,5.782127,-5.993984,-6.064391
1.34,5.579501,-6.231548,-6.009321
1.35,5.363163,-6.297296,-5.983296
1.36,5.13117,-6.154605,-6.057068
1.37,5.055373,-5.994119,-5.965898
1.38,4.928831,-5.926644,-6.050114
1.39,4.736393,-5.970751,-6.020118
1.4,4.616956,-6.165746,-5.983547
1.41,4.520063,-6.335067,-5.92427
1.42,4.409692,-6.464747,-5.78176
1.43,4.279293,-6.584506,-5.603896
1.44,4.24819,-6.638049,-5.511165
1.45,4.209905,-6.603257,-5.645423
1.46,4.10171,-6.470271,-5.617547
1.47,4.021368,-6.182984,-5.341967
1.48,3.941954,-6.073826,-5.023566
1.49,3.96829,-6.042599,-4.793244
1.5,3.919098,-6.040747,-4.610768
1.51,3.937617,-6.044611,-4.451878
1.52,3.899821,-6.067118,-4.298921
1.53,3.898563,-6.056389,-4.074296
1.54,4.035057,-6.011868,-3.911921
1.55,4.037992,-5.999992,-3.713088
1.56,4.10293,-6.062021,-3.41189
1.57,4.106538,-6.004242,-3.204583
1.58,4.167349,-5.934026,-3.178818
1.59,4.213354,-5.968832,-3.210822
1.6,4.106729,-6.114988,-2.987572
1.61,4.233715,-6.324244,-2.756386
1.62,4.490677,-6.5825,-2.685387
1.63,4.702615,-6.732914,-2.731074
1.64,4.84478,-6.695656,-2.706337
1.65,5.057332,-6.399029,-2.566438
1.66,5.244441,-6.210634,-2.628243
1.67,5.492693,-6.187125,-2.698304
1.68,5.531474,-6.089205,-2.475219
1.69,5.416936,-5.892262,-2.284203
1.7,5.436952,-5.807693,-2.046727
1.71,5.578122,-5.965746,-1.896355
1.72,5.695367,-6.089591,-1.795223
1.73,5.886267,-6.211088,-1.848761
1.74,6.028062,-6.499794,-2.013138
1.75,5.963236,-6.670388,-2.183541
1.76,6.001245,-6.766726,-1.813113
1.77,6.180939,-6.847301,-1.666847
1.78,6.200033,-6.869844,-1.683845
1.79,6.253774,-6.942097,-1.607921
1.8,6.280632,-7.265091,-1.643356
1.81,6.378936,-7.798213,-1.763542
1.82,6.602877,-8.082987,-1.89801
