// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
00336,9.772272,1.403310,0.749800,0.016771,0.010067,-0.010231
00337,9.720142,1.406526,0.780048,0.020597,0.008311,-0.010585
00338,9.711401,1.452742,0.742168,0.022553,0.006044,-0.007952
00339,9.732085,1.438114,0.719417,0.022859,0.002409,-0.004921
00340,9.713318,1.460797,0.765557,0.024938,0.004786,0.002473
00341,9.744410,1.474167,0.758980,0.018592,0.005883,0.000607
00342,9.750578,1.488467,0.729005,0.006762,0.010090,0.012466
00343,9.732147,1.436903,0.720997,0.002813,0.007202,0.008058
00344,9.757215,1.434333,0.745680,-0.004191,0.010870,0.013963
00345,9.747024,1.404126,0.730868,-0.008018,0.012629,0.014312
00346,9.757474,1.431281,0.748144,-0.004804,0.010694,0.018055
00347,9.751452,1.414982,0.779727,0.002762,0.009956,0.011730
00348,9.751534,1.413894,0.780663,0.011147,0.011265,0.011691
00349,9.761866,1.442010,0.797671,0.022014,0.013262,0.004571
00350,9.738888,1.450483,0.798286,0.031571,0.017682,0.000014
00351,9.715899,1.459131,0.798713,0.038435,0.012098,0.002321
00352,9.734400,1.509968,0.807631,0.040094,0.003291,-0.000883
00353,9.746756,1.539849,0.745967,0.033491,-0.002177,0.000708
00354,9.740586,1.525125,0.776284,0.018192,0.004855,0.002104
00355,9.763496,1.516187,0.777409,-0.007750,0.009029,0.008038
00356,9.747052,1.471497,0.793454,-0.028915,0.015415,0.011688
00357,9.757518,1.492188,0.710896,-0.051299,0.011278,0.020721
00358,9.762045,1.430695,0.704714,-0.056220,0.014614,0.021031
00359,9.770648,1.383110,0.745294,-0.068613,0.013190,0.020315
00360,9.814503,1.356984,0.725058,-0.065612,0.009396,0.013668
00361,9.968429,1.347797,0.715479,-0.047758,0.010446,0.013621
00362,10.132657,1.367477,0.722078,-0.023684,0.015915,0.013508
00363,10.213468,1.510383,0.674945,0.006347,0.036876,0.009430
00364,10.187920,1.718692,0.620631,0.015994,0.073801,-0.004199
00365,10.230673,1.969620,0.525282,-0.002748,0.091150,-0.014174
00366,10.225330,2.165098,0.454321,-0.048228,0.125597,-0.035636
00367,9.942551,2.189965,0.540294,-0.151319,0.171840,-0.069022
00368,9.697548,2.167074,0.435424,-0.241161,0.135449,-0.104199
00369,9.545637,2.188683,0.305478,-0.245825,0.044744,-0.161059
00370,9.403929,2.455329,0.070250,-0.183558,-0.064075,-0.258392
00371,9.496687,3.044605,-0.031428,-0.070925,-0.199446,-0.406499
00372,10.049687,4.361581,0.578921,0.055102,-0.280800,-0.611500
00373,10.522252,6.304518,1.555149,-0.145587,-0.226244,-0.858760
00374,10.719420,7.864519,1.966400,-0.734884,-0.143867,-1.097906
00375,10.867107,8.624284,1.997841,-1.546640,-0.104624,-1.277291
00376,11.045439,8.098327,1.844451,-2.446937,-0.068195,-1.380138
00377,11.009258,6.398147,1.536796,-3.128324,-0.033967,-1.422005
00378,10.583542,4.150308,1.196059,-3.403267,-0.018458,-1.400693
00379,10.132204,2.497099,1.091139,-3.270355,-0.056452,-1.357804
00380,9.754204,1.324322,1.074789,-2.942297,-0.112510,-1.317416
00381,10.045555,1.242370,1.049718,-2.677821,-0.140679,-1.267177
00382,10.310143,1.039458,0.957897,-2.673448,-0.011786,-1.160385
00383,10.487261,0.277144,0.829340,-2.675319,0.205851,-1.001851
00384,10.190036,-0.638021,0.907690,-2.597959,0.398180,-0.795953
00385,9.763196,-1.402974,0.935258,-2.322441,0.508209,-0.615004
00386,9.491671,-1.642679,0.940815,-1.944062,0.570839,-0.469535
00387,9.296250,-1.610046,0.978999,-1.581001,0.653690,-0.365638
00388,9.178937,-1.548016,1.025686,-1.221624,0.690171,-0.308333
00389,8.977818,-1.371334,1.017208,-0.881196,0.721004,-0.265817
00390,8.757182,-0.725492,1.096982,-0.550641,0.690806,-0.252235
00391,8.676683,-0.390356,1.054852,-0.279256,0.628079,-0.263295
00392,8.843457,0.109025,0.970858,-0.005054,0.578618,-0.251674
00393,8.948244,0.827553,1.074062,0.149734,0.548830,-0.213082
00394,8.801860,1.077311,0.991550,0.234001,0.540667,-0.188185
00395,8.719280,1.562645,1.239918,0.265587,0.506352,-0.170032
00396,8.569375,1.787731,1.095134,0.281838,0.461508,-0.145314
00397,8.490918,2.151425,1.245616,0.360242,0.379095,-0.117701
00398,8.447321,2.582059,1.390334,0.364075,0.300033,-0.075100
00399,8.377692,2.809253,1.243559,0.319971,0.210924,-0.042452
00400,8.664082,2.953662,1.507550,0.248108,0.102070,0.007920
00401,8.906988,2.921403,1.439652,0.125393,0.065204,0.064010
00402,9.020222,2.859595,1.685629,0.066681,0.038867,0.109859
00403,8.981288,2.748572,1.826733,0.025746,0.007522,0.137733
00404,8.971415,2.658355,1.942143,0.043934,-0.038167,0.130401
00405,9.083855,2.554199,2.004946,0.083375,-0.103072,0.107813
00406,9.087002,2.359614,1.809995,0.148085,-0.141535,0.094956
00407,9.218886,2.395174,2.062270,0.237782,-0.224210,0.083344
00408,9.368198,2.515701,2.091239,0.242731,-0.263257,0.085169
00409,9.535584,2.586251,2.066502,0.244210,-0.255116,0.087609
00410,9.597359,2.607181,1.843580,0.232618,-0.226813,0.094336
00411,9.572731,2.408724,1.833716,0.263890,-0.185475,0.099482
00412,9.634742,2.452331,2.227897,0.299662,-0.163184,0.124168
00413,9.578452,2.363222,2.056267,0.320144,-0.130856,0.132955
00414,9.778023,2.634501,2.434705,0.371036,-0.157666,0.146954
00415,10.088532,2.966745,2.667455,0.299243,-0.113335,0.157097
00416,10.182941,3.041893,2.656772,0.204809,0.001353,0.156733
00417,9.937861,3.022775,2.630699,0.131750,0.092507,0.166406
00418,9.615098,2.843371,2.511745,0.065996,0.141706,0.178543
00419,9.334975,2.629644,2.445548,0.051188,0.170864,0.185393
00420,9.380342,2.433886,2.333745,0.039342,0.145997,0.211587
00421,9.713080,2.310801,2.104510,0.046096,0.164156,0.250921
00422,9.903676,2.372100,2.248117,0.028299,0.211312,0.306749
00423,9.870879,2.294715,2.371104,-0.034999,0.326947,0.333647
00424,9.566702,1.947462,2.202472,-0.066824,0.438625,0.368799
00425,9.147547,1.668504,2.134116,-0.006042,0.472809,0.399386
