// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
08126,,9.408990,-2.415073,2.333096,0.010584,-0.001747,-0.016819,-46.061705,-70.391100,21.975483
08127,,9.409411,-2.413442,2.333086,0.013823,-0.004731,-0.011797,-46.046095,-70.397848,21.967320
08128,,9.356410,-2.362696,2.323395,0.018075,-0.005997,-0.013829,-46.029485,-70.407098,21.962097
08129,,9.372706,-2.339693,2.345024,0.013874,-0.007395,-0.010439,-46.018434,-70.414344,21.958804
08130,,9.356382,-2.356232,2.347011,0.008421,-0.003299,-0.008667,-46.007343,-70.419280,21.952201
08131,,9.338820,-2.338759,2.343896,0.003644,0.001941,-0.011597,-45.990028,-70.423287,21.936039
08132,,9.323997,-2.362890,2.298286,0.004401,0.003855,-0.011698,-45.968738,-70.426653,21.916264
08133,,9.340406,-2.370521,2.349906,0.005653,-0.001638,-0.010080,-45.956104,-70.431457,21.906293
08134,,9.358125,-2.355356,2.323941,0.012937,0.004756,-0.012517,-45.927443,-70.434803,21.883945
08135,,9.340188,-2.307147,2.291891,0.012515,0.003411,-0.014766,-45.899757,-70.439520,21.862174
08136,,9.338776,-2.297928,2.340713,0.009410,0.004501,-0.013829,-45.871007,-70.443845,21.837697
08137,,9.393429,-2.349035,2.326660,0.008148,0.000467,-0.020577,-45.842678,-70.452119,21.812588
08138,,9.428394,-2.345386,2.328021,0.008431,0.003693,-0.024284,-45.801910,-70.461378,21.774971
08139,,9.393244,-2.309955,2.322211,0.009103,0.004829,-0.028983,-45.758462,-70.471350,21.734403
08140,,9.359277,-2.308534,2.321911,0.004849,0.006090,-0.026951,-45.712416,-70.481269,21.689188
08141,,9.345148,-2.361493,2.306259,0.007562,0.007084,-0.026891,-45.669521,-70.489459,21.648275
08142,,9.415494,-2.359840,2.284700,0.011924,0.000501,-0.026204,-45.625768,-70.501599,21.609901
08143,,9.380694,-2.354613,2.308543,0.014945,0.008156,-0.026609,-45.577642,-70.509223,21.567932
08144,,9.346262,-2.323145,2.278887,0.011950,0.003929,-0.022959,-45.534039,-70.519098,21.529674
08145,,9.363728,-2.333136,2.306922,0.008367,0.006325,-0.025629,-45.492839,-70.527034,21.491059
08146,,9.365886,-2.338279,2.259394,0.008423,0.003666,-0.024270,-45.449975,-70.538069,21.451448
08147,,9.381737,-2.340484,2.335426,0.005232,0.003971,-0.027933,-45.410597,-70.547873,21.412865
08148,,9.347340,-2.309212,2.305346,0.000642,0.004665,-0.023554,-45.372052,-70.558648,21.373058
08149,,9.298395,-2.333760,2.258974,-0.005712,0.008714,-0.027641,-45.333719,-70.566407,21.328937
08150,,9.334629,-2.363814,2.266142,-0.005378,0.009276,-0.029988,-45.286875,-70.578294,21.276606
08151,,9.371382,-2.424061,2.302622,-0.001344,0.002133,-0.026950,-45.254353,-70.588405,21.241306
08152,,9.370684,-2.387373,2.297450,-0.000256,0.004610,-0.029399,-45.214131,-70.601458,21.198678
08153,,9.390031,-2.404797,2.276988,0.000555,0.003867,-0.028142,-45.177076,-70.611335,21.159731
08154,,9.355241,-2.400018,2.300382,0.001843,0.001820,-0.023282,-45.148837,-70.622927,21.130669
08155,,9.357504,-2.405276,2.252540,0.004077,0.004124,-0.026825,-45.110899,-70.632151,21.092928
08156,,9.339749,-2.413046,2.303192,0.001902,-0.000839,-0.021924,-45.091759,-70.643674,21.072981
08157,,9.392625,-2.425664,2.307690,0.004157,0.004905,-0.022227,-45.058093,-70.650708,21.039821
08158,,9.358549,-2.425250,2.307090,0.002736,0.001859,-0.017428,-45.044440,-70.657940,21.025561
08159,,9.359725,-2.427749,2.283163,-0.000227,0.001078,-0.010545,-45.031134,-70.661778,21.011312
08160,,9.362161,-2.464576,2.264841,0.002423,0.004734,-0.011841,-45.025241,-70.665109,21.004849
08161,,9.376559,-2.408153,2.281706,0.001837,0.004394,-0.002551,-45.016131,-70.664372,20.996303
08162,,9.342411,-2.440059,2.310765,-0.003483,0.006616,0.005162,-45.036974,-70.659240,21.014045
08163,,9.377865,-2.473540,2.317781,-0.004882,0.007014,0.013198,-45.046851,-70.651065,21.021544
08164,,9.378559,-2.509469,2.323916,-0.002341,0.009026,0.024796,-45.090434,-70.635692,21.063758
08165,,9.377593,-2.512141,2.324929,0.006352,0.011514,0.033177,-45.111608,-70.617602,21.090062
08166,,9.395617,-2.565771,2.334959,0.019025,0.009518,0.043241,-45.171188,-70.591320,21.161279
08167,,9.426841,-2.560708,2.385658,0.023519,0.010600,0.055010,-45.208442,-70.564698,21.215063
08168,,9.504892,-2.435334,2.419004,0.016254,0.017155,0.065809,-45.291319,-70.523591,21.309013
08169,,9.552944,-2.362456,2.360798,-0.015972,0.028198,0.076221,-45.354702,-70.481190,21.366536
08170,,9.496563,-2.322454,2.353380,-0.059764,0.040189,0.092979,-45.478036,-70.421461,21.458638
08171,,9.526856,-2.359266,2.410935,-0.112593,0.062047,0.112096,-45.597575,-70.350752,21.517069
08172,,9.579937,-2.529806,2.416318,-0.157420,0.079026,0.142475,-45.784660,-70.254513,21.617080
08173,,9.683601,-2.750372,2.455931,-0.197929,0.102187,0.182013,-45.982967,-70.138890,21.707329
08174,,9.783457,-3.034352,2.579703,-0.216385,0.134196,0.246577,-46.251586,-69.977288,21.859008
08175,,9.878990,-3.204624,2.587935,-0.222318,0.163739,0.321409,-46.540288,-69.779233,22.030845
08176,,9.933625,-3.346983,2.617167,-0.221318,0.209484,0.410872,-46.901471,-69.513229,22.276749
08177,,9.931116,-3.453521,2.616290,-0.232737,0.246911,0.520414,-47.298545,-69.198549,22.558612
08178,,9.904765,-3.585317,2.644480,-0.241784,0.287644,0.633820,-47.814131,-68.798165,22.960525
08179,,9.852491,-3.773650,2.729972,-0.269969,0.322225,0.754205,-48.354576,-68.353321,23.375016
08180,,9.894500,-3.902751,2.835990,-0.315946,0.356221,0.875556,-49.045160,-67.810274,23.915161
08181,,9.933457,-4.061360,2.845364,-0.433766,0.390007,1.002154,-49.786471,-67.228879,24.448561
08182,,9.890090,-4.224501,2.942897,-0.641992,0.407830,1.131787,-50.785029,-66.535675,25.125003
08183,,9.835674,-3.921959,3.312323,-0.992725,0.412227,1.258456,-51.955710,-65.824997,25.783027
08184,,9.462501,-3.480334,3.658456,-1.451109,0.387499,1.381317,-53.519836,-65.007416,26.572230
08185,,9.248785,-3.468881,3.704999,-1.929772,0.415909,1.465451,-55.247350,-64.186113,27.260665
08186,,8.717370,-4.124288,3.329964,-2.352012,0.486219,1.543513,-57.135437,-63.249543,27.858636
08187,,8.074929,-5.188816,2.930895,-2.616417,0.513873,1.599961,-59.090093,-62.315788,28.370955
08188,,7.598943,-6.399129,2.611357,-2.676042,0.517962,1.642418,-61.043377,-61.272126,28.840972
08189,,7.316348,-7.856281,2.423204,-2.492923,0.504590,1.662559,-62.817065,-60.295794,29.236683
08190,,7.056509,-8.993766,2.347380,-2.062112,0.467006,1.681577,-64.375849,-59.202068,29.645106
08191,,6.891017,-9.598252,2.397451,-1.486209,0.419829,1.687053,-65.541945,-58.224722,30.013165
08192,,6.689381,-9.608962,2.533792,-0.873217,0.347838,1.690824,-66.468506,-57.082812,30.489606
08193,,6.714945,-9.192275,2.739014,-0.335834,0.280934,1.694040,-67.017863,-56.127787,30.917132
08194,,6.900246,-8.532551,2.965136,0.070720,0.236786,1.700671,-67.439878,-54.989359,31.420502
