// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
47813,,9.468573,-1.688788,2.291530,0.003985,0.009840,-0.011559,-36.404662,-73.267619,16.863637
47814,,9.458783,-1.735185,2.317566,0.001733,0.009689,-0.010505,-36.836363,-72.982001,17.290383
47815,,9.506930,-1.724487,2.284422,0.000607,0.008372,-0.007909,-36.616017,-73.124029,17.065201
47816,,9.492948,-1.729280,2.316028,0.003327,0.003695,-0.013586,-36.589348,-73.126971,17.039324
47817,,9.493086,-1.727998,2.316419,-0.000613,0.004051,-0.012776,-36.566145,-73.128870,17.014499
47818,,9.508446,-1.698361,2.329080,-0.002302,0.004558,-0.013019,-36.542575,-73.131215,16.988491
47819,,9.459200,-1.729580,2.320052,-0.004600,0.001663,-0.013628,-36.522588,-73.135086,16.964857
47820,,9.513099,-1.737571,2.323506,-0.005727,0.002830,-0.015169,-36.499641,-73.138954,16.937450
47821,,9.518218,-1.766473,2.339439,-0.002915,0.003642,-0.017520,-36.470719,-73.143134,16.905472
47822,,9.499457,-1.740517,2.355096,0.001634,0.004206,-0.013828,-36.444024,-73.145904,16.878557
47823,,9.489318,-1.797821,2.358996,0.006135,0.004512,-0.015935,-36.411673,-73.148818,16.848385
47824,,9.500352,-1.726401,2.377588,0.011792,0.000053,-0.007397,-36.393595,-73.151309,16.836555
47825,,9.504750,-1.767042,2.372137,0.012983,0.005488,-0.007498,-36.369416,-73.150275,16.818990
47826,,9.519326,-1.749064,2.363558,0.005126,0.007567,-0.005047,-36.350304,-73.148498,16.802090
47827,,9.499664,-1.735391,2.358043,0.004587,0.008279,-0.002919,-36.335181,-73.143963,16.788926
47828,,9.485378,-1.741049,2.390181,0.001298,0.014780,-0.000082,-36.317759,-73.137168,16.771499
47829,,9.499113,-1.735010,2.360540,-0.001563,0.013709,-0.003530,-36.298875,-73.129619,16.750748
47830,,9.503811,-1.765057,2.377373,-0.003858,0.010811,-0.004140,-36.282693,-73.126030,16.731529
47831,,9.478623,-1.732412,2.334579,-0.001630,0.009593,-0.006023,-36.265019,-73.120475,16.711971
47832,,9.483341,-1.762118,2.351590,-0.000985,0.018227,-0.008132,-36.232856,-73.114808,16.677770
47833,,9.531894,-1.740234,2.340747,0.002914,0.012645,-0.006466,-36.209650,-73.107453,16.655055
47834,,9.511055,-1.748956,2.292341,0.006291,0.011633,-0.005976,-36.183988,-73.104096,16.632003
47835,,9.491907,-1.723833,2.308771,0.007418,0.010467,-0.004434,-36.165789,-73.097069,16.617014
47836,,9.487382,-1.681718,2.315695,0.001206,0.009294,-0.003405,-36.149576,-73.093920,16.600791
47837,,9.467632,-1.668292,2.310351,-0.010596,0.014209,-0.004290,-36.138154,-73.085470,16.582114
47838,,9.422453,-1.742112,2.296177,-0.011766,0.012631,-0.007494,-36.119465,-73.082156,16.555533
47839,,9.441344,-1.766046,2.281758,-0.008431,0.008875,-0.008666,-36.107046,-73.077886,16.537008
47840,,9.456023,-1.747867,2.272964,0.005015,0.003197,-0.013334,-36.080336,-73.080905,16.512094
47841,,9.523469,-1.760981,2.224077,0.011750,-0.000198,-0.013184,-36.064302,-73.082350,16.501404
47842,,9.558959,-1.732823,2.264556,0.016816,-0.001715,-0.012448,-36.037613,-73.087337,16.483579
