// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
58107,,9.096390,-3.123583,2.276269,0.010620,0.007030,-0.015047,-53.930659,-66.977401,11.203365
58108,,9.124520,-3.094873,2.315804,0.012417,0.009566,-0.016498,-53.695396,-67.017905,10.815157
58109,,9.093509,-3.120652,2.312715,0.010179,0.004943,-0.024913,-53.664242,-67.027729,10.787653
58110,,9.094019,-3.118453,2.313677,0.012547,0.008417,-0.017673,-53.634075,-67.033731,10.763189
58111,,9.079360,-3.117489,2.295578,0.011335,0.003909,-0.027988,-53.600872,-67.045313,10.734183
58112,,9.082722,-3.139040,2.296141,0.013867,0.007551,-0.025456,-53.564188,-67.054410,10.702985
58113,,9.082467,-3.161305,2.331105,0.015276,0.004212,-0.030884,-53.526005,-67.067209,10.671027
58114,,9.080689,-3.133964,2.332122,0.007711,0.002630,-0.030966,-53.493831,-67.080225,10.640882
58115,,9.093364,-3.202697,2.297336,0.011649,0.002933,-0.033863,-53.456642,-67.094816,10.607754
58116,,9.093460,-3.224406,2.331839,0.008018,0.001649,-0.036844,-53.420964,-67.110351,10.573930
58117,,9.093631,-3.245911,2.366392,0.013712,0.003175,-0.037660,-53.379164,-67.126589,10.537088
58118,,9.068086,-3.244179,2.294420,0.011285,-0.002934,-0.037830,-53.346636,-67.142876,10.508572
58119,,9.080947,-3.239929,2.347785,0.012406,-0.005283,-0.037372,-53.314941,-67.161859,10.481892
58120,,9.051757,-3.239223,2.309865,0.018827,-0.002650,-0.034208,-53.282575,-67.174875,10.457931
58121,,9.086093,-3.257144,2.347849,0.015028,-0.004104,-0.032482,-53.251987,-67.191197,10.434088
58122,,9.059500,-3.281115,2.309668,0.016786,-0.002879,-0.030401,-53.226318,-67.200651,10.415763
58123,,9.057737,-3.253931,2.310262,0.016618,-0.003044,-0.025694,-53.199140,-67.213485,10.396611
58124,,9.038821,-3.278799,2.359752,0.018593,-0.005442,-0.022433,-53.185200,-67.217949,10.391563
58125,,9.092682,-3.270135,2.348331,0.022493,-0.006450,-0.021798,-53.161528,-67.230161,10.379866
58126,,9.059264,-3.271849,2.344887,0.021929,-0.003158,-0.013570,-53.153057,-67.227007,10.382388
58127,,9.081532,-3.291870,2.329559,0.018430,-0.005603,-0.017724,-53.134105,-67.237057,10.373287
58128,,9.078417,-3.291007,2.364156,0.025658,-0.004329,-0.008230,-53.132774,-67.229004,10.385256
58129,,9.082397,-3.288923,2.330350,0.023515,-0.002095,-0.006786,-53.116030,-67.232833,10.381708
58130,,9.061032,-3.265832,2.346441,0.028534,-0.005451,-0.005693,-53.119116,-67.221402,10.399975
58131,,9.076498,-3.263332,2.365891,0.028363,-0.005614,-0.000988,-53.108183,-67.223788,10.405745
58132,,9.067831,-3.287623,2.312748,0.028235,-0.004459,0.000187,-53.118916,-67.206025,10.431158
58133,,9.076653,-3.262129,2.366954,0.032862,-0.004355,0.004800,-53.108763,-67.205323,10.440567
58134,,9.061339,-3.263449,2.348572,0.027937,-0.003465,0.006067,-53.124622,-67.183074,10.471553
58135,,9.073699,-3.237545,2.368343,0.029060,-0.005812,0.006528,-53.119636,-67.182087,10.484208
58136,,9.073490,-3.237641,2.369012,0.025533,0.001078,0.009854,-53.138956,-67.151550,10.517268
58137,,9.092027,-3.235673,2.354555,0.024639,-0.000190,0.010583,-53.133696,-67.146761,10.526883
58138,,9.095311,-3.235446,2.320933,0.026618,-0.002581,0.013850,-53.161890,-67.113198,10.569530
58139,,9.075138,-3.263305,2.371139,0.026401,0.001041,0.012663,-53.155964,-67.107023,10.579522
58140,,9.090787,-3.237345,2.357047,0.026273,0.002197,0.013836,-53.178879,-67.073924,10.615212
58141,,9.087551,-3.213734,2.358214,0.027397,-0.000149,0.014299,-53.174975,-67.067398,10.628016
58142,,9.093467,-3.238031,2.324551,0.030277,-0.001267,0.016840,-53.201786,-67.030160,10.672466
58143,,9.071381,-3.216664,2.340965,0.032341,-0.001033,0.013042,-53.194991,-67.024497,10.685216
58144,,9.102212,-3.189280,2.345957,0.032813,0.002394,0.019363,-53.214510,-66.988958,10.724201
58145,,9.067514,-3.193849,2.343516,0.035009,0.001472,0.014395,-53.204578,-66.981808,10.735215
58146,,9.084077,-3.142991,2.295370,0.030210,0.001210,0.014487,-53.223012,-66.948795,10.771215
58147,,9.082738,-3.168374,2.330553,0.027468,0.001175,0.010778,-53.214791,-66.943421,10.779407
58148,,9.051847,-3.171847,2.293804,0.031929,0.006216,0.010668,-53.221138,-66.915323,10.802784
58149,,9.091077,-3.216697,2.298372,0.029755,-0.002211,0.008178,-53.213146,-66.912314,10.812657
58150,,9.171598,-3.183218,2.325740,0.030660,-0.000940,0.007450,-53.225570,-66.888408,10.843117
58151,,9.189434,-3.205723,2.345308,0.019326,-0.001398,0.002015,-53.217687,-66.888007,10.846631
58152,,9.191870,-3.230142,2.346098,0.022198,0.006852,0.012017,-53.237353,-66.855325,10.877142
58153,,9.143713,-3.285566,2.358579,0.021351,0.001821,0.018652,-53.238199,-66.846179,10.891412
58154,,9.135805,-3.361606,2.340125,0.026817,0.000605,0.029616,-53.272181,-66.809101,10.944330
58155,,9.099496,-3.392853,2.371715,0.038953,-0.001565,0.044941,-53.287606,-66.789018,10.985457
58156,,9.096853,-3.421226,2.407304,0.040309,0.001850,0.054071,-53.340617,-66.738633,11.060431
58157,,9.072871,-3.331021,2.511864,0.019129,0.002446,0.077496,-53.388758,-66.702171,11.124820
58158,,9.081476,-3.264099,2.653721,-0.014559,0.008705,0.089106,-53.480714,-66.640523,11.211496
58159,,9.094266,-3.493453,2.721666,-0.061483,0.022540,0.105371,-53.575050,-66.584297,11.275946
58160,,9.075203,-3.727951,2.751835,-0.059984,0.036669,0.118458,-53.692334,-66.482520,11.356842
58161,,9.101228,-3.787046,2.825711,-0.053553,0.048604,0.133844,-53.775667,-66.404180,11.414300
58162,,9.046509,-3.929560,2.908350,-0.043301,0.060692,0.151067,-53.867245,-66.276073,11.489894
58163,,9.004450,-3.949367,3.065489,-0.028076,0.071875,0.167057,-53.935968,-66.174448,11.547461
58164,,8.955741,-4.068869,3.204485,-0.019740,0.085080,0.184593,-54.011583,-66.010969,11.615145
58165,,8.951109,-4.308217,3.348230,-0.009182,0.102858,0.215305,-54.072383,-65.876502,11.676018
58166,,8.927363,-4.625648,3.543137,0.013024,0.116174,0.256297,-54.136715,-65.655963,11.759911
58167,,8.932479,-4.770292,3.608861,0.060660,0.136450,0.308529,-54.190412,-65.466888,11.857144
58168,,8.948395,-4.916759,3.853913,0.110566,0.146427,0.348426,-54.222826,-65.182202,11.966490
58169,,8.894599,-5.070147,4.218341,0.193338,0.174587,0.395067,-54.222307,-64.940073,12.088163
58170,,8.898819,-5.389490,4.456771,0.276092,0.203700,0.462135,-54.182535,-64.540948,12.223600
58171,,8.903442,-5.635739,4.723565,0.354182,0.248631,0.526048,-54.107164,-64.213220,12.365169
58172,,9.214421,-5.467764,5.161311,0.401068,0.298729,0.592819,-53.970866,-63.702463,12.477229
58173,,9.641016,-5.151000,5.779367,0.333879,0.424316,0.671953,-53.840642,-63.248075,12.545585
58174,,9.709173,-4.923696,6.274691,0.133906,0.597942,0.766325,-53.666154,-62.532644,12.457474
58175,,9.556406,-5.004371,6.576684,-0.148427,0.803446,0.890208,-53.621792,-61.848956,12.311297
58176,,9.273984,-5.367313,6.603607,-0.451253,0.968417,1.028906,-53.594280,-60.851945,12.014809
58177,,9.117135,-5.948272,6.489166,-0.696924,1.105079,1.170966,-53.794935,-59.936359,11.786472
58178,,9.212054,-6.668708,6.498582,-0.859486,1.207211,1.312183,-53.956942,-58.719935,11.443860
58179,,9.254873,-7.534753,6.516457,-0.888506,1.300129,1.458108,-54.282704,-57.606471,11.228243
58180,,9.361399,-8.417921,6.642336,-0.790959,1.370081,1.588457,-54.421407,-56.214190,10.972678
58181,,9.420504,-8.968334,6.770087,-0.584013,1.456005,1.715474,-54.597681,-54.929866,10.781035
58182,,9.312512,-9.242945,6.793574,-0.354737,1.527581,1.826107,-54.531394,-53.318017,10.547768
58183,,9.207591,-9.263903,6.675585,-0.141084,1.588370,1.929168,-54.482506,-51.890120,10.384951
58184,,9.044187,-9.128684,6.570745,0.050727,1.640369,2.012244,-54.233254,-50.157094,10.200708
58185,,8.833636,-8.958827,6.488836,0.202081,1.685030,2.081599,-54.020135,-48.625457,10.073077
58186,,8.508154,-8.821069,6.509168,0.323251,1.722295,2.137593,-53.669993,-46.811319,9.986031
58187,,8.097134,-8.715662,6.742033,0.435772,1.747859,2.167500,-53.351123,-45.218155,9.890628
58188,,7.854249,-8.715651,6.852151,0.525897,1.762361,2.175230,-52.937850,-43.366737,9.856403
