// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
34771,9.651020,1.102415,1.350379,0.002433,0.009654,-0.006208
34772,9.694405,1.097210,1.318690,0.017082,0.006833,-0.005157
34773,9.702771,1.113558,1.364692,0.015355,0.010128,0.001543
34774,9.718037,1.098987,1.315249,0.010501,0.008452,-0.005095
34775,9.738378,1.177770,1.310732,0.025395,0.007265,-0.002614
34776,9.697137,1.161495,1.351616,0.014306,0.015693,-0.009897
34777,9.697797,1.108190,1.345102,-0.013916,0.002367,-0.006070
34778,9.710561,1.117015,1.287458,0.013735,0.001546,-0.008716
34779,9.705088,1.180144,1.398415,0.030191,0.011667,-0.009101
34780,9.676772,1.172060,1.380973,0.011512,0.001581,-0.004880
34781,9.720278,1.167007,1.348439,-0.000143,-0.004146,-0.010979
34782,9.742413,1.138044,1.328449,0.012487,0.002764,-0.008469
34783,9.673831,1.198169,1.373322,0.021755,0.008410,-0.011419
34784,9.679432,1.238974,1.411486,0.015413,0.006311,-0.019238
34785,9.674900,1.232912,1.389201,0.002034,0.003877,-0.018635
34786,9.677154,1.211691,1.397514,-0.011255,0.008299,-0.020177
34787,9.704180,1.260725,1.297968,-0.017970,0.011111,-0.021786
34788,9.683006,1.323862,1.334630,-0.023490,0.020768,-0.027464
34789,9.669301,1.441439,1.299436,-0.047376,0.032848,-0.031549
34790,9.656022,1.520806,1.384089,-0.085022,0.038038,-0.036260
34791,9.679283,1.609301,1.407719,-0.142852,0.047665,-0.043973
34792,9.687640,1.658240,1.476375,-0.185166,0.065098,-0.046892
34793,9.700658,1.660803,1.563106,-0.234878,0.090247,-0.058247
34794,9.699642,1.569482,1.687250,-0.281814,0.105421,-0.063374
34795,9.807139,1.490213,1.736327,-0.328979,0.115086,-0.055338
34796,9.900887,1.355579,1.703242,-0.354602,0.135769,-0.049144
34797,9.950748,1.225334,1.703997,-0.355528,0.160117,-0.038446
34798,9.980681,1.225982,1.640629,-0.355669,0.186927,-0.033002
34799,9.971786,1.269431,1.650748,-0.350113,0.213730,-0.024182
34800,9.903976,1.403329,1.645104,-0.361640,0.248097,-0.037504
34801,9.888772,1.494055,1.647981,-0.407112,0.261614,-0.044421
34802,9.787443,1.582274,1.590688,-0.469208,0.273841,-0.052459
34803,9.766879,1.636075,1.559495,-0.507960,0.287059,-0.066731
34804,9.698102,1.688332,1.538642,-0.530952,0.294664,-0.081511
34805,9.747993,1.735360,1.631555,-0.573450,0.299024,-0.098330
34806,9.895773,1.696318,1.840070,-0.638021,0.318049,-0.106760
34807,9.926343,1.639045,1.945236,-0.693121,0.340965,-0.111874
34808,9.879967,1.539131,2.023014,-0.726039,0.349245,-0.118380
34809,9.858294,1.510809,1.975102,-0.737847,0.347644,-0.114605
34810,9.809122,1.416153,1.871164,-0.739399,0.341585,-0.116041
34811,9.662137,1.340197,1.773337,-0.707005,0.334629,-0.122494
34812,9.652029,1.393637,1.827535,-0.660110,0.334670,-0.139763
34813,9.687882,1.435786,2.030922,-0.659420,0.335912,-0.138223
34814,9.628257,1.356064,2.198448,-0.709277,0.342409,-0.142402
34815,9.642860,1.239019,2.163806,-0.750849,0.355890,-0.129637
34816,9.535010,1.076729,2.101424,-0.758271,0.361398,-0.119600
34817,9.493074,0.935600,1.974214,-0.728738,0.345588,-0.116296
34818,9.491875,0.770815,1.944696,-0.657025,0.340906,-0.116446
34819,9.553768,0.639327,2.049364,-0.593110,0.328043,-0.101367
34820,9.582042,0.514249,2.078726,-0.552966,0.327906,-0.074403
34821,9.625456,0.400524,2.028740,-0.508100,0.338131,-0.044600
34822,9.611471,0.408915,2.011771,-0.436940,0.348710,-0.008300
34823,9.539827,0.409114,2.149932,-0.394135,0.345502,0.024109
34824,9.482678,0.447655,2.228951,-0.403223,0.333461,0.061472
34825,9.461367,0.420236,2.364074,-0.428455,0.326004,0.094829
34826,9.418064,0.302050,2.438763,-0.463488,0.311042,0.131716
34827,9.367988,0.104897,2.349244,-0.511261,0.293441,0.172989
34828,9.264147,-0.082953,2.208250,-0.512373,0.274066,0.211756
34829,9.245327,-0.269395,2.205720,-0.453459,0.258671,0.268024
34830,9.319548,-0.341277,2.276417,-0.401580,0.233826,0.323352
34831,9.405318,-0.508795,2.406458,-0.400167,0.230720,0.380895
34832,9.409127,-0.704513,2.420096,-0.365990,0.234519,0.439006
34833,9.350708,-0.789807,2.397813,-0.279450,0.238831,0.485511
34834,9.316009,-0.817528,2.440799,-0.184197,0.231630,0.531870
34835,9.354887,-0.812803,2.523897,-0.136570,0.209549,0.579770
34836,9.305960,-0.766790,2.407717,-0.096979,0.184866,0.619009
34837,9.287385,-0.793414,2.297087,-0.036458,0.171105,0.650761
34838,9.271719,-0.788006,2.255605,0.029079,0.160114,0.672722
34839,9.286187,-0.716914,2.351479,0.080266,0.141622,0.702963
34840,9.381171,-0.736687,2.502527,0.105254,0.141390,0.735426
34841,9.374051,-0.641197,2.645720,0.129882,0.162139,0.763708
34842,9.294787,-0.548266,2.793770,0.139242,0.171048,0.779436
34843,9.159412,-0.504067,2.752656,0.109309,0.158274,0.799117
34844,9.071215,-0.592696,2.624230,0.088519,0.121648,0.804989
34845,9.156537,-0.602734,2.523685,0.130769,0.078229,0.807333
34846,9.394642,-0.555592,2.504236,0.167502,0.049739,0.815623
34847,9.495881,-0.303072,2.563074,0.215210,0.060875,0.825832
34848,9.545974,-0.410179,2.718763,0.085806,0.065495,0.848266
34849,9.558621,-0.706348,2.775924,0.029063,0.054749,0.871003
34850,9.691364,-0.896727,2.763224,0.017003,0.053486,0.889330
34851,9.602103,-1.057884,2.732950,-0.010636,0.061912,0.902431
34852,9.460009,-1.178430,2.602006,0.007468,0.062492,0.892610
34853,9.407112,-1.157257,2.621660,0.077115,0.052487,0.868714
34854,9.455621,-1.133575,2.685097,0.115172,0.039499,0.843427
34855,9.503082,-1.113480,2.699829,0.145610,0.039270,0.817078
34856,9.451965,-1.086891,2.671047,0.201646,0.052319,0.788277
34857,9.338089,-1.007665,2.764064,0.254843,0.061645,0.757122
34858,9.245251,-0.938581,2.758775,0.281443,0.043282,0.738247
34859,9.237704,-0.963001,2.661129,0.297814,0.021540,0.719097
34860,9.271057,-0.882841,2.620105,0.318712,0.018760,0.697434
34861,9.375905,-0.866095,2.707151,0.329784,0.019383,0.680929
34862,9.376176,-0.872187,2.704253,0.326204,0.011504,0.659105
34863,9.435705,-0.841452,2.816272,0.335895,0.016921,0.627083
34864,9.483559,-0.744612,2.993820,0.330561,0.018179,0.579803
34865,9.499962,-0.691190,3.155142,0.292634,0.021842,0.541548
34866,9.506510,-0.812953,3.145579,0.213131,0.014904,0.523804
34867,9.508778,-1.065345,2.957108,0.157459,-0.005212,0.518954
34868,9.442775,-1.277229,2.790435,0.169845,-0.010747,0.495646
34869,9.418059,-1.403577,2.707917,0.231421,-0.011610,0.467416
34870,9.392369,-1.410758,2.707123,0.291753,-0.013327,0.435115
34871,9.445323,-1.400652,2.723263,0.310732,-0.034987,0.416422
34872,9.467587,-1.415882,2.694725,0.304011,-0.046139,0.396987
34873,9.466400,-1.424472,2.666346,0.323958,-0.049232,0.374479
34874,9.395605,-1.320210,2.873399,0.369879,-0.027798,0.324078
34875,9.287643,-1.140412,2.997495,0.383909,-0.017852,0.267932
34876,9.198397,-0.976354,3.024372,0.377778,-0.012294,0.212934
34877,9.257679,-0.928070,2.986957,0.338900,-0.019861,0.183434
34878,9.410656,-1.027260,2.943771,0.288685,-0.041894,0.173092
34879,9.553642,-1.174167,2.909665,0.274140,-0.035251,0.165463
34880,9.632953,-1.290847,3.076300,0.282074,-0.003330,0.142517
34881,9.590042,-1.274294,3.255272,0.300947,0.037417,0.119076
34882,9.403326,-1.094696,3.315919,0.320021,0.056107,0.076168
34883,9.497479,-0.915629,3.632402,0.324319,0.063515,0.044073
34884,9.604285,-0.895234,3.932145,0.208701,0.109064,0.034378
34885,9.499028,-0.976328,3.696084,0.106101,0.158876,0.010440
34886,9.312109,-0.989966,3.680990,0.168613,0.208331,-0.020293
34887,9.276315,-0.904135,4.015105,0.204522,0.254488,-0.039539
34888,9.502601,-0.960309,4.089383,0.122631,0.249229,-0.038379
34889,9.708472,-1.194526,3.704146,0.127836,0.265547,-0.048991
34890,9.902300,-1.269958,3.541764,0.266552,0.305379,-0.078380
34891,9.987978,-1.156968,3.626661,0.359395,0.328576,-0.102887
34892,9.967477,-0.947668,3.674212,0.370955,0.350613,-0.140643
34893,9.978664,-0.806032,3.988651,0.402803,0.382032,-0.179050
34894,9.942169,-0.751547,4.202948,0.374886,0.410212,-0.189749
34895,9.920803,-0.851805,4.329483,0.305714,0.441669,-0.183679
34896,9.886533,-1.023876,4.274710,0.244759,0.467793,-0.166902
34897,9.828485,-1.189955,4.247097,0.203295,0.519341,-0.141183
34898,9.812437,-1.388590,4.254497,0.164733,0.556559,-0.104736
34899,9.750450,-1.595708,4.114510,0.091796,0.571205,-0.049724
34900,9.863768,-1.759340,4.236697,0.031846,0.582125,0.008359
34901,9.955287,-1.880290,4.449987,-0.024297,0.622429,0.077634
34902,9.940884,-2.067558,4.454577,-0.139543,0.677406,0.150254
34903,9.724931,-2.393802,4.389494,-0.255467,0.723133,0.225743
34904,9.450706,-2.887310,4.257821,-0.341749,0.763713,0.306317
34905,9.299270,-3.262306,4.122689,-0.288959,0.827496,0.376778
34906,9.178812,-3.380674,4.258896,-0.144611,0.872286,0.451816
34907,9.230842,-3.256721,4.426252,-0.057881,0.909276,0.532096
34908,9.183935,-3.175001,4.451714,-0.096001,0.930772,0.633587
34909,9.231457,-3.295964,4.551213,-0.181474,0.946129,0.740479
34910,9.275285,-3.442227,4.603438,-0.234112,0.959896,0.848178
34911,9.176581,-3.579315,4.569393,-0.233325,1.013081,0.935066
34912,9.006741,-3.682196,4.901037,-0.238919,1.075116,1.027695
34913,8.719372,-3.832453,5.004548,-0.304624,1.077478,1.143228
34914,8.608265,-3.901627,4.922880,-0.348900,1.090048,1.241099
34915,8.587235,-3.929456,4.992053,-0.334723,1.147441,1.328884
34916,8.620607,-3.978628,5.426459,-0.393967,1.186918,1.436674
34917,8.687963,-4.053705,5.467453,-0.520610,1.222350,1.537074
34918,8.735846,-4.256758,5.632811,-0.636494,1.283547,1.639540
34919,8.571146,-4.597928,5.518254,-0.750210,1.310048,1.739852
34920,8.249282,-4.899212,5.643640,-0.754375,1.349476,1.814950
34921,8.346288,-5.092080,5.634649,-0.701810,1.365598,1.890285
34922,8.246515,-5.143006,5.673641,-0.670807,1.420637,1.977877
34923,8.017629,-5.337928,5.616856,-0.718787,1.405573,2.051967
34924,8.161579,-5.325698,5.511184,-0.731751,1.440282,2.114552
34925,8.045730,-5.424342,5.912535,-0.744148,1.471352,2.192768
34926,8.119782,-5.517629,5.796222,-0.827981,1.510244,2.259633
34927,7.945430,-5.693072,5.846824,-0.889183,1.600064,2.301830
34928,7.570220,-5.854972,6.207018,-0.899079,1.671895,2.338484
34929,7.002290,-6.038784,6.393459,-0.915472,1.695714,2.383436
34930,6.801485,-6.116674,6.186162,-0.970777,1.705065,2.429056
34931,6.516161,-6.097348,6.140708,-0.946359,1.699131,2.499145
34932,6.375743,-6.220467,6.104738,-0.987970,1.687782,2.535525
34933,6.499351,-6.219956,6.047223,-1.054225,1.698751,2.583429
34934,6.330087,-6.346133,5.868453,-1.127657,1.729826,2.589642
34935,5.979235,-6.353666,6.076009,-1.170194,1.797697,2.574915
34936,5.475204,-6.427950,6.339585,-1.242338,1.790799,2.576471
34937,5.188709,-6.565421,6.021799,-1.340069,1.798309,2.580273
34938,4.890084,-6.851280,5.815046,-1.415297,1.839070,2.575167
34939,4.286942,-7.034018,5.941247,-1.401576,1.863872,2.573685
34940,4.052194,-7.065221,6.051974,-1.399488,1.813371,2.572304
34941,3.898524,-7.117049,5.765223,-1.459211,1.766425,2.561544
34942,3.768247,-7.293794,5.360237,-1.518451,1.716921,2.549260
34943,3.226602,-7.384807,5.205902,-1.465357,1.673756,2.543913
34944,2.818749,-7.356665,5.196761,-1.404410,1.584337,2.511111
34945,2.848525,-7.275918,4.976654,-1.398880,1.524406,2.469363
34946,2.553617,-7.291677,4.989282,-1.395957,1.512973,2.413341
34947,2.329503,-7.351525,5.177353,-1.420206,1.514668,2.373494
34948,2.027869,-7.510094,5.055099,-1.431073,1.508845,2.352020
34949,1.545234,-7.666288,4.825044,-1.400461,1.455206,2.319487
34950,1.462581,-7.781602,4.609468,-1.317278,1.395791,2.286035
34951,1.197535,-7.739740,4.640675,-1.200885,1.372754,2.254284
34952,0.747966,-7.498321,4.680845,-1.110307,1.292599,2.214319
34953,0.400290,-7.338944,4.582211,-1.148868,1.187851,2.132163
34954,0.419266,-7.494123,4.159526,-1.234202,1.103339,2.083050
34955,0.331074,-7.898129,3.815713,-1.109612,1.079766,2.023388
34956,0.243059,-7.911465,3.690098,-0.865854,1.090611,1.952726
34957,-0.132405,-7.692380,3.827526,-0.639260,1.093310,1.881988
34958,-0.526492,-7.382498,3.763442,-0.557584,1.038734,1.789096
34959,-0.768651,-7.068678,3.732956,-0.491442,0.968824,1.682441
34960,-0.775579,-6.823462,3.895996,-0.495268,0.913237,1.562858
34961,-0.666321,-6.793552,3.870091,-0.550694,0.917522,1.496796
34962,-1.136968,-6.887610,3.813385,-0.561170,0.891168,1.422592
34963,-1.523816,-6.856449,4.087997,-0.558912,0.815035,1.324213
34964,-1.815394,-6.973188,3.957812,-0.699261,0.699533,1.207790
34965,-1.867010,-7.209359,3.304800,-0.746556,0.611862,1.105836
34966,-1.700290,-7.296758,2.936076,-0.543160,0.585849,1.030883
34967,-1.527571,-7.191512,2.977338,-0.365910,0.622430,0.985554
34968,-1.845354,-7.070238,3.119239,-0.272552,0.689990,0.939764
34969,-2.246559,-6.981700,3.297938,-0.233273,0.677157,0.889014
34970,-2.521731,-6.915571,3.356994,-0.196640,0.645587,0.828859
34971,-2.716623,-6.695879,3.472029,-0.198706,0.605346,0.764341
34972,-2.642185,-6.584322,3.531575,-0.265196,0.550680,0.702925
