// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
49022,9.637749,-1.988828,0.975249,-0.004695,0.004487,-0.008182
49023,9.656788,-2.002658,1.024738,-0.009278,0.007417,-0.011705
49024,9.674580,-2.014866,1.014710,-0.008876,0.010460,-0.005597
49025,9.642005,-2.071161,0.974487,-0.004962,0.007186,-0.005537
49026,9.586818,-2.002280,0.968388,0.002110,0.009152,-0.009445
49027,9.623406,-2.041900,0.967453,0.004193,0.010074,-0.009467
49028,9.658918,-2.067009,0.946925,0.016301,0.003818,-0.004730
49029,9.655082,-1.968823,0.990649,0.029962,0.004813,-0.008241
49030,9.687507,-1.937093,0.951885,0.014847,0.003756,-0.002798
49031,9.669739,-1.936506,0.922907,0.000998,0.005352,-0.007053
49032,9.656068,-2.007684,0.931665,-0.000647,0.006955,0.000628
49033,9.622580,-2.036500,0.912151,0.009041,0.004442,-0.008586
49034,9.639458,-2.021010,0.922871,0.028850,0.001016,-0.005841
49035,9.657299,-2.033085,0.912902,0.043518,-0.001381,-0.005421
49036,9.672247,-1.962304,0.965173,0.046494,-0.002298,-0.006172
49037,9.672148,-2.000160,0.844821,0.036043,-0.006395,-0.007612
49038,9.692217,-2.041172,0.873588,0.045820,-0.002648,-0.009627
49039,9.656946,-2.014195,0.895330,0.054388,-0.009879,-0.002919
49040,9.672923,-1.971000,0.925984,0.054058,-0.013966,-0.005907
49041,9.672295,-1.929263,0.986598,0.052564,-0.013510,-0.005525
49042,9.655810,-1.942838,0.976085,0.034594,-0.014285,-0.008187
49043,9.656070,-1.941803,0.975569,0.021706,-0.007747,-0.007552
49044,9.621731,-1.955581,0.935505,0.016913,-0.010459,-0.009413
49045,9.659743,-1.996559,0.992885,0.013934,-0.009542,-0.008659
49046,9.660949,-2.023217,0.971984,0.018344,-0.002579,-0.008823
49047,9.625841,-1.983048,1.033511,0.020729,-0.004878,-0.009928
49048,9.642709,-1.980469,1.003031,0.011547,-0.007244,-0.007551
49049,9.644996,-2.021681,1.001919,0.009292,0.001714,-0.011228
49050,9.662891,-2.046295,0.951368,0.017555,-0.001391,-0.016944
49051,9.663244,-2.044540,0.951561,0.019082,-0.002364,-0.015764
49052,9.647943,-2.072092,0.961358,0.024178,-0.002872,-0.014984
49053,9.615926,-2.114218,0.961328,0.035780,-0.003318,-0.016907
49054,9.600671,-2.141553,0.971392,0.042402,-0.004798,-0.014945
49055,9.582137,-2.112395,0.962950,0.053260,-0.005455,-0.009920
49056,9.615865,-2.081558,0.983353,0.051215,-0.006894,-0.008336
49057,9.668141,-2.104912,0.932541,0.055141,-0.002850,-0.004193
49058,9.650544,-2.090931,0.943901,0.062026,-0.007040,-0.004855
49059,9.666488,-2.047066,0.975208,0.071113,-0.003657,-0.010330
49060,9.667795,-2.072914,0.955748,0.068316,-0.004436,-0.015311
49061,9.685882,-2.083868,0.946129,0.068348,-0.004950,-0.013746
49062,9.703960,-2.094871,0.936560,0.071906,-0.004489,-0.014134
49063,9.666520,-2.037979,0.919606,0.068576,0.000160,-0.013864
49064,9.649183,-2.009618,0.971438,0.065351,-0.004042,-0.012971
49065,9.616996,-2.065533,0.932012,0.053285,-0.006501,-0.006735
49066,9.566106,-2.067556,0.963396,0.054807,-0.007470,-0.005545
49067,9.548420,-2.066923,0.934361,0.063456,-0.007512,-0.005147
49068,9.567511,-2.093071,0.944276,0.072022,-0.006542,-0.007858
49069,9.602111,-2.103202,0.904586,0.084147,-0.005111,-0.010961
49070,9.601356,-2.073462,0.926303,0.088287,-0.003270,-0.010997
49071,9.601627,-2.071591,0.927686,0.101770,-0.008935,-0.009641
49072,9.585186,-2.084445,0.919494,0.107001,-0.003321,-0.012095
49073,9.583288,-2.040101,0.921717,0.118988,-0.008527,-0.010353
49074,9.619179,-2.050593,0.942413,0.121121,-0.008619,-0.007236
49075,9.617085,-2.020298,0.904490,0.124657,-0.008169,-0.007600
49076,9.666315,-1.959479,0.915426,0.119549,-0.007679,-0.008368
49077,9.647722,-1.916550,0.947627,0.104643,-0.002568,-0.006232
49078,9.633493,-1.958295,0.979150,0.091295,-0.006264,-0.005350
49079,9.613531,-1.915614,0.951042,0.072804,-0.001107,-0.004402
49080,9.631522,-1.913750,0.981607,0.061540,-0.003875,-0.003556
49081,9.647159,-1.883865,0.972039,0.028754,0.000442,-0.004176
49082,9.681660,-1.881672,0.971747,0.001135,0.003267,-0.000882
49083,9.651473,-1.981851,0.932549,-0.013170,0.002422,-0.002434
49084,9.670304,-2.022935,0.902183,-0.006647,0.001956,-0.003555
49085,9.688168,-2.035490,0.891994,0.006317,0.002016,-0.008917
49086,9.686211,-1.978452,0.932406,0.010543,0.002868,-0.005851
49087,9.652895,-2.007663,0.913554,0.012923,0.000557,-0.006920
49088,9.655414,-2.034928,0.953617,0.021825,-0.002221,-0.009109
49089,9.621174,-2.035612,0.954448,0.038269,-0.008802,-0.008443
49090,9.601356,-1.992837,0.925033,0.052752,-0.009703,-0.012603
49091,9.585140,-1.991928,0.955480,0.067315,-0.011596,-0.013641
49092,9.617781,-1.945772,0.954954,0.071716,-0.012495,-0.016283
49093,9.634979,-1.928234,0.964731,0.062907,-0.010484,-0.022925
49094,9.669967,-1.923783,0.963973,0.050800,-0.011897,-0.019822
49095,9.670483,-1.921137,0.964077,0.039265,-0.003848,-0.025931
49096,9.706497,-1.944792,0.944019,0.036617,0.001208,-0.022270
49097,9.690410,-1.942972,0.974885,0.024655,-0.001471,-0.026446
49098,9.708823,-1.939174,1.004835,0.012706,0.003217,-0.026661
49099,9.659229,-1.981728,0.976739,0.004703,0.004144,-0.025181
49100,9.678651,-2.006541,0.987006,0.004435,0.006888,-0.022586
49101,9.661119,-2.005437,0.958298,0.006546,0.007320,-0.021053
49102,9.644792,-2.018404,0.949640,0.002053,0.009199,-0.021524
49103,9.661772,-2.001492,0.959958,0.009683,0.004428,-0.015538
49104,9.662141,-1.985704,1.000296,0.010623,0.002086,-0.014676
49105,9.647981,-2.055824,0.951525,0.009768,0.003444,-0.012418
49106,9.613759,-2.056414,0.952724,0.021719,-0.001236,-0.012196
49107,9.628341,-1.997562,0.962538,0.034752,-0.002158,-0.014421
49108,9.678565,-1.964711,0.951809,0.037673,-0.002592,-0.016701
49109,9.695597,-1.947488,0.961913,0.033091,0.000265,-0.020291
49110,9.662777,-1.960951,0.983550,0.026086,0.005924,-0.024385
49111,9.679739,-1.957680,0.954355,0.021679,0.006818,-0.021739
49112,9.646679,-2.000134,0.896735,0.019968,0.009537,-0.017228
49113,9.662353,-1.969115,0.887649,0.023473,0.010491,-0.019173
49114,9.626956,-1.941003,0.909519,0.014976,0.009043,-0.014917
49115,9.611742,-1.968685,0.921069,0.011513,0.007598,-0.011410
49116,9.611892,-1.967579,0.921873,0.007422,0.005255,-0.009797
49117,9.628654,-1.951438,0.932171,0.010073,0.007570,-0.009489
49118,9.645416,-1.935304,0.942404,0.005355,0.004328,-0.009770
49119,9.631368,-2.005817,0.894067,-0.000169,0.009518,-0.014232
49120,9.613800,-1.962609,0.984774,-0.005245,0.010003,-0.015044
49121,9.630628,-1.960250,0.955340,-0.005917,0.009592,-0.018495
49122,9.669052,-2.026999,0.935906,-0.010411,0.011464,-0.018973
49123,9.634872,-2.012927,0.977454,-0.006279,0.013319,-0.019024
49124,9.633875,-2.011508,0.918927,-0.007224,0.015657,-0.019888
49125,9.667386,-1.993522,0.899489,-0.003401,0.013376,-0.022859
49126,9.668969,-2.005394,0.920452,-0.005063,0.008231,-0.020744
49127,9.684701,-1.988491,0.871022,0.003476,0.009197,-0.023431
49128,9.685130,-1.971772,0.911210,0.003894,-0.002395,-0.025292
49129,9.669048,-1.984321,0.901965,0.005188,0.006477,-0.027934
49130,9.672110,-2.023812,0.902654,0.014541,-0.000987,-0.026443
49131,9.638218,-2.023139,0.903504,0.023486,-0.004233,-0.027039
49132,9.623559,-2.063585,0.874476,0.035570,-0.002794,-0.030108
49133,9.604957,-2.004783,0.944431,0.042000,-0.009824,-0.026333
49134,9.624738,-2.043279,0.914732,0.052945,-0.004274,-0.024563
49135,9.636670,-1.955464,0.884102,0.055290,-0.013650,-0.019172
49136,9.638400,-1.952435,0.944067,0.051495,-0.004308,-0.022635
49137,9.652852,-1.906966,0.913804,0.045389,-0.008076,-0.019435
49138,9.657127,-1.946402,0.974266,0.036119,-0.001597,-0.017818
49139,9.672801,-1.929796,0.924251,0.024896,-0.004404,-0.016996
49140,9.656592,-1.943228,0.914977,0.018014,-0.000233,-0.016432
49141,9.638979,-1.928517,0.925574,0.015673,0.001590,-0.013825
49142,9.673634,-1.910401,0.964927,0.007051,0.001589,-0.014259
49143,9.638105,-1.897379,0.946000,0.001698,0.004815,-0.012496
49144,9.625831,-1.981867,0.917474,0.002344,-0.001664,-0.014537
49145,9.679794,-2.020017,0.886760,0.009665,-0.003145,-0.007510
49146,9.696481,-1.989229,0.936017,0.021740,-0.001700,-0.010576
49147,9.625066,-1.935706,0.976975,0.021206,-0.003576,-0.009348
49148,9.640491,-1.905589,0.966402,0.019768,-0.003602,-0.007431
49149,9.661216,-1.945409,0.996333,0.009618,-0.002662,-0.009067
49150,9.677971,-1.929023,1.005825,0.010105,-0.000302,-0.011853
49151,9.678272,-1.942172,0.966494,0.001601,0.005778,-0.015614
49152,9.660696,-1.941840,0.937829,0.007649,0.010029,-0.020368
49153,9.626559,-1.942174,0.939238,-0.001666,0.002547,-0.017807
49154,9.629561,-1.982725,0.940187,0.000649,0.008111,-0.016483
49155,9.643716,-1.938033,0.910318,0.000556,0.009079,-0.019600
49156,9.628785,-1.965534,0.921598,-0.000417,0.004360,-0.014027
49157,9.631865,-2.020947,0.882572,-0.000045,0.000635,-0.013487
49158,9.636158,-2.075922,0.903051,0.003107,-0.002218,-0.007966
49159,9.617071,-2.048363,0.892848,0.024731,-0.010141,-0.003277
49160,9.636443,-2.074916,0.902325,0.040046,-0.012509,0.002300
49161,9.683346,-1.986303,0.930130,0.054660,-0.007766,-0.003571
49162,9.662817,-1.930123,0.940155,0.053126,-0.006827,-0.004768
49163,9.660243,-1.886825,0.940066,0.041977,-0.003081,-0.008837
49164,9.678345,-1.883732,0.970106,0.023602,0.001162,-0.016821
49165,9.660873,-1.898095,0.901562,0.006572,0.006257,-0.017913
49166,9.632285,-1.982772,0.904209,-0.003092,0.009543,-0.022343
49167,9.632724,-1.995277,0.865598,0.001607,0.012802,-0.022065
49168,9.616412,-1.994100,0.896933,0.013751,0.006246,-0.015555
49169,9.615326,-1.978635,0.877830,0.027393,0.006277,-0.015849
49170,9.615632,-1.976757,0.878711,0.041160,-0.002047,-0.016939
49171,9.632446,-1.959585,0.888638,0.044264,-0.004409,-0.012968
49172,9.668410,-1.954729,0.948122,0.042778,-0.003953,-0.012610
49173,9.667367,-1.939324,0.928265,0.036549,-0.006277,-0.014087
49174,9.754387,-1.931374,0.956765,0.039384,0.001164,-0.014002
49175,9.665072,-1.893915,0.928736,0.031816,-0.002144,-0.010448
49176,9.683289,-1.905439,0.919122,0.028659,0.000691,-0.015975
49177,9.718138,-1.916231,0.879172,0.026117,-0.002597,-0.013155
49178,9.683833,-1.902328,0.919839,0.028222,-0.002142,-0.011621
49179,9.664827,-1.889133,0.870531,0.027410,-0.001251,-0.007820
49180,9.699330,-1.870983,0.909563,0.025680,-0.005430,-0.008799
49181,9.698023,-1.841476,0.929120,0.023867,-0.001730,-0.007438
49182,9.683069,-1.869733,0.940060,0.013244,-0.003162,-0.006298
49183,9.648816,-1.871146,0.940712,0.007501,-0.003139,-0.010569
49184,9.634000,-1.914299,0.911842,0.008845,-0.002267,-0.003678
49185,9.672745,-1.967577,0.931892,0.000906,-0.001851,-0.000679
49186,9.654911,-1.969410,0.902049,-0.003114,-0.004678,0.002493
49187,9.606654,-2.015292,0.933135,-0.007849,-0.007569,0.012583
49188,9.607942,-2.045248,0.912596,-0.007375,-0.012248,0.016256
49189,9.625481,-2.045605,0.940773,-0.004453,-0.012793,0.025913
49190,9.571309,-2.023471,0.930519,-0.000810,-0.006244,0.022187
49191,9.588842,-2.038778,0.919912,0.001873,-0.004396,0.024047
49192,9.672369,-1.992181,0.947035,0.007809,0.000801,0.016167
49193,9.721650,-1.962087,0.935688,0.001113,0.003157,0.011017
49194,9.750328,-1.890957,0.894630,-0.010875,0.015291,0.002700
49195,9.699178,-1.893723,0.927194,-0.020149,0.021872,-0.007655
49196,9.648247,-1.910470,0.920517,-0.024882,0.026120,-0.015950
49197,9.631908,-1.924179,0.913142,-0.023263,0.024334,-0.023546
49198,9.617221,-1.965668,0.886166,-0.007007,0.019774,-0.028990
49199,9.583252,-1.964895,0.888623,0.017287,0.013842,-0.034312
