// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
09845,9.816332,0.608781,0.627836,0.019593,0.024337,-0.001537
09846,9.804818,0.587472,0.632008,0.022709,0.020364,0.000321
09847,9.778407,0.593031,0.550194,0.029550,0.023613,0.005477
09848,9.760066,0.687986,0.578777,0.024971,0.024841,0.007009
09849,9.791440,0.676499,0.641840,0.007380,0.029408,0.011009
09850,9.824547,0.708164,0.594042,-0.016050,0.031880,0.013261
09851,9.885653,0.787420,0.619816,-0.026834,0.044488,0.011927
09852,9.929145,0.818665,0.627921,-0.049976,0.056677,0.010076
09853,9.981121,0.796377,0.701958,-0.061823,0.064720,0.004473
09854,9.973540,0.747177,0.743692,-0.062526,0.072613,0.002645
09855,10.029456,0.698172,0.851420,-0.064727,0.074330,0.003345
09856,10.121758,0.632761,0.996718,-0.064713,0.077088,0.009883
09857,10.253800,0.616407,1.012880,-0.073911,0.078876,0.018607
09858,10.323109,0.630376,1.008472,-0.080929,0.082394,0.027498
09859,10.398493,0.669886,1.026078,-0.086989,0.087752,0.034136
09860,10.429465,0.644799,0.996630,-0.088444,0.095312,0.040122
09861,10.413988,0.636471,0.877056,-0.077782,0.105924,0.036325
09862,10.280450,0.647223,0.881539,-0.037641,0.134642,0.025157
09863,10.117356,0.764660,0.961803,-0.013309,0.161365,0.010852
09864,10.087925,0.891982,0.997338,0.007818,0.185945,-0.012700
09865,10.077104,0.988631,1.097264,0.014290,0.200160,-0.027405
09866,10.129923,1.077241,1.164523,-0.008174,0.208186,-0.039005
09867,10.113985,1.171819,1.189950,-0.041093,0.218809,-0.050060
09868,10.088165,1.236667,1.118994,-0.097112,0.240475,-0.064142
09869,9.984349,1.205698,1.051160,-0.151778,0.251213,-0.085128
09870,9.960514,1.130030,0.937286,-0.205684,0.269312,-0.095301
09871,9.912468,0.958536,0.838557,-0.242782,0.285933,-0.100642
09872,9.843265,0.859566,0.824081,-0.256582,0.320016,-0.096946
09873,9.830807,0.848313,0.937908,-0.269388,0.354037,-0.090773
09874,9.739740,0.903852,1.046593,-0.296744,0.381301,-0.087411
09875,9.738225,1.080210,1.236279,-0.316573,0.414476,-0.086583
09876,9.777349,1.203605,1.400671,-0.364664,0.449002,-0.084490
09877,9.749217,1.215924,1.442728,-0.450449,0.468613,-0.071607
09878,9.822989,1.087014,1.412176,-0.527529,0.480942,-0.051311
09879,9.937201,0.799008,1.448017,-0.565305,0.506184,-0.032135
09880,10.028344,0.548917,1.522971,-0.586047,0.537158,-0.018254
09881,9.993575,0.306618,1.560045,-0.571837,0.568769,-0.000793
09882,9.951316,0.066779,1.619527,-0.532858,0.586161,0.011391
09883,9.938185,0.002748,1.763415,-0.460312,0.597363,0.020567
09884,9.986634,-0.040718,1.925434,-0.392221,0.622281,0.038807
09885,9.878151,-0.003209,2.001072,-0.329576,0.630761,0.068128
09886,9.761771,-0.017438,2.028623,-0.289072,0.626516,0.096345
09887,9.689007,-0.054510,1.993954,-0.261504,0.622279,0.134756
09888,9.668582,-0.095011,1.975963,-0.257762,0.621763,0.177856
09889,9.784056,-0.189131,2.064703,-0.265902,0.630016,0.228793
09890,9.795561,-0.317783,2.149392,-0.277643,0.656237,0.284420
09891,9.848888,-0.313781,2.313122,-0.273567,0.694082,0.329417
09892,9.805811,-0.298776,2.576553,-0.284413,0.748088,0.363535
09893,9.804473,-0.279885,2.755255,-0.320503,0.787428,0.410180
09894,9.737695,-0.504496,2.838470,-0.352719,0.819211,0.464723
09895,9.745995,-0.751868,2.929762,-0.368138,0.855912,0.529721
09896,9.760413,-0.978823,2.971716,-0.355720,0.901167,0.591706
09897,9.695524,-1.064884,3.100715,-0.333246,0.948248,0.644889
09898,9.605314,-1.160461,3.143804,-0.304048,0.978620,0.694399
09899,9.623127,-1.164500,3.277999,-0.281922,1.000667,0.746257
