// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
29542,9.706158,-1.100454,1.538275,0.077101,0.012149,0.004816
29543,9.694972,-1.066935,1.574651,0.077733,0.010230,0.005647
29544,9.689269,-1.049946,1.593614,0.071817,0.009553,0.007140
29545,9.694552,-1.065731,1.578048,0.069649,0.008747,0.002563
29546,9.676804,-1.034999,1.580147,0.073141,0.005631,-0.000984
29547,9.715015,-0.950457,1.583621,0.070227,0.007157,-0.009046
29548,9.727120,-0.961462,1.601749,0.048539,0.013498,-0.016826
29549,9.724269,-1.000780,1.608171,0.032087,0.015033,-0.023707
29550,9.724157,-1.098218,1.602141,0.026904,0.015893,-0.026565
29551,9.729693,-1.111538,1.586993,0.032249,0.018405,-0.028883
29552,9.743524,-1.099459,1.550118,0.036555,0.016469,-0.024330
29553,9.732466,-1.063697,1.586434,0.043807,0.016823,-0.019542
29554,9.715843,-1.011656,1.639755,0.030755,0.015372,-0.020187
29555,9.750028,-0.988282,1.597405,0.020299,0.017220,-0.016123
29556,9.744425,-1.070101,1.608691,0.008001,0.017272,-0.021118
29557,9.770327,-1.072003,1.588392,0.011235,0.022497,-0.023410
29558,9.748723,-1.101647,1.545287,0.010021,0.026259,-0.025077
29559,9.728118,-1.111258,1.553485,0.011754,0.032307,-0.026511
29560,9.710305,-1.179540,1.549541,0.018714,0.029734,-0.019192
29561,9.725615,-1.146948,1.458186,0.027245,0.029842,-0.008126
29562,9.712323,-1.135523,1.550740,0.033888,0.020525,0.009559
29563,9.693189,-1.126586,1.502692,0.041873,0.018569,0.017845
29564,9.707492,-1.099401,1.516899,0.046373,0.019712,0.029666
29565,9.744895,-1.019207,1.520896,0.044083,0.015229,0.042712
29566,9.750751,-0.918791,1.563782,0.022270,0.014255,0.038110
29567,9.732538,-0.892348,1.565627,-0.004744,0.014162,0.030634
29568,9.759002,-0.980016,1.588154,-0.029284,0.017802,0.025210
29569,9.746402,-0.969470,1.573035,-0.049014,0.021881,0.014688
29570,9.722676,-1.025725,1.584488,-0.066784,0.019866,0.009332
29571,9.711053,-1.094902,1.612427,-0.077617,0.023018,0.005412
29572,9.684500,-1.193036,1.628310,-0.069145,0.019585,0.011885
29573,9.714721,-1.218253,1.696153,-0.050641,0.011811,0.014183
29574,9.720833,-1.217157,1.730450,-0.030281,0.009656,0.017705
29575,9.741823,-1.187354,1.776823,-0.020643,0.010240,0.019961
29576,9.718212,-1.143037,1.795362,-0.010492,0.013211,0.012561
29577,9.767295,-1.094047,1.764434,-0.019005,0.013123,0.001483
29578,9.774183,-1.171650,1.842954,-0.032308,0.027758,-0.003817
29579,9.765293,-1.196594,1.867419,-0.019458,0.033899,-0.016281
29580,9.798984,-1.256697,1.976246,-0.013932,0.039787,-0.023760
29581,9.844270,-1.330154,2.103463,-0.010874,0.068144,-0.011645
29582,9.828640,-1.338019,2.150223,0.009437,0.092844,-0.011326
29583,9.759478,-1.357409,2.192389,0.033319,0.102416,0.001831
29584,9.754863,-1.379717,2.258627,0.055703,0.105044,0.021732
29585,9.789645,-1.317893,2.221416,0.076834,0.107920,0.035369
29586,9.725648,-1.336990,2.299243,0.100036,0.111982,0.050957
29587,9.675892,-1.428426,2.382048,0.105927,0.116511,0.061261
29588,9.762789,-1.639033,2.382074,0.109934,0.127082,0.066401
29589,9.748539,-1.809581,2.309752,0.150324,0.131026,0.094498
29590,9.804963,-1.959361,2.347879,0.214697,0.141457,0.106377
29591,9.796284,-1.926222,2.328562,0.285207,0.156118,0.118830
29592,9.817036,-1.835443,2.335090,0.336413,0.166060,0.131899
29593,9.867075,-1.708706,2.315747,0.348668,0.178398,0.154531
29594,9.965226,-1.774323,2.399035,0.346919,0.196450,0.169467
29595,10.060843,-1.984505,2.378448,0.336630,0.213913,0.198111
29596,10.113452,-1.899701,2.543627,0.343848,0.230293,0.244650
29597,9.981760,-2.127734,2.532370,0.327795,0.246418,0.289780
29598,9.911847,-2.362791,2.548044,0.325049,0.259406,0.346313
29599,9.837223,-2.565543,2.525983,0.361608,0.257464,0.407616
29600,9.935244,-2.729580,2.630274,0.406104,0.258170,0.481238
29601,9.989298,-2.785420,2.710795,0.461043,0.257928,0.560177
29602,10.131425,-2.879449,2.747996,0.508358,0.255643,0.636096
29603,10.221926,-2.964454,2.864017,0.553550,0.265823,0.729328
29604,10.265611,-3.042943,2.952613,0.597697,0.273474,0.811084
29605,10.219702,-3.194434,3.015012,0.637312,0.290521,0.892920
29606,10.178465,-3.365066,3.100075,0.677966,0.310936,0.981412
29607,10.160401,-3.431186,3.185207,0.730523,0.327433,1.063995
29608,10.171996,-3.446073,3.295026,0.776390,0.349163,1.132426
29609,10.139270,-3.450592,3.376075,0.799143,0.372655,1.198402
29610,10.124842,-3.398259,3.426115,0.788931,0.382966,1.265915
29611,10.172963,-3.438962,3.482601,0.747432,0.406714,1.327971
29612,10.234621,-3.618523,3.509817,0.694654,0.428582,1.391057
29613,10.227611,-3.799405,3.512014,0.675426,0.447442,1.445386
29614,10.203520,-3.928422,3.685777,0.684780,0.474455,1.492515
29615,10.026097,-3.976367,3.795490,0.690359,0.506048,1.543309
29616,9.896076,-4.001751,3.930587,0.693252,0.529631,1.578367
29617,9.904830,-4.124250,3.979747,0.686430,0.555044,1.607620
29618,9.890465,-4.250161,4.071133,0.688363,0.590633,1.638634
29619,9.764145,-4.376911,4.145777,0.714995,0.623101,1.656979
29620,9.669447,-4.484841,4.162995,0.748985,0.658467,1.661035
29621,9.502136,-4.571305,4.100228,0.789698,0.694634,1.660629
29622,9.509153,-4.452557,4.112419,0.814216,0.718315,1.656333
29623,9.459092,-4.401847,4.132551,0.807856,0.760793,1.648789
29624,9.376247,-4.475178,4.118383,0.795156,0.788232,1.638721
29625,9.295481,-4.590138,4.080852,0.788401,0.811830,1.633220
29626,9.168887,-4.680912,4.097665,0.782508,0.827516,1.619842
29627,9.065798,-4.766282,4.112236,0.783433,0.852099,1.606227
29628,8.889850,-4.855928,4.137821,0.792996,0.869458,1.596579
29629,8.751321,-5.028198,4.222050,0.824789,0.877208,1.583056
29630,8.612331,-5.120673,4.377132,0.865983,0.883268,1.574064
29631,8.470279,-5.044792,4.592449,0.877017,0.894694,1.565707
29632,8.390928,-5.100807,4.642934,0.856884,0.900233,1.555979
29633,8.356056,-5.210502,4.633241,0.829251,0.901206,1.546989
29634,8.299274,-5.344186,4.669727,0.816696,0.908272,1.541452
29635,8.180869,-5.509959,4.558506,0.818015,0.905574,1.530133
29636,8.159091,-5.798866,4.521269,0.837302,0.908280,1.522522
29637,8.119566,-5.997056,4.643377,0.892949,0.914624,1.521486
29638,7.980564,-6.099227,4.708469,0.964395,0.918190,1.516616
29639,7.839345,-6.205923,4.800025,1.029140,0.919827,1.518595
29640,7.771747,-6.273041,4.859659,1.086046,0.926875,1.524081
29641,7.710221,-6.274732,4.897873,1.129319,0.928968,1.529771
29642,7.690510,-6.336586,4.942499,1.164778,0.938400,1.537706
29643,7.578160,-6.358671,4.921025,1.177723,0.930032,1.552316
29644,7.536264,-6.256031,4.953474,1.176140,0.930726,1.569643
29645,7.453889,-6.126744,4.988690,1.123449,0.931389,1.588256
29646,7.298332,-6.144318,5.008849,1.059091,0.923723,1.610860
29647,7.077683,-6.223430,5.071593,0.996776,0.903941,1.635633
29648,6.784197,-6.462194,5.246277,0.958086,0.875711,1.661779
29649,6.586209,-6.814608,5.319081,0.970964,0.833981,1.695718
29650,6.671354,-7.002325,5.418779,1.026956,0.798404,1.735888
29651,6.652007,-7.102070,5.484192,1.097554,0.798852,1.765901
29652,6.576765,-6.896431,5.475457,1.178542,0.789622,1.792258
29653,6.498971,-6.638985,5.476746,1.216269,0.797279,1.815719
29654,6.317876,-6.436492,5.409175,1.225421,0.796379,1.834038
29655,6.074579,-6.291741,5.328970,1.187370,0.774910,1.853365
29656,5.826182,-6.278862,5.335897,1.131847,0.752250,1.875225
29657,5.582415,-6.313912,5.505514,1.083658,0.723477,1.895033
29658,5.385149,-6.326211,5.735886,1.046066,0.689433,1.914821
29659,5.206823,-6.400469,5.981199,1.025525,0.651785,1.938404
29660,5.167590,-6.463427,6.086557,1.027548,0.624282,1.953358
29661,5.083306,-6.506793,6.182017,1.031024,0.599589,1.977854
29662,4.932894,-6.572032,6.152498,1.045820,0.583708,2.000287
29663,4.791333,-6.614531,6.128779,1.070781,0.560268,2.023538
29664,4.686314,-6.660832,6.168898,1.103419,0.542840,2.043944
29665,4.469797,-6.558125,6.183213,1.136839,0.522050,2.063295
29666,4.287033,-6.460950,6.177542,1.167065,0.487592,2.076693
29667,4.058105,-6.241550,6.282473,1.179924,0.462543,2.095366
29668,3.875256,-6.135634,6.572769,1.162372,0.432935,2.125724
29669,3.741040,-6.091315,6.770569,1.127278,0.411573,2.141501
29670,3.514633,-6.030559,6.904401,1.103128,0.386410,2.155059
29671,3.326660,-5.924417,7.018202,1.087212,0.359036,2.162103
29672,3.167759,-5.873854,7.035805,1.066422,0.337011,2.170779
29673,3.081071,-5.935981,7.059523,1.044967,0.321057,2.188865
29674,2.991213,-6.088377,7.067297,1.059305,0.305977,2.199212
29675,2.932302,-6.054695,7.122856,1.117152,0.301114,2.205042
29676,2.809772,-6.032851,7.211900,1.166336,0.295717,2.213144
29677,2.685179,-5.861371,7.224674,1.191093,0.290906,2.228383
29678,2.543125,-5.512852,7.323958,1.191782,0.283782,2.235906
29679,2.421964,-5.208974,7.450958,1.107622,0.274396,2.258961
29680,2.233244,-5.061766,7.491734,0.991338,0.262161,2.281458
29681,2.025797,-5.035441,7.543235,0.886692,0.239796,2.294063
29682,1.867930,-5.201122,7.549984,0.806514,0.221632,2.304023
29683,1.751303,-5.453076,7.517734,0.797146,0.192625,2.317297
29684,1.667949,-5.564131,7.492026,0.860016,0.182111,2.320656
29685,1.533735,-5.540665,7.522641,0.939199,0.160638,2.331642
29686,1.485461,-5.457070,7.541434,1.004249,0.145725,2.350011
29687,1.390027,-5.096524,7.582852,1.054372,0.134831,2.352984
29688,1.280457,-4.781297,7.680464,1.044325,0.115590,2.369000
29689,1.091103,-4.409541,7.744971,0.999931,0.104317,2.388263
29690,0.806479,-4.030391,7.706646,0.950489,0.080775,2.383998
29691,0.576999,-3.762500,7.747713,0.868483,0.046680,2.385884
29692,0.407261,-3.477801,7.816123,0.775940,0.027902,2.378393
29693,0.223048,-3.296227,7.887976,0.665246,-0.001779,2.355953
29694,0.128724,-3.264423,7.852667,0.562788,-0.030893,2.332998
29695,0.011668,-3.295438,7.837479,0.533259,-0.059261,2.289236
29696,-0.090211,-3.420464,7.903550,0.542261,-0.085304,2.248552
29697,-0.209602,-3.440303,7.945469,0.598468,-0.116041,2.215242
29698,-0.231134,-3.228984,7.949649,0.630504,-0.149755,2.187113
29699,-0.210717,-2.889322,7.945882,0.633262,-0.177212,2.166095
29700,-0.321394,-2.578677,7.977058,0.588587,-0.196153,2.128055
29701,-0.465667,-2.442378,8.179068,0.523070,-0.221208,2.095868
29702,-0.589486,-2.423455,8.279392,0.474538,-0.254230,2.052781
29703,-0.615882,-2.460974,8.200841,0.450898,-0.287154,2.004674
29704,-0.483078,-2.528608,8.107041,0.441868,-0.315025,1.967567
29705,-0.375152,-2.504638,8.036623,0.454985,-0.334046,1.932488
29706,-0.408248,-2.396681,8.152570,0.460538,-0.349078,1.891778
29707,-0.555006,-2.312296,8.269063,0.421109,-0.361587,1.857405
29708,-0.580454,-2.189465,8.315647,0.377498,-0.375200,1.831634
29709,-0.603070,-2.201019,8.386199,0.325653,-0.392473,1.802752
29710,-0.561234,-2.322118,8.412764,0.286023,-0.401076,1.779812
29711,-0.587198,-2.496500,8.556225,0.290912,-0.401929,1.745063
29712,-0.681301,-2.564335,8.602732,0.333474,-0.407986,1.723335
29713,-0.693084,-2.507364,8.547320,0.401855,-0.417031,1.692211
29714,-0.617315,-2.399344,8.285853,0.431178,-0.424774,1.681148
29715,-0.604259,-2.257064,8.263605,0.439320,-0.427112,1.661949
29716,-0.750254,-2.174563,8.344452,0.457661,-0.429086,1.632387
29717,-0.823760,-2.037606,8.360785,0.462784,-0.445383,1.613212
29718,-0.720462,-1.883591,8.386368,0.454200,-0.452286,1.592740
29719,-0.683514,-1.613303,8.418385,0.385707,-0.461957,1.579738
29720,-0.642242,-1.413970,8.400953,0.262530,-0.477636,1.579010
29721,-0.663917,-1.310392,8.475926,0.109958,-0.495169,1.572887
29722,-0.660976,-1.470103,8.362384,-0.073492,-0.515049,1.580003
29723,-0.692089,-1.521059,8.376153,-0.186960,-0.532893,1.572533
29724,-0.751937,-1.763213,8.251468,-0.268418,-0.554485,1.557143
29725,-0.619466,-2.105848,8.249975,-0.279394,-0.581399,1.563308
29726,-0.501170,-2.379515,8.348190,-0.221101,-0.597345,1.544488
29727,-0.413607,-2.421784,8.386937,-0.100042,-0.611116,1.532604
29728,-0.319835,-2.174617,8.535659,0.019967,-0.619633,1.521987
29729,-0.276941,-1.817223,8.658567,0.074185,-0.613794,1.522114
29730,-0.219682,-1.492493,8.650436,-0.000677,-0.615983,1.539496
29731,-0.132324,-1.173568,8.780824,-0.165887,-0.614015,1.536305
29732,-0.214655,-1.067047,8.816749,-0.400784,-0.610872,1.548769
29733,-0.357836,-1.006399,8.799855,-0.640677,-0.621030,1.549128
29734,-0.491999,-1.273327,8.980080,-0.851776,-0.637838,1.550977
29735,-0.548159,-1.756700,9.046143,-0.967031,-0.658166,1.542836
29736,-0.437595,-2.230140,9.212504,-0.953890,-0.673459,1.514632
29737,-0.392113,-2.410815,9.309602,-0.825614,-0.680565,1.480331
29738,-0.400038,-2.358642,9.329227,-0.678961,-0.672783,1.439595
29739,-0.428340,-2.054266,9.494832,-0.561116,-0.672948,1.396246
29740,-0.409031,-1.810549,9.570627,-0.523347,-0.667021,1.342936
29741,-0.384851,-1.616961,9.707793,-0.529808,-0.669100,1.292607
29742,-0.400337,-1.561941,9.849273,-0.578387,-0.667210,1.234205
29743,-0.416019,-1.563411,10.049187,-0.620597,-0.661703,1.174016
29744,-0.439134,-1.739483,10.251925,-0.623082,-0.664061,1.104735
29745,-0.322205,-1.975546,10.359212,-0.570879,-0.653241,1.029205
29746,-0.227766,-2.148607,10.505038,-0.459200,-0.627620,0.944457
29747,-0.159400,-2.042762,10.653763,-0.320004,-0.586212,0.853332
29748,-0.170442,-1.609306,10.815749,-0.226372,-0.548001,0.751366
29749,-0.133644,-1.008356,10.883568,-0.247064,-0.508657,0.650043
29750,-0.036375,-0.632826,10.905640,-0.367868,-0.466600,0.535628
29751,0.035112,-0.794594,10.969317,-0.529827,-0.414568,0.426256
29752,0.190980,-1.369775,10.832411,-0.615998,-0.360910,0.314289
29753,0.246593,-2.073935,10.674234,-0.555163,-0.297867,0.193015
29754,0.248262,-2.558979,10.596731,-0.376105,-0.239122,0.080113
29755,0.332729,-2.705775,10.607660,-0.101806,-0.168012,-0.043432
29756,0.341534,-2.417431,10.699067,0.181834,-0.102081,-0.178329
29757,0.447367,-1.811920,10.793514,0.400951,-0.031261,-0.324889
29758,0.490482,-1.289907,10.783207,0.521538,0.037502,-0.482226
29759,0.530546,-0.921079,10.839019,0.570660,0.108164,-0.655924
29760,0.651620,-0.678483,10.754138,0.587917,0.177191,-0.845478
29761,0.800653,-0.415731,10.759633,0.585532,0.247649,-1.038149
29762,0.934697,-0.054590,10.721312,0.629539,0.319328,-1.269005
29763,0.934730,0.577424,10.491975,0.707256,0.369167,-1.523370
29764,1.007052,1.094622,10.180140,0.778888,0.390106,-1.776198
29765,1.189523,1.156274,10.045404,0.804059,0.406141,-2.022589
29766,1.250901,1.098039,10.131969,0.865381,0.432576,-2.273138
29767,1.335207,1.380441,10.415858,0.914124,0.458618,-2.531936
29768,1.411460,2.104929,10.770236,0.881274,0.474741,-2.781340
29769,1.530147,2.521666,10.968519,0.696026,0.482613,-3.021736
29770,1.798902,2.225816,10.878477,0.437273,0.490463,-3.229173
29771,1.976091,1.385043,10.680055,0.277835,0.509627,-3.427347
29772,2.120822,0.426406,10.517363,0.280535,0.530348,-3.599377
29773,2.226694,-0.344185,10.346563,0.425111,0.545039,-3.757350
29774,2.330205,-0.746260,10.334290,0.656849,0.551905,-3.882679
29775,2.351863,-0.675960,10.502937,0.840000,0.545565,-3.985113
29776,2.361010,-0.099817,10.591108,0.916736,0.527499,-4.077002
29777,2.431651,0.428924,10.785430,0.812647,0.498169,-4.154326
29778,2.575513,0.636502,10.770493,0.607602,0.467134,-4.216913
29779,2.769692,0.463633,10.703815,0.362137,0.447696,-4.265720
29780,3.009285,-0.054182,10.603502,0.179988,0.439013,-4.312137
29781,3.112893,-0.661108,10.342821,0.108637,0.453713,-4.347498
29782,3.059010,-1.124418,10.192791,0.124992,0.461028,-4.375009
29783,2.996501,-1.341575,10.125343,0.185504,0.451533,-4.388838
29784,3.148576,-1.556165,10.233359,0.225888,0.443713,-4.380852
29785,3.267285,-1.666392,10.359660,0.242740,0.438394,-4.373641
29786,3.454942,-1.733050,10.566784,0.241831,0.449294,-4.378753
29787,3.489349,-1.685772,10.599152,0.248343,0.477189,-4.374608
29788,3.461758,-1.615827,10.504282,0.241013,0.505442,-4.378714
29789,3.308268,-1.429795,10.274960,0.217163,0.520615,-4.375572
29790,3.299332,-1.282792,9.981856,0.164187,0.511316,-4.375781
29791,3.350785,-1.173309,9.572172,0.093055,0.495909,-4.365884
29792,3.586459,-1.336655,9.505442,-0.007267,0.486404,-4.333958
29793,3.829739,-1.739952,9.781676,-0.081221,0.504633,-4.298763
29794,4.014578,-1.928190,10.032118,-0.107650,0.547000,-4.276600
29795,4.067218,-2.005479,10.040825,-0.111169,0.598250,-4.256400
29796,3.952081,-1.975573,10.140046,-0.132823,0.637369,-4.233207
29797,3.901115,-2.075329,10.027247,-0.134520,0.670463,-4.219677
29798,3.904382,-2.166270,9.770385,-0.074406,0.690933,-4.210132
29799,3.919165,-2.340943,9.469565,0.047756,0.703766,-4.201224
29800,3.835450,-2.204805,9.078966,0.201351,0.700622,-4.176633
29801,3.919309,-2.174383,9.308122,0.310090,0.723627,-4.131924
29802,3.860905,-1.962997,9.643163,0.343963,0.730876,-4.093155
29803,3.983646,-1.698728,9.871873,0.303317,0.741663,-4.069182
29804,4.011608,-1.557020,9.890162,0.191284,0.760844,-4.041112
29805,3.997513,-1.719852,9.970338,0.068037,0.760530,-4.001193
29806,4.003829,-2.107016,9.999321,-0.010566,0.757567,-3.959113
29807,4.030047,-2.611526,10.125867,-0.004789,0.772902,-3.906823
29808,3.902514,-2.895546,10.133353,0.108549,0.794566,-3.859614
29809,3.566892,-2.605328,10.089746,0.307194,0.824462,-3.835139
29810,3.161225,-1.922071,9.986370,0.499865,0.832237,-3.814384
29811,3.000334,-1.409456,10.000520,0.569947,0.845560,-3.783072
29812,2.893478,-1.152060,9.898476,0.510159,0.843327,-3.721401
29813,3.130605,-0.916021,9.966175,0.373481,0.815299,-3.688062
29814,3.500370,-0.763356,10.176026,0.200047,0.830734,-3.652935
29815,3.589924,-0.857772,10.330489,-0.004642,0.868668,-3.589691
29816,3.443971,-1.068869,10.319813,-0.183337,0.900342,-3.533171
29817,3.207644,-1.460621,10.101254,-0.325748,0.927621,-3.467810
29818,2.973008,-1.802379,9.916875,-0.397704,0.932035,-3.411496
29819,2.679448,-1.827465,9.719970,-0.392186,0.935652,-3.366108
29820,2.360773,-1.589354,9.630724,-0.379687,0.929082,-3.338444
29821,2.172068,-1.454694,9.423822,-0.413720,0.901854,-3.294226
29822,2.089029,-1.440242,9.412200,-0.474541,0.862136,-3.238522
29823,2.139411,-1.576388,9.410061,-0.520398,0.837379,-3.189058
29824,2.114372,-1.956195,9.295494,-0.559703,0.837442,-3.130858
29825,1.983259,-2.323372,9.256297,-0.545114,0.836313,-3.075557
29826,1.808661,-2.402089,9.246268,-0.478504,0.823514,-3.016438
29827,1.637726,-2.199070,9.196062,-0.429245,0.806763,-2.974853
29828,1.506756,-1.849843,9.121064,-0.425827,0.777445,-2.929436
29829,1.284040,-1.526502,8.975895,-0.493023,0.753690,-2.905764
29830,1.152164,-1.497911,8.845865,-0.603530,0.715547,-2.888041
29831,1.064994,-1.674548,8.821309,-0.686486,0.672339,-2.888945
29832,1.090389,-2.026672,8.807568,-0.693837,0.641324,-2.900646
29833,1.128595,-2.523833,8.795385,-0.624075,0.622241,-2.909467
29834,1.206982,-2.820636,8.816454,-0.453771,0.605537,-2.916399
29835,1.238799,-3.161273,8.639441,-0.250122,0.595639,-2.916291
29836,1.018600,-3.435590,8.561407,-0.050577,0.574788,-2.880435
29837,0.781278,-3.492540,8.410740,0.144768,0.523723,-2.839285
29838,0.656431,-3.623975,8.281478,0.226379,0.445919,-2.746401
29839,0.469857,-4.018504,8.209920,0.237729,0.348638,-2.618499
29840,0.558367,-4.443936,8.256850,0.220013,0.238452,-2.465197
29841,0.797384,-4.266372,8.488820,0.246284,0.156982,-2.298248
29842,0.820086,-3.239907,8.668448,0.254968,0.127042,-2.143939
29843,0.769813,-2.132757,8.665742,0.107637,0.090027,-2.015416
29844,0.700947,-1.647175,8.434620,-0.221005,0.056076,-1.889317
29845,0.603367,-1.988747,8.510044,-0.581950,0.022731,-1.789344
29846,0.591221,-2.850147,8.569502,-0.824196,0.006035,-1.704170
29847,0.580537,-3.978744,8.434797,-0.844729,-0.002458,-1.637295
29848,0.630637,-4.937464,8.341168,-0.643352,-0.016818,-1.568130
29849,0.681970,-5.431140,8.131073,-0.261096,0.005141,-1.512636
