// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
12018,9.783267,-1.288901,1.604331,-0.029502,-0.020789,0.104342
12019,9.808726,-1.368527,1.626135,-0.002684,-0.019382,0.119880
12020,9.801873,-1.347542,1.627436,0.013216,-0.024387,0.145977
12021,9.853453,-1.371583,1.616859,0.017049,-0.030450,0.178452
12022,9.904621,-1.398953,1.605699,0.017227,-0.036239,0.210351
12023,9.949075,-1.524647,1.653392,0.015969,-0.041907,0.249620
12024,9.940605,-1.579789,1.573306,0.017923,-0.051980,0.294642
12025,10.032131,-1.662109,1.517263,0.013976,-0.066306,0.337671
12026,10.051197,-1.857197,1.551790,0.004044,-0.082760,0.396967
12027,10.184386,-2.096115,1.581233,-0.014447,-0.104057,0.482389
12028,10.267460,-2.281982,1.594091,-0.081179,-0.129806,0.594805
12029,10.382036,-2.357411,1.606555,-0.201151,-0.163601,0.742585
12030,10.398130,-2.557295,1.500730,-0.351548,-0.199205,0.903173
12031,10.366796,-2.951188,1.359654,-0.475132,-0.234578,1.052998
12032,10.380741,-3.478873,1.230728,-0.508034,-0.269553,1.197130
12033,10.412039,-3.939579,1.180995,-0.436448,-0.293167,1.312810
12034,10.537222,-4.243253,1.379945,-0.333317,-0.307519,1.417610
12035,10.704520,-4.423627,1.605325,-0.211587,-0.308516,1.532904
12036,10.830098,-4.545906,1.783079,-0.112437,-0.288648,1.633547
12037,10.802843,-4.714045,1.787330,0.000130,-0.254254,1.717284
12038,10.755064,-5.060312,1.649830,0.141896,-0.202064,1.781650
12039,10.576367,-5.337859,1.521377,0.336633,-0.149377,1.834948
12040,10.421501,-5.627090,1.371208,0.576022,-0.104476,1.882756
12041,10.252413,-5.729640,1.289486,0.821933,-0.063174,1.933872
12042,10.180714,-5.643566,1.355637,1.030484,-0.026524,1.983211
12043,10.083802,-5.516220,1.374511,1.171595,0.013020,2.039779
12044,10.016051,-5.729246,1.436272,1.266485,0.038321,2.107029
12045,10.014876,-5.990556,1.503238,1.383501,0.061792,2.164222
12046,10.024204,-6.154380,1.548983,1.531796,0.090444,2.232293
12047,10.067861,-6.140831,1.631547,1.671332,0.132359,2.289469
12048,10.024922,-6.276399,1.770678,1.833320,0.184167,2.344993
12049,9.895016,-6.429415,1.888072,1.993761,0.253373,2.391952
12050,9.757571,-6.060974,2.134932,2.080308,0.299156,2.437984
12051,9.614607,-5.631031,2.287317,2.010969,0.330554,2.500593
12052,9.397194,-5.192619,2.439531,1.754081,0.350059,2.575990
12053,9.131136,-5.495227,2.393390,1.434401,0.353026,2.643316
12054,8.814179,-5.795109,2.487013,1.159103,0.352289,2.699263
12055,8.478137,-6.624350,2.447376,0.930247,0.336733,2.748746
12056,8.226443,-7.696760,2.367161,0.850706,0.320508,2.786610
12057,8.030032,-8.391975,2.499543,0.984119,0.319735,2.823103
12058,7.887521,-8.319662,2.709655,1.163246,0.333186,2.847085
12059,7.624940,-7.779543,3.047791,1.307651,0.362798,2.872550
12060,7.294691,-7.586259,3.403903,1.332050,0.406364,2.902747
12061,7.069649,-7.880162,3.554576,1.286240,0.453330,2.952423
12062,6.675940,-8.204093,3.656658,1.282105,0.516688,2.984906
12063,6.074518,-8.488082,3.749843,1.323268,0.547554,3.023794
12064,5.515627,-8.552660,3.919148,1.420092,0.558650,3.048598
12065,5.003614,-8.386065,4.257094,1.504863,0.569296,3.050000
12066,4.692745,-8.244370,4.663365,1.550230,0.585421,3.064360
12067,4.240716,-7.926722,4.943842,1.520509,0.612151,3.069951
12068,3.795389,-7.512705,5.160492,1.427830,0.626089,3.056933
12069,3.477496,-7.308217,5.393765,1.273566,0.640931,3.038947
12070,3.212626,-7.314749,5.488104,1.085740,0.656271,3.030801
12071,2.964219,-7.789543,5.297011,0.948224,0.659514,3.015074
12072,2.615467,-8.284461,5.093175,0.923589,0.660501,2.990119
12073,2.205924,-8.656785,5.061417,1.019298,0.649645,2.946416
12074,1.872114,-8.855570,5.137050,1.215559,0.646065,2.900215
12075,1.654464,-8.778284,5.446549,1.432314,0.647668,2.845828
12076,1.554009,-8.411115,5.861397,1.624560,0.661540,2.793833
12077,1.454369,-8.023410,6.211504,1.726600,0.685544,2.743426
12078,1.362831,-7.794985,6.569402,1.715655,0.717017,2.691299
12079,1.176664,-7.637834,6.746240,1.634019,0.760929,2.642324
12080,0.977600,-7.729562,6.701438,1.540707,0.795980,2.577915
12081,0.602729,-7.747319,6.517481,1.504022,0.807041,2.491814
12082,0.255675,-7.754420,6.343860,1.520676,0.803139,2.388079
