// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
45187,9.714950,-1.186182,1.561857,0.011417,0.003316,-0.015967
45188,9.699431,-1.207003,1.541474,-0.009915,0.004633,-0.022097
45189,9.699610,-1.205009,1.541908,-0.025831,0.008763,-0.024686
45190,9.737347,-1.299207,1.532918,-0.032957,0.010858,-0.022554
45191,9.703347,-1.376041,1.501511,-0.031930,0.012031,-0.020415
45192,9.669856,-1.420715,1.520234,-0.018136,0.007091,-0.015280
45193,9.678946,-1.407836,1.501104,-0.002218,0.002965,-0.012690
45194,9.703744,-1.372121,1.502531,0.017766,-0.003334,-0.012948
45195,9.753707,-1.268845,1.555662,0.024820,0.001788,-0.024611
45196,9.732610,-1.234990,1.595559,0.015135,0.002663,-0.024978
45197,9.732862,-1.232251,1.596139,0.001041,0.007212,-0.028664
45198,9.701883,-1.274672,1.555226,-0.007550,0.007727,-0.033717
45199,9.724018,-1.270168,1.566837,-0.002870,0.009761,-0.033765
45200,9.733995,-1.343188,1.557321,-0.007826,0.010773,-0.026562
45201,9.712742,-1.309902,1.597483,-0.005538,0.006282,-0.020697
45202,9.665220,-1.288870,1.526834,-0.002662,0.011316,-0.013946
45203,9.675468,-1.330752,1.567555,0.000376,0.007974,-0.018934
45204,9.730916,-1.281660,1.560863,0.002962,0.003871,-0.014520
45205,9.691294,-1.304875,1.589494,-0.003278,0.007112,-0.016747
45206,9.732039,-1.365976,1.571103,-0.002686,0.007887,-0.019652
45207,9.692077,-1.421379,1.549749,0.009260,0.007855,-0.015329
45208,9.692145,-1.419871,1.550706,0.027534,0.006488,-0.009901
45209,9.676044,-1.320980,1.572257,0.037898,0.008305,-0.013557
45210,9.705906,-1.218760,1.555779,0.030383,0.008096,-0.008855
45211,9.730377,-1.182904,1.558365,0.013225,0.012534,-0.013269
45212,9.767744,-1.156993,1.591357,-0.009046,0.014532,-0.022682
45213,9.749618,-1.210502,1.581405,-0.025197,0.016710,-0.030661
45214,9.743156,-1.218631,1.542710,-0.031994,0.022967,-0.038731
45215,9.725168,-1.271085,1.533101,-0.032815,0.020281,-0.041203
45216,9.710969,-1.377903,1.522818,-0.026489,0.018953,-0.040096
45217,9.684186,-1.442292,1.532156,-0.002146,0.010563,-0.030180
45218,9.685517,-1.527466,1.542120,0.030367,0.004706,-0.014539
45219,9.721584,-1.446641,1.515400,0.066739,-0.001788,-0.001411
45220,9.707749,-1.315812,1.526831,0.079873,-0.005931,0.013474
45221,9.716969,-1.239603,1.608064,0.065642,-0.007106,0.019636
45222,9.706534,-1.197692,1.568173,0.034897,-0.004977,0.026093
45223,9.688171,-1.255726,1.556851,0.004317,-0.002478,0.024601
45224,9.676302,-1.302635,1.585918,-0.014283,0.003796,0.018693
45225,9.666850,-1.348250,1.555724,-0.013565,0.010256,0.005916
45226,9.663966,-1.381914,1.566295,-0.014624,0.014400,0.001855
45227,9.624016,-1.406833,1.595544,-0.015055,0.013997,-0.003191
45228,9.651742,-1.459377,1.547509,-0.006175,0.013890,0.000421
45229,9.630756,-1.548334,1.547128,0.011662,0.012141,0.000820
45230,9.686762,-1.588442,1.550552,0.037279,0.010643,0.009519
45231,9.664769,-1.557993,1.591486,0.064036,0.006907,0.021155
45232,9.679808,-1.536423,1.613782,0.086914,0.000391,0.029603
45233,9.665190,-1.583467,1.703828,0.100740,-0.006373,0.042388
45234,9.718039,-1.659636,1.716536,0.114866,-0.009299,0.059417
45235,9.658996,-1.744638,1.735007,0.134473,-0.007473,0.078856
45236,9.663839,-1.772394,1.726782,0.150442,-0.011799,0.102411
45237,9.664751,-1.747789,1.718782,0.157514,-0.007228,0.126103
