// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
35279,9.735632,1.491675,0.610461,-0.049099,0.017450,-0.006239
35280,9.759734,1.490408,0.610944,-0.049134,0.015421,-0.005901
35281,9.733521,1.445876,0.630947,-0.048890,0.018279,-0.002005
35282,9.762210,1.459658,0.677164,-0.051267,0.007813,-0.000173
35283,9.809877,1.433080,0.682761,-0.055684,0.005249,0.000441
35284,9.785496,1.434365,0.686403,-0.052257,0.015676,-0.002518
35285,9.719982,1.485750,0.755510,-0.052723,0.015735,-0.013455
35286,9.760120,1.476237,0.654238,-0.058575,0.017378,-0.023325
35287,9.802016,1.413397,0.623271,-0.075866,0.027540,-0.024248
35288,9.770167,1.331814,0.606586,-0.079788,0.036410,-0.018962
35289,9.749780,1.350438,0.658797,-0.060485,0.031502,-0.025548
35290,9.747064,1.344852,0.639104,-0.049719,0.022622,-0.024559
35291,9.720078,1.341078,0.620352,-0.035843,0.017233,-0.029740
35292,9.722637,1.374547,0.637434,-0.022851,0.010647,-0.029218
35293,9.720038,1.369481,0.615109,-0.017546,-0.000762,-0.026497
35294,9.775172,1.453531,0.634951,-0.015050,0.006429,-0.023390
35295,9.728330,1.466324,0.663004,-0.028004,0.015074,-0.024247
35296,9.801586,1.487324,0.651960,-0.065443,0.013504,-0.028990
35297,9.715701,1.409364,0.560070,-0.075848,0.021958,-0.021167
35298,9.671045,1.428972,0.612472,-0.065014,0.011415,-0.017731
35299,9.670419,1.368548,0.660206,-0.053259,0.004113,-0.020327
35300,9.719298,1.328303,0.695822,-0.042259,-0.001968,-0.015432
35301,9.745563,1.335766,0.717289,-0.023773,-0.004012,-0.016966
35302,9.721285,1.400891,0.673098,-0.021709,-0.000425,-0.022002
35303,9.746805,1.448228,0.656606,-0.028524,0.005432,-0.031408
35304,9.768403,1.442290,0.633330,-0.037132,0.018334,-0.035301
35305,9.715447,1.394376,0.631485,-0.050225,0.018817,-0.034836
35306,9.735459,1.342253,0.624016,-0.041666,0.013359,-0.036506
35307,9.756319,1.313483,0.608062,-0.022139,0.005501,-0.036058
35308,9.761440,1.316335,0.685366,-0.001565,-0.002419,-0.036737
35309,9.788920,1.372693,0.690724,0.012255,-0.011894,-0.041265
35310,9.834915,1.366742,0.662556,0.019738,-0.013580,-0.044585
35311,9.843534,1.425048,0.746064,0.029347,-0.007566,-0.053595
35312,9.846229,1.485010,0.753710,0.027093,0.011139,-0.065236
35313,9.845049,1.491965,0.755387,0.005240,0.027829,-0.073566
35314,9.831961,1.414328,0.658249,-0.018038,0.035770,-0.058570
35315,9.721213,1.317690,0.576164,-0.001450,0.034661,-0.053597
35316,9.693292,1.355183,0.518636,0.012564,0.012403,-0.047329
35317,9.698105,1.421095,0.550083,0.020191,0.001632,-0.042635
35318,9.727271,1.485342,0.579214,0.010488,0.000992,-0.038861
35319,9.755871,1.464231,0.662553,-0.004685,0.009350,-0.039587
35320,9.747780,1.398570,0.610634,-0.023604,0.031360,-0.031408
35321,9.719497,1.348937,0.607970,-0.021480,0.033316,-0.033993
35322,9.718301,1.328484,0.618594,0.007256,0.026450,-0.023102
35323,9.719111,1.377237,0.605089,0.024476,0.013900,-0.023968
35324,9.721934,1.433862,0.613823,0.038533,0.013065,-0.027671
35325,9.751806,1.458436,0.682260,0.042846,0.015298,-0.030386
35326,9.753223,1.469442,0.706525,0.037322,0.020211,-0.034237
35327,9.774303,1.440982,0.690897,0.035254,0.022380,-0.032315
35328,9.798013,1.443146,0.690877,0.044097,0.023877,-0.030713
35329,9.822058,1.530696,0.636875,0.054745,0.022091,-0.037403
35330,9.996461,1.650207,0.611238,0.056835,0.027791,-0.042777
35331,10.145577,1.748599,0.597898,0.073946,0.083483,-0.051331
35332,10.022374,1.985962,0.825863,0.083771,0.146951,-0.082755
35333,9.959874,2.015369,1.046444,0.039191,0.186404,-0.124682
35334,10.121326,1.922270,1.061611,0.007098,0.189486,-0.167772
35335,10.261359,1.996975,1.026268,0.053357,0.219336,-0.205965
