// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
21696,9.744374,-1.894100,1.199174,0.084027,-0.003374,-0.108150
21697,9.713045,-1.914238,1.170762,0.030173,-0.001626,-0.115068
21698,9.680115,-1.919569,1.208874,-0.004106,-0.004624,-0.119220
21699,9.676462,-1.920546,1.227792,-0.055002,-0.010729,-0.121304
21700,9.633661,-1.901831,1.186973,-0.099293,-0.011369,-0.124554
21701,9.616438,-1.785165,1.212533,-0.148259,-0.018280,-0.124376
21702,9.560655,-1.785279,1.243130,-0.202553,-0.026389,-0.118189
21703,9.565422,-1.736123,1.350779,-0.262411,-0.037636,-0.106580
21704,9.551816,-1.846639,1.383924,-0.319442,-0.036432,-0.094371
21705,9.544086,-1.947036,1.395429,-0.340521,-0.040524,-0.072363
21706,9.559025,-1.991768,1.359647,-0.345415,-0.036526,-0.064666
21707,9.535750,-1.970038,1.414872,-0.349253,-0.035781,-0.048706
21708,9.541631,-2.010107,1.500776,-0.384562,-0.019991,-0.040153
21709,9.486017,-2.278200,1.453271,-0.403402,-0.005822,-0.027101
21710,9.392971,-2.486609,1.463704,-0.337899,0.009398,-0.020902
21711,9.455833,-2.635193,1.379723,-0.254432,-0.005189,-0.006363
21712,9.503804,-2.482271,1.400306,-0.158850,0.014733,-0.018923
21713,9.419432,-2.518096,1.350051,-0.136334,0.023991,-0.012813
21714,9.444972,-2.603798,1.330310,-0.075246,0.016198,-0.016605
21715,9.477489,-2.681280,1.257920,0.008672,0.009011,-0.018149
21716,9.511957,-2.653894,1.256506,0.101315,0.005873,-0.021060
21717,9.498809,-2.538240,1.239501,0.169074,-0.003096,-0.024606
21718,9.556646,-2.516201,1.242349,0.224423,-0.006325,-0.021719
21719,9.546817,-2.483740,1.172325,0.294538,-0.013484,-0.024419
21720,9.561984,-2.353853,1.173328,0.347105,-0.016253,-0.029591
21721,9.601306,-2.237171,1.141793,0.372675,-0.029035,-0.031128
21722,9.600837,-2.158004,1.132848,0.376330,-0.034811,-0.032469
21723,9.617757,-2.098838,1.144887,0.395069,-0.045543,-0.031648
21724,9.582554,-2.037349,1.171820,0.394319,-0.049976,-0.032947
21725,9.560695,-2.022011,1.172707,0.402595,-0.056450,-0.036311
21726,9.568748,-2.008649,1.120977,0.405164,-0.067846,-0.034800
21727,9.576002,-1.988347,1.102242,0.411249,-0.071690,-0.035267
21728,9.589012,-1.955897,1.062709,0.412457,-0.076831,-0.034268
21729,9.606920,-1.904317,1.035537,0.399304,-0.083845,-0.028273
21730,9.620828,-1.937094,1.043873,0.385972,-0.092682,-0.022816
21731,9.547627,-1.929075,1.022564,0.376555,-0.094154,-0.023974
21732,9.538317,-1.955524,1.027722,0.363898,-0.102931,-0.012736
21733,9.611778,-1.873171,1.060207,0.337513,-0.110062,-0.010196
21734,9.608067,-1.888883,1.043053,0.309785,-0.103942,-0.009713
21735,9.597506,-1.900494,1.113395,0.283783,-0.104874,-0.000855
21736,9.552248,-1.883053,1.103922,0.258048,-0.108983,0.000337
21737,9.525053,-1.893738,1.083401,0.239450,-0.106439,0.008532
21738,9.595304,-1.905048,1.117354,0.216339,-0.109412,0.008013
21739,9.564864,-2.007950,1.102039,0.211484,-0.106718,0.015165
21740,9.560981,-2.036173,1.050001,0.215409,-0.109295,0.017105
21741,9.579147,-2.045759,1.100176,0.217704,-0.112065,0.024514
21742,9.616325,-2.109734,1.039640,0.217086,-0.115027,0.025966
21743,9.640214,-2.117101,1.035327,0.227087,-0.115997,0.025469
21744,9.705180,-2.150122,1.056138,0.231272,-0.117835,0.025378
