// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
47667,,9.912853,-0.546606,1.384730,-0.196681,-0.068274,-0.028745,-17.576476,-81.623551,-20.339663
47668,,9.936087,-0.582282,1.376039,-0.190623,-0.060293,-0.031332,-17.640355,-81.661909,-20.385490
47669,,9.914856,-0.545811,1.370635,-0.181670,-0.053650,-0.030164,-17.698127,-81.696381,-20.432352
47670,,9.908482,-0.565632,1.353573,-0.175876,-0.052822,-0.035760,-17.728107,-81.731444,-20.503888
47671,,9.865049,-0.525787,1.359250,-0.164326,-0.046502,-0.038634,-17.739156,-81.763409,-20.587992
47672,,9.887968,-0.526516,1.343853,-0.160072,-0.043936,-0.041502,-17.727173,-81.794629,-20.692766
47673,,9.881412,-0.545259,1.328408,-0.145326,-0.031814,-0.037518,-17.717271,-81.818267,-20.787109
47674,,9.874778,-0.563577,1.313698,-0.136523,-0.029275,-0.046253,-17.655119,-81.842298,-20.928921
47675,,9.860372,-0.504044,1.323105,-0.129795,-0.021871,-0.050957,-17.579706,-81.862765,-21.080594
47676,,9.905263,-0.538720,1.308769,-0.120793,-0.014727,-0.055611,-17.453954,-81.880402,-21.277534
47677,,9.890649,-0.478248,1.319771,-0.114768,-0.009279,-0.057055,-17.337132,-81.894976,-21.462462
47678,,9.861839,-0.522741,1.266310,-0.114222,-0.002172,-0.058136,-17.181651,-81.906047,-21.685612
47679,,9.861969,-0.487922,1.317233,-0.109534,0.002411,-0.060031,-17.042674,-81.914886,-21.890020
47680,,9.877097,-0.506219,1.295901,-0.105867,0.005575,-0.060537,-16.863115,-81.921944,-22.132646
47681,,9.862328,-0.475306,1.257626,-0.096007,0.009060,-0.064616,-16.698023,-81.927837,-22.355749
47682,,9.862471,-0.470101,1.258464,-0.094124,0.017040,-0.065199,-16.479842,-81.929146,-22.630581
47683,,9.840464,-0.462612,1.269824,-0.089600,0.016525,-0.065168,-16.308179,-81.931672,-22.856774
47684,,9.825852,-0.464926,1.240983,-0.090700,0.022787,-0.062554,-16.091701,-81.929134,-23.127904
47685,,9.855862,-0.508269,1.260114,-0.082811,0.026529,-0.070784,-15.891316,-81.927676,-23.379322
47686,,9.782382,-0.512811,1.221981,-0.068688,0.029541,-0.070606,-15.623854,-81.922372,-23.689213
47687,,9.761146,-0.571680,1.250478,-0.055439,0.026004,-0.071277,-15.422590,-81.921957,-23.926072
47688,,9.745713,-0.505441,1.206514,-0.038408,0.028196,-0.073309,-15.129224,-81.917441,-24.244607
47689,,9.781988,-0.459781,1.221367,-0.027028,0.026922,-0.073104,-14.925485,-81.917526,-24.467959
47690,,9.738220,-0.478624,1.192651,-0.021314,0.032955,-0.076308,-14.606265,-81.910412,-24.802721
47691,,9.767868,-0.486612,1.204785,-0.009612,0.031132,-0.074240,-14.395817,-81.909522,-25.022986
47692,,9.789980,-0.481679,1.197709,0.000531,0.031007,-0.069452,-14.093581,-81.902093,-25.327959
47693,,9.789387,-0.441329,1.192712,0.004062,0.029075,-0.067999,-13.913857,-81.902733,-25.509843
47694,,9.774184,-0.412192,1.216640,0.003906,0.023965,-0.066122,-13.630096,-81.898410,-25.794215
47695,,9.781737,-0.418855,1.237985,0.005089,0.019729,-0.063764,-13.493650,-81.905750,-25.932224
47696,,9.774829,-0.433226,1.228583,0.008948,0.017243,-0.060444,-13.235652,-81.904145,-26.187657
47697,,9.745151,-0.412343,1.221175,0.023655,0.016636,-0.055535,-13.147119,-81.914714,-26.267332
47698,,9.736877,-0.363439,1.255137,0.032929,0.010520,-0.057596,-12.892529,-81.916296,-26.505437
47699,,9.721689,-0.335272,1.277457,0.034210,0.008298,-0.050175,-12.817567,-81.931160,-26.564951
47700,,9.772992,-0.313118,1.269299,0.024925,0.004720,-0.054492,-12.584383,-81.935406,-26.786062
47701,,9.708148,-0.365424,1.256279,0.022961,0.004412,-0.052696,-12.495052,-81.952259,-26.865414
47702,,9.745040,-0.351074,1.217292,0.023536,0.000748,-0.048032,-12.290819,-81.957747,-27.058077
47703,,9.746702,-0.413168,1.233350,0.032260,-0.002233,-0.048755,-12.235140,-81.977154,-27.096931
47704,,9.760624,-0.366886,1.255603,0.041694,-0.003765,-0.046712,-12.028924,-81.984923,-27.281047
47705,,9.760876,-0.361760,1.255134,0.050351,-0.009297,-0.046486,-11.961093,-82.008506,-27.322855
47706,,9.804582,-0.330265,1.286071,0.056619,-0.006902,-0.045027,-11.754704,-82.017716,-27.498494
47707,,9.812540,-0.334881,1.245082,0.052701,-0.007520,-0.041416,-11.684163,-82.036479,-27.540059
47708,,9.827238,-0.322108,1.274833,0.056830,-0.009471,-0.048267,-11.465790,-82.047388,-27.727654
47709,,9.819871,-0.303926,1.254790,0.052913,-0.010089,-0.044654,-11.399630,-82.070687,-27.764700
47710,,9.812403,-0.289391,1.294406,0.046395,-0.009914,-0.042946,-11.207831,-82.081124,-27.931466
47711,,9.820391,-0.294184,1.253040,0.041444,-0.011434,-0.043958,-11.113000,-82.099528,-28.000766
47712,,9.813898,-0.310051,1.240802,0.041377,-0.013987,-0.043012,-10.925836,-82.112138,-28.165707
47713,,9.769841,-0.301897,1.259851,0.035961,-0.010358,-0.037622,-10.869914,-82.135123,-28.203545
47714,,9.734363,-0.336978,1.247089,0.031805,-0.004795,-0.043806,-10.676600,-82.142509,-28.380230
47715,,9.728747,-0.386826,1.243706,0.042221,-0.007945,-0.036180,-10.671157,-82.167889,-28.363001
47716,,9.734795,-0.328486,1.245985,0.041886,-0.007396,-0.038059,-10.496890,-82.176106,-28.514589
47717,,9.751367,-0.380453,1.232613,0.043922,-0.005054,-0.034831,-10.485531,-82.197733,-28.499750
47718,,9.729396,-0.374577,1.242371,0.045863,-0.004743,-0.036669,-10.311810,-82.204246,-28.648430
47719,,9.715105,-0.381569,1.271615,0.049229,-0.001516,-0.032970,-10.259483,-82.218798,-28.676512
47720,,9.737412,-0.379840,1.261550,0.053815,-0.002507,-0.026869,-10.119611,-82.222999,-28.786445
47721,,9.767439,-0.391092,1.270688,0.061583,-0.004335,-0.027192,-10.129691,-82.240238,-28.736237
47722,,9.758858,-0.344514,1.302563,0.070389,-0.005246,-0.022884,-9.997996,-82.245514,-28.828255
47723,,9.736837,-0.336531,1.252736,0.074981,-0.003164,-0.023796,-9.995267,-82.262418,-28.795428
47724,,9.736934,-0.333443,1.252812,0.072458,-0.000343,-0.020663,-9.867871,-82.264674,-28.881965
47725,,9.787022,-0.282839,1.295071,0.074668,-0.003127,-0.019678,-9.874239,-82.278592,-28.838245
47726,,9.772646,-0.288137,1.264960,0.075801,0.002898,-0.017010,-9.757658,-82.278624,-28.911973
47727,,9.742783,-0.270809,1.255975,0.074694,-0.000574,-0.020697,-9.767209,-82.292294,-28.866806
47728,,9.809330,-0.276160,1.285794,0.072789,0.001670,-0.019862,-9.641520,-82.293303,-28.951514
47729,,9.772759,-0.282350,1.325661,0.066286,0.001832,-0.018123,-9.661566,-82.305502,-28.901564
47730,,9.819262,-0.350375,1.322789,0.058079,-0.000903,-0.017738,-9.555114,-82.307755,-28.975422
47731,,9.858060,-0.405780,1.300491,0.050921,0.000336,-0.019728,-9.598957,-82.319583,-28.901633
47732,,9.897913,-0.497192,1.346780,0.056222,0.003891,-0.017885,-9.489748,-82.319203,-28.979307
47733,,9.927816,-0.509394,1.357089,0.068433,0.008803,-0.010881,-9.542194,-82.323721,-28.893774
47734,,9.944241,-0.565880,1.406371,0.079746,0.020428,-0.011459,-9.434925,-82.313367,-28.955928
47735,,9.980415,-0.559943,1.489723,0.094506,0.037365,-0.003309,-9.461060,-82.293715,-28.881751
47736,,10.092698,-0.637212,1.521877,0.112233,0.055551,0.007603,-9.390846,-82.261695,-28.887793
47737,,10.079248,-0.711359,1.517453,0.147925,0.095394,0.012164,-9.469081,-82.209683,-28.737921
47738,,9.951040,-0.675219,1.541138,0.212078,0.133830,0.011393,-9.305207,-82.133153,-28.780873
47739,,9.854063,-0.458847,1.425829,0.316095,0.183838,-0.017770,-9.129669,-82.030645,-28.786852
47740,,9.591339,0.032303,1.608435,0.388129,0.191566,-0.048422,-8.595076,-81.926722,-29.102417
47741,,9.684285,0.387731,1.954819,0.335636,0.173611,-0.078389,-8.149680,-81.830532,-29.362020
47742,,9.970298,0.232773,2.240538,0.224357,0.212123,-0.071109,-7.629126,-81.716031,-29.758397
47743,,10.012791,-0.336329,2.372402,0.140870,0.285089,-0.027095,-7.407216,-81.548567,-29.906510
47744,,9.959703,-1.071789,2.268565,0.142140,0.339947,0.028502,-7.270094,-81.353534,-29.963104
47745,,9.878065,-1.678591,2.203269,0.177823,0.375930,0.078019,-7.441345,-81.122624,-29.706843
47746,,9.779720,-2.299201,2.172042,0.240633,0.384067,0.123709,-7.568725,-80.895524,-29.438684
47747,,9.565255,-2.643896,1.937365,0.380312,0.383489,0.178525,-8.022589,-80.641477,-28.772208
47748,,9.426853,-2.738811,1.831873,0.552269,0.377266,0.246975,-8.363814,-80.407726,-28.105897
47749,,9.389063,-2.718860,1.883003,0.665588,0.368098,0.322234,-9.120917,-80.133450,-26.956252
47750,,9.532135,-2.614575,2.102614,0.715934,0.389794,0.398754,-9.783967,-79.875871,-25.866948
47751,,9.665285,-2.503015,2.305630,0.743525,0.434840,0.463497,-10.870974,-79.537292,-24.346512
47752,,9.677623,-2.493815,2.380162,0.768796,0.489347,0.536780,-11.746390,-79.202089,-23.008235
47753,,9.734506,-2.596261,2.415431,0.810336,0.528777,0.604193,-13.065821,-78.780623,-21.222707
47754,,9.757769,-2.781642,2.339325,0.892260,0.564665,0.681551,-14.059457,-78.374390,-19.688156
47755,,9.810705,-2.899825,2.330493,0.985050,0.586702,0.748945,-15.340712,-77.872947,-17.788353
47756,,9.875261,-2.949658,2.335354,1.082425,0.595613,0.830572,-16.384033,-77.414068,-16.086110
47757,,9.938869,-2.873623,2.356642,1.169892,0.611922,0.898286,-17.670849,-76.850553,-14.054071
47758,,10.040042,-2.771295,2.471343,1.239235,0.635275,0.963484,-18.682427,-76.331555,-12.284979
47759,,10.020219,-2.742191,2.584700,1.277535,0.665207,1.021318,-19.820157,-75.691619,-10.272114
47760,,9.963341,-2.722857,2.677845,1.299692,0.698046,1.075663,-20.757217,-75.101273,-8.534986
47761,,9.905546,-2.774138,2.659849,1.324902,0.719134,1.125397,-21.812223,-74.389903,-6.559990
47762,,9.936516,-2.812751,2.580379,1.353527,0.735383,1.174726,-22.653945,-73.743247,-4.878926
47763,,9.926645,-2.816836,2.502338,1.388318,0.732848,1.218226,-23.694889,-72.990299,-2.915022
47764,,9.954925,-2.790245,2.513621,1.432731,0.727813,1.254995,-24.424383,-72.314204,-1.291610
47765,,9.927050,-2.693716,2.615981,1.461215,0.729326,1.282141,-25.378146,-71.536139,0.573725
47766,,9.845562,-2.563586,2.762586,1.449253,0.742022,1.310998,-25.986564,-70.825321,2.092878
47767,,9.748264,-2.476424,2.890323,1.404228,0.751140,1.338789,-26.846904,-70.009812,3.822815
47768,,9.716834,-2.573054,2.889598,1.356900,0.758835,1.368010,-27.408403,-69.263384,5.250112
47769,,9.673838,-2.521458,2.941908,1.312976,0.752291,1.416911,-28.229051,-68.415429,6.898322
47770,,9.564081,-2.440857,2.980701,1.252770,0.742417,1.440065,-28.799259,-67.645750,8.286242
47771,,9.422168,-2.315283,3.003640,1.170777,0.722483,1.453218,-29.584785,-66.792973,9.827084
47772,,9.302249,-2.082311,2.996968,1.051560,0.701769,1.463023,-30.182397,-66.024737,11.135697
47773,,9.192221,-2.222116,2.999496,0.902496,0.689903,1.464266,-30.989700,-65.176911,12.552075
47774,,9.036734,-2.239195,3.034895,0.764293,0.670668,1.469486,-31.650432,-64.409081,13.765376
47775,,8.928918,-2.297581,3.125958,0.618405,0.639389,1.469483,-32.509637,-63.576492,15.078690
47776,,8.747566,-2.168020,3.186084,0.472977,0.604017,1.456984,-33.250045,-62.830837,16.210781
47777,,8.549824,-2.379918,3.171793,0.331364,0.574880,1.422938,-34.137185,-62.035281,17.390211
47778,,8.367210,-2.864522,2.952820,0.256275,0.534284,1.387377,-34.879751,-61.330939,18.399499
47779,,8.329542,-3.172444,2.724842,0.265858,0.492285,1.376227,-35.705942,-60.581312,19.483777
47780,,8.257017,-3.172089,2.624209,0.306242,0.458705,1.383010,-36.376503,-59.900897,20.457298
47781,,8.221616,-2.911205,2.687299,0.314877,0.420959,1.392342,-37.144397,-59.172187,21.521101
47782,,8.281689,-2.660762,3.020800,0.255962,0.370482,1.386303,-37.822735,-58.518782,22.484084
47783,,8.449541,-2.695227,3.256807,0.168605,0.329644,1.363683,-38.624003,-57.835667,23.504740
47784,,8.639113,-2.845345,3.286920,0.105824,0.300484,1.329105,-39.319825,-57.221331,24.400310
47785,,8.652623,-3.008149,3.128809,0.104127,0.274431,1.295261,-40.067549,-56.581870,25.329546
47786,,8.466896,-3.104587,2.923899,0.124558,0.253953,1.252284,-40.670809,-56.004812,26.139422
47787,,8.363427,-3.156205,2.930330,0.164129,0.196989,1.204341,-41.310563,-55.429992,26.993433
47788,,8.426822,-3.006720,3.139650,0.198501,0.145223,1.162275,-41.830273,-54.924464,27.763957
47789,,8.464584,-2.733550,3.345566,0.208388,0.099532,1.107188,-42.393027,-54.427003,28.566678
47790,,8.487246,-2.640134,3.478293,0.204784,0.071812,1.044682,-42.844679,-53.990081,29.267019
47791,,8.490629,-2.607577,3.567386,0.207750,0.062893,0.997038,-43.323529,-53.551469,29.977706
47792,,8.321994,-2.707146,3.612282,0.183777,0.065475,0.960348,-43.716571,-53.144065,30.597737
47793,,8.167985,-2.803772,3.506386,0.169470,0.049680,0.933311,-44.155220,-52.737696,31.241992
47794,,8.052776,-2.882805,3.354279,0.185026,0.014345,0.902347,-44.521470,-52.369227,31.835700
47795,,8.090902,-2.890383,3.202083,0.223923,-0.017151,0.853785,-44.894935,-52.023697,32.446208
47796,,8.135654,-2.906409,3.196559,0.253909,-0.038432,0.793817,-45.175786,-51.716232,32.987040
47797,,8.221405,-3.006093,3.375932,0.250269,-0.032020,0.741981,-45.465126,-51.425379,33.516812
47798,,8.227739,-2.976198,3.600148,0.216889,-0.018444,0.705213,-45.700141,-51.142986,33.976119
47799,,8.153309,-2.843244,3.737077,0.183866,-0.013198,0.669683,-45.965649,-50.877743,34.433016
47800,,8.164964,-2.804797,3.584780,0.160976,-0.033034,0.626516,-46.192067,-50.631154,34.843306
47801,,8.147458,-2.871274,3.430746,0.157504,-0.062735,0.582801,-46.440629,-50.425125,35.265170
47802,,8.238927,-3.106888,3.275401,0.149276,-0.086557,0.544348,-46.654335,-50.231695,35.652754
47803,,8.259896,-3.289696,3.298042,0.145879,-0.083446,0.508558,-46.874774,-50.068884,36.033707
47804,,8.229946,-3.396766,3.480538,0.123180,-0.075949,0.481594,-47.063574,-49.895779,36.371208
47805,,8.296718,-3.408814,3.738716,0.085834,-0.081537,0.457505,-47.286688,-49.757109,36.713743
47806,,8.314981,-3.344861,3.780934,0.078259,-0.080274,0.421564,-47.471739,-49.609451,37.014062
47807,,8.347214,-3.322952,3.690629,0.091755,-0.087833,0.376852,-47.650511,-49.510110,37.306261
47808,,8.278176,-3.296883,3.590691,0.089667,-0.093431,0.329434,-47.791176,-49.405433,37.557784
47809,,8.206900,-3.276453,3.536885,0.071002,-0.121883,0.295660,-47.956764,-49.357087,37.819671
47810,,8.163348,-3.252847,3.383554,0.060774,-0.138396,0.260214,-48.103868,-49.298254,38.058352
47811,,8.227045,-3.309747,3.397522,0.068928,-0.147363,0.225215,-48.248282,-49.293095,38.292627
47812,,8.272630,-3.384868,3.430639,0.069110,-0.144474,0.187176,-48.360654,-49.267095,38.491957
47813,,8.254787,-3.378975,3.422691,0.079007,-0.149240,0.149393,-48.464354,-49.298514,38.681423
47814,,8.275645,-3.229532,3.417851,0.089952,-0.162766,0.101139,-48.535962,-49.315949,38.842662
47815,,8.327885,-3.021664,3.497992,0.080228,-0.186213,0.050577,-48.611962,-49.407238,38.997648
47816,,8.489417,-2.893783,3.743488,0.044900,-0.192133,0.002671,-48.681216,-49.477886,39.121491
47817,,8.524365,-2.841182,3.838652,-0.018593,-0.181066,-0.049381,-48.763743,-49.613995,39.212614
47818,,8.525570,-2.854854,3.918174,-0.086625,-0.166665,-0.081608,-48.858941,-49.711157,39.271230
47819,,8.584375,-2.941360,3.912751,-0.162985,-0.163572,-0.118576,-48.980112,-49.873925,39.307326
47820,,8.605005,-3.039147,3.974487,-0.216653,-0.165075,-0.169158,-49.110793,-50.008237,39.314731
47821,,8.674116,-3.104242,3.868669,-0.251233,-0.174196,-0.212380,-49.242001,-50.218440,39.300578
47822,,8.817756,-3.015468,3.993989,-0.245432,-0.170811,-0.266689,-49.349031,-50.397254,39.255786
47823,,8.866794,-2.728309,4.026115,-0.268532,-0.151802,-0.331872,-49.420153,-50.653741,39.153502
47824,,8.540407,-2.526145,3.693660,-0.294268,-0.167108,-0.395207,-49.494597,-50.887235,39.030823
47825,,8.522479,-2.465553,3.401020,-0.286740,-0.204116,-0.449892,-49.543480,-51.217691,38.890222
47826,,8.631587,-2.508575,3.316724,-0.288292,-0.208338,-0.522613,-49.576196,-51.522227,38.719551
47827,,8.610257,-2.353199,3.412604,-0.277108,-0.211834,-0.616294,-49.538772,-51.931291,38.479377
47828,,8.558830,-2.028577,3.415655,-0.242628,-0.227774,-0.754927,-49.440771,-52.344154,38.178076
47829,,8.675991,-1.683817,3.153697,-0.210586,-0.269212,-0.895173,-49.248184,-52.898203,37.795969
47830,,8.794458,-1.546931,2.941794,-0.200711,-0.316616,-1.016685,-49.034045,-53.456692,37.383742
47831,,8.890146,-1.450789,2.888403,-0.219641,-0.354543,-1.121713,-48.755618,-54.142751,36.897121
47832,,8.990778,-1.461385,2.881751,-0.265175,-0.365075,-1.214873,-48.479258,-54.802544,36.369827
47833,,9.097333,-1.551778,2.952824,-0.312720,-0.381110,-1.296041,-48.138850,-55.574121,35.753233
47834,,9.220514,-1.779177,3.039348,-0.321885,-0.368720,-1.367547,-47.775355,-56.296736,35.090820
47835,,9.472788,-2.041474,3.292128,-0.330103,-0.330468,-1.436851,-47.278676,-57.105933,34.288042
47836,,9.442564,-2.443993,3.434717,-0.328715,-0.262013,-1.489137,-46.722669,-57.831551,33.404209
47837,,9.203233,-2.685129,3.391927,-0.261804,-0.232370,-1.532242,-45.988764,-58.632886,32.383444
47838,,9.169245,-2.701600,3.353588,-0.152167,-0.250683,-1.579135,-45.188194,-59.378902,31.346896
47839,,9.425365,-2.543303,3.403362,-0.047986,-0.262597,-1.609097,-44.202587,-60.206351,30.193868
47840,,9.617890,-2.416644,3.443952,0.011371,-0.266730,-1.644621,-43.169774,-60.966845,29.014811
47841,,9.837075,-2.234577,3.468348,0.045605,-0.289321,-1.675715,-41.974278,-61.808144,27.702363
47842,,10.066917,-2.181879,3.407200,0.061313,-0.289539,-1.712555,-40.745230,-62.580080,26.351731
47843,,10.120217,-2.186954,3.236360,0.093419,-0.285775,-1.736518,-39.313178,-63.412548,24.824411
47844,,10.070967,-2.196739,3.144773,0.129161,-0.285988,-1.752577,-37.846532,-64.165777,23.271331
47845,,10.087330,-2.173381,3.133568,0.165085,-0.299508,-1.758434,-36.175750,-64.973422,21.545737
47846,,9.973608,-2.058294,3.050337,0.176295,-0.312796,-1.765565,-34.497087,-65.703514,19.808941
47847,,9.945274,-1.932952,2.938288,0.188502,-0.339516,-1.774773,-32.606622,-66.487933,17.878495
