// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
49879,,9.819210,-0.039153,0.497189,-0.013836,0.011296,-0.011525,3.039476,-87.151073,-39.677327
49880,,9.878748,-0.024478,0.466236,-0.013594,0.011922,-0.009828,3.134081,-87.143935,-39.779855
49881,,9.902473,-0.031904,0.433752,-0.007332,0.015957,-0.017278,3.317369,-87.134250,-39.967578
49882,,9.914423,0.000646,0.470909,-0.014371,0.014670,-0.012253,3.431025,-87.125657,-40.089641
49883,,9.907064,-0.014147,0.489150,-0.022655,0.017032,-0.019539,3.628239,-87.115228,-40.300101
49884,,9.895006,-0.043517,0.454907,-0.022487,0.011638,-0.018124,3.799597,-87.108240,-40.484610
49885,,9.902917,-0.083948,0.489974,-0.018917,0.010822,-0.015346,3.953935,-87.101459,-40.649998
49886,,9.850554,-0.079935,0.506397,-0.015460,0.010771,-0.016663,4.095968,-87.095257,-40.801155
49887,,9.826017,-0.011486,0.490558,-0.017103,0.008098,-0.015299,4.251658,-87.089991,-40.966858
49888,,9.790201,-0.032270,0.489459,-0.022426,0.007003,-0.020813,4.422380,-87.085765,-41.150782
49889,,9.812695,-0.039835,0.490854,-0.032664,0.008535,-0.019272,4.612130,-87.080020,-41.359517
49890,,9.807994,-0.052995,0.439396,-0.034602,0.009861,-0.016934,4.712645,-87.074432,-41.480171
49891,,9.815946,-0.093503,0.474145,-0.023216,0.007593,-0.016754,4.879239,-87.069294,-41.660302
49892,,9.817234,-0.091198,0.440437,-0.015824,0.008750,-0.015979,4.953032,-87.065042,-41.743500
49893,,9.823170,-0.074209,0.459078,-0.012496,0.007312,-0.014897,5.104418,-87.060120,-41.902254
49894,,9.823140,-0.072970,0.459915,-0.012922,0.009921,-0.011523,5.096569,-87.056282,-41.902119
49895,,9.851588,-0.065700,0.479362,-0.010741,0.009218,-0.012167,5.216069,-87.050396,-42.027939
49896,,9.845600,-0.080014,0.462522,-0.009098,0.011891,-0.013531,5.201910,-87.045920,-42.019353
49897,,9.874037,-0.072605,0.482138,-0.005770,0.010454,-0.012448,5.325437,-87.039302,-42.146354
49898,,9.881265,-0.055106,0.466548,-0.003349,0.010377,-0.011390,5.264966,-87.036607,-42.088367
49899,,9.875291,-0.069206,0.449668,-0.001516,0.009817,-0.017832,5.450180,-87.030052,-42.274704
49900,,9.879852,-0.052815,0.502969,-0.000370,0.009083,-0.016105,5.415613,-87.028512,-42.240808
49901,,9.845422,-0.072940,0.467454,-0.000370,0.009082,-0.016106,5.582555,-87.022448,-42.408190
49902,,9.848826,-0.128016,0.449893,0.004362,0.009696,-0.018086,5.550006,-87.020794,-42.373510
49903,,9.856071,-0.109804,0.434205,0.012421,0.008876,-0.018980,5.755124,-87.014663,-42.571778
49904,,9.861966,-0.092623,0.452896,0.013675,0.007376,-0.013155,5.590198,-87.015789,-42.398888
49905,,9.810947,-0.088057,0.434295,0.018947,0.004616,-0.014414,5.753370,-87.012344,-42.551399
49906,,9.859818,-0.032136,0.438009,0.012164,0.006091,-0.014191,5.599588,-87.015179,-42.391053
49907,,9.829988,-0.037849,0.454528,0.009852,0.005401,-0.011153,5.721238,-87.011475,-42.507195
49908,,9.829971,-0.036816,0.454965,0.006028,0.003427,-0.009147,5.472027,-87.018273,-42.255175
49909,,9.828606,-0.036593,0.489698,0.006699,0.001442,-0.010822,5.592320,-87.016856,-42.371781
49910,,9.845257,-0.060462,0.472680,0.006936,0.002068,-0.009120,5.356253,-87.023421,-42.132504
49911,,9.852504,-0.043117,0.456329,0.009486,0.003384,-0.010459,5.472842,-87.020929,-42.243796
49912,,9.845237,-0.058385,0.473359,0.008578,0.004741,-0.010487,5.242398,-87.028373,-42.010546
49913,,9.851115,-0.041463,0.491635,0.009142,0.003519,-0.016263,5.422391,-87.025496,-42.185558
49914,,9.835800,-0.014280,0.474607,0.009013,0.002129,-0.013866,5.236109,-87.031595,-41.992334
49915,,9.853821,-0.037113,0.423309,0.009854,0.005398,-0.011159,5.357994,-87.027929,-42.108726
49916,,9.833429,-0.084172,0.439181,0.008342,0.004113,-0.012193,5.190165,-87.034282,-41.938133
49917,,9.846548,-0.050989,0.440787,0.010526,0.003412,-0.012835,5.333680,-87.031663,-42.075802
49918,,9.867737,-0.059716,0.476238,0.017313,0.001939,-0.013061,5.050040,-87.041279,-41.784016
49919,,9.890291,-0.067765,0.477262,0.014458,0.004623,-0.010745,5.171999,-87.038088,-41.897868
49920,,9.869073,-0.056729,0.442736,0.018992,0.008478,-0.007650,4.849239,-87.043870,-41.564006
49921,,9.863180,-0.071333,0.425541,0.014459,0.004621,-0.010748,4.970616,-87.040700,-41.677289
49922,,9.872629,-0.111398,0.425431,0.021247,0.003149,-0.010973,4.708449,-87.049366,-41.402004
49923,,9.854560,-0.086140,0.477201,0.020516,-0.000883,-0.009578,4.824882,-87.049410,-41.506861
49924,,9.831998,-0.075951,0.476552,0.025959,0.001616,-0.006457,4.470530,-87.059728,-41.134760
49925,,9.865405,-0.125224,0.442431,0.028486,0.000785,-0.001297,4.496427,-87.059220,-41.144387
49926,,9.910007,-0.202459,0.529376,0.035335,0.005326,-0.001252,4.295731,-87.067666,-40.928414
49927,,9.994364,-0.384801,0.495246,0.055763,0.006920,-0.001663,4.336163,-87.063631,-40.936980
49928,,10.098516,-0.577791,0.531420,0.081639,0.011007,0.001032,3.900109,-87.067548,-40.455870
49929,,10.175631,-0.775999,0.515359,0.127450,0.011532,-0.006893,4.036758,-87.060670,-40.519663
49930,,10.167579,-0.862476,0.463690,0.177703,0.003846,-0.012323,3.535365,-87.068286,-39.917456
49931,,10.301418,-0.930230,0.348474,0.244526,-0.012426,-0.010007,3.791227,-87.075006,-40.033471
49932,,10.512399,-0.937848,0.254248,0.312115,-0.016228,0.000171,3.050832,-87.092512,-39.106350
49933,,10.576953,-0.720718,0.207983,0.366949,-0.021998,0.019594,3.046720,-87.105692,-38.891740
49934,,10.510893,-0.549695,0.344617,0.410558,-0.026304,0.042786,1.841177,-87.136762,-37.454392
49935,,10.436728,-0.468801,0.427737,0.417301,-0.024371,0.062684,1.361619,-87.151709,-36.734884
49936,,10.315919,-0.500936,0.526412,0.409160,-0.020038,0.083768,-0.442622,-87.175750,-34.693804
49937,,10.173403,-0.656026,0.574084,0.422663,-0.016971,0.112477,-1.519734,-87.184342,-33.372938
49938,,10.001894,-0.819873,0.605230,0.425565,-0.012234,0.136934,-4.268791,-87.193259,-30.379875
49939,,9.858801,-1.109775,0.607404,0.461043,-0.001110,0.164249,-5.922272,-87.185484,-28.459943
49940,,9.711920,-1.289336,0.542625,0.512668,0.020082,0.203601,-9.447657,-87.151361,-24.632498
49941,,9.624775,-1.461607,0.415083,0.579157,0.035923,0.246097,-11.809707,-87.105045,-21.935184
49942,,9.590404,-1.623323,0.397571,0.652071,0.058667,0.305117,-16.462225,-87.008160,-16.898546
49943,,9.603603,-1.682231,0.330753,0.731980,0.074193,0.378602,-19.678648,-86.900275,-13.257531
49944,,9.738112,-1.762399,0.342255,0.785578,0.093799,0.450935,-24.982518,-86.708384,-7.490361
49945,,9.922202,-1.910593,0.397675,0.817635,0.111662,0.543797,-28.724199,-86.510291,-3.272715
49946,,9.877696,-2.022173,0.532504,0.833021,0.143643,0.640422,-33.864736,-86.195447,2.357557
49947,,9.975534,-1.943878,0.628186,0.833029,0.157743,0.742512,-37.611413,-85.873261,6.591838
49948,,10.251976,-1.875807,0.836573,0.798741,0.192468,0.834112,-41.993661,-85.421091,11.437300
49949,,10.466236,-1.940919,1.092116,0.760644,0.263274,0.934841,-44.940077,-84.942951,14.831763
49950,,10.627144,-2.193488,1.266536,0.718582,0.332672,1.044748,-48.084246,-84.307007,18.392203
49951,,10.750135,-2.524603,1.422685,0.703760,0.404618,1.154983,-50.127544,-83.655043,20.852580
49952,,10.716347,-2.682376,1.526994,0.688028,0.471805,1.271724,-52.324691,-82.804930,23.459218
49953,,10.740563,-2.982021,1.448539,0.678106,0.511209,1.384029,-53.754187,-81.995565,25.293765
49954,,10.821835,-3.044323,1.489054,0.689672,0.551588,1.481725,-55.141032,-81.028056,27.108062
49955,,11.072253,-2.922072,1.501810,0.681367,0.595744,1.562258,-56.095010,-80.097300,28.471540
49956,,11.257699,-2.665285,1.615812,0.655413,0.650657,1.630398,-56.938427,-79.044912,29.699724
49957,,11.440711,-2.406365,2.028082,0.575785,0.717184,1.705083,-57.509028,-78.002339,30.619409
49958,,11.427374,-2.339075,2.282266,0.452044,0.786337,1.787130,-58.062693,-76.818357,31.445745
49959,,11.353132,-2.276438,2.410196,0.323196,0.835346,1.860026,-58.499588,-75.662104,32.087171
49960,,11.193477,-2.428945,2.425111,0.199511,0.876509,1.945547,-58.928071,-74.415101,32.636874
49961,,11.099425,-2.488766,2.446743,0.090619,0.918858,2.023453,-59.362489,-73.152563,33.144469
49962,,11.125527,-2.621673,2.545271,-0.033004,0.962835,2.103864,-59.811065,-71.766495,33.600690
49963,,11.029429,-2.858098,2.580879,-0.150282,1.029179,2.169747,-60.215934,-70.398114,33.938879
49964,,10.918029,-3.326282,2.553126,-0.207293,1.091750,2.217176,-60.583996,-68.885270,34.204098
49965,,10.741758,-3.613722,2.560500,-0.184498,1.146779,2.271102,-60.844561,-67.432053,34.372186
49966,,10.583120,-4.049214,2.477259,-0.144928,1.188421,2.329263,-61.057178,-65.841650,34.514114
49967,,10.362564,-4.505916,2.483029,-0.069898,1.222015,2.386547,-61.195631,-64.309277,34.623918
49968,,10.327465,-4.671623,2.537606,-0.006843,1.250918,2.449451,-61.296454,-62.647124,34.733396
49969,,10.311945,-4.669708,2.533259,0.024203,1.276833,2.503662,-61.366287,-61.040643,34.829663
49970,,10.286072,-4.706983,2.679518,0.033653,1.289650,2.534294,-61.430091,-59.332602,34.926551
49971,,10.328327,-4.909608,2.676978,0.055781,1.316322,2.558395,-61.457985,-57.687667,34.998123
49972,,10.152992,-5.403477,2.631401,0.133018,1.336242,2.570197,-61.430416,-55.959410,35.057584
49973,,9.893942,-5.918118,2.656599,0.277118,1.340328,2.573730,-61.315742,-54.300215,35.112785
