// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
29162,,9.448448,-1.018873,2.826537,-0.017975,0.007619,-0.030036,-18.351352,-72.632590,-23.976131
29163,,9.488618,-0.963461,2.764281,-0.011359,0.004042,-0.028453,-18.305005,-72.635381,-24.032692
29164,,9.503158,-0.921193,2.788578,-0.013447,0.003819,-0.026802,-18.263880,-72.638121,-24.083852
29165,,9.470346,-0.968787,2.792162,-0.011182,0.003482,-0.026619,-18.216322,-72.640713,-24.145295
29166,,9.516358,-0.974069,2.777296,-0.011003,0.002921,-0.024781,-18.177801,-72.643557,-24.192258
29167,,9.509480,-0.975376,2.836676,-0.007603,0.000853,-0.023069,-18.139013,-72.647173,-24.240997
29168,,9.516752,-0.969595,2.777511,-0.003974,0.002988,-0.031904,-18.083978,-72.651228,-24.301041
29169,,9.516961,-0.966930,2.777726,-0.002120,0.002135,-0.025883,-18.034560,-72.654420,-24.360194
29170,,9.505769,-0.954469,2.817180,0.000149,-0.001326,-0.022828,-17.995399,-72.659187,-24.401132
29171,,9.513105,-0.932171,2.829373,0.004085,0.004295,-0.024199,-17.950816,-72.661350,-24.447881
29172,,9.478730,-0.932643,2.805554,0.002175,0.006632,-0.023575,-17.904659,-72.661892,-24.494930
29173,,9.501682,-0.934185,2.798670,0.003851,0.006341,-0.019391,-17.864504,-72.661790,-24.539922
29174,,9.508799,-0.912300,2.811401,-0.001639,0.008181,-0.019455,-17.826857,-72.660744,-24.580346
29175,,9.451410,-0.909788,2.795156,-0.007665,0.005457,-0.019303,-17.797283,-72.661455,-24.619230
29176,,9.485777,-0.905631,2.820183,-0.012075,0.010173,-0.014054,-17.773941,-72.658365,-24.650931
29177,,9.490066,-0.918048,2.840658,-0.011837,0.005004,-0.015997,-17.744110,-72.658227,-24.699625
29178,,9.480095,-0.970515,2.837101,-0.013032,0.011342,-0.013744,-17.721220,-72.654436,-24.731428
29179,,9.494074,-0.946045,2.790998,-0.009458,0.014965,-0.015929,-17.704342,-72.649541,-24.751025
29180,,9.486723,-0.964795,2.780191,-0.001519,0.012232,-0.013834,-17.674232,-72.645273,-24.783482
