// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
40066,,9.464278,-0.838265,2.791038,-0.002923,-0.039902,-0.072804,-16.231773,-73.393590,-13.272392
40067,,9.538107,-0.868731,2.714279,-0.003910,-0.035868,-0.064067,-16.134919,-73.423558,-13.375791
40068,,9.509223,-0.876655,2.736459,-0.001813,-0.039869,-0.063196,-16.039092,-73.455333,-13.477936
40069,,9.560940,-0.869612,2.700278,0.006223,-0.036443,-0.058820,-15.945750,-73.484691,-13.571583
40070,,9.577998,-0.917261,2.755602,0.019779,-0.033996,-0.060067,-15.837627,-73.512370,-13.675962
40071,,9.620527,-0.870481,2.707758,0.027925,-0.030800,-0.054120,-15.736965,-73.537787,-13.764249
40072,,9.613698,-0.807204,2.749857,0.023112,-0.026434,-0.051378,-15.634191,-73.559271,-13.865978
40073,,9.577692,-0.801780,2.727325,0.017058,-0.022118,-0.045263,-15.551267,-73.578449,-13.942244
40074,,9.595069,-0.802592,2.695324,0.016128,-0.025036,-0.045523,-15.462806,-73.597984,-14.033616
40075,,9.591336,-0.747710,2.760753,0.002148,-0.024401,-0.042192,-15.395002,-73.617892,-14.103010
40076,,9.574884,-0.756413,2.731565,-0.007053,-0.018775,-0.038781,-15.337920,-73.633259,-14.170053
40077,,9.553483,-0.824551,2.710986,-0.013367,-0.018554,-0.038013,-15.283576,-73.649263,-14.234672
40078,,9.566781,-0.867838,2.744689,-0.004331,-0.016984,-0.034013,-15.226201,-73.662174,-14.306072
40079,,9.594436,-0.843418,2.694178,0.007870,-0.014323,-0.033480,-15.165854,-73.675122,-14.364257
40080,,9.575300,-0.826964,2.699984,0.028659,-0.009146,-0.035251,-15.090475,-73.683528,-14.433737
40081,,9.510757,-0.861999,2.671407,0.042008,-0.004032,-0.031306,-15.009270,-73.690417,-14.493271
40082,,9.521692,-0.721654,2.711242,0.055046,-0.009970,-0.028728,-14.943729,-73.698333,-14.532717
40083,,9.546696,-0.671108,2.695276,0.044194,-0.012827,-0.031049,-14.866068,-73.710011,-14.587247
40084,,9.548230,-0.649100,2.751265,0.025255,-0.012178,-0.028749,-14.814060,-73.718939,-14.632164
40085,,9.595374,-0.637749,2.694275,0.001118,-0.013426,-0.024463,-14.773728,-73.729957,-14.673512
40086,,9.626161,-0.621721,2.666930,-0.024707,-0.013791,-0.023101,-14.753018,-73.738852,-14.717762
40087,,9.631248,-0.718866,2.686323,-0.038682,-0.013178,-0.019766,-14.744210,-73.749036,-14.750026
40088,,9.609745,-0.789537,2.666199,-0.033834,-0.012975,-0.020306,-14.742713,-73.757984,-14.770818
40089,,9.612709,-0.813578,2.630723,-0.023480,-0.016136,-0.020303,-14.725622,-73.769876,-14.802626
40090,,9.566816,-0.820553,2.684620,-0.007735,-0.022428,-0.021333,-14.713675,-73.787241,-14.821740
40091,,9.567633,-0.818190,2.682427,0.015477,-0.024081,-0.025890,-14.667485,-73.804351,-14.860598
40092,,9.534898,-0.821838,2.682992,0.037767,-0.028653,-0.030708,-14.624155,-73.823296,-14.885235
40093,,9.544014,-0.765734,2.695033,0.054087,-0.033714,-0.030032,-14.552524,-73.846326,-14.927537
40094,,9.549708,-0.702199,2.683737,0.060281,-0.033694,-0.032369,-14.491417,-73.868429,-14.963866
40095,,9.514758,-0.679437,2.717685,0.057466,-0.033095,-0.030336,-14.416624,-73.891141,-15.007447
40096,,9.559901,-0.641454,2.692733,0.043378,-0.032264,-0.028560,-14.379167,-73.911067,-15.021592
40097,,9.559927,-0.703551,2.721799,0.032789,-0.028652,-0.031700,-14.313461,-73.931477,-15.070411
40098,,9.571278,-0.673303,2.699981,0.025362,-0.028723,-0.025977,-14.276604,-73.951261,-15.100867
40099,,9.572130,-0.670216,2.697727,0.011302,-0.020942,-0.028188,-14.225940,-73.966888,-15.146847
40100,,9.558984,-0.687088,2.692035,0.003987,-0.018859,-0.027059,-14.193097,-73.977423,-15.187569
40101,,9.555199,-0.743243,2.699180,0.002087,-0.012952,-0.030947,-14.138274,-73.988990,-15.243386
40102,,9.572040,-0.745658,2.668032,0.014824,-0.013591,-0.030922,-14.093207,-73.997687,-15.285791
40103,,9.562302,-0.768869,2.686248,0.026556,-0.012351,-0.030544,-14.024728,-74.008808,-15.341226
40104,,9.585857,-0.736833,2.613051,0.041437,-0.010020,-0.033637,-13.960553,-74.014450,-15.390244
40105,,9.573700,-0.734036,2.665299,0.047299,-0.014066,-0.028367,-13.885091,-74.026163,-15.440590
40106,,9.578643,-0.670910,2.655438,0.046146,-0.016532,-0.031760,-13.824484,-74.037834,-15.487221
40107,,9.561779,-0.679646,2.627654,0.036153,-0.007134,-0.031026,-13.746692,-74.046037,-15.546658
40108,,9.522582,-0.650701,2.640734,0.035812,-0.008826,-0.029574,-13.701522,-74.052580,-15.571558
40109,,9.542868,-0.659490,2.633140,0.026431,-0.012141,-0.032093,-13.629550,-74.063666,-15.630692
40110,,9.524832,-0.686763,2.548639,0.035219,-0.007685,-0.037435,-13.560736,-74.070165,-15.690730
40111,,9.562503,-0.681809,2.568214,0.046033,-0.009357,-0.037306,-13.465824,-74.080361,-15.762066
40112,,9.583971,-0.670887,2.617657,0.048838,-0.009961,-0.039323,-13.393176,-74.089999,-15.810738
40113,,9.580938,-0.659081,2.593736,0.046579,-0.012700,-0.037767,-13.298460,-74.102040,-15.881516
40114,,9.577860,-0.647522,2.569872,0.041636,-0.008121,-0.036618,-13.231450,-74.112090,-15.932751
40115,,9.545961,-0.631690,2.628742,0.037101,-0.018171,-0.035676,-13.148545,-74.126866,-15.996891
40116,,9.543012,-0.620834,2.604167,0.027095,-0.015727,-0.030957,-13.104005,-74.137939,-16.035752
40117,,9.590997,-0.590086,2.603377,0.020212,-0.016773,-0.031876,-13.037376,-74.151370,-16.093055
40118,,9.524418,-0.601354,2.608031,0.009059,-0.016804,-0.030549,-13.002466,-74.165402,-16.129806
40119,,9.527098,-0.689672,2.604948,0.000833,-0.017664,-0.029670,-12.951522,-74.179002,-16.182345
40120,,9.517581,-0.713324,2.623008,0.018432,-0.013470,-0.028034,-12.915202,-74.188690,-16.216711
40121,,9.527944,-0.748911,2.634409,0.034406,-0.017789,-0.032071,-12.840177,-74.202593,-16.274309
40122,,9.556010,-0.704927,2.640812,0.046577,-0.008113,-0.035587,-12.777397,-74.216860,-16.310612
40123,,9.564139,-0.647778,2.654315,0.054660,-0.011606,-0.040192,-12.671777,-74.228351,-16.387864
40124,,9.561033,-0.635833,2.630446,0.048804,-0.009959,-0.039289,-12.606545,-74.242460,-16.420708
40125,,9.562748,-0.612121,2.686344,0.039672,-0.013753,-0.038646,-12.513438,-74.254927,-16.493762
40126,,9.575848,-0.606764,2.632253,0.021778,-0.010495,-0.034505,-12.470527,-74.263408,-16.526464
40127,,9.586128,-0.642202,2.644256,0.006570,-0.007618,-0.033958,-12.402928,-74.271773,-16.592683
40128,,9.582853,-0.632414,2.620396,0.002663,-0.007275,-0.026996,-12.379266,-74.277755,-16.621822
40129,,9.607858,-0.759175,2.578547,0.001998,0.000867,-0.025949,-12.326417,-74.280355,-16.675444
40130,,9.571934,-0.738518,2.615368,0.020059,-0.000381,-0.020188,-12.300927,-74.289372,-16.694665
40131,,9.534866,-0.736656,2.595450,0.034377,-0.001600,-0.018815,-12.244669,-74.292581,-16.732528
40132,,9.544997,-0.707346,2.576167,0.043744,0.001754,-0.016308,-12.233717,-74.287795,-16.717380
40133,,9.546208,-0.685619,2.633374,0.050048,0.001572,-0.017079,-12.170762,-74.288886,-16.752830
40134,,9.607150,-0.635484,2.637989,0.046108,0.004268,-0.016287,-12.145695,-74.290425,-16.758929
40135,,9.569886,-0.633734,2.618674,0.036996,0.005048,-0.013493,-12.095813,-74.289168,-16.788572
40136,,9.572498,-0.657020,2.585537,0.029532,-0.001842,-0.018249,-12.092719,-74.288785,-16.771151
40137,,9.596204,-0.673669,2.602133,0.032018,0.000454,-0.016661,-12.041553,-74.290395,-16.805013
40138,,9.616240,-0.683501,2.595573,0.040799,-0.002012,-0.017993,-12.021557,-74.293631,-16.808963
40139,,9.586490,-0.694863,2.622210,0.045199,0.001338,-0.016510,-11.962729,-74.294717,-16.842953
40140,,9.606563,-0.638894,2.583152,0.047223,-0.002414,-0.017184,-11.946621,-74.300183,-16.831709
40141,,9.573159,-0.643501,2.586492,0.052635,-0.000939,-0.016039,-11.885495,-74.302503,-16.863594
40142,,9.533470,-0.615795,2.600143,0.052755,-0.001159,-0.014462,-11.870769,-74.308042,-16.847157
40143,,9.573368,-0.638208,2.587028,0.050642,0.000470,-0.009182,-11.823947,-74.308796,-16.865295
40144,,9.606956,-0.628342,2.584277,0.052310,0.001958,-0.012428,-11.807579,-74.311244,-16.856892
40145,,9.580803,-0.646650,2.634387,0.054137,0.000893,-0.007927,-11.761062,-74.311637,-16.872626
40146,,9.587082,-0.611425,2.591898,0.056171,0.001728,-0.006455,-11.759804,-74.310847,-16.843858
40147,,9.563425,-0.590287,2.576059,0.052436,0.006322,-0.008706,-11.710532,-74.308260,-16.863437
40148,,9.586961,-0.607275,2.593320,0.049864,0.001905,-0.005679,-11.714068,-74.300664,-16.841268
40149,,9.610526,-0.624420,2.610453,0.050313,0.003368,-0.005561,-11.673563,-74.299240,-16.853063
40150,,9.640404,-0.608536,2.584393,0.045463,-0.001455,-0.007146,-11.685371,-74.303782,-16.801623
40151,,9.630531,-0.633158,2.604372,0.048960,-0.001029,-0.005895,-11.647079,-74.304868,-16.811751
40152,,9.630615,-0.631345,2.604502,0.055055,-0.003104,-0.003622,-11.639957,-74.313310,-16.794185
40153,,9.666884,-0.647829,2.568016,0.064282,-0.004109,-0.004819,-11.596204,-74.316086,-16.800868
40154,,9.613476,-0.640735,2.578199,0.071039,0.001764,-0.003334,-11.607598,-74.309075,-16.738649
40155,,9.584677,-0.567702,2.628529,0.076682,-0.001776,-0.001165,-11.563418,-74.309975,-16.738290
40156,,9.597250,-0.565146,2.575761,0.075544,0.000310,-0.002401,-11.545007,-74.320255,-16.714201
40157,,9.580990,-0.556842,2.606218,0.071358,0.003430,-0.004775,-11.494478,-74.318782,-16.723553
40158,,9.550970,-0.503355,2.600347,0.063028,0.007364,-0.003353,-11.495429,-74.318026,-16.676227
